Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Enero de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,29190.19018,21181.97309,18543.91052,7204.58118,858.36353,3126.09475,2227.041,9576.12525,18105.06569,1764.08174,2155.03699,3646.67327,4318.95702,121898.09421
6110 Ingresos de operaciones de intermediación,29190.19018,21181.97309,18543.91052,7204.58118,858.36353,3126.09475,2227.041,9576.12525,18105.06569,1764.08174,2155.03699,3646.67327,4318.95702,121898.09421
62 Ingresos de otras operaciones,5849.30529,1326.28418,2010.27442,237.01879,322.574,151.45733,51.77906,693.25279,1283.89938,42.38797,58.53023,69.59607,303.08327,12399.44278
6210 Ingresos de otras operaciones,5849.30529,1326.28418,2010.27442,237.01879,322.574,151.45733,51.77906,693.25279,1283.89938,42.38797,58.53023,69.59607,303.08327,12399.44278
63 Ingresos no operacionales,3727.63368,3374.00512,4599.97774,41.22648,31.83891,45.95601,8.30277,604.22442,1307.77644,114.77879,49.46598,64.75272,763.01497,14732.95403
6310 Ingresos no operacionales,3727.63368,3374.00512,4599.97774,41.22648,31.83891,45.95601,8.30277,604.22442,1307.77644,114.77879,49.46598,64.75272,763.01497,14732.95403
Total ingresos,38767.12915,25882.26239,25154.16268,7482.82645,1212.77644,3323.50809,2287.12283,10873.60246,20696.74151,1921.2485,2263.0332,3781.02206,5385.05526,149030.49102
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,14483.12938,16541.78522,15456.40217,3773.40706,52.7627,743.13506,1301.37303,5493.65658,10133.49872,998.182,1178.36046,2071.12946,3156.22906,75383.0509
7110 Captación de recursos,7125.29032,6856.50096,6515.55787,3109.65701,52.26593,618.77639,1143.25171,3604.93416,5358.2164,178.58044,1056.76079,1778.31436,2476.42805,39874.53439
