Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 28 de Febrero de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,58144.20098,42129.41492,36025.31857,13801.27163,1774.49212,6014.69118,4349.50036,18649.88075,34339.28123,3457.39244,4342.67924,7175.96679,8310.09684,238514.18705
6110 Ingresos de operaciones de intermediación,58144.20098,42129.41492,36025.31857,13801.27163,1774.49212,6014.69118,4349.50036,18649.88075,34339.28123,3457.39244,4342.67924,7175.96679,8310.09684,238514.18705
62 Ingresos de otras operaciones,11450.86463,2680.08234,4018.85873,750.5527,745.18142,315.45956,103.09951,1448.89356,2549.37651,83.10947,108.73934,144.99898,674.39828,25073.61503
6210 Ingresos de otras operaciones,11450.86463,2680.08234,4018.85873,750.5527,745.18142,315.45956,103.09951,1448.89356,2549.37651,83.10947,108.73934,144.99898,674.39828,25073.61503
63 Ingresos no operacionales,10016.78115,11998.43779,6684.34373,341.98408,31.84131,89.0302,632.28188,1834.00787,1903.94064,1012.49965,155.82444,195.37291,1395.88098,36292.22663
6310 Ingresos no operacionales,10016.78115,11998.43779,6684.34373,341.98408,31.84131,89.0302,632.28188,1834.00787,1903.94064,1012.49965,155.82444,195.37291,1395.88098,36292.22663
Total ingresos,79611.84676,56807.93505,46728.52103,14893.80841,2551.51485,6419.18094,5084.88175,21932.78218,38792.59838,4553.00156,4607.24302,7516.33868,10380.3761,299880.02871
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,28933.11181,29685.46907,26395.93428,7439.82868,122.4843,1392.80364,2504.61821,10822.50212,18400.70914,1401.47771,2108.06265,3987.35746,6091.32429,139285.68336
7110 Captación de recursos,13299.43722,12843.59499,12533.19981,5901.23418,121.39523,1151.82425,2177.10039,6978.99297,10198.23939,334.34946,2023.73918,3332.78441,4777.21377,75673.10525
