Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Marzo de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,89096.38449,64845.90468,55163.50465,21258.27261,2754.44535,9335.66499,6608.44027,28679.89905,53021.9819,5020.95671,7005.10784,10879.19723,12708.49051,366378.25028
6110 Ingresos de operaciones de intermediación,89096.38449,64845.90468,55163.50465,21258.27261,2754.44535,9335.66499,6608.44027,28679.89905,53021.9819,5020.95671,7005.10784,10879.19723,12708.49051,366378.25028
62 Ingresos de otras operaciones,17777.56683,4146.0374,6080.73711,1614.91538,1126.09115,486.67272,215.01205,2212.49457,3983.25791,331.76006,165.20308,283.33626,1107.50536,39530.58988
6210 Ingresos de otras operaciones,17777.56683,4146.0374,6080.73711,1614.91538,1126.09115,486.67272,215.01205,2212.49457,3983.25791,331.76006,165.20308,283.33626,1107.50536,39530.58988
63 Ingresos no operacionales,16465.77691,20375.42339,10026.97746,606.3303,89.32948,153.39818,650.12456,2425.30172,3821.6221,1393.45347,166.42854,281.54317,2353.72814,58809.43742
6310 Ingresos no operacionales,16465.77691,20375.42339,10026.97746,606.3303,89.32948,153.39818,650.12456,2425.30172,3821.6221,1393.45347,166.42854,281.54317,2353.72814,58809.43742
Total ingresos,123339.72823,89367.36547,71271.21922,23479.51829,3969.86598,9975.73589,7473.57688,33317.69534,60826.86191,6746.17024,7336.73946,11444.07666,16169.72401,464718.27758
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,43340.17161,49507.52797,39946.02401,11353.94476,203.22035,2230.86562,3764.22505,15559.8911,26852.08392,1961.30132,3471.05787,5819.19754,9351.82398,213361.3351
7110 Captación de recursos,20795.82365,19153.97563,19076.6816,9084.78781,202.07444,1746.22743,3285.78602,10531.88195,15528.65014,532.71866,3163.79093,5034.62882,7288.00211,115425.02919
