Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2021,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,148995.49735,108526.87343,94023.25994,37342.88425,4522.81552,16093.99005,11322.00967,47950.60135,0,89539.25651,8896.95366,11069.8402,18487.82674,21534.28285,618306.09152
6110 Ingresos de operaciones de intermediación,148995.49735,108526.87343,94023.25994,37342.88425,4522.81552,16093.99005,11322.00967,47950.60135,0,89539.25651,8896.95366,11069.8402,18487.82674,21534.28285,618306.09152
62 Ingresos de otras operaciones,29998.57762,6921.36854,10626.2931,3056.15221,1877.08794,878.07186,331.31625,3685.9146,0,6515.80165,590.96483,300.73798,519.2248,1775.30377,67076.81515
6210 Ingresos de otras operaciones,29998.57762,6921.36854,10626.2931,3056.15221,1877.08794,878.07186,331.31625,3685.9146,0,6515.80165,590.96483,300.73798,519.2248,1775.30377,67076.81515
63 Ingresos no operacionales,22842.79345,25401.41458,11942.55968,1063.79646,221.63168,481.26281,827.24019,4211.6121,0,5908.75631,1690.80681,191.10683,421.62348,3211.00748,78415.61186
6310 Ingresos no operacionales,22842.79345,25401.41458,11942.55968,1063.79646,221.63168,481.26281,827.24019,4211.6121,0,5908.75631,1690.80681,191.10683,421.62348,3211.00748,78415.61186
Total ingresos,201836.86842,140849.65655,116592.11272,41462.83292,6621.53514,17453.32472,12480.56611,55848.12805,0,101963.81447,11178.7253,11561.68501,19428.67502,26520.5941,763798.51853
 ,,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,76956.7163,75127.96819,59740.09612,19469.09728,327.87011,2879.09764,6272.98183,26922.23062,0,45145.21227,2341.49573,5532.68446,9710.35981,15149.49882,345575.30918
7110 Captación de recursos,35730.97445,31394.79704,31836.84994,15394.72981,326.38783,2879.09764,5439.91703,17446.48692,0,25725.26652,886.94248,5067.51902,8441.51664,12209.17796,192779.66328
