Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Junio de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,179074.28001,128882.81736,110210.53973,45346.06624,5265.14215,19050.10776,13524.72648,57302.92953,106690.57179,10845.13914,13051.33011,22346.55898,25900.09993,737490.30921
6110 Ingresos de operaciones de intermediación,179074.28001,128882.81736,110210.53973,45346.06624,5265.14215,19050.10776,13524.72648,57302.92953,106690.57179,10845.13914,13051.33011,22346.55898,25900.09993,737490.30921
62 Ingresos de otras operaciones,36365.31325,8390.98419,12732.52135,3866.87813,2247.34142,1065.24095,390.06091,4457.93746,7847.55613,768.67654,372.0285,608.62916,2049.02353,81162.19152
6210 Ingresos de otras operaciones,36365.31325,8390.98419,12732.52135,3866.87813,2247.34142,1065.24095,390.06091,4457.93746,7847.55613,768.67654,372.0285,608.62916,2049.02353,81162.19152
63 Ingresos no operacionales,32082.10193,28269.30605,19635.84033,1221.45518,223.27302,358.43684,961.05689,5471.83787,6865.70814,1856.55439,230.15998,652.95251,7743.17239,105571.85552
6310 Ingresos no operacionales,32082.10193,28269.30605,19635.84033,1221.45518,223.27302,358.43684,961.05689,5471.83787,6865.70814,1856.55439,230.15998,652.95251,7743.17239,105571.85552
Total ingresos,247521.69519,165543.1076,142578.90141,50434.39955,7735.75659,20473.78555,14875.84428,67232.70486,121403.83606,13470.37007,13653.51859,23608.14065,35692.29585,924224.35625
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,90993.47496,79676.87457,75224.29727,23665.34594,369.48902,3605.79723,7332.30444,31604.88278,57394.90783,2805.98027,6513.37215,11934.43825,18420.60899,409541.7737
7110 Captación de recursos,42819.89576,37280.78959,38305.17091,18540.70813,368.13952,3456.60998,6466.61176,20803.33269,30766.24855,1087.35588,5950.19538,10052.77501,14720.44626,230618.27942
