Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Julio de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,206371.47905,151091.05429,129849.04481,53506.35486,6036.02249,22354.48155,15523.50762,66670.82242,123479.81131,13245.35406,15137.90122,26202.57255,30397.49753,859865.90376
6110 Ingresos de operaciones de intermediación,206371.47905,151091.05429,129849.04481,53506.35486,6036.02249,22354.48155,15523.50762,66670.82242,123479.81131,13245.35406,15137.90122,26202.57255,30397.49753,859865.90376
62 Ingresos de otras operaciones,42864.87298,9869.40681,14906.03313,4613.57751,2697.56992,1240.14292,447.94571,5217.7236,9332.38987,987.93073,441.98422,743.03714,2462.94677,95825.56131
6210 Ingresos de otras operaciones,42864.87298,9869.40681,14906.03313,4613.57751,2697.56992,1240.14292,447.94571,5217.7236,9332.38987,987.93073,441.98422,743.03714,2462.94677,95825.56131
63 Ingresos no operacionales,43821.87945,30348.731,29797.01097,1526.5079,235.80626,404.20852,1002.57817,6446.4533,7835.03423,2032.70171,234.38519,671.42178,8728.32505,133085.04353
6310 Ingresos no operacionales,43821.87945,30348.731,29797.01097,1526.5079,235.80626,404.20852,1002.57817,6446.4533,7835.03423,2032.70171,234.38519,671.42178,8728.32505,133085.04353
Total ingresos,293058.23148,191309.1921,174552.08891,59646.44027,8969.39867,23998.83299,16974.0315,78334.99932,140647.23541,16265.9865,15814.27063,27617.03147,41588.76935,1088776.5086
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,104830.93021,89089.24019,90657.53456,28074.40872,417.00645,4472.55088,8376.03956,35732.22456,65922.67608,3468.05466,7465.38625,14080.82775,21744.7031,474331.58297
7110 Captación de recursos,50701.23792,43506.73845,44858.03088,21682.95015,415.35233,4035.11973,7479.87577,24191.52705,35874.97548,1296.02859,6820.03964,11803.37759,17314.45388,269979.70746
