Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Agosto de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,237028.76696,173518.31983,149233.59941,61755.38106,6727.91067,25532.96013,17493.75069,76037.4923,140987.89829,15964.80968,17226.32777,30005.95143,35144.5993,986657.76752
6110 Ingresos de operaciones de intermediación,237028.76696,173518.31983,149233.59941,61755.38106,6727.91067,25532.96013,17493.75069,76037.4923,140987.89829,15964.80968,17226.32777,30005.95143,35144.5993,986657.76752
62 Ingresos de otras operaciones,49200.88326,11228.60374,17028.96689,5213.58335,3126.41155,1421.18909,506.79733,6004.41522,10765.64318,1182.67614,509.20404,818.40089,2954.10497,109960.87965
6210 Ingresos de otras operaciones,49200.88326,11228.60374,17028.96689,5213.58335,3126.41155,1421.18909,506.79733,6004.41522,10765.64318,1182.67614,509.20404,818.40089,2954.10497,109960.87965
63 Ingresos no operacionales,46176.45981,31809.40443,39240.1827,2296.41677,235.80712,446.44214,1012.32698,7698.39356,8479.11214,2180.64818,337.8752,686.94003,8864.72325,149464.73231
6310 Ingresos no operacionales,46176.45981,31809.40443,39240.1827,2296.41677,235.80712,446.44214,1012.32698,7698.39356,8479.11214,2180.64818,337.8752,686.94003,8864.72325,149464.73231
Total ingresos,332406.11003,216556.328,205502.749,69265.38118,10090.12934,27400.59136,19012.875,89740.30108,160232.65361,19328.134,18073.40701,31511.29235,46963.42752,1246083.37948
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,121907.65145,99232.39926,107482.68092,32205.4563,500.2392,4949.75359,9426.63046,41019.23618,79424.74676,4131.8354,8458.6413,16153.46156,24694.92532,549587.6577
7110 Captación de recursos,57722.80627,49636.94953,51161.42355,24791.41393,490.06889,4618.63294,8516.02131,27566.01154,40907.80587,1536.8586,7686.46063,13610.13144,19960.58422,308205.16872
