Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,267128.53706,195171.72054,168193.6037,69983.71149,7285.4089,28653.11947,19389.38265,85274.15719,157906.66992,18510.21395,19293.89561,33769.1655,39794.0147,1110353.60068
6110 Ingresos de operaciones de intermediación,267128.53706,195171.72054,168193.6037,69983.71149,7285.4089,28653.11947,19389.38265,85274.15719,157906.66992,18510.21395,19293.89561,33769.1655,39794.0147,1110353.60068
62 Ingresos de otras operaciones,55468.92395,13340.55489,19250.19858,5510.64976,3943.76882,1610.54189,574.61474,6758.75832,12281.05835,1327.37235,578.78049,918.94579,3430.51636,124994.68429
6210 Ingresos de otras operaciones,55468.92395,13340.55489,19250.19858,5510.64976,3943.76882,1610.54189,574.61474,6758.75832,12281.05835,1327.37235,578.78049,918.94579,3430.51636,124994.68429
63 Ingresos no operacionales,50474.57582,32969.3012,42406.02032,2350.74161,280.81165,509.49568,1017.38513,7968.21251,10216.98532,2403.36938,347.25197,748.14516,9118.39567,160810.69142
6310 Ingresos no operacionales,50474.57582,32969.3012,42406.02032,2350.74161,280.81165,509.49568,1017.38513,7968.21251,10216.98532,2403.36938,347.25197,748.14516,9118.39567,160810.69142
Total ingresos,373072.03683,241481.57663,229849.8226,77845.10286,11509.98937,30773.15704,20981.38252,100001.12802,180404.71359,22240.95568,20219.92807,35436.25645,52342.92673,1396158.97639
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,134078.71194,109294.78471,120336.04487,35939.83912,530.56209,5705.73165,10399.37382,45421.7971,92547.17404,4910.03006,9329.47041,18104.46162,27576.41844,614174.39987
7110 Captación de recursos,63791.34927,55684.31644,57604.61262,27892.00635,520.27197,5232.57824,9465.35989,30685.94217,45792.7234,1772.16982,8516.54488,15350.53395,22487.20461,344795.61361
