Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Octubre de 2021,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,300973.83765,217795.78878,188022.20023,79083.43155,7806.01791,31842.21751,21341.82427,94929.78391,0,176499.78352,21226.58562,21409.03457,37576.58626,44639.90374,1243146.99552
6110 Ingresos de operaciones de intermediación,300973.83765,217795.78878,188022.20023,79083.43155,7806.01791,31842.21751,21341.82427,94929.78391,0,176499.78352,21226.58562,21409.03457,37576.58626,44639.90374,1243146.99552
62 Ingresos de otras operaciones,61886.81894,14854.50219,21479.87354,5863.19801,4311.91081,1801.87609,655.64066,7507.65956,0,14053.5455,1477.23961,669.02095,1033.87064,3769.72679,139364.88329
6210 Ingresos de otras operaciones,61886.81894,14854.50219,21479.87354,5863.19801,4311.91081,1801.87609,655.64066,7507.65956,0,14053.5455,1477.23961,669.02095,1033.87064,3769.72679,139364.88329
63 Ingresos no operacionales,64436.70686,34284.5409,44959.24938,2460.31693,280.81467,576.03847,1077.07616,9319.9124,0,11447.47453,2579.98312,367.5074,792.91352,9755.84568,182338.38002
6310 Ingresos no operacionales,64436.70686,34284.5409,44959.24938,2460.31693,280.81467,576.03847,1077.07616,9319.9124,0,11447.47453,2579.98312,367.5074,792.91352,9755.84568,182338.38002
Total ingresos,427297.36345,266934.83187,254461.32315,87406.94649,12398.74339,34220.13207,23074.54109,111757.35587,0,202000.80355,25283.80835,22445.56292,39403.37042,58165.47621,1564850.25883
 ,,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,149487.22561,118428.71593,130991.54325,40063.383,1831.20604,6584.58704,11414.45735,51252.1222,0,105118.45684,5687.41491,10241.55602,20216.00166,30632.6748,681949.34465
7110 Captación de recursos,71361.22344,62427.37849,64047.49961,31430.03784,1821.26503,5820.61649,10459.46358,33952.72136,0,50761.26236,2033.49297,9383.59896,17189.45437,25082.76157,385770.77607
