Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Noviembre de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,333811.50956,239948.48868,207550.27402,88210.80947,8304.98848,35003.46138,23249.33029,104549.23818,195692.37745,23866.51703,23534.81186,41534.68638,49412.15575,1374668.64853
6110 Ingresos de operaciones de intermediación,333811.50956,239948.48868,207550.27402,88210.80947,8304.98848,35003.46138,23249.33029,104549.23818,195692.37745,23866.51703,23534.81186,41534.68638,49412.15575,1374668.64853
62 Ingresos de otras operaciones,68317.91846,16394.12823,23836.01582,6142.85547,4707.9445,1988.29315,709.9831,8292.4371,15648.40881,1639.15129,754.21309,1137.54075,4069.4826,153638.37237
6210 Ingresos de otras operaciones,68317.91846,16394.12823,23836.01582,6142.85547,4707.9445,1988.29315,709.9831,8292.4371,15648.40881,1639.15129,754.21309,1137.54075,4069.4826,153638.37237
63 Ingresos no operacionales,79870.59757,35461.2558,47509.83582,3383.74008,280.89657,622.01859,1082.30008,10577.07417,12358.0912,2744.7327,370.61724,807.61773,10176.85683,205245.63438
6310 Ingresos no operacionales,79870.59757,35461.2558,47509.83582,3383.74008,280.89657,622.01859,1082.30008,10577.07417,12358.0912,2744.7327,370.61724,807.61773,10176.85683,205245.63438
Total ingresos,482000.02559,291803.87271,278896.12566,97737.40502,13293.82955,37613.77312,25041.61347,123418.74945,223698.87746,28250.40102,24659.64219,43479.84486,63658.49518,1733552.65528
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,160644.26831,126655.78746,140205.6852,44542.96494,2443.788,7068.74498,12423.32552,56170.80557,116886.42963,6437.18552,11154.75088,22339.57636,33527.89939,740501.21176
7110 Captación de recursos,79271.89479,68864.19829,70497.29952,35007.50391,2432.583,6371.66085,11432.37631,37401.51389,55680.64451,2288.9547,10272.24364,19077.92586,27536.46569,426135.26496
