Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Diciembre de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,366367.90772,263292.33991,227663.30521,97657.03321,8792.17667,38479.01629,25171.86464,114299.4583,215876.37663,26912.99277,25704.92831,45637.20492,54410.23463,1510264.83921
6110 Ingresos de operaciones de intermediación,366367.90772,263292.33991,227663.30521,97657.03321,8792.17667,38479.01629,25171.86464,114299.4583,215876.37663,26912.99277,25704.92831,45637.20492,54410.23463,1510264.83921
62 Ingresos de otras operaciones,75580.09075,18196.5048,26511.93522,6522.98754,5132.31669,2184.08407,771.97412,8890.83181,17363.98759,1799.51838,836.64951,1293.42952,4600.40716,169684.71716
6210 Ingresos de otras operaciones,75580.09075,18196.5048,26511.93522,6522.98754,5132.31669,2184.08407,771.97412,8890.83181,17363.98759,1799.51838,836.64951,1293.42952,4600.40716,169684.71716
63 Ingresos no operacionales,83417.72836,37296.7071,50497.52946,3732.54364,280.90123,813.01437,1086.77581,10922.94304,18953.32314,2944.54517,372.91502,811.811,10906.03503,222036.77237
6310 Ingresos no operacionales,83417.72836,37296.7071,50497.52946,3732.54364,280.90123,813.01437,1086.77581,10922.94304,18953.32314,2944.54517,372.91502,811.811,10906.03503,222036.77237
Total ingresos,525365.72683,318785.55181,304672.76989,107912.56439,14205.39459,41476.11473,27030.61457,134113.23315,252193.68736,31657.05632,26914.49284,47742.44544,69916.67682,1901986.32874
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,171113.60856,136109.52735,149644.83929,49871.31663,3054.2894,7775.24183,13475.81722,61733.12957,130239.49363,7513.72095,12095.77051,24475.20935,37019.21048,804121.17477
7110 Captación de recursos,86480.09924,75263.74331,77432.51338,38753.96393,3040.61283,6991.75804,12405.8282,41322.48758,60762.2352,2583.89012,11204.69234,21038.68782,30155.37837,467435.89036
