Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Enero de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,32921.64919,23065.95954,19867.73914,9269.69076,478.4941,3286.29883,1921.97046,9375.36867,18547.80252,2766.50747,2245.62,3890.45425,4986.91567,132624.4706
6110 Ingresos de operaciones de intermediación,32921.64919,23065.95954,19867.73914,9269.69076,478.4941,3286.29883,1921.97046,9375.36867,18547.80252,2766.50747,2245.62,3890.45425,4986.91567,132624.4706
62 Ingresos de otras operaciones,6308.52016,1561.97812,2127.25603,292.87353,401.37297,156.22073,57.54931,673.66433,1453.15337,138.3191,61.48193,149.87711,543.85099,13926.11768
6210 Ingresos de otras operaciones,6308.52016,1561.97812,2127.25603,292.87353,401.37297,156.22073,57.54931,673.66433,1453.15337,138.3191,61.48193,149.87711,543.85099,13926.11768
63 Ingresos no operacionales,2603.22306,3518.18645,1971.28152,264.71852,1.35988,23.94461,36.22524,879.10609,996.7155,152.27774,5.38992,5.87549,968.28356,11426.58758
6310 Ingresos no operacionales,2603.22306,3518.18645,1971.28152,264.71852,1.35988,23.94461,36.22524,879.10609,996.7155,152.27774,5.38992,5.87549,968.28356,11426.58758
Total ingresos,41833.39241,28146.12411,23966.27669,9827.28281,881.22695,3466.46417,2015.74501,10928.13909,20997.67139,3057.10431,2312.49185,4046.20685,6499.05022,157977.17586
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,10403.10035,11278.98779,10802.57401,4761.56229,27.87376,728.85001,987.24898,4918.4937,11220.74777,1280.61079,1005.51666,2494.55569,3470.8123,63380.9341
7110 Captación de recursos,6932.61219,6421.9582,6696.41021,3808.98895,27.82735,567.16206,963.93659,3405.14466,5118.86838,316.44305,979.43394,1949.48888,2773.64065,39961.91511
