Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 28 de Febrero de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,64997.26611,44185.89315,38379.49681,18203.99118,862.01303,6311.47589,3555.76184,18096.38269,35610.73576,5367.47793,4306.90904,7544.05307,9555.09042,256976.54692
6110 Ingresos de operaciones de intermediación,64997.26611,44185.89315,38379.49681,18203.99118,862.01303,6311.47589,3555.76184,18096.38269,35610.73576,5367.47793,4306.90904,7544.05307,9555.09042,256976.54692
62 Ingresos de otras operaciones,12382.30205,3581.78849,4256.36048,538.81668,800.48104,365.69187,109.31744,1327.49149,2935.59325,279.8493,131.98215,477.24662,851.7572,28038.67806
6210 Ingresos de otras operaciones,12382.30205,3581.78849,4256.36048,538.81668,800.48104,365.69187,109.31744,1327.49149,2935.59325,279.8493,131.98215,477.24662,851.7572,28038.67806
63 Ingresos no operacionales,4743.6129,5874.18116,4654.70985,721.20844,69.44593,60.29436,38.53908,3161.79088,2412.86249,312.34573,30.09899,9.46151,4202.0772,26290.62852
6310 Ingresos no operacionales,4743.6129,5874.18116,4654.70985,721.20844,69.44593,60.29436,38.53908,3161.79088,2412.86249,312.34573,30.09899,9.46151,4202.0772,26290.62852
Total ingresos,82123.18106,53641.8628,47290.56714,19464.0163,1731.94,6737.46212,3703.61836,22585.66506,40959.1915,5959.67296,4468.99018,8030.7612,14608.92482,311305.8535
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,23189.56889,21300.5506,20702.83903,9619.56903,62.07248,1268.80893,1899.25471,10449.38748,18497.91076,2328.36512,1914.9337,4731.62398,9243.27086,125208.15557
7110 Captación de recursos,15465.92656,12298.97387,12772.18494,7391.3574,61.95455,1071.86013,1820.69042,6662.68091,9819.96274,619.78701,1868.06731,3688.75535,5243.0274,78785.22859
