Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Marzo de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,102372.4434,67759.34357,58840.15864,27411.71532,1345.14521,9725.43056,5513.15008,27727.26429,58179.71016,8557.38486,6643.72205,11756.41758,14636.77942,400468.66514
6110 Ingresos de operaciones de intermediación,102372.4434,67759.34357,58840.15864,27411.71532,1345.14521,9725.43056,5513.15008,27727.26429,58179.71016,8557.38486,6643.72205,11756.41758,14636.77942,400468.66514
62 Ingresos de otras operaciones,19277.83667,5256.11694,6532.04792,868.79453,1208.23553,575.86582,212.2229,2313.77157,4634.84834,433.96347,208.59972,689.81312,1249.13216,43461.24869
6210 Ingresos de otras operaciones,19277.83667,5256.11694,6532.04792,868.79453,1208.23553,575.86582,212.2229,2313.77157,4634.84834,433.96347,208.59972,689.81312,1249.13216,43461.24869
63 Ingresos no operacionales,9410.62545,11546.76467,8617.2283,1052.25119,76.875,469.58541,64.93406,4654.5301,4099.63286,494.49062,313.11406,15.60205,4738.82324,45554.45701
6310 Ingresos no operacionales,9410.62545,11546.76467,8617.2283,1052.25119,76.875,469.58541,64.93406,4654.5301,4099.63286,494.49062,313.11406,15.60205,4738.82324,45554.45701
Total ingresos,131060.90552,84562.22518,73989.43486,29332.76104,2630.25574,10770.88179,5790.30704,34695.56596,66914.19136,9485.83895,7165.43583,12461.83275,20624.73482,489484.37084
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,36830.21416,32161.25712,31992.68684,14703.8033,105.85058,1647.58063,3015.02922,18049.9894,27281.81636,3689.00263,3080.67186,7269.71243,12378.53747,192206.152
7110 Captación de recursos,23876.85929,18794.96865,19462.38389,11466.82175,105.08713,1647.58063,2692.02689,10073.06556,15790.48019,982.5296,2840.87576,5629.0589,8032.16476,121393.903
