Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,173686.67134,114985.14497,98436.4376,46446.5292,2498.24179,16542.45175,9412.71537,46656.08486,96011.62887,15518.32251,11349.86894,20306.58264,25499.48776,677350.1676
6110 Ingresos de operaciones de intermediación,173686.67134,114985.14497,98436.4376,46446.5292,2498.24179,16542.45175,9412.71537,46656.08486,96011.62887,15518.32251,11349.86894,20306.58264,25499.48776,677350.1676
62 Ingresos de otras operaciones,33132.86131,8353.2421,11052.14593,1498.64087,2179.78617,1062.6526,341.80531,3976.34479,7856.60583,777.30138,357.23814,1029.3235,2356.82538,73974.77331
6210 Ingresos de otras operaciones,33132.86131,8353.2421,11052.14593,1498.64087,2179.78617,1062.6526,341.80531,3976.34479,7856.60583,777.30138,357.23814,1029.3235,2356.82538,73974.77331
