Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Septiembre de 2022,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,325011.11231,210214.58141,179860.07667,86274.55156,5203.37681,29466.52953,85302.65688,175458.90092,29958.7524,21726.03681,54067.04132,47852.72056,1250396.33718
6110 Ingresos de operaciones de intermediación,325011.11231,210214.58141,179860.07667,86274.55156,5203.37681,29466.52953,85302.65688,175458.90092,29958.7524,21726.03681,54067.04132,47852.72056,1250396.33718
62 Ingresos de otras operaciones,61719.03715,15548.20031,20276.73201,2862.88264,4158.1848,1867.02964,7739.24886,14582.06933,1454.57954,680.63303,2271.777,3811.85857,136972.23288
6210 Ingresos de otras operaciones,61719.03715,15548.20031,20276.73201,2862.88264,4158.1848,1867.02964,7739.24886,14582.06933,1454.57954,680.63303,2271.777,3811.85857,136972.23288
63 Ingresos no operacionales,24218.77556,26375.89027,23294.65473,2607.88576,117.7921,677.25196,17348.7109,12996.10684,1584.59508,384.51176,329.96184,7663.50607,117599.64287
6310 Ingresos no operacionales,24218.77556,26375.89027,23294.65473,2607.88576,117.7921,677.25196,17348.7109,12996.10684,1584.59508,384.51176,329.96184,7663.50607,117599.64287
Total ingresos,410948.92502,252138.67199,223431.46341,91745.31996,9479.35371,32010.81113,110390.61664,203037.07709,32997.92702,22791.1816,56668.78016,59328.0852,1504968.21293
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,121929.77359,97105.76296,99079.76474,47795.15267,448.58261,4957.30551,59009.85483,75729.32431,12767.67028,10276.44341,31847.97139,32591.90961,593539.51591
7110 Captación de recursos,86839.3117,59522.3027,61850.92328,37308.48201,444.99693,4919.89917,31133.06612,44964.58437,3702.29499,9588.83874,24445.83677,26065.83384,390786.37062
7120 Saneamiento de activos de intermediación,35090.46189,27520.19282,37228.84146,10396.8881,3.58568,37.40634,27876.78871,30764.73994,9065.37529,687.60467,7392.52274,6349.16676,192413.5744
