Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Octubre de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,363529.58941,235211.47299,201232.07598,96115.91225,5996.12506,32909.67762,0,94615.42315,197448.9726,33620.58817,24549.43675,59989.8833,53603.9391,1398823.09638
6110 Ingresos de operaciones de intermediación,363529.58941,235211.47299,201232.07598,96115.91225,5996.12506,32909.67762,0,94615.42315,197448.9726,33620.58817,24549.43675,59989.8833,53603.9391,1398823.09638
62 Ingresos de otras operaciones,68988.1365,17041.56994,22725.17718,3269.85298,4686.41429,2043.1514,0,8861.65478,16313.38025,1607.18037,771.29914,2463.32333,4422.45895,153193.59911
6210 Ingresos de otras operaciones,68988.1365,17041.56994,22725.17718,3269.85298,4686.41429,2043.1514,0,8861.65478,16313.38025,1607.18037,771.29914,2463.32333,4422.45895,153193.59911
63 Ingresos no operacionales,26491.79972,27866.97536,25663.01552,3390.35386,117.96258,860.1873,0,19816.05375,14619.32662,1754.8249,418.83799,392.98059,8162.41953,129554.73772
6310 Ingresos no operacionales,26491.79972,27866.97536,25663.01552,3390.35386,117.96258,860.1873,0,19816.05375,14619.32662,1754.8249,418.83799,392.98059,8162.41953,129554.73772
Total ingresos,459009.52563,280120.01829,249620.26868,102776.11909,10800.50193,35813.01632,0,123293.13168,228381.67947,36982.59344,25739.57388,62846.18722,66188.81758,1681571.43321
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,134094.07935,109574.0491,110348.22727,53608.57275,474.99807,5780.44959,0,66048.20692,85163.94117,14478.09988,11626.86436,35566.00987,38225.30768,664988.80601
7110 Captación de recursos,96592.9627,67132.9101,69824.12575,41898.37551,472.04908,5507.96909,0,34892.08479,50729.1542,4245.46464,10936.41272,27163.80236,29304.48282,438699.79376
