Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Noviembre de 2022,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,402941.42622,260164.46963,222457.40577,106447.94013,6703.45366,36184.96859,104433.13213,218820.78658,37208.52632,27379.09011,65976.04268,59423.69917,1548140.94099
6110 Ingresos de operaciones de intermediación,402941.42622,260164.46963,222457.40577,106447.94013,6703.45366,36184.96859,104433.13213,218820.78658,37208.52632,27379.09011,65976.04268,59423.69917,1548140.94099
62 Ingresos de otras operaciones,76117.02237,18631.10914,25179.48323,3730.8769,5934.941,2227.25912,9624.70081,18221.59219,1785.02098,856.24152,2709.69055,4679.86444,169697.80225
6210 Ingresos de otras operaciones,76117.02237,18631.10914,25179.48323,3730.8769,5934.941,2227.25912,9624.70081,18221.59219,1785.02098,856.24152,2709.69055,4679.86444,169697.80225
63 Ingresos no operacionales,29853.31632,29674.28084,28084.59458,3961.08687,117.96259,661.9929,21320.02061,16452.9648,1933.84654,424.29819,398.42616,8365.87271,141248.66311
6310 Ingresos no operacionales,29853.31632,29674.28084,28084.59458,3961.08687,117.96259,661.9929,21320.02061,16452.9648,1933.84654,424.29819,398.42616,8365.87271,141248.66311
Total ingresos,508911.76491,308469.85961,275721.48358,114139.9039,12756.35725,39074.22061,135377.85355,253495.34357,40927.39384,28659.62982,69084.15939,72469.43632,1859087.40635
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,149262.3612,122383.18371,122329.10955,59277.02932,542.15691,6310.48805,72249.90915,94590.79405,16231.09343,12972.12561,39152.14462,41717.37632,737017.77192
7110 Captación de recursos,107243.96042,75006.41226,77477.60671,46349.61265,506.26772,6038.00755,38411.25645,56328.3007,4774.13373,12255.56624,29850.00446,32460.37655,486701.50544
7120 Saneamiento de activos de intermediación,42018.40078,34828.91427,44851.50284,12836.52065,35.88919,272.4805,33838.6527,38262.49335,11456.9597,716.55937,9292.52828,9079.09989,237490.00152
