Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 28 de Febrero de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,73154.43189,50467.73952,43474.52786,21515.136,1664.62524,6415.50567,19489.13886,42166.53717,7673.56425,5957.73984,14596.00533,12417.48306,298992.43469
6110 Ingresos de operaciones de intermediación,73154.43189,50467.73952,43474.52786,21515.136,1664.62524,6415.50567,19489.13886,42166.53717,7673.56425,5957.73984,14596.00533,12417.48306,298992.43469
62 Ingresos de otras operaciones,13707.72412,3004.55771,4414.34084,823.04618,785.71732,372.94334,1608.266,3431.64995,270.45607,152.53821,528.0101,580.81986,29680.0697
6210 Ingresos de otras operaciones,13707.72412,3004.55771,4414.34084,823.04618,785.71732,372.94334,1608.266,3431.64995,270.45607,152.53821,528.0101,580.81986,29680.0697
63 Ingresos no operacionales,7342.99301,3910.06296,4694.38001,1176.76424,28.16656,151.10738,2357.90479,2785.71956,373.91798,10.99664,6.76699,1474.98669,24313.76681
6310 Ingresos no operacionales,7342.99301,3910.06296,4694.38001,1176.76424,28.16656,151.10738,2357.90479,2785.71956,373.91798,10.99664,6.76699,1474.98669,24313.76681
Total ingresos,94205.14902,57382.36019,52583.24871,23514.94642,2478.50912,6939.55639,23455.30965,48383.90668,8317.9383,6121.27469,15130.78242,14473.28961,352986.2712
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,27174.05612,25507.76134,24105.40562,13385.38498,69.82125,1171.13473,12151.42599,18518.42965,3505.46193,3100.45909,8988.49316,8057.01637,145734.85023
7110 Captación de recursos,19455.61721,15418.93644,16205.37235,10827.88344,67.78666,1117.91015,7457.74974,11626.77045,1079.40433,3039.23177,5375.76825,7084.7344,98757.16519
7120 Saneamiento de activos de intermediación,7718.43891,8574.15315,7900.03327,2557.50154,2.03459,53.22458,4693.67625,6891.6592,2426.0576,61.22732,3612.72491,969.3507,45460.08202
7130 Castigos de activos de intermediación,0,1514.67175,0,0,0,0,0,0,0,0,0,2.93127,1517.60302
