Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Marzo de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,114606.17932,77427.73996,65992.70743,33988.7241,2626.97766,10041.21911,29679.105,65837.24229,11955.50838,9153.19604,22122.23389,19196.70137,462627.53455
6110 Ingresos de operaciones de intermediación,114606.17932,77427.73996,65992.70743,33988.7241,2626.97766,10041.21911,29679.105,65837.24229,11955.50838,9153.19604,22122.23389,19196.70137,462627.53455
62 Ingresos de otras operaciones,20962.55894,4557.97686,6691.94553,1356.46536,1140.3651,584.67878,2533.16296,5305.598,417.63002,222.75026,798.22508,1061.96662,45633.32351
6210 Ingresos de otras operaciones,20962.55894,4557.97686,6691.94553,1356.46536,1140.3651,584.67878,2533.16296,5305.598,417.63002,222.75026,798.22508,1061.96662,45633.32351
63 Ingresos no operacionales,10365.74478,5548.74126,7892.23814,1512.90391,28.24525,383.15971,3187.70865,4525.99664,639.00804,51.08686,196.79539,1917.87032,36249.49895
6310 Ingresos no operacionales,10365.74478,5548.74126,7892.23814,1512.90391,28.24525,383.15971,3187.70865,4525.99664,639.00804,51.08686,196.79539,1917.87032,36249.49895
Total ingresos,145934.48304,87534.45808,80576.8911,36858.09337,3795.58801,11009.0576,35399.97661,75668.83693,13012.14644,9427.03316,23117.25436,22176.53831,544510.35701
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,47252.98098,38032.67613,37590.92052,21250.36438,94.12723,1733.70414,18532.90485,29020.41988,5742.84622,4875.77856,13319.80251,12543.06043,229989.58583
7110 Captación de recursos,34540.7531,23719.52241,24786.62432,17408.68784,91.30249,1733.70414,11397.94472,18075.20987,1645.98306,4802.17481,8250.19254,11092.75034,157544.84964
7120 Saneamiento de activos de intermediación,12712.22788,11831.15684,12804.2962,3841.67654,2.82474,0,7134.96013,10945.21001,4096.86316,73.60375,5069.60997,1447.02204,69959.45126
7130 Castigos de activos de intermediación,0,2481.99688,0,0,0,0,0,0,0,0,0,3.28805,2485.28493
