Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Abril de 2023,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,153412.31975,104241.22532,88100.2155,45815.90473,3799.9958,13939.11632,0,39736.35275,88161.0828,16025.69897,12340.11425,28670.26854,25743.04266,619985.33739
6110 Ingresos de operaciones de intermediación,153412.31975,104241.22532,88100.2155,45815.90473,3799.9958,13939.11632,0,39736.35275,88161.0828,16025.69897,12340.11425,28670.26854,25743.04266,619985.33739
62 Ingresos de otras operaciones,27911.64683,6357.94964,8950.03469,1817.49036,1482.61479,792.59239,0,3350.14451,6825.39287,537.15727,293.48099,1024.32584,1301.33167,60644.16185
6210 Ingresos de otras operaciones,27911.64683,6357.94964,8950.03469,1817.49036,1482.61479,792.59239,0,3350.14451,6825.39287,537.15727,293.48099,1024.32584,1301.33167,60644.16185
63 Ingresos no operacionales,12985.17898,7010.10945,10400.93489,1601.84832,30.97594,470.70522,0,4157.25039,5716.73878,806.93463,88.75449,200.37085,2563.86534,46033.66728
6310 Ingresos no operacionales,12985.17898,7010.10945,10400.93489,1601.84832,30.97594,470.70522,0,4157.25039,5716.73878,806.93463,88.75449,200.37085,2563.86534,46033.66728
Total ingresos,194309.14556,117609.28441,107451.18508,49235.24341,5313.58653,15202.41393,0,47243.74765,100703.21445,17369.79087,12722.34973,29894.96523,29608.23967,726663.16652
 ,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,63010.65192,51423.07168,49794.56373,28983.59535,169.70185,2274.5608,0,24974.65694,39827.08635,7968.7392,6601.39332,16866.13858,16853.37023,308747.52995
7110 Captación de recursos,45897.13678,32127.23798,33162.20181,23856.16537,135.67811,2274.5608,0,15421.72145,24329.93518,2224.60347,6490.28582,11082.7854,15050.82148,212053.13365
7120 Saneamiento de activos de intermediación,17113.51514,15590.30386,16632.36192,5127.42998,34.02374,0,0,9552.93549,15497.15117,5744.13573,111.1075,5783.35318,1798.74723,92985.06494
