Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Mayo de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,192950.47904,131327.84381,110640.26708,58117.28562,4840.94219,17566.94235,49970.47971,111407.43726,20088.8377,15663.08322,35761.97061,32510.24149,780845.81008
6110 Ingresos de operaciones de intermediación,192950.47904,131327.84381,110640.26708,58117.28562,4840.94219,17566.94235,49970.47971,111407.43726,20088.8377,15663.08322,35761.97061,32510.24149,780845.81008
62 Ingresos de otras operaciones,35347.71747,7858.06166,11303.31446,2267.06161,2036.5277,989.47494,4172.71689,8635.2779,668.75234,360.32508,1219.13356,1606.78282,76465.14643
6210 Ingresos de otras operaciones,35347.71747,7858.06166,11303.31446,2267.06161,2036.5277,989.47494,4172.71689,8635.2779,668.75234,360.32508,1219.13356,1606.78282,76465.14643
63 Ingresos no operacionales,15523.70751,8811.11608,12500.64691,2215.98388,34.37066,338.36505,5368.63145,7383.85074,1028.36288,121.68618,221.28934,3034.76855,56582.77923
6310 Ingresos no operacionales,15523.70751,8811.11608,12500.64691,2215.98388,34.37066,338.36505,5368.63145,7383.85074,1028.36288,121.68618,221.28934,3034.76855,56582.77923
Total ingresos,243821.90402,147997.02155,134444.22845,62600.33111,6911.84055,18894.78234,59511.82805,127426.5659,21785.95292,16145.09448,37202.39351,37151.79286,913893.73574
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,78183.85851,64525.95859,63518.39713,37572.14571,232.98407,2907.93201,31472.45584,50904.84483,10294.72105,8405.4807,20779.01734,21344.49415,390142.28993
7110 Captación de recursos,56516.02143,40523.31178,42030.44771,30570.62979,201.9217,2861.94097,19507.97768,30883.6769,2815.15712,8264.11181,14036.30912,19145.60611,267357.11212
7120 Saneamiento de activos de intermediación,21667.83708,19363.49179,21487.94942,7001.51592,31.06237,45.99104,11964.47816,20021.16793,7479.56393,141.36889,6742.70822,2125.27605,118072.4108
