Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Junio de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,231313.04065,158209.08519,133209.7489,70419.12989,5818.97407,20984.28237,60241.32827,134089.77848,24324.16937,19054.58061,42366.92912,39161.89444,939192.94136
6110 Ingresos de operaciones de intermediación,231313.04065,158209.08519,133209.7489,70419.12989,5818.97407,20984.28237,60241.32827,134089.77848,24324.16937,19054.58061,42366.92912,39161.89444,939192.94136
62 Ingresos de otras operaciones,42558.1556,9713.171,13638.68914,3594.17113,2398.47985,1179.2161,5212.67336,10524.37482,786.64284,441.60863,1478.29368,2055.58122,93581.05737
6210 Ingresos de otras operaciones,42558.1556,9713.171,13638.68914,3594.17113,2398.47985,1179.2161,5212.67336,10524.37482,786.64284,441.60863,1478.29368,2055.58122,93581.05737
63 Ingresos no operacionales,20507.15289,10286.66088,15099.32631,3862.27244,128.7575,1382.14626,6103.61317,9205.41896,1779.71056,122.09405,225.85193,3673.93994,72376.94489
6310 Ingresos no operacionales,20507.15289,10286.66088,15099.32631,3862.27244,128.7575,1382.14626,6103.61317,9205.41896,1779.71056,122.09405,225.85193,3673.93994,72376.94489
Total ingresos,294378.34914,178208.91707,161947.76435,77875.57346,8346.21142,23545.64473,71557.6148,153819.57226,26890.52277,19618.28329,44071.07473,44891.4156,1105150.94362
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,94133.38824,77762.00024,76903.11951,46209.46006,279.37547,3457.66942,37774.87582,61705.60702,13317.18786,10217.2817,24521.10602,25732.39573,472013.46709
7110 Captación de recursos,66254.95795,49020.68951,50698.06052,37099.92387,247.81766,3449.48271,23520.20773,37395.6846,3409.73844,10060.51071,16907.61025,23210.04319,321274.72714
7120 Saneamiento de activos de intermediación,27878.43029,22959.31708,26205.05899,9109.53619,31.55781,8.18671,14254.66809,24309.92242,9907.44942,156.77099,7613.49577,2448.26108,144882.65484
