Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Julio de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,269827.56717,185688.07632,156254.35729,82853.06988,7010.24268,24357.11791,70927.64623,158247.32243,27856.03949,22639.27466,49371.27151,46075.15751,1101107.14308
6110 Ingresos de operaciones de intermediación,269827.56717,185688.07632,156254.35729,82853.06988,7010.24268,24357.11791,70927.64623,158247.32243,27856.03949,22639.27466,49371.27151,46075.15751,1101107.14308
62 Ingresos de otras operaciones,50027.5763,11302.49944,16020.37415,4178.78516,2739.76055,1375.70007,6044.1956,12275.42732,897.5011,516.25363,1703.04704,2432.0331,109513.15346
6210 Ingresos de otras operaciones,50027.5763,11302.49944,16020.37415,4178.78516,2739.76055,1375.70007,6044.1956,12275.42732,897.5011,516.25363,1703.04704,2432.0331,109513.15346
63 Ingresos no operacionales,24459.32673,11946.62766,17428.30314,4313.86917,130.68325,1429.56371,7516.67771,11889.55485,2005.4919,228.71999,235.71431,4436.37281,86020.90523
6310 Ingresos no operacionales,24459.32673,11946.62766,17428.30314,4313.86917,130.68325,1429.56371,7516.67771,11889.55485,2005.4919,228.71999,235.71431,4436.37281,86020.90523
Total ingresos,344314.4702,208937.20342,189703.03458,91345.72421,9880.68648,27162.38169,84488.51954,182412.3046,30759.03249,23384.24828,51310.03286,52943.56342,1296641.20177
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,110305.56116,91727.67025,91842.73292,54738.18167,291.27273,4564.64698,44750.88296,72951.47866,15570.09569,12169.06279,28130.83473,30496.26224,557538.68278
7110 Captación de recursos,76285.20221,57912.04257,59902.06533,44011.49672,289.24562,4053.81672,27760.58652,44380.64503,4023.6955,12003.78191,19994.6059,27573.20713,378190.39116
7120 Saneamiento de activos de intermediación,34020.35895,27277.7023,31940.66759,10726.68495,2.02711,510.83026,16990.29644,28570.83363,11546.40019,165.28088,8136.22883,2848.69715,172736.00828
