Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Agosto de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,309050.05956,213629.16227,179828.10264,95718.42265,7927.16901,27896.82733,81766.05672,182778.66194,31366.09236,26343.93312,56520.7567,53319.9492,1266145.1935
6110 Ingresos de operaciones de intermediación,309050.05956,213629.16227,179828.10264,95718.42265,7927.16901,27896.82733,81766.05672,182778.66194,31366.09236,26343.93312,56520.7567,53319.9492,1266145.1935
62 Ingresos de otras operaciones,57467.77509,12858.87362,18433.51625,4698.38257,3124.34796,1553.45346,6970.62054,13884.94835,1012.65544,619.51981,1943.34235,2803.02528,125370.46072
6210 Ingresos de otras operaciones,57467.77509,12858.87362,18433.51625,4698.38257,3124.34796,1553.45346,6970.62054,13884.94835,1012.65544,619.51981,1943.34235,2803.02528,125370.46072
63 Ingresos no operacionales,28447.90056,13848.78724,19649.4203,7128.00153,130.68548,1496.30493,8988.31379,13490.4926,2474.62892,232.64223,324.42869,5483.60514,101695.21141
6310 Ingresos no operacionales,28447.90056,13848.78724,19649.4203,7128.00153,130.68548,1496.30493,8988.31379,13490.4926,2474.62892,232.64223,324.42869,5483.60514,101695.21141
Total ingresos,394965.73521,240336.82313,217911.03919,107544.80675,11182.20245,30946.58572,97724.99105,210154.10289,34853.37672,27196.09516,58788.52774,61606.57962,1493210.86563
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,126346.67081,106326.0913,107481.03042,63435.00615,331.77375,5477.90495,51987.65467,85851.60248,18074.29947,14190.94226,31917.936,35706.9231,647127.83536
7110 Captación de recursos,86946.08017,67211.83838,69282.0645,51470.6489,328.26508,4650.80026,32184.29755,51766.83506,4659.76802,14004.2927,23221.7983,32181.72286,437908.41178
7120 Saneamiento de activos de intermediación,39400.59064,31501.84272,38198.96592,11964.35725,3.50867,827.10469,19803.35712,34084.76742,13414.53145,186.64956,8696.1377,3450.79911,201532.61225
