Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Octubre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,387647.45475,268548.80075,226961.50789,124077.13652,9891.06657,34850.15902,103867.53977,232098.27997,38635.08431,33960.09107,73879.76045,68712.37832,1603129.25939
6110 Ingresos de operaciones de intermediación,387647.45475,268548.80075,226961.50789,124077.13652,9891.06657,34850.15902,103867.53977,232098.27997,38635.08431,33960.09107,73879.76045,68712.37832,1603129.25939
62 Ingresos de otras operaciones,72657.75326,16399.8106,23213.69991,5706.56344,3831.0932,1893.80704,8740.02365,17238.11989,1236.88632,816.96212,2276.3913,3714.83382,157725.94455
6210 Ingresos de otras operaciones,72657.75326,16399.8106,23213.69991,5706.56344,3831.0932,1893.80704,8740.02365,17238.11989,1236.88632,816.96212,2276.3913,3714.83382,157725.94455
63 Ingresos no operacionales,33619.34204,17986.24631,26214.52464,7568.61596,132.1965,1799.87385,11179.76843,17158.43685,3179.49659,256.18013,336.63628,5808.5708,125239.88838
6310 Ingresos no operacionales,33619.34204,17986.24631,26214.52464,7568.61596,132.1965,1799.87385,11179.76843,17158.43685,3179.49659,256.18013,336.63628,5808.5708,125239.88838
Total ingresos,493924.55005,302934.85766,276389.73244,137352.31592,13854.35627,38543.83991,123787.33185,266494.83671,43051.46722,35033.23332,76492.78803,78235.78294,1886095.09232
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,163989.46966,135087.5113,136909.3227,82448.49346,418.0896,6975.17375,65909.56163,110777.80103,23227.46027,18339.20184,40230.41445,45987.03464,830299.53433
7110 Captación de recursos,107747.5296,85380.37938,87593.05628,67837.8228,417.47495,5878.47012,41179.43401,66889.49799,5955.02083,18035.87699,29639.53909,42012.55043,558566.65247
7120 Saneamiento de activos de intermediación,56241.94006,40926.58735,49316.26642,14610.67066,0.61465,1096.70363,24730.12762,43888.30304,17272.43944,303.32485,10590.87536,3898.06756,262875.92064
