Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Diciembre de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Ingresos,,,,,,,,,,,,,
61 Ingresos de operaciones de intermediación,468213.69311,324667.9946,275268.79179,152129.97543,11922.87551,42417.93499,126703.22992,283114.06929,46717.43414,41996.33638,89890.4473,88746.74085,1951789.52331
6110 Ingresos de operaciones de intermediación,468213.69311,324667.9946,275268.79179,152129.97543,11922.87551,42417.93499,126703.22992,283114.06929,46717.43414,41996.33638,89890.4473,88746.74085,1951789.52331
62 Ingresos de otras operaciones,89070.49243,20057.50837,28486.45969,7056.88182,6564.2894,2267.11627,10685.81243,20904.18774,1463.75239,1002.31313,2626.80072,4400.33901,194585.9534
6210 Ingresos de otras operaciones,89070.49243,20057.50837,28486.45969,7056.88182,6564.2894,2267.11627,10685.81243,20904.18774,1463.75239,1002.31313,2626.80072,4400.33901,194585.9534
63 Ingresos no operacionales,44061.42527,21158.42582,31778.24566,8782.60459,157.56549,1956.29114,12936.84958,21058.02851,9602.01719,277.6211,416.94263,6856.95466,159042.97164
6310 Ingresos no operacionales,44061.42527,21158.42582,31778.24566,8782.60459,157.56549,1956.29114,12936.84958,21058.02851,9602.01719,277.6211,416.94263,6856.95466,159042.97164
Total ingresos,601345.61081,365883.92879,335533.49714,167969.46184,18644.7304,46641.3424,150325.89193,325076.28554,57783.20372,43276.27061,92934.19065,100004.03452,2305418.44835
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos de operaciones de intermediación,195801.69761,164173.9683,169057.20338,101278.14949,548.17204,7972.61163,79928.78539,138513.4,33064.81968,22727.60289,48314.88976,56559.45137,1017940.75154
7110 Captación de recursos,129869.90952,104790.30745,106540.68065,84769.47405,540.05226,7119.75892,50271.4298,85712.43231,7366.76722,22346.22395,36465.04323,52356.5226,688148.60196
7120 Saneamiento de activos de intermediación,65931.78809,49370.06632,62516.52273,16508.67544,8.11978,852.85271,29657.35559,52800.96769,25698.05246,381.37894,11849.84653,4126.10303,319701.72931
