Superintendencia del Sistema Financiero,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Estado de resultados de bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de abril de 2024,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
61 Ingresos financieros,170941.32266,110860.64039,97334.61536,55819.57168,5290.597610000001,14815.13881,47150.15655,101376.10048000001,14451.21189,16451.84767,27160.29907,33274.95764,694926.45981
6110 Ingresos financieros,162131.16056,110860.64039,96315.01494,55799.44565,4768.52821,14815.13881,45472.33508,101376.10048000001,14316.71189,16451.84767,24811.22657,30588.28814,677706.4383899999
6111 Ganancia por cambios en el VR de activos financieros y pasivos financieros,1072.98524,0,18.6584,0,0,0,0,0,0,0,0,963.88368,2055.52732
6112 Ganancia por reversión de deterioro de activos financieros,7688.374110000001,0,1000.15307,0,0,0,1677.8214699999999,0,0,0,0,1722.78582,12089.13447
6113 Ganancia por venta de inversiones financieras,48.80275,0,0.78895,20.12603,522.0694,0,0,0,134.5,0,2349.0725,0,3075.35963
62 Otros ingresos financieros,31058.42048,7523.333610000001,10569.06747,2040.43025,3900.01391,714.71586,3721.32704,7825.72575,397.28923,332.61718,1264.69769,1742.3338999999999,71089.97236999999
6210 Otros ingresos financieros,31058.42048,7523.333610000001,10569.06747,2040.43025,3900.01391,714.71586,3721.32704,7825.72575,397.28923,332.61718,1264.69769,1742.3338999999999,71089.97236999999
63 Ingresos de otras operaciones,7879.94435,6839.454019999999,9204.46549,2363.382,20.29438,331.81694,2546.2708399999997,6096.7183700000005,1004.9699,117.33432,628.11821,3297.4278999999997,40330.19672000001
6310 Ingresos de otras operaciones,7879.94435,6839.454019999999,9204.46549,2363.382,20.29438,331.81694,2546.2708399999997,6096.7183700000005,1004.9699,117.33432,628.11821,3297.4278999999997,40330.19672000001
Total ingresos,209879.68749,125223.42802,117108.14832,60223.383929999996,9210.9059,15861.671610000001,53417.75443,115298.54460000001,15853.47102,16901.799170000002,29053.114970000002,38314.71944,806346.6289000001
 ,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,
71 Costos financieros,69865.00195,57138.08374,60224.19123,40371.96997,565.39313,2443.73838,30045.93457,55260.42547,8953.87065,9533.559060000001,16892.13166,23005.16895,374299.4687600001
711 Costos financieros,45629.35736,37505.175090000004,37433.46775,33653.316869999995,384.62188000000003,2443.73838,19739.92367,36463.90234,3420.84829,9393.45293,14224.11102,21068.58083,261360.49640999996
7110 Costos de pasivos financieros,40938.92278,36934.93479,37108.926479999995,33653.316869999995,383.79203,2443.73838,18785.351649999997,36436.89271,2975.8909700000004,9388.87081,14025.99028,21036.10551,254112.73326
7111 Pérdida por cambios en el vr de activos financieros y pasivos financieros,2147.8567599999997,0,0,0,0,0,0,0,0,0,0,0,2147.8567599999997
7112 Pérdidas por deterioro de activos financieros,2519.4141,515.91388,311.97341,0,0.82985,0,0,3.26652,0,0,198.12073999999998,0,3549.5185
7113 Pérdida por venta de inversiones financieras,0,0,0,0,0,0,0,0,0.52616,0,0,0,0.52616
7114 Otros costos financieros,23.16372,54.32642,12.567860000000001,0,0,0,954.5720200000001,23.74311,444.43116,4.58212,0,32.475319999999996,1549.86173
7120 Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),24235.64459,17900.927010000003,22790.72348,6718.6530999999995,180.77125,0,10306.010900000001,18796.523129999998,5533.02236,140.10613,2668.02064,1926.2540800000002,111196.65667000003
713 Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),0,1731.98164,0,0,0,0,0,0,0,0,0,10.334040000000002,1742.31568
72 Costos de otras operaciones,22055.4194,1175.3346299999998,8584.71483,893.9222,656.0100699999999,449.47689,2095.47372,1672.24827,99.15449000000001,387.3043,752.56403,215.46764000000002,39037.09047
7210 Comisiones de otros servicios,21510.26181,1052.38322,8301.67038,458.85485,656.0100600000001,365.82595000000003,1809.92589,413.30947,99.15449000000001,386.87902,752.56403,210.61309,36017.45226
7211 Pérdidas generadas por entidades registradas bajo el método de la participación,0,27.16303,9.51999,0,0,0,0,0,0,0,0,0,36.68302
7212 Pérdidas por operaciones en moneda extranjera,253.00010999999998,0.83402,0,99.30049000000001,1e-05,31.083299999999998,0,1125.02876,0,0.42528,0,0,1509.6719699999999
7213 Pérdida por importes ineficaces en operaciones de cobertura,0,0,0,0,0,0,0,0,0,0,0,0,0
7214 Pérdida por deterioro de valor de activos,86.82418,0,0,0,0,3.0234099999999997,94.51341000000001,80.3193,0,0,0,0,264.6803
7215 Pérdida en venta de activos,205.33329999999998,0,3.7595,93.4988,0,4,168.80442000000002,40.65893,0,0,0,4.854550000000001,520.9095
7299 Costos por explotación de activos,0,94.95436,269.76496000000003,242.26806,0,45.544230000000006,22.23,12.931809999999999,0,0,0,0,687.6934200000001
Total costos,91920.42135,58313.41837,68808.90606,41265.89217,1221.4032,2893.2152699999997,32141.40829,56932.67374,9053.025140000002,9920.863360000001,17644.69569,23220.63659,413336.55923
 ,,,,,,,,,,,,,
Gastos ,,,,,,,,,,,,,
81 Gastos de administración,75089.89226000001,49581.64957,35490.24078,12826.06825,3673.45831,10106.926150000001,19167.80027,48518.11836,6471.53121,4629.73377,9161.764570000001,12892.177689999999,287609.36118999997
8110 Gastos de funcionarios y empleados,31978.485699999997,23294.4017,15432.488720000001,6214.214599999999,1784.59499,5689.86924,8228.6144,16513.22147,3118.2232200000003,2086.66887,4027.70252,5389.62227,123758.10770000002
8120 Gastos generales,22169.57265,14041.4224,13373.59631,5513.22854,731.12749,2313.7322200000003,8031.75439,25428.07493,2850.79829,1176.1031799999998,2973.8034900000002,4893.02222,103496.23611000001
8130 Depreciaciones y amortizaciones,11324.87031,7857.80719,2274.51842,1098.6251100000002,256.74629999999996,1044.95052,1918.8693500000002,3740.73171,502.5097,620.4781800000001,1937.4628500000001,1761.44279,34339.012429999995
8140 Provisiones,0,160.48826,1293.1689199999998,0,0,0,10.445559999999999,38.55632,0,0,222.79570999999999,34.621089999999995,1760.07586
8150 Gasto por impuesto sobre las ganancias,9616.9636,4227.530019999999,3116.46841,0,900.9895300000001,1058.3741699999998,978.1165699999999,2797.53393,0,746.4835400000001,0,813.4693199999999,24255.929089999998
Total gastos,75089.89226000001,49581.64957,35490.24078,12826.06825,3673.45831,10106.926150000001,19167.80027,48518.11836,6471.53121,4629.73377,9161.764570000001,12892.177689999999,287609.36118999997
 ,,,,,,,,,,,,,
Total costos y gastos,167010.31361,107895.06794000001,104299.14684,54091.96042,4894.86151,13000.14142,51309.20856,105450.79209999999,15524.556350000003,14550.597130000002,26806.46026,36112.81428,700945.9204200001
 ,,,,,,,,,,,,,
Utilidad ó pérdida,42869.37388,17328.36008,12809.001479999992,6131.423509999993,4316.04439,2861.5301900000013,2108.5458700000017,9847.752500000017,328.9146699999983,2351.20204,2246.6547100000025,2201.905160000002,105400.70848
