Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Estado de resultados de Bancos del Sistema Financiero,,,,,,,,,,,,,,
Datos al 30 de noviembre de 2025,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
61 Ingresos financieros,528188.6457,345098.28467,273767.24781,160683.40494,11811.82037,42076.72667,130575.41509,315360.22085,45401.38986,59887.67168,85097.47697,44314.55582,103957.03179,2146219.89222
6110 Ingresos financieros,513142.25386,335885.3576,273411.3007,158311.5713,11809.89268,42076.72667,130073.89722,315359.11404,42672.23986,59843.81024,79298.92947,44314.55582,97661.02386,2103860.67332
6111 Ganancia por cambios en el VR de activos financieros y pasivos financieros,8878.45918,0,0,0,0,0,0,0,0,0,0,0,2602.03799,11480.49717
6112 Ganancia por reversión de deterioro de activos financieros,6119.17417,9212.92707,8.2792,2371.83364,0,0,501.51787,1.10681,0,43.86144,0,0,3460.07736,21718.77756
6113 Ganancia por venta de inversiones financieras,48.75849,0,347.66791,0,1.92769,0,0,0,2729.15,0,5798.5475,0,233.89258,9159.94417
62 Otros ingresos financieros,106529.93153,23829.48182,33293.47627,5808.75435,5239.91887,2415.66905,22216.19086,32384.51752,1240.21925,1023.27077,2043.47375,3185.29501,8464.69912,247674.89817
6210 Otros ingresos financieros,106529.93153,23829.48182,33293.47627,5808.75435,5239.91887,2415.66905,22216.19086,32384.51752,1240.21925,1023.27077,2043.47375,3185.29501,8464.69912,247674.89817
63 Ingresos de otras operaciones,27951.72788,20582.60867,24117.83275,11564.1186,196.10123,1194.11423,5046.81678,21036.45477,1056.35582,238.24761,2374.10037,2884.98627,10665.76529,128909.23027
6310 Ingresos de otras operaciones,27951.72788,20582.60867,24117.83275,11564.1186,196.10123,1194.11423,5046.81678,21036.45477,1056.35582,238.24761,2374.10037,2884.98627,10665.76529,128909.23027
Total ingresos,662670.30511,389510.37516,331178.55683,178056.27789,17247.84047,45686.50995,157838.42273,368781.19314,47697.96493,61149.19006,89515.05109,50384.8371,123087.4962,2522804.02066
,,,,,,,,,,,,,,
Costos ,,,,,,,,,,,,,,
71 Costos financieros,209798.10385,171509.57544,171539.54253,118591.10437,1016.1935,8362.24755,85320.63383,162630.55278,21837.34364,36500.31122,53093.46301,18784.13678,74457.40364,1133440.61214
711 Costos financieros,118400.56174,115824.32043,112117.25012,93501.13697,1016.1935,7905.0314,61690.19787,106096.94735,11859.40017,35896.73571,44359.01188,12545.6688,66339.68656,787552.1425
