IdFact,IdBanco,IdCuenta,IdTiempo,Monto
1,1,1,1,1764.082
2,1,1,2,3457.392
3,1,1,3,5020.957
4,1,1,4,6690.377
5,1,1,5,8896.954
6,1,1,6,10845.139
7,1,1,7,13245.354
8,1,1,8,15964.810
9,1,1,9,18510.214
10,1,1,10,21226.586
11,1,1,11,23866.517
12,1,1,12,26912.993
13,1,1,13,2766.507
14,1,1,14,5367.478
15,1,1,15,8557.385
16,1,1,16,11943.776
17,1,1,17,15518.323
18,1,1,18,19100.647
19,1,1,19,22876.579
20,1,1,20,26621.167
21,1,1,21,29958.752
22,1,1,22,33620.588
23,1,1,23,37208.526
24,1,1,24,40991.731
25,1,1,25,4357.964
26,1,1,26,7673.564
27,1,1,27,11955.508
28,1,1,28,16025.699
29,1,1,29,20088.838
30,1,1,30,24324.169
31,1,1,31,27856.039
32,1,1,32,31366.092
33,1,1,33,34887.540
34,1,1,34,38635.084
35,1,1,35,43678.888
36,1,1,36,46717.434
37,1,2,1,42.388
38,1,2,2,83.109
39,1,2,3,331.760
40,1,2,4,448.355
41,1,2,5,590.965
42,1,2,6,768.677
43,1,2,7,987.931
44,1,2,8,1182.676
45,1,2,9,1327.372
46,1,2,10,1477.240
47,1,2,11,1639.151
48,1,2,12,1799.518
49,1,2,13,138.319
50,1,2,14,279.849
51,1,2,15,433.963
52,1,2,16,594.540
53,1,2,17,777.301
54,1,2,18,968.241
55,1,2,19,1144.180
56,1,2,20,1309.917
57,1,2,21,1454.580
58,1,2,22,1607.180
59,1,2,23,1785.021
60,1,2,24,1957.371
61,1,2,25,132.922
62,1,2,26,270.456
63,1,2,27,417.630
64,1,2,28,537.157
65,1,2,29,668.752
66,1,2,30,786.643
67,1,2,31,897.501
68,1,2,32,1012.655
69,1,2,33,1121.557
70,1,2,34,1236.886
71,1,2,35,1351.545
72,1,2,36,1463.752
73,1,3,1,114.779
74,1,3,2,1012.500
75,1,3,3,1393.453
76,1,3,4,1536.877
77,1,3,5,1690.807
78,1,3,6,1856.554
79,1,3,7,2032.702
80,1,3,8,2180.648
81,1,3,9,2403.369
82,1,3,10,2579.983
83,1,3,11,2744.733
84,1,3,12,2944.545
85,1,3,13,152.278
86,1,3,14,312.346
87,1,3,15,494.491
88,1,3,16,653.366
89,1,3,17,824.581
90,1,3,18,987.403
91,1,3,19,1189.632
92,1,3,20,1399.551
93,1,3,21,1584.595
94,1,3,22,1754.825
95,1,3,23,1933.847
96,1,3,24,2131.957
97,1,3,25,181.398
98,1,3,26,373.918
99,1,3,27,639.008
100,1,3,28,806.935
101,1,3,29,1028.363
102,1,3,30,1779.711
103,1,3,31,2005.492
104,1,3,32,2474.629
105,1,3,33,2798.173
106,1,3,34,3179.497
107,1,3,35,8760.439
108,1,3,36,9602.017
109,1,4,1,998.182
110,1,4,2,1401.478
111,1,4,3,1961.301
112,1,4,4,1950.301
113,1,4,5,2341.496
114,1,4,6,2805.980
115,1,4,7,3468.055
116,1,4,8,4131.835
117,1,4,9,4910.030
118,1,4,10,5687.415
119,1,4,11,6437.186
120,1,4,12,7513.721
121,1,4,13,1280.611
122,1,4,14,2328.365
123,1,4,15,3689.003
124,1,4,16,5191.413
125,1,4,17,6700.934
126,1,4,18,8183.767
127,1,4,19,9797.256
128,1,4,20,11332.232
129,1,4,21,12767.670
130,1,4,22,14478.100
131,1,4,23,16231.093
132,1,4,24,17889.118
133,1,4,25,1840.626
134,1,4,26,3505.462
135,1,4,27,5742.846
136,1,4,28,7968.739
137,1,4,29,10294.721
138,1,4,30,13317.188
139,1,4,31,15570.096
140,1,4,32,18074.299
141,1,4,33,20454.073
142,1,4,34,23227.460
143,1,4,35,30916.439
144,1,4,36,33064.820
145,1,5,1,16.526
146,1,5,2,62.699
147,1,5,3,103.383
148,1,5,4,148.818
149,1,5,5,178.057
150,1,5,6,183.780
151,1,5,7,190.345
152,1,5,8,198.783
153,1,5,9,209.847
154,1,5,10,222.802
155,1,5,11,237.618
156,1,5,12,257.433
157,1,5,13,22.014
158,1,5,14,37.907
159,1,5,15,56.809
160,1,5,16,79.093
161,1,5,17,146.081
162,1,5,18,233.414
163,1,5,19,355.594
164,1,5,20,444.624
165,1,5,21,538.863
166,1,5,22,646.720
167,1,5,23,769.786
168,1,5,24,925.980
169,1,5,25,102.126
170,1,5,26,188.989
171,1,5,27,294.848
172,1,5,28,383.983
173,1,5,29,494.468
174,1,5,30,595.762
175,1,5,31,707.741
176,1,5,32,827.212
177,1,5,33,955.737
178,1,5,34,1062.498
179,1,5,35,1154.180
180,1,5,36,1244.143
181,1,5,37,84.377
182,1,5,38,212.212
183,1,5,39,92.013
184,1,5,40,99.154
185,1,5,41,129.054
186,1,5,42,158.492
187,1,5,43,183.329
188,1,5,44,212.628
189,1,5,45,241.873
190,1,5,46,270.356
191,1,5,47,302.485
192,1,5,48,346.448
193,1,5,49,31.121
194,1,5,50,61.455
195,1,5,51,95.327
196,1,5,52,128.289
197,1,5,53,161.605
198,1,5,54,194.701
199,1,5,55,229.418
200,1,5,56,249.886
201,1,5,57,284.356
202,1,5,58,313.744
203,1,5,59,345.785
204,1,5,60,378.709
205,1,6,1,1533.452
206,1,6,2,3011.349
207,1,6,3,4397.292
208,1,6,4,5977.442
209,1,6,5,7609.227
210,1,6,6,9238.946
211,1,6,7,10990.371
212,1,6,8,12896.966
213,1,6,9,14672.251
214,1,6,10,16557.604
215,1,6,11,18423.747
216,1,6,12,21600.999
217,1,6,13,1556.185
218,1,6,14,3346.590
219,1,6,15,5179.107
220,1,6,16,7005.976
221,1,6,17,8814.642
222,1,6,18,10651.482
223,1,6,19,12492.995
224,1,6,20,14386.958
225,1,6,21,16173.526
226,1,6,22,17985.192
227,1,6,23,19808.770
228,1,6,24,21791.839
229,1,6,25,1979.041
230,1,6,26,3649.717
231,1,6,27,5616.891
232,1,6,28,7371.376
233,1,6,29,9228.776
234,1,6,30,11059.660
235,1,6,31,12725.893
236,1,6,32,14420.975
237,1,6,33,16113.700
238,1,6,34,17635.844
239,1,6,35,19357.993
240,1,6,36,21100.781
241,1,7,1,0.000
242,1,7,2,1.044
243,1,7,3,2.087
244,1,7,4,2.087
245,1,7,5,298.487
246,1,7,6,514.987
247,1,7,7,664.987
248,1,7,8,814.987
249,1,7,9,964.987
250,1,7,10,1116.195
251,1,7,11,1257.404
252,1,7,12,5.712
253,1,7,13,0.000
254,1,7,14,0.000
255,1,7,15,0.000
256,1,7,16,0.000
257,1,7,17,27.139
258,1,7,18,34.503
259,1,7,19,34.503
260,1,7,20,34.503
261,1,7,21,34.503
262,1,7,22,34.503
263,1,7,23,34.503
264,1,7,24,34.503
265,1,7,25,0.000
266,1,7,26,0.000
267,1,7,27,0.000
268,1,7,28,0.000
269,1,7,29,0.000
270,1,7,30,0.000
271,1,7,31,0.000
272,1,7,32,0.000
273,1,7,33,0.000
274,1,7,34,0.000
275,1,7,35,0.000
276,1,7,36,0.000
277,1,8,1,0.000
278,1,8,2,0.000
279,1,8,3,0.000
280,1,8,4,0.000
281,1,8,5,0.000
282,1,8,6,0.000
283,1,8,7,45.628
284,1,8,8,70.502
285,1,8,9,42.582
286,1,8,10,103.169
287,1,8,11,134.536
288,1,8,12,247.405
289,1,8,13,46.559
290,1,8,14,53.526
291,1,8,15,133.740
292,1,8,16,255.506
293,1,8,17,418.920
294,1,8,18,602.370
295,1,8,19,816.209
296,1,8,20,1051.658
297,1,8,21,1083.614
298,1,8,22,1145.626
299,1,8,23,1179.962
300,1,8,24,1287.685
301,1,8,25,89.639
302,1,8,26,53.574
303,1,8,27,101.079
304,1,8,28,79.134
305,1,8,29,0.000
306,1,8,30,0.000
307,1,8,31,0.000
308,1,8,32,0.000
309,1,8,33,0.000
310,1,8,34,0.000
311,1,8,35,0.000
312,1,8,36,0.000
313,1,9,1,0.000
314,1,9,2,0.000
315,1,9,3,0.000
316,1,9,4,0.000
317,1,9,5,0.000
318,1,9,6,0.000
319,1,9,7,0.000
320,1,9,8,0.000
321,1,9,9,0.000
322,1,9,10,0.000
323,1,9,11,0.000
324,1,9,12,0.000
325,1,9,13,0.000
326,1,9,14,0.000
327,1,9,15,0.000
328,1,9,16,0.000
329,1,9,17,0.000
330,1,9,18,0.000
331,1,9,19,0.000
332,1,9,20,0.000
333,1,9,21,0.000
334,1,9,22,0.000
335,1,9,23,0.000
336,1,9,24,0.000
337,1,9,25,0.000
338,1,9,26,0.000
339,1,9,27,0.000
340,1,9,28,0.000
341,1,9,29,0.000
342,1,9,30,0.000
343,1,9,31,0.000
344,1,9,32,0.000
345,1,9,33,0.000
346,1,9,34,0.000
347,1,9,35,0.000
348,1,9,36,0.000
349,1,10,1,1764.082
350,1,10,2,3457.392
351,1,10,3,5020.957
352,1,10,4,6690.377
353,1,10,5,8896.954
354,1,10,6,10845.139
355,1,10,7,13245.354
356,1,10,8,15964.810
357,1,10,9,18510.214
358,1,10,10,21226.586
359,1,10,11,23866.517
360,1,10,12,26912.993
361,1,10,13,2766.507
362,1,10,14,5367.478
363,1,10,15,8557.385
364,1,10,16,11943.776
365,1,10,17,15518.323
366,1,10,18,19100.647
367,1,10,19,22876.579
368,1,10,20,26621.167
369,1,10,21,29958.752
370,1,10,22,33620.588
371,1,10,23,37208.526
372,1,10,24,40991.731
373,1,10,25,4357.964
374,1,10,26,7673.564
375,1,10,27,11955.508
376,1,10,28,16025.699
377,1,10,29,20088.838
378,1,10,30,24324.169
379,1,10,31,27856.039
380,1,10,32,31366.092
381,1,10,33,34887.540
382,1,10,34,38635.084
383,1,10,35,43678.888
384,1,10,36,46717.434
385,1,11,1,42.388
386,1,11,2,83.109
387,1,11,3,331.760
388,1,11,4,448.355
389,1,11,5,590.965
390,1,11,6,768.677
391,1,11,7,987.931
392,1,11,8,1182.676
393,1,11,9,1327.372
394,1,11,10,1477.240
395,1,11,11,1639.151
396,1,11,12,1799.518
397,1,11,13,138.319
398,1,11,14,279.849
399,1,11,15,433.963
400,1,11,16,594.540
401,1,11,17,777.301
402,1,11,18,968.241
403,1,11,19,1144.180
404,1,11,20,1309.917
405,1,11,21,1454.580
406,1,11,22,1607.180
407,1,11,23,1785.021
408,1,11,24,1957.371
409,1,11,25,132.922
410,1,11,26,270.456
411,1,11,27,417.630
412,1,11,28,537.157
413,1,11,29,668.752
414,1,11,30,786.643
415,1,11,31,897.501
416,1,11,32,1012.655
417,1,11,33,1121.557
418,1,11,34,1236.886
419,1,11,35,1351.545
420,1,11,36,1463.752
421,1,12,1,114.779
422,1,12,2,1012.500
423,1,12,3,1393.453
424,1,12,4,1536.877
425,1,12,5,1690.807
426,1,12,6,1856.554
427,1,12,7,2032.702
428,1,12,8,2180.648
429,1,12,9,2403.369
430,1,12,10,2579.983
431,1,12,11,2744.733
432,1,12,12,2944.545
433,1,12,13,152.278
434,1,12,14,312.346
435,1,12,15,494.491
436,1,12,16,653.366
437,1,12,17,824.581
438,1,12,18,987.403
439,1,12,19,1189.632
440,1,12,20,1399.551
441,1,12,21,1584.595
442,1,12,22,1754.825
443,1,12,23,1933.847
444,1,12,24,2131.957
445,1,12,25,181.398
446,1,12,26,373.918
447,1,12,27,639.008
448,1,12,28,806.935
449,1,12,29,1028.363
450,1,12,30,1779.711
451,1,12,31,2005.492
452,1,12,32,2474.629
453,1,12,33,2798.173
