Periodo,NombreBanco,CodigoCuenta,Concepto,TipoCuenta,Monto
2024-01-01,"Banco Agrícola, S.A.",61,Ingresos financieros,Ingreso,41278.4061
2024-01-01,"Banco Agrícola, S.A.",6110,Ingresos financieros,Ingreso,40412.00333
2024-01-01,"Banco Agrícola, S.A.",6111,Ganancia por cambios en el VR de activos financieros y pasivos financieros,Ingreso,94.01944
2024-01-01,"Banco Agrícola, S.A.",6112,Ganancia por reversión de deterioro de activos financieros,Ingreso,757.55838
2024-01-01,"Banco Agrícola, S.A.",6113,Ganancia por venta de inversiones financieras,Ingreso,14.82495
2024-01-01,"Banco Agrícola, S.A.",62,Otros ingresos financieros,Ingreso,7905.9354
2024-01-01,"Banco Agrícola, S.A.",6210,Otros ingresos financieros,Ingreso,7905.9354
2024-01-01,"Banco Agrícola, S.A.",63,Ingresos de otras operaciones,Ingreso,1689.58503
2024-01-01,"Banco Agrícola, S.A.",6310,Ingresos de otras operaciones,Ingreso,1689.58503
2024-01-01,"Banco Agrícola, S.A.",71,Costos financieros,Costo,17316.139
2024-01-01,"Banco Agrícola, S.A.",711,Costos financieros,Costo,10768.49182
2024-01-01,"Banco Agrícola, S.A.",7110,Costos de pasivos financieros,Costo,10172.35461
2024-01-01,"Banco Agrícola, S.A.",7111,Pérdida por cambios en el vr de activos financieros y pasivos financieros,Costo,121.65384
2024-01-01,"Banco Agrícola, S.A.",7112,Pérdidas por deterioro de activos financieros,Costo,473.6631
2024-01-01,"Banco Agrícola, S.A.",7113,Pérdida por venta de inversiones financieras,Costo,0.0
2024-01-01,"Banco Agrícola, S.A.",7114,Otros costos financieros,Costo,0.8202699999999999
2024-01-01,"Banco Agrícola, S.A.",7120,Constitución de estimaciones de pérdida por  saneamiento de activos de riesgo crediticio (arc),Costo,6547.64718
2024-01-01,"Banco Agrícola, S.A.",713,Constitución de estimaciones de pérdida por castigos  de activos de riesgo crediticio (arc),Costo,0.0
2024-01-01,"Banco Agrícola, S.A.",72,Costos de otras operaciones,Costo,5488.108139999999
2024-01-01,"Banco Agrícola, S.A.",7210,Comisiones de otros servicios,Costo,5469.35512
2024-01-01,"Banco Agrícola, S.A.",7211,Pérdidas generadas por entidades registradas bajo el método de la participación,Costo,0.0
2024-01-01,"Banco Agrícola, S.A.",7212,Pérdidas por operaciones en moneda extranjera,Costo,0.74854
2024-01-01,"Banco Agrícola, S.A.",7213,Pérdida por importes ineficaces en operaciones de cobertura,Costo,0.0
2024-01-01,"Banco Agrícola, S.A.",7214,Pérdida por deterioro de valor de activos,Costo,17.69053
2024-01-01,"Banco Agrícola, S.A.",7215,Pérdida en venta de activos,Costo,0.31395
2024-01-01,"Banco Agrícola, S.A.",7299,Costos por explotación de activos,Costo,0.0
2024-01-01,"Banco Agrícola, S.A.",81,Gastos de administración,Gasto,17821.574129999997
2024-01-01,"Banco Agrícola, S.A.",8110,Gastos de funcionarios y empleados,Gasto,7170.4596200000005
2024-01-01,"Banco Agrícola, S.A.",8120,Gastos generales,Gasto,5225.15617
2024-01-01,"Banco Agrícola, S.A.",8130,Depreciaciones y amortizaciones,Gasto,2315.26908
2024-01-01,"Banco Agrícola, S.A.",8140,Provisiones,Gasto,0.0
