Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Enero de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"4,696,948.05","1,563,610.38","2,762,400.58","1,087,131.18","239,902.01","392,526.24","454,948.41","1,230,120.05","2,052,547.56","2,665,763.58","67,263.38","361,085.46","450,801.34","622,297.35","18,647,345.56"
1110 Fondos disponibles,"993,310.96","387,668.45","522,601.87","185,644.36","81,004.56","118,871.88","132,086.13","309,047.22","617,569.59","682,971.43","23,041.34","69,508.01","79,109.24","116,395.10","4,318,830.14"
112 Adquisición temporal de documentos,"5,530.67",0.00,0.00,"1,750.00",0.00,0.00,"3,963.56","8,392.55","7,402.31",0.00,0.00,0.00,0.00,"11,120.68","38,159.78"
1121 Documentos adquiridos hasta un año plazo,"5,530.67",0.00,0.00,"1,750.00",0.00,0.00,"3,963.56","8,392.55","7,402.31",0.00,0.00,0.00,0.00,"11,120.68","38,159.78"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"273,671.97","101,392.97","265,188.30","107,249.57","131,896.57","7,746.89","40,915.69","84,995.94","54,837.23","113,608.36","2,820.15","78,105.17","30,223.86","61,743.57","1,354,396.23"
1130 Titulos valores conservados para negociación,0.00,"3,000.00",0.00,"104,700.55","19,797.09",0.00,"40,915.69","84,995.94",0.00,0.00,0.00,201.18,"10,000.00",0.00,"263,610.45"
1131 Titulos valores para conservarse hasta el vencimiento,"9,179.19","1,000.47","24,815.58","2,146.74",0.00,"7,746.89",0.00,0.00,"2,958.91",0.00,638.89,"71,636.36",231.84,"60,675.92","181,030.79"
1132 Titulos valores disponibles para venta,"264,505.22","97,392.50","240,372.71",402.28,"112,099.47",0.00,0.00,0.00,"51,878.32","113,608.36","2,181.26","6,267.64","19,992.02","1,067.65","909,767.42"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.44
114 Préstamos,"3,424,434.45","1,074,548.96","1,974,610.41","792,487.25","27,000.88","265,907.47","277,983.03","827,684.35","1,372,738.42","1,869,183.79","41,401.88","213,472.29","341,468.24","433,038.00","12,935,959.42"
1141 Préstamos pactados hasta un año plazo,"488,981.40","159,373.61","337,599.83","81,774.52","27,113.18","34,980.34","55,231.78","225,145.18","80,951.29","458,808.15","2,766.49","21,487.67","50,432.31","17,548.78","2,042,194.54"
1142 Préstamos pactados a mas de un año plazo,"2,977,745.55","917,756.19","1,638,397.48","721,149.20",0.00,"230,394.10","225,214.13","602,664.46","1,292,205.97","1,419,384.27","38,665.96","192,906.28","292,355.73","415,543.25","10,964,382.56"
1148 Préstamos vencidos,"44,928.65","21,455.56","40,101.88","12,815.67",0.00,"10,194.10","4,184.81","24,875.48","41,884.56","22,155.52","2,029.22","1,825.63","3,025.39","2,607.51","232,083.98"
1149 Provisión para incobrabilidad de préstamos,"-87,221.15","-24,036.40","-41,488.77","-23,252.14",-112.30,"-9,661.08","-6,647.69","-25,000.77","-42,303.41","-31,164.15","-2,059.78","-2,747.29","-4,345.19","-2,661.54","-302,701.66"
12 Otros activos,"104,754.84","54,046.33","48,846.96","15,667.84","1,171.12","11,298.30","8,620.54","39,577.82","52,360.75","24,640.66","6,500.55","2,650.59","20,159.67","13,280.54","403,576.50"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"40,996.37",443.38,"13,892.05","9,904.31",0.00,"5,539.01","2,003.40","11,687.43","8,446.01","8,433.33",0.00,0.00,0.00,"5,536.75","106,882.04"
1230 Existencias,553.92,448.57,478.73,51.79,0.00,278.94,64.69,365.61,197.18,328.23,0.00,20.37,25.13,37.75,"2,850.90"
1240 Gastos pagados por anticipado y cargos diferidos,"30,539.38","22,563.24","24,958.50","3,167.81",646.66,"2,519.12","5,065.12","15,573.51","11,967.41","9,180.93","1,809.66","1,651.86","17,161.36","2,669.90","149,474.48"
1250 Cuentas por cobrar,"24,485.30","18,575.02","5,762.96","2,548.52",524.46,"3,332.65",803.96,"11,951.26","16,168.39","6,955.27","4,690.89",978.36,"2,993.80","5,120.72","104,891.57"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,298.31",-670.99,"-1,530.20",-118.88,0.00,-371.42,-104.80,0.00,"-1,768.61",-257.10,0.00,0.00,-20.62,-84.58,"-6,225.52"
1260 derechos y participaciones,"9,478.19","12,687.10","5,284.92",114.28,0.00,0.00,788.17,0.00,"17,350.37",0.00,0.00,0.00,0.00,0.00,"45,703.03"
13 Activo fijo,"93,481.26","62,649.41","45,784.39","16,512.92","1,045.58","19,248.47","5,194.77","16,386.78","32,849.05","24,646.69","4,006.74","1,040.34","1,729.12","11,073.44","335,648.96"
1310 No depreciables,"30,785.26","22,764.54","20,513.34","8,470.21",247.69,"9,533.12","3,486.79","1,850.69","20,471.74","2,335.64",0.00,0.00,56.49,"7,637.60","128,153.10"
1320 depreciables,"155,989.54","54,210.65","62,514.36","22,573.86","2,216.51","31,559.34","5,874.15","30,850.87","62,032.19","41,661.09","11,121.73","2,886.92","4,838.19","17,154.18","505,483.58"
1329 depreciación acumulada,"-95,334.79","-35,881.49","-42,507.02","-15,479.05","-1,477.78","-22,722.73","-4,292.79","-18,137.63","-49,654.87","-22,235.90","-8,386.93","-2,504.05","-4,052.54","-14,175.07","-336,842.66"
1330 Amortizables,"2,041.25","21,555.71","5,263.71",947.90,59.16,878.75,126.62,"1,822.86",0.00,"2,885.86","1,271.94",657.47,886.97,456.73,"38,854.94"
Total Activos,"4,895,184.15","1,680,306.12","2,857,031.93","1,119,311.94","242,118.71","423,073.01","468,763.72","1,286,084.65","2,137,757.36","2,715,050.93","77,770.67","364,776.39","472,690.12","646,651.33","19,386,571.02"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"15,252.09","12,023.92","17,252.92","1,079.13",0.00,0.00,"7,913.53",16.98,812.70,"43,441.14",0.00,482.63,0.00,0.00,"98,275.04"
4119 Provisión por pérdidas,0.00,-2.56,0.00,-0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.48
4120 Contingencias por avales y fianzas,"141,491.12","41,202.54","86,108.00","13,665.81","8,642.22","6,383.48","4,019.49","9,522.37","132,875.27","67,815.51",0.00,"17,899.23",0.00,"2,639.84","532,264.88"
4129 Provisión por pérdidas,"-15,311.10","-13,292.16","-9,474.32","-5,613.02",-32.51,"-5,026.42",0.00,0.00,"-2,780.82",-381.12,0.00,-3.37,0.00,0.00,"-51,914.84"
4131 derechos por operaciones en moneda extranjera,552.95,96.55,0.00,0.00,"3,502.75",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,152.24"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"141,985.06","40,028.28","93,886.59","9,131.01","12,112.45","1,357.06","11,933.02","9,539.36","130,907.14","110,875.53",0.00,"18,378.49",0.00,"2,639.84","582,773.84"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,037,169.21","1,720,334.40","2,950,918.52","1,128,442.94","254,231.16","424,430.07","480,696.74","1,295,624.01","2,268,664.50","2,825,926.46","77,770.67","383,154.88","472,690.12","649,291.16","19,969,344.86"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,158,411.69","1,440,061.98","2,494,387.51","973,512.34","195,490.58","342,887.64","383,728.57","1,116,145.26","1,859,771.80","2,393,183.29","48,588.23","315,172.99","417,650.59","580,676.08","16,719,668.55"
211 depósitos,"3,564,528.65","1,187,069.29","1,880,872.05","819,306.61","140,485.96","325,697.56","326,897.75","943,825.58","1,546,013.69","1,993,600.57","48,511.42","254,602.07","309,722.28","421,363.04","13,762,496.52"
2110 depósitos a la vista,"2,474,731.98","861,529.97","1,017,838.32","388,359.88","138,852.77","159,897.20","156,680.48","476,897.98","729,268.10","1,256,570.64","15,848.91","90,729.76","99,158.91","175,784.92","8,042,149.83"
211001 depósitos en cuenta corriente,"878,677.50","474,099.88","470,691.37","188,041.32","126,320.40","28,839.69","121,316.59","282,324.14","343,798.87","840,068.64","15,848.91","45,441.67","62,802.29","115,421.74","3,993,693.00"
211002 depósitos de ahorro,"1,595,831.38","387,430.09","547,040.17","200,316.76","12,532.37","131,057.51","35,363.89","194,573.84","385,469.23","416,502.00",0.00,"45,288.10","36,356.62","60,363.18","4,048,125.14"
211003 depósitos en cuenta de ahorro simplificada,223.10,0.00,106.78,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,331.69
2111 depósitos pactados hasta un año plazo,"950,339.74","302,410.20","672,027.03","385,530.92",0.00,"160,878.80","163,419.65","446,905.30","766,212.96","682,263.11","29,052.49","157,721.76","189,561.39","219,698.91","5,126,022.26"
2112 depósitos pactados a mas de un año plazo,"79,650.88","1,353.77","150,174.68","31,526.98",0.00,256.13,0.00,"2,180.39","3,381.45","39,489.98",0.00,170.60,"17,462.10","22,129.59","347,776.55"
2114 depósitos restringidos e inactivos,"59,806.06","21,775.34","40,832.02","13,888.83","1,633.19","4,665.43","6,797.62","17,841.91","47,151.18","15,276.83","3,610.02","5,979.94","3,539.88","3,749.63","246,547.89"
212 Préstamos,"363,536.75","176,259.91","400,245.03","126,303.58","50,026.77","16,632.00","21,664.20","166,441.20","176,324.93","145,304.76",0.00,"59,256.35","58,310.59","85,793.84","1,846,099.92"
2121 Préstamos pactados hasta un año plazo,"35,393.55","34,074.75","220,322.01","21,037.19","50,026.77",47.62,"10,523.56","38,570.94","1,206.98","127,992.79",0.00,"9,659.16","8,591.08",0.00,"557,446.40"
2122 Préstamos pactados a mas de un año plazo,"328,143.20",109.25,"12,515.63","89,713.35",0.00,"16,548.41","11,140.64","56,112.87","150,810.25","17,311.97",0.00,"49,597.19","49,719.52","60,167.06","841,889.34"
2123 Préstamos pactados a cinco o mas años plazo,0.00,"142,075.91","167,407.39","15,553.04",0.00,35.98,0.00,"71,757.39","24,307.69",0.00,0.00,0.00,0.00,"25,626.78","446,764.19"
2130 Obligaciones a la vista,"18,226.15","13,618.06","12,835.49","27,902.15","4,977.85",558.08,874.82,"5,878.47","6,743.10","33,081.54",54.66,"1,314.57","2,063.22",855.49,"128,983.65"
214 Títulos de emisión propia,"212,120.14","60,114.34","200,434.94",0.00,0.00,0.00,"34,291.80",0.00,"130,690.08","221,196.43",0.00,0.00,"37,554.50","72,663.71","969,065.93"
