Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Enero de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,021,779.33","3,457,029.31","2,848,290.79","1,328,495.44","244,016.22","393,456.60","416,120.93","1,276,500.39","2,841,005.12","68,979.12","400,480.72","521,696.36","715,514.29","19,533,364.62"
1110 Fondos disponibles,"938,565.93","732,033.63","332,427.77","213,312.96","84,090.68","113,963.66","69,330.66","293,894.96","573,644.41","13,961.72","67,237.92","94,684.39","96,747.64","3,623,896.32"
112 Adquisición temporal de documentos,"24,430.85",0.00,0.00,"5,420.79",0.00,105.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"29,956.83"
1121 Documentos adquiridos hasta un año plazo,"24,430.85",0.00,0.00,"5,420.79",0.00,105.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"29,956.83"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"846,388.53","386,877.63","494,037.77","225,484.44","140,076.73","9,982.65","97,028.58","174,151.55","346,228.00","13,548.97","107,383.34","64,973.21","120,680.13","3,026,841.52"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"215,228.71","10,954.69",0.00,"5,310.28",0.00,0.00,"2,717.74",115.20,0.00,0.00,"234,326.61"
1131 Titulos valores para conservarse hasta el vencimiento,"18,893.17","2,504.93","24,936.74","2,147.23",0.00,"9,982.65","91,718.30",0.00,0.00,0.00,"90,220.79","16,997.94","117,193.00","374,594.77"
1132 Titulos valores disponibles para venta,"827,507.80","384,372.70","469,101.02","8,108.50","129,122.04",0.00,0.00,"174,151.55","346,228.00","10,831.23","17,047.35","47,975.26","3,487.12","2,417,932.59"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.44
114 Préstamos,"3,212,394.02","2,338,118.06","2,021,825.26","884,277.26","19,848.81","269,405.10","249,761.69","808,453.87","1,921,132.72","41,468.43","225,859.47","362,038.77","498,086.52","12,852,669.96"
1141 Préstamos pactados hasta un año plazo,"506,123.14","190,624.77","301,831.29","118,025.63","19,914.55","41,075.72","53,299.88","223,628.82","407,356.43","1,137.81","20,966.46","44,310.02","57,155.25","1,985,449.77"
1142 Préstamos pactados a mas de un año plazo,"2,799,898.45","2,178,148.65","1,740,403.61","772,500.61",0.00,"231,085.16","202,195.06","603,610.85","1,534,919.42","41,242.99","206,125.23","321,699.26","442,845.46","11,074,674.74"
1148 Préstamos vencidos,"62,858.31","72,113.92","40,345.30","14,341.85",0.00,"8,263.32","3,623.92","8,408.75","29,914.42","3,603.55","2,204.72","1,834.56","2,890.14","250,402.76"
1149 Provisión para incobrabilidad de préstamos,"-156,485.88","-102,769.27","-60,754.95","-20,590.84",-65.74,"-11,019.11","-9,357.17","-27,194.54","-51,057.55","-4,515.94","-3,436.94","-5,805.07","-4,804.31","-457,857.31"
12 Otros activos,"167,621.67","124,923.36","57,943.41","29,589.68","1,330.77","13,499.10","8,420.87","55,955.35","35,090.16","7,914.93","1,988.07","19,919.24","17,791.28","541,987.88"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"38,282.62","5,655.32","13,826.25","13,906.91",0.00,"5,676.23","1,544.74","12,456.22","9,077.67",0.00,0.00,"1,541.11","5,059.24","107,026.31"
1230 Existencias,343.38,437.08,305.67,46.03,0.00,304.24,76.26,280.68,402.49,0.00,46.01,25.13,21.63,"2,288.60"
1240 Gastos pagados por anticipado y cargos diferidos,"59,356.73","45,603.09","30,486.59","3,295.55",438.68,"1,991.76","4,269.33","15,960.99","9,700.43","5,823.52","1,319.76","16,445.35","4,141.63","198,833.42"
1250 Cuentas por cobrar,"60,751.35","45,027.33","9,022.19","12,309.98",892.09,"6,303.17","1,962.21","27,902.76","16,258.05","2,091.40",622.30,"1,927.05","8,652.75","193,722.65"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,625.49","-2,428.23","-1,692.35",-83.07,0.00,-776.31,-106.92,-645.30,-348.48,0.00,0.00,-19.40,-83.98,"-7,809.52"
1260 derechos y participaciones,"10,513.08","30,628.76","5,995.06",114.28,0.00,0.00,675.24,0.00,0.00,0.00,0.00,0.00,0.00,"47,926.42"
13 Activo fijo,"90,308.24","99,889.00","46,799.65","16,857.72","1,249.24","19,597.74","5,413.65","17,062.36","29,237.73","2,593.67",934.06,"1,826.24","13,733.00","345,502.30"
1310 No depreciables,"30,644.22","42,927.08","19,034.49","8,470.21",247.69,"8,353.44","3,486.79","1,869.95","3,444.82",0.00,140.25,90.31,"9,328.32","128,037.56"
1320 depreciables,"157,349.75","113,033.82","64,961.93","23,315.14","2,272.02","34,154.74","6,343.45","33,445.32","47,368.57","10,956.03","2,950.24","5,298.21","17,608.19","519,057.40"
1329 depreciación acumulada,"-99,225.98","-85,852.21","-42,588.83","-16,023.15","-1,325.91","-24,180.61","-4,519.30","-19,882.35","-25,287.94","-9,300.57","-2,581.94","-4,635.69","-14,675.57","-350,080.05"
1330 Amortizables,"1,540.24","29,780.30","5,392.07","1,095.53",55.45,"1,270.17",102.71,"1,629.45","3,712.28",938.22,425.51,"1,073.41","1,472.05","48,487.40"
Total Activos,"5,279,709.23","3,681,841.66","2,953,033.86","1,374,942.85","246,596.23","426,553.43","429,955.45","1,349,518.10","2,905,333.01","79,487.72","403,402.85","543,441.84","747,038.56","20,420,854.80"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"20,892.87","22,567.06","10,215.34","13,232.85",83.47,0.00,"6,537.13",0.00,"33,588.50",0.00,559.45,187.00,0.00,"107,863.67"
4119 Provisión por pérdidas,0.00,-3.18,0.00,-1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.28
4120 Contingencias por avales y fianzas,"133,890.55","126,861.64","79,581.48","16,082.97","10,898.35","6,379.71","4,076.33","9,967.55","74,366.75",0.00,"13,829.65",0.00,"4,770.03","480,705.01"
4129 Provisión por pérdidas,"-16,156.00","-15,694.88","-9,647.49","-5,885.77",-38.82,"-5,230.75",0.00,0.00,-677.52,0.00,-2.24,0.00,0.00,"-53,333.48"
4131 derechos por operaciones en moneda extranjera,0.00,0.00,0.00,0.00,386.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,386.35
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"138,627.41","133,730.64","80,149.33","23,428.95","11,329.35","1,148.96","10,613.46","9,967.55","107,277.73",0.00,"14,386.86",187.00,"4,770.03","535,617.27"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,418,336.65","3,815,572.31","3,033,183.18","1,398,371.80","257,925.58","427,702.39","440,568.92","1,359,485.65","3,012,610.75","79,487.72","417,789.71","543,628.84","751,808.59","20,956,472.08"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,577,301.11","3,170,964.01","2,578,478.84","1,215,490.36","197,774.57","342,810.61","366,890.10","1,173,201.66","2,569,240.89","52,044.56","354,069.41","486,920.88","665,804.02","17,750,991.01"
211 depósitos,"4,011,047.11","2,807,500.37","2,106,293.72","1,065,198.57","193,435.35","330,687.49","329,045.61","1,026,838.89","2,215,483.35","51,882.26","303,350.52","361,917.50","497,820.44","15,300,501.19"
2110 depósitos a la vista,"2,969,684.24","1,718,573.34","1,174,707.62","519,764.01","182,460.46","209,030.46","160,828.88","537,496.71","1,499,029.36","12,548.00","110,716.23","141,727.68","199,984.92","9,436,551.92"
211001 depósitos en cuenta corriente,"1,092,287.20","849,219.60","582,125.84","272,370.95","161,115.36","52,973.66","118,583.74","341,390.07","975,362.44","12,548.00","44,649.62","104,586.83","135,790.22","4,743,003.54"
211002 depósitos de ahorro,"1,876,264.73","869,353.75","592,157.98","247,391.26","21,345.10","156,056.80","42,245.15","196,106.64","523,666.91",0.00,"66,066.61","37,138.25","64,194.70","4,691,987.88"
211003 depósitos en cuenta de ahorro simplificada,"1,132.31",0.00,423.80,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,0.00,"1,560.51"
2111 depósitos pactados hasta un año plazo,"894,649.17","991,767.82","747,642.76","482,159.99","9,001.04","114,774.88","162,869.43","464,046.43","652,595.32","34,510.06","187,836.79","195,582.58","270,569.13","5,208,005.38"
2112 depósitos pactados a mas de un año plazo,"69,455.05","18,479.16","135,121.31","46,849.65",0.00,245.70,0.00,"1,879.14","41,417.84",0.00,303.64,"19,495.21","20,897.41","354,144.11"
2114 depósitos restringidos e inactivos,"77,258.65","78,680.05","48,822.04","16,424.93","1,973.85","6,636.44","5,347.30","23,416.62","22,440.84","4,824.19","4,493.86","5,112.03","6,368.98","301,799.78"
212 Préstamos,"331,125.97","181,268.73","313,627.48","118,167.95",167.60,"11,480.16","11,375.81","139,795.74","195,116.80",0.00,"49,598.71","66,054.90","87,004.79","1,504,784.65"
2121 Préstamos pactados hasta un año plazo,"30,541.77","17,197.57","163,224.18","22,861.16",167.60,31.65,"5,861.42","15,809.43","127,018.41",0.00,"5,792.51","6,834.27","7,521.74","402,861.69"
2122 Préstamos pactados a mas de un año plazo,"46,552.75",184.07,"9,906.42","76,209.89",0.00,"11,440.00","5,514.39","53,555.94","68,098.39",0.00,"43,806.20","45,436.89","54,177.12","414,882.05"
2123 Préstamos pactados a cinco o mas años plazo,"254,031.45","163,887.10","140,496.89","19,096.90",0.00,8.50,0.00,"70,430.38",0.00,0.00,0.00,"13,783.75","25,305.94","687,040.91"
2130 Obligaciones a la vista,"23,007.56","23,977.27","14,315.47","32,123.84","4,171.62",642.97,"1,238.82","6,567.02","22,942.21",149.33,"1,120.18","1,946.15","2,326.95","134,529.40"
214 Títulos de emisión propia,"212,120.47","158,217.64","144,242.16",0.00,0.00,0.00,"25,229.86",0.00,"135,698.52",0.00,0.00,"57,002.32","78,651.84","811,162.81"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,834.32,834.32
2142 Pactados a mas de un año plazo,"212,120.47","158,217.64","144,242.16",0.00,0.00,0.00,"25,229.86",0.00,"135,698.52",0.00,0.00,"57,002.32","77,817.53","810,328.49"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.96,0.00,0.00,0.00,12.96
