Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Enero de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,167,513.77","3,517,001.10","2,810,155.78","1,656,604.48","197,532.63","435,705.59","372,076.81","1,276,365.37","2,973,333.01","99,998.48","448,404.00","529,826.41","836,995.93","20,321,513.35"
1110 Fondos disponibles,"1,009,433.25","622,676.12","426,985.87","271,553.00","126,418.28","151,511.94","81,100.43","266,377.07","582,129.24","16,640.80","80,563.88","80,327.26","123,319.11","3,839,036.25"
112 Adquisición temporal de documentos,"4,792.14",0.00,0.00,123.00,0.00,721.14,0.00,0.00,0.00,0.00,0.00,0.00,"1,669.83","7,306.10"
1121 Documentos adquiridos hasta un año plazo,"4,792.14",0.00,0.00,123.00,0.00,721.14,0.00,0.00,0.00,0.00,0.00,0.00,"1,669.83","7,306.10"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"749,143.50","419,560.02","290,822.35","373,968.74","50,089.30","12,915.65","66,539.10","184,709.11","312,099.31","3,501.10","52,373.44","62,686.25","127,309.04","2,705,716.90"
1130 Titulos valores conservados para negociación,"5,734.69",0.00,0.00,"371,372.08",0.00,0.00,151.36,0.00,0.00,0.00,186.29,0.00,0.00,"377,444.42"
1131 Titulos valores para conservarse hasta el vencimiento,"50,603.88","10,207.09","8,235.41","2,147.70",0.00,"12,915.65","66,387.74",0.00,0.00,0.00,"35,332.29","12,941.92","127,309.04","326,080.71"
1132 Titulos valores disponibles para venta,"692,804.94","409,352.93","282,500.32",448.96,"50,089.30",0.00,0.00,"184,709.11","312,099.31","3,501.10","16,854.85","49,744.33",0.00,"2,002,105.14"
1134 Instrumentos financieros para cobertura,0.00,0.00,86.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.62
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,404,144.88","2,474,764.96","2,092,347.56","1,010,959.74","21,025.05","270,556.87","224,437.29","825,279.20","2,079,104.46","79,856.58","315,466.68","386,812.90","584,697.94","13,769,454.10"
1141 Préstamos pactados hasta un año plazo,"542,677.32","301,738.17","268,017.36","78,210.46","21,037.76","36,093.28","73,217.02","243,978.25","421,278.44","4,992.51","42,077.33","43,131.78","95,732.87","2,172,182.54"
1142 Préstamos pactados a mas de un año plazo,"2,932,550.26","2,201,871.33","1,841,270.50","944,252.14",0.00,"236,665.57","152,634.23","589,155.34","1,674,923.15","75,544.85","275,329.78","328,811.77","492,991.25","11,746,000.17"
1148 Préstamos vencidos,"46,657.96","84,426.17","38,048.98","16,225.69",0.00,"8,249.17","5,852.82","22,747.38","32,632.01","6,250.10","1,326.24","21,095.60","3,508.30","287,020.43"
1149 Provisión para incobrabilidad de préstamos,"-117,740.66","-113,270.71","-54,989.28","-27,728.56",-12.71,"-10,451.14","-7,266.78","-30,601.78","-49,729.14","-6,930.88","-3,266.67","-6,226.25","-7,534.48","-435,749.04"
12 Otros activos,"140,761.63","106,490.57","57,702.69","20,363.99","1,497.65","10,249.18","6,476.77","44,412.83","33,658.99","8,675.48","2,210.25","23,905.28","24,888.04","481,293.36"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"33,279.16","3,430.21","9,780.99","13,453.47",0.00,"4,476.21","1,858.81","13,075.49","6,825.41",0.00,0.00,994.93,"4,479.94","91,654.62"
1230 Existencias,578.96,331.34,314.64,116.17,0.00,231.87,78.72,232.62,430.22,0.00,62.36,88.75,21.97,"2,487.63"
1240 Gastos pagados por anticipado y cargos diferidos,"54,527.49","36,941.98","32,662.86","2,153.62",398.52,"1,112.07","3,808.80","18,896.87","12,838.79","6,366.46","1,280.83","16,949.94","5,367.10","193,305.32"
1250 Cuentas por cobrar,"43,282.03","36,824.79","10,359.95","4,627.00","1,099.13","5,223.47",284.38,"12,287.31","13,942.35","2,309.02",867.06,"5,907.04","13,857.56","150,871.07"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,361.55","-2,868.14","-1,795.25",-100.54,0.00,-794.44,-50.84,-79.45,-377.78,0.00,0.00,-35.38,-106.26,"-8,569.63"
1260 derechos y participaciones,"11,455.54","31,830.38","6,379.50",114.28,0.00,0.00,496.91,0.00,0.00,0.00,0.00,0.00,"1,267.75","51,544.35"
13 Activo fijo,"86,142.65","113,180.01","44,299.06","16,055.55","1,125.26","20,359.22","5,099.93","16,205.45","35,887.90","3,257.00","2,113.34","1,622.60","6,862.00","352,209.94"
1310 No depreciables,"30,606.77","41,519.53","18,708.84","8,013.61",247.69,"8,481.17","3,496.68","2,171.26","12,315.44",0.00,870.33,87.14,"3,482.19","130,000.66"
1320 depreciables,"140,160.47","114,954.78","64,920.41","21,906.79","2,271.97","35,754.96","6,449.27","33,887.16","47,011.51","11,333.47","3,544.91","5,375.83","15,226.64","502,798.16"
1329 depreciación acumulada,"-86,004.98","-88,863.69","-43,932.70","-15,703.05","-1,492.59","-25,020.42","-4,911.53","-21,446.46","-27,150.35","-10,159.61","-2,669.25","-4,837.61","-12,121.47","-344,313.70"
1330 Amortizables,"1,380.38","45,569.38","4,602.51","1,838.19",98.19,"1,143.51",65.51,"1,593.49","3,711.29","2,083.13",367.34,997.24,274.64,"63,724.82"
Total Activos,"5,394,418.05","3,736,671.68","2,912,157.53","1,693,024.02","200,155.53","466,313.98","383,653.51","1,336,983.65","3,042,879.90","111,930.96","452,727.59","555,354.29","868,745.97","21,155,016.65"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"39,814.24","10,546.83","21,242.83",831.67,735.00,0.00,"3,403.49",91.71,"40,411.84",0.00,"1,205.44",100.12,0.00,"118,383.17"
4119 Provisión por pérdidas,-1.94,-2.78,0.00,-0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.67
4120 Contingencias por avales y fianzas,"129,392.65","109,628.15","93,044.41","15,787.55","8,550.46","6,359.42","3,114.13","9,830.85","110,249.91",0.00,"18,267.28",0.00,"6,394.98","510,619.78"
4129 Provisión por pérdidas,"-16,323.96","-15,758.26","-4,718.45","-6,096.74",-46.12,"-5,441.64",0.00,0.00,-132.20,0.00,0.00,0.00,0.00,"-48,517.37"
4131 derechos por operaciones en moneda extranjera,"14,636.71",0.00,0.00,0.00,109.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"14,745.83"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"167,517.70","104,413.94","109,568.78","10,521.54","9,348.45",917.78,"6,517.61","9,922.56","150,529.56",0.00,"19,472.71",100.12,"6,394.98","595,225.73"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,561,935.75","3,841,085.62","3,021,726.32","1,703,545.55","209,503.98","467,231.76","390,171.13","1,346,906.21","3,193,409.46","111,930.96","472,200.30","555,454.41","875,140.94","21,750,242.38"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,581,042.10","3,205,257.83","2,513,522.32","1,513,949.50","157,843.06","377,320.01","317,033.45","1,159,254.16","2,710,997.26","81,113.55","357,039.70","495,252.37","772,717.03","18,242,342.33"
211 depósitos,"4,010,166.95","2,816,880.36","2,039,820.03","1,370,855.73","155,650.13","365,468.44","280,840.97","991,302.68","2,348,012.95","78,050.32","318,507.46","368,842.93","531,770.75","15,676,169.69"
2110 depósitos a la vista,"3,102,186.35","1,827,127.78","1,201,228.19","681,738.42","153,974.76","243,534.24","152,106.51","572,331.14","1,645,814.18","12,116.44","140,950.73","123,593.14","266,310.15","10,123,012.03"
211001 depósitos en cuenta corriente,"1,083,714.10","825,609.59","563,259.98","383,708.03","149,644.09","65,575.10","103,177.67","343,687.58","1,082,437.54","12,116.44","52,822.64","83,857.03","188,755.02","4,938,364.80"
211002 depósitos de ahorro,"2,016,648.20","1,001,518.19","637,448.10","298,030.39","4,330.66","177,959.14","48,928.84","228,643.56","563,376.64",0.00,"88,128.10","39,730.53","77,555.13","5,182,297.48"
211003 depósitos en cuenta de ahorro simplificada,"1,824.05",0.00,520.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.58,0.00,"2,349.75"
2111 depósitos pactados hasta un año plazo,"770,557.08","901,533.50","712,876.12","621,389.99",0.00,"114,717.79","124,134.73","399,625.59","642,285.68","61,985.26","171,419.64","222,466.44","235,938.52","4,978,930.33"
2112 depósitos pactados a mas de un año plazo,"66,810.56","18,090.11","78,364.52","47,381.94",0.00,243.30,0.00,"2,371.46","39,859.83",0.00,"1,862.56","20,311.56","20,748.36","296,044.19"
2114 depósitos restringidos e inactivos,"70,612.96","70,128.98","47,351.19","20,345.38","1,675.38","6,973.11","4,599.73","16,974.50","20,053.26","3,948.62","4,274.53","2,471.79","8,773.72","278,183.14"
212 Préstamos,"383,168.95","212,133.87","260,480.11","109,140.50",0.00,"11,204.08","6,686.77","158,818.05","231,476.94","3,018.41","35,746.08","77,631.22","123,276.56","1,612,781.53"
2121 Préstamos pactados hasta un año plazo,"120,675.12","74,252.38","110,528.07","21,043.95",0.00,16.20,"5,011.69","35,282.81","174,762.90","3,018.41","31,173.91","5,385.74","12,034.24","593,185.43"
2122 Préstamos pactados a mas de un año plazo,"8,493.39",105.89,"7,145.53","73,929.00",0.00,"7,569.92","1,675.07","45,215.47","56,714.04",0.00,"4,572.16","53,407.10","82,786.01","341,613.60"
2123 Préstamos pactados a cinco o mas años plazo,"254,000.44","137,775.61","142,806.51","14,167.55",0.00,"3,617.96",0.00,"78,319.76",0.00,0.00,0.00,"18,838.37","28,456.31","677,982.50"
2130 Obligaciones a la vista,"25,625.46","23,411.65","11,641.26","33,952.33","2,192.93",647.48,"4,275.58","9,133.44","25,808.46",44.82,"2,786.17","1,447.26","9,524.89","150,491.74"
214 Títulos de emisión propia,"162,080.74","152,831.94","201,580.91",0.00,0.00,0.00,"25,230.14",0.00,"105,698.92",0.00,0.00,"47,330.97","108,144.82","802,898.43"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,574.83","12,574.83"
2142 Pactados a mas de un año plazo,"162,080.74","152,831.94","201,580.91",0.00,0.00,0.00,"25,230.14",0.00,"105,698.92",0.00,0.00,"47,330.97","95,569.99","790,323.60"
215 Documentos transados,0.00,0.00,0.00,0.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.94
