Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Enero de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,415,180.06","3,714,063.03","2,955,116.65","2,019,773.95","212,516.85","429,148.58","1,278,737.69","3,070,018.56","142,955.33","565,968.81","789,706.96","1,036,716.12","21,629,902.59"
1110 Fondos disponibles,"850,108.61","517,949.73","372,053.87","281,486.27","136,744.99","115,266.46","205,777.41","472,350.19","15,178.42","77,121.12","105,901.63","131,178.11","3,281,116.81"
112 Adquisición temporal de documentos,"2,015.87",0.00,0.00,0.00,0.00,0.00,678.34,0.00,0.00,0.00,0.00,150.00,"2,844.21"
1121 Documentos adquiridos hasta un año plazo,"2,015.87",0.00,0.00,0.00,0.00,0.00,678.34,0.00,0.00,0.00,0.00,150.00,"2,844.21"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"741,690.25","501,636.02","319,928.54","669,177.27","58,450.33","15,961.08","173,811.81","325,973.00","12,752.35","55,606.40","70,476.97","187,903.11","3,133,367.13"
1130 Titulos valores conservados para negociación,"16,729.90",0.00,"4,896.98","666,942.07",0.00,0.00,0.00,0.00,0.00,126.90,"6,253.65","9,500.00","704,449.50"
1131 Titulos valores para conservarse hasta el vencimiento,"101,756.26",0.00,"7,891.28","2,148.22",0.00,"15,961.08",0.00,0.00,0.00,"38,653.94","1,211.82","178,403.11","346,025.71"
1132 Titulos valores disponibles para venta,"623,204.09","501,636.02","307,140.27",86.98,"58,450.33",0.00,"173,811.81","325,973.00","12,752.35","16,825.56","63,011.50",0.00,"2,082,891.91"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,821,365.33","2,694,477.28","2,263,134.24","1,069,110.40","17,321.54","297,921.04","898,470.14","2,271,695.37","115,024.56","433,241.29","613,328.35","717,484.89","15,212,574.43"
1141 Préstamos pactados hasta un año plazo,"737,590.59","363,798.65","379,925.53","99,530.36","17,390.71","39,455.34","293,010.03","431,377.63","3,984.31","59,725.08","110,619.76","98,149.78","2,634,557.78"
1142 Préstamos pactados a mas de un año plazo,"3,151,801.74","2,361,127.71","1,897,963.23","984,061.35",0.00,"259,032.08","615,398.27","1,854,562.65","115,124.94","375,544.18","500,635.02","620,679.53","12,735,930.69"
1148 Préstamos vencidos,"45,329.01","83,291.79","45,560.46","21,776.28",0.00,"8,838.32","16,695.21","32,929.15","11,922.91","1,283.90","24,619.40","3,474.80","295,721.24"
1149 Provisión para incobrabilidad de préstamos,"-113,356.01","-113,740.87","-60,314.98","-36,257.59",-69.17,"-9,404.70","-26,633.38","-47,174.07","-16,007.60","-3,311.88","-22,545.83","-4,819.22","-453,635.28"
12 Otros activos,"139,440.84","87,027.28","52,247.48","23,947.14","2,599.28","11,892.51","37,042.90","21,823.53","8,556.49","3,200.19","43,095.85","29,494.73","460,368.21"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"25,609.87","1,818.37","8,436.33","12,048.91",0.00,"5,065.62","5,370.87","5,388.32",0.00,0.00,"3,186.25","3,433.26","70,357.80"
1230 Existencias,"1,006.86",422.29,193.86,168.19,0.00,305.97,101.16,285.36,0.00,46.93,10.87,32.58,"2,574.07"
1240 Gastos pagados por anticipado y cargos diferidos,"49,338.34","38,059.38","29,069.05","1,814.60",681.34,"1,154.42","15,894.03","10,189.18","7,378.90","1,690.08","24,787.73","7,983.10","188,040.15"
1250 Cuentas por cobrar,"53,858.17","16,862.37","10,591.30","9,913.04","1,917.94","6,117.13","15,751.18","6,323.43","1,177.59","1,463.19","15,318.19","16,712.03","156,005.56"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,430.87","-2,169.85","-2,160.02",-111.89,0.00,-750.63,-74.35,-362.76,0.00,0.00,-207.19,-86.92,"-8,354.49"
1260 derechos y participaciones,"12,058.47","32,034.74","6,116.96",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,420.68","51,745.12"
13 Activo fijo,"82,604.73","112,051.19","42,138.50","16,151.51","1,498.96","20,695.62","17,451.51","37,515.53","2,263.89","2,233.46","3,025.80","9,369.36","347,000.05"
1310 No depreciables,"29,857.44","41,301.36","18,706.27","7,957.74",247.69,"8,734.39","3,229.07","2,619.78",0.00,730.09,87.15,"5,350.06","118,821.02"
1320 depreciables,"132,505.78","109,455.76","64,768.58","23,389.58","2,282.21","35,084.55","35,536.42","57,385.14","10,718.63","3,722.05","10,523.98","16,297.21","501,669.88"
1329 depreciación acumulada,"-80,846.31","-85,966.13","-45,106.45","-16,662.27","-1,124.03","-24,322.40","-22,865.94","-30,929.65","-10,132.17","-2,734.21","-9,035.15","-12,732.27","-342,456.98"
1330 Amortizables,"1,087.83","47,260.21","3,770.10","1,466.47",93.09,"1,199.08","1,551.96","8,440.26","1,677.43",515.53,"1,449.83",454.36,"68,966.14"
Total Activos,"5,637,225.63","3,913,141.51","3,049,502.63","2,059,872.59","216,615.09","461,736.70","1,333,232.10","3,129,357.61","153,775.71","571,402.46","835,828.61","1,075,580.20","22,437,270.86"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"14,140.95","18,143.24","10,631.99",192.38,0.00,0.00,0.00,"55,974.60",0.00,"1,454.21","4,512.59",0.00,"105,049.95"
4119 Provisión por pérdidas,-5.94,0.00,0.00,-1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.01
4120 Contingencias por avales y fianzas,"84,089.80","93,782.19","102,959.89","17,987.89","5,242.12","5,716.65","10,278.61","103,232.74",0.00,"18,709.81","1,908.77","3,963.50","447,871.96"
4129 Provisión por pérdidas,"-15,949.01","-15,826.99","-4,675.64","-7,643.33",-28.96,"-5,649.66",0.00,-93.85,0.00,0.00,0.00,0.00,"-49,867.43"
4131 derechos por operaciones en moneda extranjera,"17,390.14",0.00,0.00,0.00,974.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"18,364.50"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"99,665.93","96,098.43","108,916.25","10,535.89","6,187.52",66.99,"10,278.61","159,113.49",0.00,"20,164.02","6,421.36","3,963.50","521,411.97"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,736,891.55","4,009,239.94","3,158,418.87","2,070,408.48","222,802.61","461,803.69","1,343,510.71","3,288,471.10","153,775.71","591,566.48","842,249.97","1,079,543.70","22,958,682.83"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,764,825.11","3,371,616.60","2,643,255.61","1,864,080.18","179,097.21","365,912.15","1,163,799.82","2,755,821.04","118,785.43","459,366.85","706,169.93","961,727.27","19,354,457.18"
211 depósitos,"4,133,760.63","2,926,799.26","2,202,837.78","1,741,775.52","176,916.91","347,991.28","1,004,363.99","2,461,394.09","106,520.47","366,045.04","539,480.64","679,546.66","16,687,432.26"
2110 depósitos a la vista,"3,184,411.21","1,966,903.59","1,311,075.31","678,653.39","175,611.25","232,906.85","596,774.31","1,651,265.73","13,131.53","161,935.84","180,927.99","294,218.98","10,447,815.97"
211001 depósitos en cuenta corriente,"1,019,856.43","867,415.29","583,000.30","373,345.28","168,400.84","44,839.52","359,867.22","1,063,821.26","13,109.99","78,766.60","134,539.02","212,621.94","4,919,583.69"
211002 depósitos de ahorro,"2,162,334.80","1,099,488.30","727,328.52","305,308.11","7,210.41","188,067.33","236,907.09","587,444.47",0.00,"83,169.24","46,384.79","81,597.03","5,525,240.09"
211003 depósitos en cuenta de ahorro simplificada,"2,219.97",0.00,746.50,0.00,0.00,0.00,0.00,0.00,21.54,0.00,4.18,0.00,"2,992.18"
2111 depósitos pactados hasta un año plazo,"795,858.07","873,864.41","785,616.97","857,475.71",0.00,"104,490.10","350,830.39","740,375.77","89,790.53","197,211.91","326,259.38","294,437.85","5,416,211.08"
2112 depósitos pactados a mas de un año plazo,"83,420.04","22,241.88","62,442.22","182,368.46",0.00,197.83,"31,909.50","48,234.71",0.00,"2,951.56","25,299.15","76,704.55","535,769.89"
2114 depósitos restringidos e inactivos,"70,071.31","63,789.38","43,703.28","23,277.97","1,305.66","10,396.50","24,849.80","21,517.89","3,598.41","3,945.73","6,994.12","14,185.28","287,635.32"
212 Préstamos,"481,242.62","276,851.03","226,719.89","88,765.82",0.00,"17,444.89","125,878.06","156,600.03","4,095.72","70,023.82","99,419.97","137,416.46","1,684,458.31"
2121 Préstamos pactados hasta un año plazo,"135,744.56","60,190.40","110,953.03","12,033.95",0.00,16.20,"17,861.65","53,909.25","1,008.38","42,284.69",209.86,"8,072.54","442,284.52"
2122 Préstamos pactados a mas de un año plazo,"89,797.71","27,606.59","4,639.76","66,988.52",0.00,"5,249.64","17,007.94","102,690.79","3,087.33","27,739.13","64,364.11","93,938.18","503,109.70"
2123 Préstamos pactados a cinco o mas años plazo,"255,700.35","189,054.04","111,127.09","9,743.35",0.00,"12,179.05","91,008.47",0.00,0.00,0.00,"34,845.99","35,405.74","739,064.09"
2130 Obligaciones a la vista,"22,714.68","27,514.58","12,971.18","29,978.86","2,180.30",475.98,"10,321.20","27,059.63",594.36,"2,109.33","2,831.92","9,385.06","148,137.09"
214 Títulos de emisión propia,"127,107.18","140,451.72","195,829.79",0.00,0.00,0.00,"23,236.57","110,767.28","7,574.88","21,188.66","58,183.75","125,879.09","810,218.92"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,571.50","2,617.61",0.00,"24,912.83","34,101.95"
2142 Pactados a mas de un año plazo,"127,107.18","140,451.72","195,829.79",0.00,0.00,0.00,"23,236.57","110,767.28","1,003.38","18,571.05","58,183.75","100,966.26","776,116.97"
215 Documentos transados,0.00,0.00,"4,896.98","3,559.97",0.00,0.00,0.00,0.00,0.00,0.00,"6,253.65","9,500.00","24,210.61"
2151 Documentos transados hasta un año plazo,0.00,0.00,"4,896.98","3,559.97",0.00,0.00,0.00,0.00,0.00,0.00,"6,253.65","9,500.00","24,210.61"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
