Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de Enero de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos,"5,587,878.7","3,845,653.5","3,067,513.0","2,228,453.1","226,633.4","447,789.3","1,320,010.3","3,276,968.2","165,936.0","659,257.5","833,551.9","1,178,356.1","22,838,000.9",,
1110 Disponibilidades,"801,073.5","521,571.0","402,965.7","295,943.5","84,476.2","114,025.3","191,797.5","461,099.0","23,038.3","80,864.9","101,746.0","131,282.7","3,209,883.5",,
112 Operaciones con pacto de retroventa,0.0,302.6,0.0,"3,996.0",0.0,0.0,0.0,0.0,0.0,0.0,702.9,0.0,"5,001.5",,
1121 Operaciones con pacto de retroventa,0.0,302.6,0.0,"3,996.0",0.0,0.0,0.0,0.0,0.0,0.0,702.9,0.0,"5,001.5",,
1130 A valor razonable con cambios en resultados (vrcr),"605,565.7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"20,489.4","626,055.1",,
1131 A valor razonable con cambios en otro resultado integral (vrori),0.0,0.0,"362,807.2","901,456.7",0.0,0.0,0.0,"391,118.3",0.0,0.0,0.0,0.0,"1,655,382.2",,
1132 Derivados financieros para coberturas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1134 A costo amortizado,"83,676.7","535,678.4","5,233.3","8,366.6","111,193.2","11,166.1","171,575.9",0.0,"17,140.2","64,608.8","109,744.6","229,843.9","1,348,227.7",,
1138 Instrumentos financieros restringidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10,522.9",0.0,"10,522.9",,
114 Préstamos,"4,097,562.8","2,788,101.5","2,296,506.8","1,018,690.3","30,964.1","322,597.8","956,636.9","2,424,750.9","125,757.5","513,783.8","610,835.5","796,740.1","15,982,928.0",,
1141 Préstamos pactados hasta un año plazo,"656,254.4","357,852.6","354,557.0","71,967.1","31,149.5","47,074.8","306,488.0","489,473.2","7,425.3","77,303.5","109,045.8","61,173.8","2,569,765.0",,
1142 Préstamos pactados a más de un año plazo,"3,504,414.2","2,470,273.8","1,956,168.3","957,480.8",0.0,"276,451.4","653,050.4","1,948,210.4","121,566.4","438,485.3","505,835.5","738,057.3","13,569,993.7",,
1148 Préstamos vencidos,"44,237.7","81,058.6","51,777.1","25,117.9",0.0,"8,884.6","20,671.2","40,011.9","9,904.8","1,324.3","16,724.6","3,229.2","302,941.8",,
1149 Provisión para incobrabilidad de préstamos,"-107,343.4","-121,083.5","-65,995.6","-35,875.5",-185.5,"-9,812.9","-23,572.6","-52,944.6","-13,139.0","-3,329.3","-20,770.4","-5,720.2","-459,772.5",,
12 Otros activos,"104,964.7","96,028.4","31,740.3","24,620.5","1,701.4","12,827.2","30,447.6","19,202.6","6,176.8","3,431.6","17,088.8","25,428.1","373,658.1",,
1210 Saldos entre compañías,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1220 Bienes recibidos en pago o adjudicados,"20,097.6","2,426.4","7,140.2","11,896.0",0.0,"4,985.7","2,786.5","2,121.8",0.0,0.0,"3,298.5","2,655.3","57,408.0",,
1230 Existencias,917.3,173.7,391.0,156.9,0.0,324.9,124.2,282.8,0.0,42.1,97.9,45.5,"2,556.2",,
1240 Gastos pagados por anticipado,"6,058.0","11,733.1","3,175.0",976.7,43.7,473.1,"7,274.8","2,421.4","4,106.3",595.8,"6,516.0","2,149.3","45,523.0",,
1250 Cuentas por cobrar,"46,475.2","18,907.1","9,664.4","8,761.8","1,141.9","6,958.2","17,816.1","5,874.1",918.2,"1,883.5","3,691.0","15,389.4","137,480.9",,
1251 Impuestos,"21,213.5","33,765.8","7,511.0","2,823.0",515.8,804.5,"3,472.2","1,925.4","1,152.3",910.2,"3,742.4","3,299.0","81,135.2",,
1259 Estimación de pérdida por deterioro de valor,"-1,759.8","-2,432.1","-2,298.7",-108.1,0.0,-719.1,"-1,026.1",-358.0,0.0,0.0,-256.9,-98.9,"-9,057.7",,
"1260 Inversiones en acciones, derechos y participaciones","11,963.0","31,454.3","6,157.4",114.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,988.4","51,677.4",,
1261 Plusvalía comprada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,935.1",0.0,0.0,0.0,0.0,"6,935.1",,
1270 Activos mantenidos para la venta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13 Activos físicos e intangibles,"118,805.8","117,778.8","62,884.7","16,640.7","3,368.2","20,406.8","22,947.8","52,050.7","9,588.3","5,497.6","25,181.6","24,777.9","479,928.8",,
131 Propiedades no depreciables,"29,781.3","41,617.0","20,255.8","8,156.2",247.7,"8,921.7","3,448.6","12,177.7",0.0,730.1,"2,157.5","6,377.2","133,870.8",,
1310 Propiedades no depreciables,"29,781.3","41,617.0","20,255.8","8,156.2",247.7,"8,921.7","3,448.6","12,177.7",0.0,730.1,"2,157.5","6,377.2","133,870.8",,
132 Propiedades y equipo depreciables,"61,638.0","40,062.1","28,687.5","6,836.1","3,120.5","10,679.2","14,242.6","38,696.2","4,783.9","4,238.5","9,080.6","11,296.9","233,362.1",,
1320 Depreciables,"159,963.0","136,220.6","83,237.6","24,741.2","4,734.9","35,986.1","37,908.7","90,962.2","5,777.5","9,473.1","19,462.4","25,096.0","633,563.3",,
1329 Depreciación y deterioro acumulada(o) (-),"-98,325.0","-96,158.5","-54,550.2","-17,905.1","-1,614.3","-25,306.9","-23,666.1","-52,266.0",-993.6,"-5,234.6","-10,381.9","-13,799.1","-400,201.2",,
133 Intangibles,"27,386.5","36,099.7","13,941.5","1,648.3",0.0,805.9,"5,256.5","1,176.8","4,804.4",529.0,"13,943.5","7,103.8","112,696.0",,
1330 Intangibles,"38,250.6","58,276.3","34,084.0","1,648.3",0.0,805.9,"5,256.5","2,399.0","4,804.4","3,393.4","27,166.8","10,317.1","186,402.4",,
1339 Amortización y deterioro acumulada(o) (-),"-10,864.1","-22,176.7","-20,142.5",0.0,0.0,0.0,0.0,"-1,222.2",0.0,"-2,864.4","-13,223.2","-3,213.3","-73,706.4",,
Total Activos,"5,811,649.3","4,059,460.7","3,162,137.9","2,269,714.3","231,703.1","481,023.2","1,373,405.7","3,348,221.5","181,701.1","668,186.6","875,822.4","1,228,562.1","23,691,587.8",,
,,,,,,,,,,,,,,,
4110 Cartas de crédito,"17,196.3","24,892.9","14,632.5",202.4,0.0,0.0,0.0,"64,759.3",0.0,"1,150.9","2,331.1",0.0,"125,165.4",,
4120 Avales y fianzas,"91,129.9","80,573.9","123,047.0","18,713.8","4,908.6","5,732.4","6,992.5","71,573.8",0.0,"20,655.7","2,046.5","6,316.9","431,691.0",,
4129 Provisión por pérdidas,"-16,325.3","-15,716.9","-4,846.2","-10,061.6",-8.7,"-5,732.4",0.0,-114.2,0.0,0.0,0.0,0.0,"-52,805.1",,
4130 Operaciones con instrumentos financieros derivados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4180 Otras,0.0,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,,
,,,,,,,,,,,0.0,,0.0,,
Total derechos futuros y contingencias,"92,001.0","89,749.9","132,833.3","8,854.6","4,935.6",0.0,"6,992.5","136,218.9",0.0,"21,806.7","4,377.6","6,316.9","504,086.9",,
,,,,,,,,,,,,,0.0,,
Total activos + derechos futuros y contingencias,"5,903,650.2","4,149,210.5","3,294,971.2","2,278,568.9","236,638.6","481,023.2","1,380,398.2","3,484,440.5","181,701.1","689,993.3","880,200.0","1,234,879.0","24,195,674.7",,
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos,"5,039,849.4","3,500,544.4","2,742,967.9","2,056,536.1","189,921.6","379,038.3","1,224,207.9","2,964,906.6","144,981.3","563,160.3","763,325.5","1,105,987.7","20,675,426.8",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2100 Mantenidos para negociar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
211 Pasivos financieros a costo amortizado,"4,856,761.3","3,277,240.2","2,515,082.3","1,728,001.2","187,564.9","378,934.5","1,174,378.7","2,784,276.6","138,191.6","494,357.2","705,344.1","911,089.4","19,151,222.1",,
2110 Depósitos a la vista,"3,253,712.5","1,976,982.7","1,345,211.3","677,935.9","183,529.1","248,009.4","545,267.0","1,660,554.8","16,078.4","195,665.8","210,009.5","292,054.3","10,605,010.7",,
2111 Depósitos pactados hasta un año plazo,"837,996.1","929,208.1","846,827.5","760,477.4",0.0,"99,854.8","426,142.0","783,307.1","90,505.3","216,902.2","347,425.4","287,238.3","5,625,884.2",,
2112 Depósitos pactados a más de un año plazo,"96,352.2","31,748.2","118,076.2","192,807.4",0.0,158.9,"24,939.5","69,701.8","17,911.6","3,829.0","22,805.3","175,217.7","753,547.8",,
2113 Certificados de depósitos negociables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2114 Depósitos restringidos e inactivos,"78,793.1","64,693.4","49,220.7","22,025.9","2,104.8","9,954.9","29,332.7","17,227.7","3,050.2","6,641.0","9,541.7","10,282.9","302,869.0",,
2115 Operaciones con pacto de retrocompra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10,522.9","5,494.9","16,017.8",,
2116 Préstamos pactados hasta un año plazo,"180,064.8","49,167.4","62,963.9","15,311.4",0.0,16.2,"22,959.2","154,484.5","3,051.0","33,929.4","10,457.0","13,432.8","545,837.7",,
2117 Préstamos pactados a más de un año plazo,"81,429.6","39,220.9","4,621.8","53,053.9",0.0,"3,777.1","25,852.2","99,000.7","3,088.0","37,389.7","48,973.4","80,802.1","477,209.5",,
2118 Préstamos pactados a cinco o mas años plazo,"258,099.2","186,219.5","88,160.9","6,389.3","1,931.1","17,163.1","69,060.6",0.0,"4,507.0",0.0,"45,609.0","46,566.5","723,706.1",,
2119 Préstamos subordinados,"70,313.8",0.0,0.0,0.0,0.0,0.0,"30,825.6",0.0,0.0,0.0,0.0,0.0,"101,139.4",,
212 Títulos de emisión propia,"163,158.9","204,079.9","216,464.2","297,872.3",0.0,0.0,"43,679.8","163,190.0","6,096.1","66,428.6","55,392.0","184,051.0","1,400,412.8",,
2120 Títulos de emisión propia,"163,158.9","204,079.9","216,464.2","297,872.3",0.0,0.0,"43,679.8","163,190.0","6,096.1","66,428.6","55,392.0","184,051.0","1,400,412.8",,
213 Obligaciones a la vista,"19,929.2","19,224.2","11,421.4","30,662.6","2,356.6",103.8,"6,149.4","17,440.0",693.7,"2,374.4","2,589.3","10,847.2","123,791.9",,
2130 Obligaciones a la vista,"19,929.2","19,224.2","11,421.4","30,662.6","2,356.6",103.8,"6,149.4","17,440.0",693.7,"2,374.4","2,589.3","10,847.2","123,791.9",,
22 Otros pasivos,"93,131.0","90,695.9","51,148.6","10,704.5","4,515.0","30,745.5","22,526.4","36,646.0","2,662.0","28,769.6","11,096.1","5,046.2","387,686.6",,
