Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,,
Datos al 31 de enero de 2025,,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,,
11 Activos," 5,960,862.44 "," 4,066,888.43 "," 3,273,196.64 "," 2,209,129.77 "," 195,579.44 "," 465,469.54 "," 1,386,183.56 "," 3,731,474.54 "," 179,262.23 "," 785,388.67 "," 867,802.85 "," 253,869.56 "," 1,258,865.13 "," 24,633,972.80 ",,
1110 Disponibilidades," 906,804.07 "," 599,885.48 "," 451,126.57 "," 305,383.91 "," 60,868.50 "," 114,847.26 "," 229,145.32 "," 574,854.10 "," 28,844.41 "," 99,435.53 "," 110,202.67 "," 46,746.24 "," 138,913.75 "," 3,667,057.80 ",,
112 Operaciones con pacto de retroventa," 5,217.92 ", 330.50 , -   , -   , -   , -   , -   , -   , 182.74 , -   , -   ," 1,755.33 "," 2,282.95 "," 9,769.44 ",,
1121 Operaciones con pacto de retroventa," 5,217.92 ", 330.50 , -   , -   , -   , -   , -   , -   , 182.74 , -   , -   ," 1,755.33 "," 2,282.95 "," 9,769.44 ",,
1130 A valor razonable con cambios en resultados (vrcr)," 849,740.07 "," 10,388.21 ", -   , -   , -   , -   , -   , -   , -   ," 2,026.76 ", -   , -   ," 46,181.57 "," 908,336.62 ",,
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 138,029.54 "," 858,822.70 ", -   , -   , -   ," 443,928.98 ", -   , -   , -   , -   , -   ," 1,440,781.22 ",,
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1134 A costo amortizado," 39,734.29 "," 463,178.04 "," 285,730.03 "," 8,867.40 "," 101,412.04 "," 10,889.83 "," 162,497.86 ", -   ," 29,814.68 "," 65,359.47 "," 131,031.43 ", -   ," 195,573.06 "," 1,494,088.13 ",,
1138 Instrumentos financieros restringidos, -   , -   ," 8,926.88 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,926.88 ",,
114 Préstamos," 4,159,366.08 "," 2,993,106.20 "," 2,389,383.63 "," 1,036,055.76 "," 33,298.90 "," 339,732.45 "," 994,540.38 "," 2,712,691.46 "," 120,420.39 "," 618,566.91 "," 626,568.76 "," 205,367.99 "," 875,913.80 "," 17,105,012.71 ",,
1141 Préstamos pactados hasta un año plazo," 845,520.44 "," 382,976.98 "," 375,908.39 "," 89,549.98 "," 33,298.90 "," 49,530.13 "," 311,963.23 "," 619,648.49 "," 5,966.67 "," 84,288.21 "," 110,782.03 "," 3,442.14 "," 155,129.61 "," 3,068,005.20 ",,
1142 Préstamos pactados a más de un año plazo," 3,365,999.31 "," 2,664,932.99 "," 2,029,859.78 "," 949,887.96 ", -   ," 290,359.30 "," 685,900.47 "," 2,113,579.55 "," 116,990.78 "," 536,350.35 "," 520,937.24 "," 202,063.11 "," 722,963.44 "," 14,199,824.28 ",,
1148 Préstamos vencidos," 44,042.60 "," 77,944.60 "," 55,480.96 "," 41,248.96 ", -   ," 9,346.97 "," 20,365.51 "," 35,777.80 "," 5,767.88 "," 1,264.64 "," 18,806.57 "," 3,943.50 "," 3,696.26 "," 317,686.23 ",,
1149 Provisión para incobrabilidad de préstamos,"-96,196.27 ","-132,748.37 ","-71,865.49 ","-44,631.14 ", -   ,"-9,503.95 ","-23,688.82 ","-56,314.38 ","-8,304.94 ","-3,336.28 ","-23,957.09 ","-4,080.75 ","-5,875.51 ","-480,503.00 ",,
12 Otros activos," 104,322.87 "," 88,664.89 "," 32,489.03 "," 27,570.20 "," 2,562.88 "," 11,061.16 "," 29,597.19 "," 28,003.01 "," 10,721.91 "," 7,689.62 "," 12,059.28 "," 6,103.68 "," 32,940.10 "," 393,785.83 ",,
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
1220 Bienes recibidos en pago o adjudicados," 17,871.27 ", 952.60 ," 4,296.84 "," 12,333.24 ", -   ," 3,478.14 "," 1,568.32 "," 1,538.74 ", -   , -   ," 3,279.21 ", 597.99 ," 2,353.99 "," 48,270.34 ",,
1230 Existencias," 1,204.05 ", 251.52 , 390.81 , 174.06 , -   , 267.38 , 56.68 , 466.66 , 11.43 , 46.56 , 97.85 , 20.93 , 21.00 ," 3,008.94 ",,
1240 Gastos pagados por anticipado," 9,796.48 "," 9,620.64 "," 3,754.29 "," 1,007.53 ", 3.78 , 112.94 ," 9,088.33 "," 3,432.04 "," 6,863.09 ", 587.25 ," 2,458.56 "," 2,132.64 "," 2,725.37 "," 51,582.93 ",,
1250 Cuentas por cobrar," 45,020.69 "," 21,655.90 "," 12,600.93 "," 9,289.45 "," 1,996.07 "," 7,118.16 "," 16,058.26 "," 13,534.53 "," 2,461.01 "," 5,893.55 "," 3,425.95 ", 705.59 ," 18,715.73 "," 158,475.83 ",,
1251 Impuestos," 23,004.59 "," 27,413.08 "," 7,485.79 "," 4,819.90 ", 563.03 , 846.54 ," 4,939.14 "," 2,455.43 "," 1,386.38 "," 1,162.25 "," 3,118.69 "," 1,639.36 "," 3,680.44 "," 82,514.62 ",,
1259 Estimación de pérdida por deterioro de valor,"-3,230.85 ","-2,804.35 ","-2,463.73 ",-168.25 , -   ,-762.00 ,"-2,113.54 ",-359.51 , -   , -   ,-320.98 ,-171.02 ,-103.38 ,"-12,497.63 ",,
"1260 Inversiones en acciones, derechos y participaciones"," 10,656.65 "," 31,575.51 "," 6,424.10 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,546.95 "," 54,317.49 ",,
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",,
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
13 Activos físicos e intangibles," 127,096.04 "," 113,591.85 "," 62,945.91 "," 23,223.51 "," 2,566.48 "," 20,724.56 "," 29,730.69 "," 53,748.77 "," 8,365.37 "," 5,448.74 "," 23,900.76 "," 9,343.22 "," 28,192.13 "," 508,878.02 ",,
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,315.29 "," 7,957.74 ", 247.69 ," 9,036.33 "," 4,233.77 "," 12,785.29 ", -   , 730.09 , 710.12 ," 2,029.77 "," 5,126.41 "," 131,281.69 ",,
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,315.29 "," 7,957.74 ", 247.69 ," 9,036.33 "," 4,233.77 "," 12,785.29 ", -   , 730.09 , 710.12 ," 2,029.77 "," 5,126.41 "," 131,281.69 ",,
132 Propiedades y equipo depreciables," 72,032.69 "," 37,810.84 "," 30,235.30 "," 13,957.32 "," 2,318.80 "," 10,143.57 "," 17,236.18 "," 39,748.95 "," 3,633.24 "," 4,258.83 "," 7,638.25 "," 6,421.48 "," 14,403.25 "," 259,838.70 ",,
1320 Depreciables," 173,914.82 "," 136,893.26 "," 86,894.68 "," 35,132.96 "," 4,630.03 "," 36,966.96 "," 44,382.97 "," 99,064.76 "," 4,193.94 "," 10,740.49 "," 18,596.69 "," 12,589.56 "," 29,907.96 "," 693,909.07 ",,
1329 Depreciación y deterioro acumulada(o) (-),"-101,882.14 ","-99,082.42 ","-56,659.38 ","-21,175.64 ","-2,311.23 ","-26,823.40 ","-27,146.78 ","-59,315.80 ",-560.70 ,"-6,481.66 ","-10,958.44 ","-6,168.08 ","-15,504.71 ","-434,070.37 ",,
133 Intangibles," 25,841.48 "," 34,893.68 "," 14,395.32 "," 1,308.45 ", -   ," 1,544.67 "," 8,260.73 "," 1,214.53 "," 4,732.13 ", 459.83 ," 15,552.38 ", 891.97 ," 8,662.47 "," 117,757.63 ",,
1330 Intangibles," 44,277.31 "," 72,407.19 "," 37,177.70 "," 1,822.92 ", -   ," 3,382.05 "," 8,260.73 "," 2,483.87 "," 7,099.39 "," 3,444.43 "," 32,240.64 "," 8,803.58 "," 14,215.22 "," 235,615.03 ",,
1339 Amortización y deterioro acumulada(o) (-),"-18,435.83 ","-37,513.52 ","-22,782.37 ",-514.47 , -   ,"-1,837.39 ", -   ,"-1,269.34 ","-2,367.26 ","-2,984.60 ","-16,688.26 ","-7,911.61 ","-5,552.76 ","-117,857.40 ",,
Total Activos," 6,192,281.35 "," 4,269,145.18 "," 3,368,631.58 "," 2,259,923.49 "," 200,708.81 "," 497,255.26 "," 1,445,511.44 "," 3,813,226.32 "," 198,349.51 "," 798,527.04 "," 903,762.89 "," 269,316.46 "," 1,319,997.36 "," 25,536,636.66 ",,
,,,,,,,,,,,,,,,,
4110 Cartas de crédito," 27,813.53 "," 9,514.56 "," 10,445.62 ", 525.75 , -   , -   , 33.44 ," 96,637.49 ", -   ," 1,180.09 "," 4,175.19 ", -   , -   ," 150,325.67 ",,
4120 Avales y fianzas," 80,786.71 "," 62,306.04 "," 136,971.88 "," 17,027.94 "," 2,930.27 "," 5,732.38 "," 6,878.21 "," 54,990.48 ", -   ," 16,876.93 "," 2,129.78 ", -   ," 8,757.37 "," 395,388.00 ",,
4129 Provisión por pérdidas,"-16,336.55 ","-14,546.73 ","-5,039.10 ","-11,551.42 ", -   ,"-5,732.38 ", -   ,-48.37 , -   , -   , -   , -   , -   ,"-53,254.54 ",,
4130 Operaciones con instrumentos financieros derivados," 8,859.90 ", 78.17 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,938.06 ",,
4180 Otras, -   , -   , -   , -   , 42.59 , -   , -   , -   , -   , -   , -   , -   , -   , 42.59 ,,
,,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 101,123.60 "," 57,352.04 "," 142,378.39 "," 6,002.28 "," 2,972.86 ", -   ," 6,911.65 "," 151,579.60 ", -   ," 18,057.02 "," 6,304.97 ", -   ," 8,757.37 "," 501,439.78 ",,
,,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,293,404.94 "," 4,326,497.22 "," 3,511,009.97 "," 2,265,925.76 "," 203,681.67 "," 497,255.26 "," 1,452,423.09 "," 3,964,805.92 "," 198,349.51 "," 816,584.06 "," 910,067.86 "," 269,316.46 "," 1,328,754.73 "," 26,038,076.44 ",,
,,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,,
21 Pasivos," 5,380,920.21 "," 3,691,477.20 "," 2,940,527.17 "," 2,024,396.32 "," 149,316.40 "," 389,541.07 "," 1,304,300.53 "," 3,408,768.84 "," 160,385.76 "," 676,559.98 "," 793,492.67 "," 224,727.27 "," 1,178,622.23 "," 22,323,035.66 ",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,
211 Pasivos financieros a costo amortizado," 5,244,893.64 "," 3,530,717.30 "," 2,775,827.12 "," 1,596,650.84 "," 147,905.66 "," 389,345.11 "," 1,257,368.31 "," 3,233,687.75 "," 150,862.07 "," 613,905.82 "," 769,791.66 "," 211,835.32 "," 1,012,144.01 "," 20,934,934.61 ",,
