Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 29 de Febrero de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"4,755,867.13","1,567,556.32","2,762,136.51","1,111,558.49","220,974.59","393,069.22","434,276.38","1,223,138.81","2,023,447.57","2,708,069.23","66,673.68","361,625.24","453,909.68","623,920.30","18,706,223.14"
1110 Fondos disponibles,"1,030,607.29","374,683.00","513,932.86","216,878.99","79,288.75","119,742.57","117,994.38","301,998.16","592,361.92","672,036.50","22,330.89","69,097.92","71,271.10","120,671.42","4,302,895.77"
112 Adquisición temporal de documentos,"6,597.54",0.00,0.00,"2,888.92",0.00,0.00,770.37,"11,248.87","8,943.00","1,651.23",0.00,0.00,0.00,0.00,"32,099.93"
1121 Documentos adquiridos hasta un año plazo,"6,597.54",0.00,0.00,"2,888.92",0.00,0.00,770.37,"11,248.87","8,943.00","1,651.23",0.00,0.00,0.00,0.00,"32,099.93"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"287,159.24","107,453.36","263,888.90","99,664.39","112,015.36","7,764.98","41,827.15","80,495.05","57,646.28","147,177.50","3,144.64","77,914.11","39,956.56","66,252.04","1,392,359.58"
1130 Titulos valores conservados para negociación,0.00,0.00,235.00,"97,114.31",0.00,0.00,"41,827.15","80,495.05",0.00,0.00,0.00,229.83,"5,000.00",0.00,"224,901.34"
1131 Titulos valores para conservarse hasta el vencimiento,"9,186.00","1,005.03","24,921.51","2,146.78",0.00,"7,764.98",0.00,0.00,"2,965.75",0.00,642.22,"71,430.26",233.13,"65,182.15","185,477.80"
1132 Titulos valores disponibles para venta,"277,985.69","106,448.34","238,732.39",403.30,"112,015.36",0.00,0.00,0.00,"54,680.53","147,177.50","2,502.42","6,254.01","34,723.43","1,069.90","981,992.88"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.44
114 Préstamos,"3,431,503.06","1,085,419.95","1,984,314.74","792,126.18","29,670.47","265,561.68","273,684.47","829,396.72","1,364,496.37","1,887,203.99","41,198.14","214,613.21","342,682.02","436,996.83","12,978,867.86"
1141 Préstamos pactados hasta un año plazo,"461,508.52","164,045.26","339,079.35","82,944.11","29,781.66","34,615.36","54,846.66","226,954.02","75,919.22","456,816.65","2,672.76","21,356.69","50,577.22","12,280.27","2,013,397.76"
1142 Préstamos pactados a mas de un año plazo,"3,012,220.23","924,374.95","1,646,470.68","715,458.44",0.00,"230,958.22","221,494.91","602,667.93","1,288,984.06","1,437,696.44","38,600.14","194,019.64","293,408.17","424,759.75","11,031,113.57"
1148 Préstamos vencidos,"44,458.51","20,523.06","39,973.84","16,355.63",0.00,"9,796.38","4,040.29","22,522.29","40,143.09","23,635.29","1,887.38","1,995.84","3,304.34","2,715.64","231,351.59"
1149 Provisión para incobrabilidad de préstamos,"-86,684.20","-23,523.32","-41,209.14","-22,632.00",-111.18,"-9,808.29","-6,697.39","-22,747.51","-40,550.01","-30,944.39","-1,962.13","-2,758.97","-4,607.71","-2,758.83","-296,995.06"
12 Otros activos,"108,482.00","49,378.25","51,244.46","16,057.97","1,254.81","11,966.15","8,327.62","40,996.50","54,690.78","28,269.39","7,685.01","2,747.24","20,055.83","13,833.69","414,989.71"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"40,303.05",430.12,"13,076.41","9,803.13",0.00,"5,730.18","2,003.40","11,464.04","8,210.33","8,248.39",0.00,0.00,0.00,"5,599.67","104,868.73"
1230 Existencias,507.80,417.43,445.95,44.66,0.00,322.79,65.64,350.62,162.51,314.89,0.00,22.82,25.13,17.71,"2,697.94"
1240 Gastos pagados por anticipado y cargos diferidos,"29,761.67","22,021.03","25,876.57","3,170.57",663.57,"2,510.83","5,019.15","15,288.98","12,721.36","10,237.85","1,978.97","1,629.59","17,054.63","2,639.87","150,574.64"
1250 Cuentas por cobrar,"29,102.74","14,488.18","8,089.79","3,046.32",591.24,"3,778.74",556.36,"13,892.87","17,995.13","9,729.99","5,706.05","1,094.84","2,999.63","5,660.30","116,732.18"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,341.45",-683.06,"-1,529.18",-120.98,0.00,-376.40,-105.10,0.00,"-1,748.93",-261.74,0.00,0.00,-23.57,-83.85,"-6,274.25"
1260 derechos y participaciones,"10,148.19","12,704.54","5,284.92",114.28,0.00,0.00,788.17,0.00,"17,350.37",0.00,0.00,0.00,0.00,0.00,"46,390.46"
13 Activo fijo,"92,963.27","63,120.07","46,014.71","16,421.23","1,020.68","19,224.98","5,162.05","16,271.24","32,580.95","24,751.86","3,869.02","1,021.91","1,906.50","11,041.73","335,370.20"
1310 No depreciables,"30,649.29","22,764.54","20,990.68","8,470.21",247.69,"9,664.68","3,486.79","1,850.69","20,499.16","2,414.07",0.00,0.00,312.39,"7,711.84","129,062.04"
1320 depreciables,"155,420.78","54,905.13","62,531.89","22,494.27","2,216.51","31,595.76","5,875.60","30,885.95","62,001.97","41,792.34","11,096.44","2,883.03","4,851.75","17,158.15","505,709.56"
1329 depreciación acumulada,"-95,110.87","-36,032.50","-42,691.66","-15,450.80","-1,502.08","-22,850.57","-4,321.01","-18,273.18","-49,920.19","-22,477.88","-8,468.58","-2,499.72","-4,132.68","-14,272.30","-338,004.03"
1330 Amortizables,"2,004.08","21,482.89","5,183.80",907.55,58.56,815.11,120.66,"1,807.79",0.00,"3,023.33","1,241.15",638.61,875.04,444.04,"38,602.62"
Total Activos,"4,957,312.40","1,680,054.64","2,859,395.67","1,144,037.69","223,250.08","424,260.35","447,766.05","1,280,406.55","2,110,719.30","2,761,090.48","78,227.71","365,394.39","475,872.01","648,795.72","19,456,583.04"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"9,207.84","11,966.07","13,719.40","1,166.33",0.00,0.00,"7,703.25",16.98,456.86,"43,031.95",0.00,403.40,0.00,0.00,"87,672.08"
4119 Provisión por pérdidas,0.00,-2.56,0.00,-1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.03
4120 Contingencias por avales y fianzas,"130,590.58","46,693.97","85,100.77","13,836.97","8,329.53","6,383.48","3,227.68","9,249.86","123,792.96","68,865.05",0.00,"17,888.63",0.00,"2,766.60","516,726.06"
4129 Provisión por pérdidas,"-15,347.96","-13,319.89","-9,505.01","-5,635.70",-27.51,"-5,043.22",0.00,0.00,"-2,780.82",-402.22,0.00,-3.29,0.00,0.00,"-52,065.62"
4131 derechos por operaciones en moneda extranjera,"3,541.67",121.03,0.00,0.00,"2,439.92",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,102.62"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"127,992.12","45,458.63","89,315.16","9,366.12","10,741.94","1,340.26","10,930.93","9,266.84","121,469.00","111,494.78",0.00,"18,288.74",0.00,"2,766.60","558,431.11"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,085,304.53","1,725,513.27","2,948,710.83","1,153,403.81","233,992.02","425,600.61","458,696.98","1,289,673.39","2,232,188.30","2,872,585.26","78,227.71","383,683.13","475,872.01","651,562.31","20,015,014.16"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,209,076.72","1,439,611.47","2,504,490.35","997,603.35","176,513.84","344,177.23","378,418.19","1,114,272.60","1,829,023.03","2,430,148.67","48,512.95","312,069.68","421,337.18","582,637.08","16,787,892.35"
211 depósitos,"3,611,784.86","1,184,618.61","1,891,082.72","841,700.91","144,061.78","327,325.91","320,748.90","943,329.62","1,516,267.86","2,046,039.41","48,436.29","252,307.01","293,975.27","410,357.85","13,832,036.98"
2110 depósitos a la vista,"2,508,372.78","856,643.56","1,037,849.86","401,670.20","142,226.17","164,243.24","162,880.60","475,446.21","712,041.45","1,310,759.69","16,065.10","87,871.22","87,786.88","175,208.49","8,139,065.43"
211001 depósitos en cuenta corriente,"904,287.16","469,115.59","486,343.81","201,424.87","134,428.49","32,467.35","128,525.81","280,691.49","311,272.54","893,043.45","16,065.10","36,894.13","52,317.97","107,158.57","4,054,036.30"
211002 depósitos de ahorro,"1,603,846.80","387,527.97","551,405.03","200,243.53","7,797.68","131,775.88","34,354.79","194,754.72","400,768.91","417,716.24",0.00,"50,977.09","35,468.87","68,049.93","4,084,687.45"
211003 depósitos en cuenta de ahorro simplificada,238.82,0.00,101.02,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,341.68
2111 depósitos pactados hasta un año plazo,"962,903.38","305,033.11","653,297.42","392,903.13",0.00,"157,972.00","150,990.51","448,285.93","752,469.59","679,582.78","28,788.44","158,318.26","184,887.36","209,271.12","5,084,703.01"
2112 depósitos pactados a mas de un año plazo,"81,445.97","1,355.42","159,906.94","31,502.35",0.00,217.89,0.00,"2,174.22","3,539.40","40,881.47",0.00,174.79,"17,470.79","22,104.26","360,773.48"
2114 depósitos restringidos e inactivos,"59,062.73","21,586.53","40,028.51","15,625.23","1,835.61","4,892.78","6,877.79","17,423.26","48,217.43","14,815.48","3,582.75","5,942.75","3,830.24","3,773.97","247,495.06"
212 Préstamos,"363,818.90","180,314.04","394,049.25","123,625.95","25,025.98","16,195.17","19,606.30","165,124.35","176,064.06","164,377.84",0.00,"56,738.75","57,679.68","85,669.20","1,828,289.47"
2121 Préstamos pactados hasta un año plazo,"35,487.68","46,110.56","223,781.17","21,087.97","25,025.98",42.85,"8,432.58","38,717.50","1,330.50","149,330.32",0.00,"7,894.46","7,960.17",0.00,"565,201.75"
2122 Préstamos pactados a mas de un año plazo,"328,331.22",106.72,"12,360.61","87,569.03",0.00,"16,116.34","11,173.71","56,314.48","150,425.87","15,047.52",0.00,"48,844.29","49,719.52","59,918.31","835,927.61"
2123 Préstamos pactados a cinco o mas años plazo,0.00,"134,096.76","157,907.47","14,968.95",0.00,35.98,0.00,"70,092.36","24,307.69",0.00,0.00,0.00,0.00,"25,750.89","427,160.11"
2130 Obligaciones a la vista,"21,404.93","14,583.57","18,380.49","31,876.34","7,426.09",656.16,"3,609.55","5,818.63","6,085.65","28,596.35",50.57,"3,023.92","2,118.34","13,630.04","157,260.63"
214 Títulos de emisión propia,"212,068.04","60,095.25","200,742.89",0.00,0.00,0.00,"34,453.44",0.00,"130,605.46","191,135.06",0.00,0.00,"62,563.89","72,979.99","964,644.01"
