Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 28 de Febrero de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,122,354.65","3,410,348.38","2,802,167.77","1,372,791.88","269,492.14","394,030.79","414,790.15","1,259,586.81","2,828,188.44","70,919.97","401,291.42","517,524.21","741,007.68","19,604,494.27"
1110 Fondos disponibles,"1,029,771.53","662,163.68","291,378.04","234,284.34","105,176.41","114,412.02","58,668.87","274,101.84","555,274.42","13,020.41","67,658.50","70,308.09","125,435.84","3,601,654.00"
112 Adquisición temporal de documentos,"18,634.50",0.00,"1,450.00","15,575.02",0.00,168.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"35,828.36"
1121 Documentos adquiridos hasta un año plazo,"18,634.50",0.00,"1,450.00","15,575.02",0.00,168.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"35,828.36"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"870,892.75","393,197.12","493,339.62","234,579.54","144,573.86","8,990.12","106,107.78","177,829.43","339,764.26","14,604.93","102,688.60","78,678.56","116,558.77","3,081,805.35"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"223,305.18","4,971.83",0.00,"7,403.68",0.00,0.00,"2,733.47",126.19,"8,000.00",0.00,"246,540.35"
1131 Titulos valores para conservarse hasta el vencimiento,"18,984.60","2,505.79","25,032.75","2,147.26",0.00,"8,990.12","98,704.11",0.00,0.00,0.00,"85,585.69","17,072.59","113,097.71","372,120.63"
1132 Titulos valores disponibles para venta,"851,920.60","390,691.32","468,306.87","9,127.09","139,602.03",0.00,0.00,"177,829.43","339,764.26","11,871.46","16,976.72","53,605.97","3,461.06","2,463,156.81"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.44
114 Préstamos,"3,203,055.85","2,354,987.59","2,016,000.11","888,352.97","19,741.87","270,459.81","250,013.49","807,655.54","1,933,149.75","43,294.63","230,944.31","368,537.56","499,013.07","12,885,206.56"
1141 Préstamos pactados hasta un año plazo,"485,481.26","207,815.05","287,203.46","117,393.09","19,808.20","40,186.42","56,162.52","227,647.09","399,738.71","2,456.61","20,256.06","47,066.27","58,721.83","1,969,936.57"
1142 Préstamos pactados a mas de un año plazo,"2,814,059.68","2,183,126.61","1,750,510.66","777,006.25",0.00,"233,258.73","198,512.50","600,843.16","1,553,836.64","41,396.03","212,813.78","325,739.18","442,396.69","11,133,499.91"
1148 Préstamos vencidos,"65,950.93","67,436.37","39,514.76","15,381.18",0.00,"8,169.54","4,003.02","8,033.37","31,852.63","3,250.45",793.75,"1,803.52","3,010.79","249,200.30"
1149 Provisión para incobrabilidad de préstamos,"-162,436.02","-103,390.45","-61,228.77","-21,427.54",-66.33,"-11,154.89","-8,664.55","-28,868.07","-52,278.23","-3,808.46","-2,919.27","-6,071.40","-5,116.24","-467,430.22"
12 Otros activos,"170,796.85","138,741.88","67,354.16","40,355.78","9,204.52","13,530.07","6,029.78","57,284.92","30,967.94","8,592.57","1,922.25","20,120.48","17,217.37","582,118.57"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"37,845.04","5,390.81","13,620.58","13,442.91",0.00,"5,665.88",819.76,"12,191.59","9,158.61",0.00,0.00,"1,716.11","4,755.20","104,606.48"
1230 Existencias,411.32,433.35,382.92,53.81,0.00,279.53,75.65,258.82,359.35,0.00,44.45,25.13,21.23,"2,345.55"
1240 Gastos pagados por anticipado y cargos diferidos,"60,528.50","47,602.36","31,277.53","3,265.68",455.90,"2,064.46","4,289.47","17,106.84","9,241.33","6,005.37","1,384.72","16,374.95","4,046.83","203,643.93"
1250 Cuentas por cobrar,"63,178.63","57,080.34","17,781.31","23,572.57","8,748.63","6,312.70",277.41,"28,419.67","12,556.13","2,587.21",493.08,"2,021.26","8,479.86","231,508.81"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,679.71","-2,428.23","-1,703.23",-93.47,0.00,-792.50,-107.76,-692.00,-347.49,0.00,0.00,-16.97,-85.76,"-7,947.12"
1260 derechos y participaciones,"10,513.08","30,663.25","5,995.06",114.28,0.00,0.00,675.24,0.00,0.00,0.00,0.00,0.00,0.00,"47,960.91"
13 Activo fijo,"89,957.70","98,913.99","46,560.79","16,725.25","1,231.07","19,396.37","5,378.34","16,943.76","29,406.21","2,477.09",902.87,"1,811.50","13,634.21","343,339.15"
1310 No depreciables,"30,591.38","42,828.76","19,059.49","8,470.21",247.69,"8,351.14","3,486.79","1,893.52","3,934.46",0.00,140.25,93.45,"9,324.36","128,421.48"
1320 depreciables,"157,282.61","112,676.61","65,028.05","23,203.77","2,275.30","34,144.49","6,343.99","33,461.44","47,371.39","10,954.01","2,950.24","5,304.80","17,612.16","518,608.85"
1329 depreciación acumulada,"-99,433.31","-86,002.41","-42,835.22","-16,004.50","-1,346.75","-24,286.22","-4,554.13","-20,027.98","-25,557.89","-9,387.58","-2,595.14","-4,654.80","-14,760.83","-351,446.76"
1330 Amortizables,"1,517.02","29,411.03","5,308.47","1,055.77",54.83,"1,186.96",101.69,"1,616.79","3,658.25",910.67,407.52,"1,068.05","1,458.52","47,755.57"
Total Activos,"5,383,109.19","3,648,004.25","2,916,082.72","1,429,872.91","279,927.73","426,957.23","426,198.27","1,333,815.49","2,888,562.58","81,989.64","404,116.53","539,456.19","771,859.26","20,529,951.99"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"19,559.11","21,977.13","12,871.74","9,684.71",83.47,0.00,"6,537.13",79.73,"31,725.45",0.00,771.75,64.99,0.00,"103,355.21"
4119 Provisión por pérdidas,0.00,-2.82,-0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.68
4120 Contingencias por avales y fianzas,"132,189.14","128,131.45","78,262.69","15,818.37","10,638.99","6,377.79","4,096.23","10,519.01","64,287.32",0.00,"13,811.46",0.00,"5,140.50","469,272.96"
4129 Provisión por pérdidas,"-16,193.99","-15,681.39","-9,683.76","-5,911.39",-38.82,"-5,248.09",0.00,0.00,-534.50,0.00,-2.23,0.00,0.00,"-53,294.18"
4131 derechos por operaciones en moneda extranjera,541.40,0.00,0.00,0.00,55.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,597.08
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"136,095.65","134,424.37","81,449.82","19,591.69","10,739.31","1,129.70","10,633.36","10,598.74","95,478.27",0.00,"14,580.97",64.99,"5,140.50","519,927.38"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,519,204.84","3,782,428.62","2,997,532.53","1,449,464.60","290,667.04","428,086.93","436,831.63","1,344,414.23","2,984,040.86","81,989.64","418,697.51","539,521.18","776,999.75","21,049,879.37"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,665,443.70","3,114,198.90","2,546,627.99","1,255,487.24","230,710.07","341,935.89","363,025.94","1,156,044.40","2,542,358.82","53,313.28","354,249.20","480,693.48","690,531.92","17,794,620.82"
211 depósitos,"4,096,557.47","2,806,854.16","2,089,817.00","1,104,579.83","215,018.77","330,147.91","326,758.44","1,010,247.05","2,212,764.42","53,264.05","303,810.39","349,924.41","523,821.14","15,423,565.04"
2110 depósitos a la vista,"3,070,753.11","1,725,974.58","1,147,558.14","529,279.91","190,189.00","207,132.09","159,399.26","530,861.70","1,499,308.18","12,095.76","111,944.52","138,172.18","217,240.70","9,539,909.12"
211001 depósitos en cuenta corriente,"1,163,569.38","841,717.04","547,356.13","280,445.30","168,761.70","51,926.45","116,991.53","334,794.07","977,333.97","12,095.76","43,247.44","99,484.22","142,327.23","4,780,050.22"
211002 depósitos de ahorro,"1,905,971.29","884,257.55","599,831.52","248,832.81","21,427.30","155,205.63","42,407.73","196,067.63","521,974.21",0.00,"68,697.08","38,685.55","74,913.47","4,758,271.77"
211003 depósitos en cuenta de ahorro simplificada,"1,212.44",0.00,370.49,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.41,0.00,"1,587.14"
2111 depósitos pactados hasta un año plazo,"874,768.31","982,337.53","764,648.63","511,197.35","23,007.74","116,114.89","161,923.29","455,103.69","651,521.04","36,563.26","187,260.86","187,025.08","279,249.79","5,230,721.46"
2112 depósitos pactados a mas de un año plazo,"69,082.01","18,418.21","130,417.92","47,351.20",0.00,245.76,0.00,"1,876.91","41,800.60",0.00,318.70,"19,501.02","20,924.37","349,936.70"
2114 depósitos restringidos e inactivos,"81,954.04","80,123.84","47,192.32","16,751.37","1,822.03","6,655.17","5,435.89","22,404.75","20,134.60","4,605.03","4,286.30","5,226.13","6,406.28","302,997.76"
212 Préstamos,"330,711.63","158,002.04","297,305.09","117,663.95","10,000.24","11,188.80","10,145.33","138,025.09","174,645.10",0.00,"49,069.42","63,926.22","84,901.64","1,445,584.56"
2121 Préstamos pactados hasta un año plazo,"30,591.66","8,285.83","136,320.20","22,910.95","10,000.24",27.04,"4,609.14","15,736.25","106,925.16",0.00,"5,303.19","5,265.85","9,039.36","355,014.85"
2122 Préstamos pactados a mas de un año plazo,"45,196.25",184.31,"9,737.52","75,794.53",0.00,"11,153.26","5,536.20","53,690.90","67,719.94",0.00,"43,766.23","44,821.04","50,469.27","408,069.45"
2123 Préstamos pactados a cinco o mas años plazo,"254,923.72","149,531.91","151,247.37","18,958.47",0.00,8.50,0.00,"68,597.95",0.00,0.00,0.00,"13,839.34","25,393.01","682,500.26"
2130 Obligaciones a la vista,"26,118.60","16,472.24","14,641.77","33,243.46","5,691.07",599.18,777.24,"7,772.26","19,234.52",38.57,"1,369.39","2,317.47","2,789.33","131,065.10"
214 Títulos de emisión propia,"212,055.99","132,870.45","144,864.14",0.00,0.00,0.00,"25,344.92",0.00,"135,714.77",0.00,0.00,"56,525.37","79,019.81","786,395.45"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,837.34,837.34
2142 Pactados a mas de un año plazo,"212,055.99","132,870.45","144,864.14",0.00,0.00,0.00,"25,344.92",0.00,"135,714.77",0.00,0.00,"56,525.37","78,182.46","785,558.11"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,000.00",0.00,"8,000.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,000.00",0.00,"8,000.00"
