Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 28 de Febrero de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,244,235.80","3,548,078.35","2,777,836.24","1,682,659.35","205,890.02","453,201.66","367,648.26","1,268,336.05","2,966,557.23","104,274.57","438,652.97","530,555.06","856,487.10","20,444,412.66"
1110 Fondos disponibles,"1,084,476.77","601,719.13","360,753.89","279,634.30","140,866.05","169,904.89","91,595.53","239,634.06","511,636.27","16,094.06","74,889.85","72,441.70","144,665.55","3,788,312.06"
112 Adquisición temporal de documentos,"5,479.36",0.00,0.00,0.00,0.00,"1,303.42",895.33,"3,000.00",0.00,0.00,0.00,0.00,"1,669.83","12,347.93"
1121 Documentos adquiridos hasta un año plazo,"5,479.36",0.00,0.00,0.00,0.00,"1,303.42",895.33,"3,000.00",0.00,0.00,0.00,0.00,"1,669.83","12,347.93"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"734,625.45","455,871.36","327,586.80","387,326.61","44,201.16","12,922.45","53,851.84","190,944.34","340,137.54","5,382.04","51,948.61","72,987.62","125,865.10","2,803,650.92"
1130 Titulos valores conservados para negociación,"6,938.24",0.00,0.00,"384,729.17",0.00,0.00,159.58,0.00,0.00,"1,300.00",39.69,0.00,"1,000.00","394,166.68"
1131 Titulos valores para conservarse hasta el vencimiento,"121,481.03","10,263.22","8,269.55","2,147.74",0.00,"12,922.45","53,692.26",0.00,0.00,0.00,"34,961.50","22,974.81","124,865.10","391,577.64"
1132 Titulos valores disponibles para venta,"606,206.18","445,608.15","319,283.37",449.70,"44,201.16",0.00,0.00,"190,944.34","340,137.54","4,082.04","16,947.43","50,012.81",0.00,"2,017,872.71"
1134 Instrumentos financieros para cobertura,0.00,0.00,33.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.88
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,419,654.22","2,490,487.85","2,089,495.56","1,015,698.44","20,822.80","269,070.91","221,305.56","834,757.65","2,114,783.43","82,798.47","311,814.51","385,125.75","584,286.62","13,840,101.76"
1141 Préstamos pactados hasta un año plazo,"543,777.20","311,106.40","270,487.03","77,546.51","20,828.67","35,803.88","73,816.84","246,874.60","424,414.62","4,364.84","39,815.94","42,632.62","96,650.26","2,188,119.41"
1142 Préstamos pactados a mas de un año plazo,"2,947,057.38","2,210,753.11","1,837,623.80","950,992.64",0.00,"235,699.71","148,950.17","595,371.77","1,707,646.34","78,597.61","273,920.28","328,360.27","491,916.68","11,806,889.76"
1148 Préstamos vencidos,"45,557.90","82,238.13","36,784.83","16,054.82",0.00,"8,031.65","5,859.42","21,454.54","31,986.99","7,511.31","1,135.92","20,856.91","3,497.92","280,970.33"
1149 Provisión para incobrabilidad de préstamos,"-116,738.26","-113,609.78","-55,400.11","-28,895.52",-5.86,"-10,464.33","-7,320.88","-28,943.26","-49,264.52","-7,675.29","-3,057.63","-6,724.05","-7,778.24","-435,877.74"
12 Otros activos,"141,118.34","109,808.07","70,622.86","21,004.52","1,571.54","10,864.44","7,262.55","43,338.29","32,383.71","9,257.78","2,417.64","24,082.93","25,062.35","498,795.03"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"33,227.51","3,459.91","9,684.80","13,561.36",0.00,"4,646.61","1,858.81","12,844.71","6,645.49",0.00,0.00,994.93,"4,274.50","91,198.62"
1230 Existencias,556.72,395.76,297.67,113.19,0.00,206.41,80.75,320.22,367.93,0.00,61.85,108.72,20.52,"2,529.74"
1240 Gastos pagados por anticipado y cargos diferidos,"53,170.07","37,258.42","34,130.40","2,231.97",402.94,"1,216.62","3,982.61","18,385.04","11,624.60","6,608.31","1,276.09","17,984.68","5,308.05","193,579.81"
1250 Cuentas por cobrar,"45,119.46","39,691.41","21,916.83","5,080.10","1,168.59","5,576.58",894.71,"11,854.38","14,126.49","2,649.46","1,079.70","5,035.66","14,303.26","168,496.62"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,410.95","-2,903.32","-1,635.53",-96.37,0.00,-781.78,-51.23,-66.06,-380.80,0.00,0.00,-41.05,-111.74,"-8,478.83"
1260 derechos y participaciones,"11,455.54","31,905.90","6,228.70",114.28,0.00,0.00,496.91,0.00,0.00,0.00,0.00,0.00,"1,267.75","51,469.07"
13 Activo fijo,"85,804.33","112,598.35","44,003.92","16,023.04","1,096.33","20,479.67","5,080.02","16,081.90","36,065.75","3,163.70","2,105.21","1,675.22","6,794.29","350,971.73"
1310 No depreciables,"30,595.87","41,501.19","18,724.05","8,064.98",247.69,"8,511.38","3,496.68","2,175.75","9,741.75",0.00,870.33,168.65,"3,482.25","127,580.58"
1320 depreciables,"140,197.47","114,345.70","64,901.39","21,978.13","2,222.20","35,953.92","6,449.27","33,890.44","47,460.48","11,345.38","3,560.42","5,378.14","15,250.67","502,933.60"
1329 depreciación acumulada,"-86,344.01","-88,505.36","-44,147.64","-15,798.55","-1,470.27","-25,112.28","-4,943.37","-21,568.07","-27,416.70","-10,225.07","-2,680.83","-4,852.97","-12,202.97","-345,268.09"
1330 Amortizables,"1,355.00","45,256.81","4,526.12","1,778.48",96.71,"1,126.65",77.44,"1,583.79","6,280.22","2,043.39",355.29,981.40,264.33,"65,725.65"
Total Activos,"5,471,158.47","3,770,484.76","2,892,463.03","1,719,686.91","208,557.88","484,545.77","379,990.83","1,327,756.24","3,035,006.70","116,696.05","443,175.83","556,313.21","888,343.74","21,294,179.43"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"46,002.21","10,356.56","18,735.88",676.53,735.00,0.00,"3,403.49",91.71,"41,146.63",0.00,"1,130.89",83.85,0.00,"122,362.76"
4119 Provisión por pérdidas,-1.78,-2.78,0.00,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.05
4120 Contingencias por avales y fianzas,"123,547.62","110,155.43","92,491.70","15,945.76","8,548.21","6,358.04","2,791.27","10,592.53","111,980.02",0.00,"17,850.83",0.00,"6,394.98","506,656.37"
4129 Provisión por pérdidas,"-16,351.75","-15,791.16","-4,734.15","-6,120.89",-46.12,"-5,459.54",0.00,0.00,-135.37,0.00,0.00,0.00,0.00,"-48,638.98"
4131 derechos por operaciones en moneda extranjera,"13,876.69",494.39,0.00,0.00,506.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"14,877.33"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"167,073.00","105,212.44","106,493.43","10,500.91","9,743.34",898.50,"6,194.76","10,684.24","152,991.28",0.00,"18,981.72",83.85,"6,394.98","595,252.43"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,638,231.47","3,875,697.20","2,998,956.45","1,730,187.82","218,301.22","485,444.27","386,185.59","1,338,440.48","3,187,997.98","116,696.05","462,157.55","556,397.07","894,738.72","21,889,431.86"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,679,877.20","3,262,331.55","2,499,675.81","1,540,473.07","166,437.36","394,022.54","312,983.64","1,147,821.09","2,701,437.83","85,907.79","349,794.80","495,613.65","791,997.22","18,428,373.55"
211 depósitos,"4,103,051.74","2,876,564.05","2,020,812.17","1,399,638.97","161,083.39","382,490.26","279,776.99","980,882.15","2,332,006.76","80,675.33","317,352.07","374,026.60","555,676.19","15,864,036.67"
2110 depósitos a la vista,"3,199,803.84","1,890,024.73","1,183,551.74","691,427.45","159,164.24","262,172.19","143,706.15","570,678.38","1,633,333.63","12,078.19","139,731.20","135,408.35","288,399.73","10,309,479.81"
211001 depósitos en cuenta corriente,"1,074,429.24","873,635.31","535,036.26","398,990.08","153,604.18","80,601.80","101,599.53","342,995.95","1,061,865.28","12,078.19","50,616.08","82,168.69","207,810.94","4,975,431.52"
211002 depósitos de ahorro,"2,123,468.60","1,016,389.42","648,027.66","292,437.38","5,560.05","181,570.38","42,106.62","227,682.43","571,468.35",0.00,"89,115.12","53,234.11","80,588.79","5,331,648.91"
211003 depósitos en cuenta de ahorro simplificada,"1,906.00",0.00,487.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,"2,399.39"
2111 depósitos pactados hasta un año plazo,"763,089.28","899,329.64","714,684.69","639,421.19",0.00,"113,158.47","131,826.61","390,584.82","639,539.43","64,865.78","171,491.59","215,890.62","238,078.94","4,981,961.07"
2112 depósitos pactados a mas de un año plazo,"70,510.71","18,313.09","75,985.82","48,601.71",0.00,243.35,0.00,"2,393.55","40,740.26",0.00,"1,864.68","20,350.41","20,776.14","299,779.71"
2114 depósitos restringidos e inactivos,"69,647.92","68,896.59","46,589.92","20,188.61","1,919.15","6,916.25","4,244.24","17,225.41","18,393.45","3,731.36","4,264.60","2,377.21","8,421.38","272,816.08"
212 Préstamos,"382,875.98","204,654.20","265,007.01","107,802.99",0.00,"10,851.56","3,674.01","157,198.79","241,392.19","3,015.78","29,782.46","76,966.65","121,888.83","1,605,110.44"
2121 Préstamos pactados hasta un año plazo,"120,828.04","74,332.29","127,601.29","21,091.28",0.00,16.20,"2,005.33","10,095.92","188,814.45","3,015.78","25,281.16","4,832.94","12,040.05","589,954.74"
2122 Préstamos pactados a mas de un año plazo,"7,172.24",101.49,"6,891.72","73,155.04",0.00,"7,207.49","1,668.68","45,206.73","52,577.74",0.00,"4,501.30","53,215.49","81,341.26","333,039.17"
2123 Préstamos pactados a cinco o mas años plazo,"254,875.70","130,220.42","130,514.00","13,556.66",0.00,"3,627.87",0.00,"101,896.13",0.00,0.00,0.00,"18,918.22","28,507.52","682,116.52"
2130 Obligaciones a la vista,"31,909.39","28,339.92","12,064.00","33,031.12","5,353.98",680.72,"4,187.43","9,740.15","22,462.10",916.68,"2,660.27","2,749.78","4,782.81","158,878.35"
214 Títulos de emisión propia,"162,040.10","152,773.38","201,792.63",0.00,0.00,0.00,"25,345.21",0.00,"105,576.78",0.00,0.00,"41,870.62","108,649.39","798,048.10"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,620.38","12,620.38"
2142 Pactados a mas de un año plazo,"162,040.10","152,773.38","201,792.63",0.00,0.00,0.00,"25,345.21",0.00,"105,576.78",0.00,0.00,"41,870.62","96,029.01","785,427.72"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,300.00",0.00,0.00,"1,000.00","2,300.00"
