Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 28 de Febrero de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,460,132.50","3,739,424.85","3,003,156.20","2,002,537.23","228,091.99","428,346.16","1,294,179.45","3,111,314.59","144,719.65","571,743.32","792,762.69","1,039,803.67","21,816,212.29"
1110 Fondos disponibles,"861,440.73","529,384.82","382,354.60","269,218.85","141,748.10","115,560.33","207,268.01","494,015.12","16,683.24","78,545.52","95,422.29","130,870.30","3,322,511.89"
112 Adquisición temporal de documentos,"2,041.85",0.00,"1,900.00",0.00,0.00,0.00,"6,000.00",0.00,401.92,0.00,0.00,824.81,"11,168.58"
1121 Documentos adquiridos hasta un año plazo,"2,041.85",0.00,"1,900.00",0.00,0.00,0.00,"6,000.00",0.00,401.92,0.00,0.00,824.81,"11,168.58"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"779,505.53","495,109.90","344,674.11","670,812.18","67,793.71","15,971.16","174,083.51","331,603.50","11,506.81","55,378.79","83,941.25","179,177.96","3,209,558.41"
1130 Titulos valores conservados para negociación,"18,319.78",0.00,"3,160.42","668,576.85",0.00,0.00,0.00,0.00,0.00,125.66,"15,013.97","10,000.00","715,196.69"
1131 Titulos valores para conservarse hasta el vencimiento,"101,081.77",0.00,"7,933.49","2,148.26",0.00,"15,971.16",0.00,0.00,0.00,"38,335.02",993.55,"169,177.96","335,641.21"
1132 Titulos valores disponibles para venta,"660,103.97","495,109.90","333,580.20",87.07,"67,793.71",0.00,"174,083.51","331,603.50","11,506.81","16,918.11","67,933.72",0.00,"2,158,720.52"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,817,144.39","2,714,930.13","2,274,227.50","1,062,506.20","18,550.18","296,814.67","906,827.92","2,285,695.97","116,127.68","437,819.01","613,399.16","728,930.59","15,272,973.41"
1141 Préstamos pactados hasta un año plazo,"755,851.59","366,002.64","385,361.69","97,078.89","18,613.53","37,030.18","295,536.67","435,336.84","3,980.70","58,510.68","109,004.12","109,400.77","2,671,708.29"
1142 Préstamos pactados a mas de un año plazo,"3,127,030.11","2,381,597.04","1,907,018.95","981,225.42",0.00,"260,752.50","621,993.83","1,863,075.74","114,587.12","381,375.53","505,089.31","621,147.53","12,764,893.08"
1148 Préstamos vencidos,"42,645.29","81,833.40","41,019.90","21,431.73",0.00,"8,602.34","15,574.01","34,147.62","14,023.83","1,256.39","24,635.62","3,500.49","288,670.61"
1149 Provisión para incobrabilidad de préstamos,"-108,382.60","-114,502.95","-59,173.04","-37,229.85",-63.35,"-9,570.35","-26,276.58","-46,864.23","-16,463.95","-3,323.59","-25,329.89","-5,118.20","-452,298.58"
12 Otros activos,"125,675.32","91,927.16","55,559.18","20,245.76","2,368.64","11,899.91","36,502.06","22,224.53","8,937.94","3,974.99","36,213.60","29,141.88","444,670.97"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"25,556.06","1,841.10","8,297.48","11,296.34",0.00,"5,039.43","5,047.35","5,164.40",0.00,0.00,"3,982.75","3,201.42","69,426.33"
1230 Existencias,954.89,580.38,232.25,161.09,0.00,320.52,143.80,259.12,0.00,48.64,10.87,31.15,"2,742.70"
1240 Gastos pagados por anticipado y cargos diferidos,"50,644.30","38,267.66","28,965.57","1,935.56",443.18,"1,305.35","15,949.07","10,285.45","7,595.04","1,765.53","24,172.47","7,981.96","189,311.14"
1250 Cuentas por cobrar,"39,343.68","21,350.92","14,115.58","6,848.33","1,925.46","5,982.57","15,452.07","6,872.99","1,342.90","2,160.83","8,266.95","16,594.60","140,256.87"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,517.37","-2,185.56","-2,168.67",-109.84,0.00,-747.96,-90.23,-357.42,0.00,0.00,-219.43,-87.93,"-8,484.43"
1260 derechos y participaciones,"11,693.77","32,072.67","6,116.96",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,420.68","51,418.35"
13 Activo fijo,"82,269.90","111,654.58","41,957.51","15,993.94","1,685.48","20,509.54","17,400.66","45,744.52","2,217.56","2,224.83","2,970.72","9,076.35","353,705.60"
1310 No depreciables,"29,834.87","41,231.84","18,556.02","7,957.74",247.69,"8,734.39","3,306.18","11,379.32",0.00,730.09,87.15,"5,162.87","127,228.17"
1320 depreciables,"129,924.79","108,679.13","65,031.30","23,298.60","2,500.52","35,080.46","35,555.05","57,388.04","10,733.35","3,741.90","10,529.19","15,766.75","498,229.07"
1329 depreciación acumulada,"-78,557.87","-85,175.78","-45,333.24","-16,683.61","-1,154.33","-24,428.56","-23,001.14","-31,392.12","-10,179.84","-2,747.04","-9,075.17","-12,295.14","-340,023.86"
1330 Amortizables,"1,068.11","46,919.39","3,703.43","1,421.22",91.61,"1,123.26","1,540.56","8,369.28","1,664.06",499.88,"1,429.55",441.87,"68,272.22"
Total Activos,"5,668,077.73","3,943,006.59","3,100,672.89","2,038,776.93","232,146.11","460,755.61","1,348,082.16","3,179,283.65","155,875.15","577,943.14","831,947.02","1,078,021.90","22,614,588.86"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"14,482.00","25,207.54","9,609.65",510.45,0.00,0.00,0.00,"55,339.99",0.00,"1,434.64","4,176.53",0.00,"110,760.79"
4119 Provisión por pérdidas,-23.69,0.00,0.00,-1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-25.24
4120 Contingencias por avales y fianzas,"83,614.53","93,502.09","110,753.82","18,466.60","4,961.92","5,716.47","10,719.59","100,173.02",0.00,"19,340.65","1,908.77","2,921.77","452,079.23"
4129 Provisión por pérdidas,"-15,987.01","-15,860.00","-4,690.20","-7,839.59",-28.96,"-5,666.20",0.00,-92.82,0.00,0.00,0.00,0.00,"-50,164.79"
4131 derechos por operaciones en moneda extranjera,"15,363.49",729.54,0.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,116.02"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"97,449.30","103,579.18","115,673.27","11,135.91","4,955.96",50.27,"10,719.59","155,420.19",0.00,"20,775.29","6,085.30","2,921.77","528,766.01"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,765,527.03","4,046,585.76","3,216,346.16","2,049,912.84","237,102.07","460,805.88","1,358,801.75","3,334,703.83","155,875.15","598,718.43","838,032.32","1,080,943.66","23,143,354.87"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,818,039.29","3,418,776.44","2,713,685.95","1,843,788.85","186,308.04","364,523.10","1,178,116.60","2,804,172.44","120,505.94","458,220.38","707,197.82","963,957.80","19,577,292.65"
211 depósitos,"4,184,295.15","2,946,645.30","2,253,673.25","1,711,055.11","183,658.61","346,906.99","1,018,994.26","2,500,847.59","108,464.99","365,009.45","537,423.33","686,467.81","16,843,441.83"
2110 depósitos a la vista,"3,234,612.26","1,982,234.97","1,349,154.60","625,470.66","182,336.37","231,892.76","608,056.66","1,666,248.32","12,959.33","161,497.87","178,902.10","303,960.75","10,537,326.65"
211001 depósitos en cuenta corriente,"1,022,074.14","863,001.48","615,946.41","325,617.73","179,554.90","43,526.64","378,582.92","1,079,381.21","12,932.94","75,222.19","133,812.07","221,870.73","4,951,523.36"
211002 depósitos de ahorro,"2,210,398.26","1,119,233.49","732,493.31","299,852.93","2,781.47","188,366.12","229,473.74","586,867.11",0.00,"86,275.68","45,084.66","82,090.02","5,582,916.80"
211003 depósitos en cuenta de ahorro simplificada,"2,139.86",0.00,714.88,0.00,0.00,0.00,0.00,0.00,26.39,0.00,5.36,0.00,"2,886.49"
2111 depósitos pactados hasta un año plazo,"795,709.65","880,218.62","818,334.76","877,967.48",0.00,"104,487.85","352,369.54","768,040.59","91,953.29","196,579.01","326,877.42","289,356.89","5,501,895.09"
2112 depósitos pactados a mas de un año plazo,"84,224.60","22,290.04","45,995.49","183,642.65",0.00,197.84,"31,962.31","49,258.00",0.00,"2,974.09","25,299.38","76,929.14","522,773.55"
2114 depósitos restringidos e inactivos,"69,748.64","61,901.67","40,188.39","23,974.33","1,322.25","10,328.54","26,605.74","17,300.67","3,552.36","3,958.48","6,344.43","16,221.03","281,446.53"
212 Préstamos,"484,047.01","297,083.22","221,795.73","92,596.04",0.00,"17,423.58","124,913.55","161,737.45","4,034.59","70,160.98","98,264.22","138,167.00","1,710,223.37"
2121 Préstamos pactados hasta un año plazo,"136,316.72","81,621.64","108,879.21","12,039.60",0.00,16.20,"17,962.10","63,972.84",927.26,"42,356.25",218.95,"6,084.57","470,395.34"
2122 Préstamos pactados a mas de un año plazo,"90,163.06","27,099.63","4,519.57","71,418.69",0.00,"5,172.01","16,975.54","97,764.61","3,107.33","27,804.72","63,048.70","92,813.28","499,887.16"
2123 Préstamos pactados a cinco o mas años plazo,"257,567.23","188,361.95","108,396.95","9,137.75",0.00,"12,235.37","89,975.91",0.00,0.00,0.00,"34,996.57","39,269.15","739,940.87"
2130 Obligaciones a la vista,"22,620.12","24,647.15","12,849.90","29,961.07","2,649.42",192.53,"9,931.94","29,672.75",436.30,"1,800.84","3,799.01","3,082.31","141,643.34"
214 Títulos de emisión propia,"127,077.01","150,400.77","222,206.66",0.00,0.00,0.00,"24,276.84","111,914.65","7,570.06","21,249.12","52,697.29","126,240.69","843,633.10"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,567.28","2,608.90",0.00,"24,964.35","34,140.53"
2142 Pactados a mas de un año plazo,"127,077.01","150,400.77","222,206.66",0.00,0.00,0.00,"24,276.84","111,914.65","1,002.78","18,640.22","52,697.29","101,276.33","809,492.58"
215 Documentos transados,0.00,0.00,"3,160.42","10,176.62",0.00,0.00,0.00,0.00,0.00,0.00,"15,013.97","10,000.00","38,351.01"
2151 Documentos transados hasta un año plazo,0.00,0.00,"3,160.42","10,176.62",0.00,0.00,0.00,0.00,0.00,0.00,"15,013.97","10,000.00","38,351.01"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
