Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 29 de Febrero de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares) 1/,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos,"5,664,427.7","3,846,107.9","3,079,591.7","2,242,681.4","228,158.5","448,759.5","1,332,472.8","3,271,430.6","167,465.0","670,275.3","857,424.2","1,177,581.8","22,986,376.3",,
1110 Disponibilidades,"848,375.0","537,670.2","397,509.7","307,012.9","77,820.6","115,337.5","211,889.6","436,330.4","20,866.0","76,314.4","115,087.5","128,010.2","3,272,223.9",,
112 Operaciones con pacto de retroventa,0.0,561.4,0.0,"1,627.1",0.0,0.0,38.1,0.0,331.0,0.0,0.0,0.0,"2,557.5",,
1121 Operaciones con pacto de retroventa,0.0,561.4,0.0,"1,627.1",0.0,0.0,38.1,0.0,331.0,0.0,0.0,0.0,"2,557.5",,
1130 A valor razonable con cambios en resultados (vrcr),"696,355.4",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"20,477.3","716,832.8",,
1131 A valor razonable con cambios en otro resultado integral (vrori),0.0,0.0,"378,365.8","899,887.0",0.0,0.0,0.0,"401,439.2",0.0,0.0,0.0,0.0,"1,679,691.9",,
1132 Derivados financieros para coberturas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1134 A costo amortizado,"43,325.9","498,712.2","5,258.2","11,393.4","112,675.1","11,177.2","172,555.1",0.0,"20,193.2","64,236.8","138,791.6","226,600.9","1,304,919.5",,
1138 Instrumentos financieros restringidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
114 Préstamos,"4,076,371.4","2,809,164.2","2,298,458.0","1,022,761.1","37,662.9","322,244.8","947,990.0","2,433,661.0","126,074.8","529,724.0","603,545.1","802,493.4","16,010,150.7",,
1141 Préstamos pactados hasta un año plazo,"576,321.9","369,788.2","368,009.4","70,345.8","37,847.7","45,268.3","299,233.3","490,975.3","7,419.1","76,637.2","107,158.0","58,893.3","2,507,897.5",,
1142 Préstamos pactados a más de un año plazo,"3,555,243.6","2,481,863.7","1,943,187.4","963,124.4",0.0,"278,029.5","651,940.6","1,954,618.0","121,330.4","455,154.3","501,906.0","746,050.3","13,652,448.2",,
1148 Préstamos vencidos,"51,571.9","79,454.6","52,428.0","26,638.6",0.0,"8,668.6","20,595.1","40,231.9","9,221.6","1,286.1","16,967.0","3,298.7","310,362.1",,
1149 Provisión para incobrabilidad de préstamos,"-106,766.1","-121,942.3","-65,166.8","-37,347.7",-184.8,"-9,721.7","-23,779.0","-52,164.1","-11,896.3","-3,353.5","-22,486.0","-5,748.9","-460,557.1",,
12 Otros activos,"107,841.1","96,730.0","32,461.0","24,748.6","1,688.8","12,405.0","34,789.2","28,095.9","8,380.8","4,106.6","13,769.0","26,192.4","391,208.4",,
1210 Saldos entre compañías,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1220 Bienes recibidos en pago o adjudicados,"20,741.8","2,521.0","7,006.0","11,847.0",0.0,"5,212.9","2,320.1","2,142.1",0.0,0.0,"3,302.6","2,681.0","57,774.5",,
1230 Existencias,985.0,157.6,338.0,169.8,0.0,291.9,107.3,243.4,0.0,40.9,97.9,40.5,"2,472.1",,
1240 Gastos pagados por anticipado,"8,127.9","11,808.8","2,866.7",760.4,23.0,475.6,"8,006.3","2,123.5","4,838.9",522.5,"2,875.1","2,103.6","44,532.1",,
1250 Cuentas por cobrar,"48,919.9","19,163.6","10,738.9","9,563.5","1,134.4","6,296.7","19,845.7","14,943.0","2,338.0","2,575.1","3,934.0","16,045.5","155,498.3",,
1251 Impuestos,"21,391.9","33,978.3","7,637.5","2,409.9",531.5,862.9,"5,647.9","2,064.1","1,203.8",968.1,"3,821.5","3,433.3","83,950.7",,
1259 Estimación de pérdida por deterioro de valor,"-2,842.9","-2,420.4","-2,283.5",-116.3,0.0,-734.8,"-1,138.0",-355.2,0.0,0.0,-262.1,-100.0,"-10,253.3",,
"1260 Inversiones en acciones, derechos y participaciones","10,517.6","31,521.1","6,157.4",114.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,988.4","50,298.8",,
1261 Plusvalía comprada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,935.1",0.0,0.0,0.0,0.0,"6,935.1",,
1270 Activos mantenidos para la venta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13 Activos físicos e intangibles,"117,457.9","116,403.2","62,381.4","16,956.4","3,317.2","20,280.1","27,728.4","51,756.5","9,420.3","5,425.1","25,224.7","24,948.4","481,299.6",,
131 Propiedades no depreciables,"29,781.3","41,094.5","20,180.5","8,170.2",247.7,"8,924.8","3,429.2","12,177.7",0.0,730.1,"2,470.7","6,298.6","133,505.2",,
1310 Propiedades no depreciables,"29,781.3","41,094.5","20,180.5","8,170.2",247.7,"8,924.8","3,429.2","12,177.7",0.0,730.1,"2,470.7","6,298.6","133,505.2",,
132 Propiedades y equipo depreciables,"60,893.9","39,989.7","28,408.5","7,452.1","3,069.5","10,186.7","19,343.4","38,430.8","4,700.5","4,176.0","8,905.8","11,231.1","236,787.9",,
1320 Depreciables,"159,771.9","136,780.4","83,096.8","25,502.8","4,748.1","35,598.8","43,425.6","91,404.5","5,708.8","9,518.6","19,358.3","25,287.5","640,202.3",,
1329 Depreciación y deterioro acumulada(o) (-),"-98,878.0","-96,790.8","-54,688.4","-18,050.7","-1,678.6","-25,412.2","-24,082.2","-52,973.6","-1,008.3","-5,342.7","-10,452.5","-14,056.4","-403,414.4",,
133 Intangibles,"26,782.7","35,319.1","13,792.4","1,334.1",0.0,"1,168.6","4,955.8","1,148.0","4,719.8",519.1,"13,848.2","7,418.7","111,006.5",,
1330 Intangibles,"38,250.6","58,588.3","34,142.0","1,334.1",0.0,"1,398.3","4,955.8","2,132.9","4,719.8","3,393.4","27,071.5","10,805.1","186,791.8",,
1339 Amortización y deterioro acumulada(o) (-),"-11,467.9","-23,269.2","-20,349.6",0.0,0.0,-229.7,0.0,-984.9,0.0,"-2,874.3","-13,223.2","-3,386.5","-75,785.3",,
Total Activos,"5,889,726.7","4,059,241.1","3,174,434.1","2,284,386.4","233,164.5","481,444.6","1,394,990.3","3,351,282.9","185,266.1","679,807.0","896,417.9","1,228,722.5","23,858,884.3",,
,,,,,,,,,,,,,,,
4110 Cartas de crédito,"16,414.6","27,438.1","11,711.4",190.6,0.0,0.0,0.0,"63,680.5",0.0,"1,096.3","5,318.1",0.0,"125,849.7",,
4120 Avales y fianzas,"89,072.4","75,166.7","123,456.0","18,584.7","4,870.5","5,732.4","6,438.4","68,659.3",0.0,"20,726.9","1,646.4","6,318.1","420,672.0",,
4129 Provisión por pérdidas,"-16,362.6","-15,750.4","-4,861.1","-10,251.2",-8.7,"-5,732.4",0.0,-91.1,0.0,0.0,0.0,0.0,"-53,057.5",,
4130 Operaciones con instrumentos financieros derivados,"1,038.5",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,038.5",,
4180 Otras,0.0,0.0,0.0,0.0,819.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,819.9,,
,,,,,,,,,,,0.0,,0.0,,
Total derechos futuros y contingencias,"90,162.9","86,854.4","130,306.3","8,524.2","5,681.7",0.0,"6,438.4","132,248.8",0.0,"21,823.2","6,964.5","6,318.1","495,322.6",,
,,,,,,,,,,,,,0.0,,
Total activos + derechos futuros y contingencias,"5,979,889.6","4,146,095.5","3,304,740.4","2,292,910.6","238,846.3","481,444.6","1,401,428.7","3,483,531.7","185,266.1","701,630.2","903,382.5","1,235,040.6","24,354,206.9",,
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos,"5,113,126.5","3,525,156.0","2,748,643.1","2,069,191.7","180,776.0","378,333.0","1,258,440.4","2,954,865.9","147,924.2","574,759.0","790,722.1","1,105,674.9","20,847,613.0",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2100 Mantenidos para negociar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
211 Pasivos financieros a costo amortizado,"4,923,182.4","3,298,708.3","2,520,805.5","1,741,693.8","177,526.0","378,259.8","1,206,902.6","2,771,000.7","140,926.6","499,803.4","737,739.4","914,592.8","19,311,141.4",,
2110 Depósitos a la vista,"3,298,900.3","1,992,891.5","1,349,094.1","675,128.5","163,726.8","246,994.3","562,638.5","1,667,780.3","16,548.9","193,700.4","234,312.6","291,315.6","10,693,031.9",,
2111 Depósitos pactados hasta un año plazo,"861,461.7","942,152.4","822,277.5","781,487.4",0.0,"100,407.4","434,582.9","782,315.6","91,406.5","216,562.2","367,211.8","291,444.7","5,691,310.3",,
2112 Depósitos pactados a más de un año plazo,"98,868.9","33,451.3","121,641.1","193,641.0",0.0,159.1,"25,894.0","71,090.8","19,393.4","5,704.3","23,141.3","175,581.0","768,566.2",,
2113 Certificados de depósitos negociables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2114 Depósitos restringidos e inactivos,"80,306.8","63,471.3","49,224.6","19,545.3","1,895.2","9,720.1","30,096.2","17,474.8","3,017.4","5,721.1","9,349.4","10,546.7","300,368.9",,
2115 Operaciones con pacto de retrocompra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,711.5","6,711.5",,
2116 Préstamos pactados hasta un año plazo,"170,787.3","45,355.2","88,617.1","15,306.3","10,001.5",16.2,"24,463.2","143,821.3","2,917.7","40,640.5","10,033.3","13,395.4","565,354.9",,
2117 Préstamos pactados a más de un año plazo,"81,504.0","36,018.5","4,563.5","50,780.5",0.0,"3,711.2","29,950.7","88,517.8","3,108.0","37,474.9","47,859.5","79,723.0","463,211.6",,
2118 Préstamos pactados a cinco o mas años plazo,"260,323.3","185,368.2","85,387.6","5,804.8","1,902.5","17,251.5","68,635.0",0.0,"4,534.5",0.0,"45,831.5","45,874.8","720,913.8",,
2119 Préstamos subordinados,"71,030.0",0.0,0.0,0.0,0.0,0.0,"30,642.1",0.0,0.0,0.0,0.0,0.0,"101,672.2",,
212 Títulos de emisión propia,"169,186.3","204,028.4","216,870.8","297,036.5",0.0,0.0,"43,923.8","163,484.7","6,470.5","67,593.0","50,098.6","184,013.1","1,402,705.7",,
2120 Títulos de emisión propia,"169,186.3","204,028.4","216,870.8","297,036.5",0.0,0.0,"43,923.8","163,484.7","6,470.5","67,593.0","50,098.6","184,013.1","1,402,705.7",,
213 Obligaciones a la vista,"20,757.9","22,419.3","10,966.8","30,461.4","3,250.0",73.2,"7,613.9","20,380.5",527.1,"7,362.6","2,884.1","7,069.0","133,765.8",,
2130 Obligaciones a la vista,"20,757.9","22,419.3","10,966.8","30,461.4","3,250.0",73.2,"7,613.9","20,380.5",527.1,"7,362.6","2,884.1","7,069.0","133,765.8",,
22 Otros pasivos,"209,553.2","92,241.9","70,808.1","10,732.8","12,877.5","31,292.3","23,192.8","60,309.9","3,203.1","28,235.5","10,001.3","5,100.3","557,548.7",,
