Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Marzo de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"5,162,116.71","1,617,848.23","2,774,855.44","1,109,457.12","295,508.91","402,181.33","402,134.38","1,200,903.30","1,953,117.39","2,697,091.89","69,151.40","400,165.49","484,601.12","650,321.60","19,219,454.31"
1110 Fondos disponibles,"1,277,556.93","356,024.78","536,530.16","226,318.47","131,998.36","128,511.67","73,519.31","248,272.33","474,880.81","565,575.22","22,864.68","85,693.60","74,637.40","98,095.05","4,300,478.75"
112 Adquisición temporal de documentos,"11,261.37",0.00,0.00,0.00,0.00,"3,903.15",0.00,"2,939.33",0.00,0.00,0.00,0.00,0.00,0.00,"18,103.85"
1121 Documentos adquiridos hasta un año plazo,"11,261.37",0.00,0.00,0.00,0.00,"3,903.15",0.00,"2,939.33",0.00,0.00,0.00,0.00,0.00,0.00,"18,103.85"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"358,678.33","161,313.67","248,328.74","86,344.95","139,396.23","7,784.03","53,866.78","113,895.22","109,184.89","223,927.35","4,783.52","97,392.10","65,649.44","98,185.97","1,768,731.23"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"83,292.66",995.30,0.00,"53,866.78","113,895.22",0.00,0.00,0.00,251.74,"16,355.85","2,000.00","270,657.55"
1131 Titulos valores para conservarse hasta el vencimiento,"9,195.12","1,502.51","24,957.03","2,146.83",0.00,"7,784.03",0.00,0.00,"2,972.95",0.00,645.55,"80,044.63","17,544.54","94,912.21","241,705.41"
1132 Titulos valores disponibles para venta,"349,495.65","159,811.16","223,371.71",905.46,"138,400.93",0.00,0.00,0.00,"106,211.94","223,927.35","4,137.97","17,095.72","31,749.05","1,273.76","1,256,380.71"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.44
114 Préstamos,"3,514,620.08","1,100,509.78","1,989,996.54","796,793.70","24,114.32","261,982.48","274,748.29","835,796.42","1,369,051.69","1,907,589.32","41,503.20","217,079.79","344,314.29","454,040.58","13,132,140.48"
1141 Préstamos pactados hasta un año plazo,"550,156.87","183,586.51","344,230.32","86,507.85","24,206.01","31,355.64","58,082.92","234,318.12","84,873.65","477,574.84","2,636.56","22,683.23","50,437.40","20,002.72","2,170,652.65"
1142 Préstamos pactados a mas de un año plazo,"3,003,390.69","919,917.37","1,650,778.45","716,542.10",0.00,"230,965.60","219,435.75","602,231.91","1,284,178.04","1,440,130.77","39,015.71","195,102.56","296,846.38","434,282.07","11,032,817.41"
1148 Préstamos vencidos,"46,074.23","19,987.57","38,076.56","15,810.03",0.00,"9,744.79","3,953.65","23,244.38","41,734.05","19,457.61","1,398.87","2,121.39","1,730.38","2,656.51","225,990.01"
1149 Provisión para incobrabilidad de préstamos,"-85,001.71","-22,981.68","-43,088.79","-22,066.28",-91.69,"-10,083.55","-6,724.02","-23,997.99","-41,734.05","-29,573.92","-1,547.94","-2,827.39","-4,699.87","-2,900.72","-297,319.59"
12 Otros activos,"102,686.40","48,339.60","48,032.59","22,073.46","1,152.93","11,948.54","8,917.86","41,041.48","51,799.44","31,588.14","5,863.73","3,292.26","21,071.33","14,141.74","411,949.50"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"40,146.67",432.62,"12,730.27","12,559.75",0.00,"5,729.12","2,003.40","12,017.14","7,114.31","9,475.22",0.00,0.00,0.00,"5,512.56","107,721.07"
1230 Existencias,613.72,386.43,424.02,49.98,0.00,338.32,66.20,320.53,411.35,345.97,0.00,22.08,25.13,15.42,"3,019.15"
1240 Gastos pagados por anticipado y cargos diferidos,"26,909.62","22,596.00","26,449.61","3,434.11",645.56,"2,588.87","5,138.29","14,339.58","13,280.35","10,128.34","2,195.57","1,709.45","17,279.97","2,749.87","149,445.18"
1250 Cuentas por cobrar,"26,272.30","12,901.65","4,535.42","6,034.39",507.37,"3,703.36","1,025.50","14,364.23","15,245.91","11,900.38","3,668.16","1,560.73","3,788.63","5,951.40","111,459.42"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,404.10",-694.00,"-1,541.99",-119.06,0.00,-411.12,-103.69,0.00,"-1,737.43",-261.76,0.00,0.00,-22.40,-87.51,"-6,383.05"
1260 derechos y participaciones,"10,148.19","12,716.90","5,435.26",114.28,0.00,0.00,788.17,0.00,"17,484.94",0.00,0.00,0.00,0.00,0.00,"46,687.74"
13 Activo fijo,"92,663.80","63,144.02","46,232.13","16,393.70","1,018.75","19,169.45","5,135.27","16,159.06","32,285.24","24,847.17","3,736.35",992.43,"1,938.66","11,165.78","334,881.82"
1310 No depreciables,"30,606.06","22,791.87","21,509.69","8,470.21",247.69,"9,699.72","3,486.79","1,850.69","20,428.42","2,468.81",0.00,0.00,297.93,"7,924.38","129,782.24"
1320 depreciables,"155,602.54","54,905.13","62,487.34","22,595.95","2,236.52","31,701.87","5,881.67","30,926.30","62,016.03","42,042.64","11,075.97","2,886.31","4,851.75","17,177.37","506,387.40"
1329 depreciación acumulada,"-95,511.70","-36,182.99","-42,868.79","-15,546.53","-1,523.43","-22,980.73","-4,347.90","-18,410.02","-50,159.20","-22,680.18","-8,550.32","-2,513.62","-4,074.14","-14,367.33","-339,716.89"
1330 Amortizables,"1,966.90","21,630.02","5,103.89",874.07,57.97,748.60,114.71,"1,792.10",0.00,"3,015.91","1,210.70",619.74,863.12,431.36,"38,429.07"
Total Activos,"5,357,466.91","1,729,331.85","2,869,120.16","1,147,924.28","297,680.59","433,299.33","416,187.51","1,258,103.84","2,037,202.08","2,753,527.20","78,751.47","404,450.18","507,611.11","675,629.12","19,966,285.63"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"14,276.93","12,362.93","17,514.75",276.24,0.00,0.00,"7,953.25",0.00,346.10,"42,926.35",0.00,328.42,0.00,0.00,"95,984.97"
4119 Provisión por pérdidas,0.00,-2.56,0.00,-0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.29
4120 Contingencias por avales y fianzas,"134,540.41","47,069.82","87,667.02","13,954.05","8,864.07","6,383.48","3,227.68","9,349.86","123,580.91","68,696.00",0.00,"16,686.49",0.00,"2,813.79","522,833.60"
4129 Provisión por pérdidas,"-15,387.71","-13,347.93","-9,538.70","-5,658.40",-32.51,"-5,060.03",0.00,0.00,"-2,797.92",-295.13,0.00,-3.44,0.00,0.00,"-52,121.78"
4131 derechos por operaciones en moneda extranjera,"4,106.83",0.00,0.00,0.00,10.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,117.69"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"137,536.46","46,082.26","95,643.06","8,571.16","8,842.43","1,323.45","11,180.93","9,349.86","121,129.09","111,327.22",0.00,"17,011.47",0.00,"2,813.79","570,811.19"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,495,003.37","1,775,414.12","2,964,763.23","1,156,495.44","306,523.01","434,622.78","427,368.44","1,267,453.70","2,158,331.17","2,864,854.43","78,751.47","421,461.64","507,611.11","678,442.91","20,537,096.82"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,601,111.72","1,492,534.81","2,510,214.04","992,747.85","250,809.95","346,936.16","346,775.19","1,095,694.65","1,754,371.23","2,437,494.40","49,279.44","347,026.37","452,851.34","598,870.24","17,276,717.39"
211 depósitos,"3,974,697.91","1,218,546.39","1,903,710.57","846,119.25","231,561.16","330,669.54","303,400.24","936,407.22","1,434,635.26","2,038,847.62","49,254.56","275,452.68","298,939.53","436,498.96","14,278,740.89"
2110 depósitos a la vista,"2,893,120.76","886,371.09","1,035,382.53","413,854.56","206,942.05","171,494.11","150,193.91","472,314.78","638,825.54","1,312,120.94","15,646.62","115,321.75","96,375.02","203,823.25","8,611,786.91"
211001 depósitos en cuenta corriente,"1,234,601.67","479,140.17","470,943.19","197,984.11","199,835.51","35,675.77","112,770.07","273,979.75","259,425.46","849,732.68","15,646.62","34,204.96","54,874.57","137,368.58","4,356,183.09"
211002 depósitos de ahorro,"1,658,192.65","407,230.92","564,055.52","215,868.65","7,106.54","135,818.35","37,423.84","198,335.03","379,400.08","462,388.26",0.00,"81,116.80","41,499.66","66,454.67","4,254,890.97"
211003 depósitos en cuenta de ahorro simplificada,326.43,0.00,383.82,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.79,0.00,712.85
2111 depósitos pactados hasta un año plazo,"940,451.08","308,904.64","671,877.72","383,453.17","23,004.71","153,914.43","148,011.24","445,748.52","744,482.06","669,831.34","29,693.61","153,865.67","179,679.31","207,848.35","5,060,765.87"
2112 depósitos pactados a mas de un año plazo,"82,169.71","1,359.84","158,220.76","30,939.56",0.00,217.98,0.00,"2,159.97","3,526.79","42,377.23",0.00,179.03,"18,800.43","21,220.71","361,172.02"
2114 depósitos restringidos e inactivos,"58,956.37","21,910.81","38,229.56","17,871.97","1,614.40","5,043.02","5,195.09","16,183.94","47,800.87","14,518.11","3,914.33","6,086.22","4,084.76","3,606.65","245,016.09"
212 Préstamos,"399,399.49","204,069.03","396,881.27","118,279.70","15,007.38","15,305.77","17,266.12","154,879.10","185,114.89","193,433.65",0.00,"70,729.89","74,378.64","86,815.36","1,931,560.28"
2121 Préstamos pactados hasta un año plazo,"69,681.34","69,098.37","231,032.96","20,992.18","15,007.38",43.12,"8,384.69","36,401.71","11,524.64","178,306.45",0.00,"24,319.95","7,257.48",0.00,"672,050.26"
2122 Préstamos pactados a mas de un año plazo,"329,718.15",104.08,"11,798.06","83,295.37",0.00,"15,226.67","8,881.43","50,676.23","150,436.40","15,127.21",0.00,"46,409.94","52,091.33","61,387.74","825,152.60"
2123 Préstamos pactados a cinco o mas años plazo,0.00,"134,866.58","154,050.26","13,992.15",0.00,35.98,0.00,"67,801.16","23,153.85",0.00,0.00,0.00,"15,029.83","25,427.61","434,357.42"
2130 Obligaciones a la vista,"14,894.18","9,805.05","8,962.78","28,348.89","4,241.41",960.86,"1,006.38","4,408.33","3,820.61","13,721.42",23.64,843.80,774.80,546.71,"92,358.84"
214 Títulos de emisión propia,"212,120.14","60,114.34","200,659.43",0.00,0.00,0.00,"25,102.46",0.00,"130,800.46","191,491.71",0.00,0.00,"62,402.53","73,009.22","955,700.29"
