Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Marzo de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A. 1/","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,096,097.88","3,379,319.42","2,817,021.61","1,335,209.71","273,112.39","389,379.41","431,028.04","1,255,708.87","2,857,459.28","71,682.92","415,463.40","526,368.58","736,696.59","19,584,548.09"
1110 Fondos disponibles,"862,380.48","623,208.70","323,129.23","148,182.78","116,238.34","115,850.82","79,522.97","293,242.45","532,408.63","14,702.49","104,530.45","76,904.12","100,444.75","3,390,746.20"
112 Adquisición temporal de documentos,"21,847.51","23,064.03",0.00,"10,366.52",0.00,330.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"55,608.38"
1121 Documentos adquiridos hasta un año plazo,"21,847.51","23,064.03",0.00,"10,366.52",0.00,330.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"55,608.38"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"961,534.52","393,281.63","439,112.04","293,830.94","138,597.89","9,694.06","104,701.06","158,393.06","372,518.33","11,586.44","72,725.13","85,145.22","132,259.88","3,173,380.19"
1130 Titulos valores conservados para negociación,0.00,0.00,"25,000.00","280,534.31","1,987.33",0.00,"7,315.49",0.00,0.00,"2,694.95",150.58,"4,000.00",0.00,"321,682.67"
1131 Titulos valores para conservarse hasta el vencimiento,"18,741.27","2,004.91","25,076.90","2,147.30",0.00,"9,694.06","97,385.57",0.00,0.00,0.00,"55,505.27","17,174.84","129,054.48","356,784.60"
1132 Titulos valores disponibles para venta,"942,793.25","391,276.72","389,035.14","11,149.33","136,610.56",0.00,0.00,"158,393.06","372,518.33","8,891.49","17,069.28","63,970.38","3,205.40","2,494,912.93"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,250,335.37","2,339,765.06","2,054,780.34","882,829.46","18,276.17","263,504.21","246,804.01","804,073.36","1,952,532.33","45,393.99","238,207.83","364,319.24","503,991.96","12,964,813.31"
1141 Préstamos pactados hasta un año plazo,"493,818.27","213,119.26","294,030.23","111,788.31","18,342.42","34,057.20","57,987.40","222,280.52","377,846.56","2,679.55","23,346.59","46,749.77","59,318.23","1,955,364.33"
1142 Préstamos pactados a mas de un año plazo,"2,854,022.71","2,168,457.62","1,786,426.66","777,902.20",0.00,"230,577.33","194,026.16","603,898.55","1,594,741.69","43,403.55","217,213.41","320,646.61","446,882.56","11,238,199.03"
1148 Préstamos vencidos,"66,535.38","66,651.77","33,833.88","14,807.48",0.00,"8,359.33","3,601.68","7,934.47","32,726.61","3,480.80",779.54,"3,055.72","3,098.28","244,864.93"
1149 Provisión para incobrabilidad de préstamos,"-164,040.99","-108,463.58","-59,510.43","-21,668.52",-66.25,"-9,489.65","-8,811.22","-30,040.19","-52,782.53","-4,169.92","-3,131.72","-6,132.87","-5,307.12","-473,614.98"
12 Otros activos,"159,216.13","129,008.89","61,480.24","47,451.28","1,348.07","13,445.45","7,062.66","57,144.73","31,771.71","8,874.88","2,743.85","20,135.28","21,370.80","561,053.99"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"36,972.88","5,611.23","13,564.71","13,625.04",0.00,"5,640.22",814.40,"11,926.98","8,484.71",0.00,0.00,"1,716.11","4,760.08","103,116.35"
1230 Existencias,341.60,403.96,363.36,47.99,0.00,288.67,74.92,285.28,373.29,0.00,42.98,25.13,18.35,"2,265.51"
1240 Gastos pagados por anticipado y cargos diferidos,"56,099.81","53,739.58","33,727.03","3,533.65",498.46,"2,075.61","4,395.06","18,040.32","10,552.44","6,285.88","1,524.61","16,321.87","4,056.81","210,851.12"
1250 Cuentas por cobrar,"57,113.17","40,697.42","9,140.91","30,216.90",849.61,"6,229.05","1,212.28","27,603.88","12,716.90","2,589.00","1,176.26","2,096.99","12,621.81","204,264.18"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,824.41","-2,428.23","-1,641.37",-86.57,0.00,-788.10,-109.24,-711.73,-355.62,0.00,0.00,-24.81,-86.25,"-8,056.32"
1260 derechos y participaciones,"10,513.08","30,984.93","6,325.61",114.28,0.00,0.00,675.24,0.00,0.00,0.00,0.00,0.00,0.00,"48,613.14"
13 Activo fijo,"89,598.26","98,194.60","46,312.81","16,692.65","1,210.83","19,214.11","5,392.83","16,834.67","29,118.60","2,362.16",874.19,"1,820.43","13,535.41","341,161.54"
1310 No depreciables,"30,607.65","42,828.76","18,893.73","8,567.01",247.69,"8,354.58","3,486.79","1,918.31","3,327.82",0.00,140.25,125.24,"9,309.43","127,807.26"
1320 depreciables,"157,221.41","112,716.80","65,279.08","23,018.68","2,132.14","34,183.87","6,396.66","33,487.49","47,535.37","10,807.41","2,952.72","5,315.98","17,589.63","518,637.25"
1329 depreciación acumulada,"-99,724.60","-86,361.84","-43,084.88","-15,909.06","-1,311.90","-24,393.42","-4,592.06","-20,175.26","-25,829.42","-9,328.71","-2,608.31","-4,673.81","-14,809.04","-352,802.32"
1330 Amortizables,"1,493.79","29,010.88","5,224.87","1,016.01",142.90,"1,069.08",101.44,"1,604.13","4,084.83",883.46,389.53,"1,053.03","1,445.39","47,519.35"
Total Activos,"5,344,912.27","3,606,522.91","2,924,814.66","1,399,353.64","275,671.30","422,038.98","443,483.53","1,329,688.26","2,918,349.59","82,919.96","419,081.43","548,324.29","771,602.80","20,486,763.62"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"22,935.38","22,927.17","13,839.65","10,316.69",818.47,0.00,"8,920.66",79.73,"32,646.45",0.00,893.70,17.92,0.00,"113,395.82"
4119 Provisión por pérdidas,0.00,-2.82,0.00,-4.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.17
4120 Contingencias por avales y fianzas,"148,255.19","157,323.20","77,303.39","15,690.52","7,378.08","6,372.55","4,522.69","9,700.46","64,825.47",0.00,"14,177.10",0.00,"6,799.63","512,348.27"
4129 Provisión por pérdidas,"-16,223.94","-15,676.76","-9,713.44","-5,933.59",-7.49,"-5,265.43",0.00,0.00,-499.98,0.00,-2.23,0.00,0.00,"-53,322.86"
4131 derechos por operaciones en moneda extranjera,"9,578.66",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"9,578.66"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"164,545.29","164,570.79","81,429.60","20,069.26","8,189.06","1,107.12","13,443.35","9,780.19","96,971.94",0.00,"15,068.57",17.92,"6,799.63","581,992.73"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,509,457.56","3,771,093.71","3,006,244.25","1,419,422.89","283,860.35","423,146.10","456,926.88","1,339,468.45","3,015,321.54","82,919.96","434,150.00","548,342.22","778,402.43","21,068,756.35"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,612,811.90","3,068,739.55","2,549,757.11","1,236,819.06","226,166.45","337,337.65","370,985.24","1,150,431.10","2,579,716.09","54,308.94","357,360.89","490,635.67","689,376.62","17,724,446.26"
211 depósitos,"4,069,521.46","2,777,683.14","2,098,638.49","1,093,718.23","213,532.15","325,433.65","338,407.08","1,013,851.32","2,270,220.29","54,161.62","311,970.24","358,865.43","525,873.07","15,451,876.17"
2110 depósitos a la vista,"3,055,691.29","1,708,341.01","1,143,422.75","502,708.84","189,709.66","201,216.56","171,513.06","542,340.08","1,562,721.22","11,946.97","118,638.81","137,799.36","220,869.66","9,566,919.27"
211001 depósitos en cuenta corriente,"1,115,226.65","813,709.89","538,000.09","257,252.12","159,119.95","47,178.60","130,471.13","341,982.80","995,228.36","11,946.97","45,469.76","102,076.80","146,659.38","4,704,322.50"
211002 depósitos de ahorro,"1,939,192.76","894,631.11","604,706.40","245,454.92","30,589.71","154,037.97","41,041.93","200,357.28","567,492.87",0.00,"73,169.04","35,719.87","74,210.27","4,860,604.15"
211003 depósitos en cuenta de ahorro simplificada,"1,271.88",0.00,716.27,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.68,0.00,"1,992.63"
2111 depósitos pactados hasta un año plazo,"861,638.21","970,905.52","780,907.49","524,447.46","22,017.59","116,822.32","160,463.52","448,007.97","647,167.14","37,930.08","188,806.06","196,083.80","278,531.48","5,233,728.65"
2112 depósitos pactados a mas de un año plazo,"68,728.17","18,439.40","127,907.72","49,696.36",0.00,245.44,0.00,"1,911.16","40,365.47",0.00,321.79,"19,670.60","20,957.86","348,243.98"
2114 depósitos restringidos e inactivos,"83,463.78","79,997.21","46,400.52","16,865.57","1,804.90","7,149.32","6,430.50","21,592.12","19,966.45","4,284.56","4,203.59","5,311.67","5,514.07","302,984.27"
212 Préstamos,"310,880.76","155,559.47","269,606.92","111,152.54","10,000.25","10,968.67","4,243.32","130,810.55","156,944.83",0.00,"43,644.16","70,264.51","82,465.65","1,356,541.63"
2121 Préstamos pactados hasta un año plazo,"10,000.00","5,322.56","113,052.58","22,835.65","10,000.25",35.13,0.00,"15,045.30","88,997.51",0.00,57.56,"5,935.50","9,011.28","280,293.33"
2122 Préstamos pactados a mas de un año plazo,"44,969.18",175.83,"9,332.39","69,911.02",0.00,"10,925.03","4,243.32","50,640.32","67,947.32",0.00,"43,586.60","50,428.13","50,155.79","402,314.93"
2123 Préstamos pactados a cinco o mas años plazo,"255,911.58","150,061.08","147,221.94","18,405.87",0.00,8.50,0.00,"65,124.92",0.00,0.00,0.00,"13,900.88","23,298.59","673,933.37"
2130 Obligaciones a la vista,"20,289.21","12,669.61","11,730.87","31,948.28","2,634.05",935.33,"3,232.10","5,769.23","16,455.79",146.56,"1,746.49","1,161.14","1,991.91","110,710.58"
214 Títulos de emisión propia,"212,120.47","122,827.34","144,780.82",0.00,0.00,0.00,"25,102.74",0.00,"136,095.18",0.00,0.00,"56,344.60","79,045.98","776,317.13"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,830.97,830.97
2142 Pactados a mas de un año plazo,"212,120.47","122,827.34","144,780.82",0.00,0.00,0.00,"25,102.74",0.00,"136,095.18",0.00,0.00,"56,344.60","78,215.01","775,486.16"
215 Documentos transados,0.00,0.00,"25,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,000.00",0.00,"29,000.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,"25,000.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,000.00",0.00,"29,000.00"
