Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Marzo de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,229,967.83","3,579,707.39","2,809,811.46","1,700,826.82","233,913.23","448,739.73","348,618.81","1,287,251.37","3,015,517.68","109,009.01","453,307.37","534,152.56","873,687.70","20,624,510.99"
1110 Fondos disponibles,"897,876.35","593,240.57","419,922.90","286,721.03","135,546.62","171,754.71","76,293.34","261,427.47","551,496.26","14,649.47","71,872.43","62,411.89","129,312.75","3,672,525.78"
112 Adquisición temporal de documentos,"5,104.15","8,505.14",0.00,"1,000.00",0.00,"1,060.73",0.00,"5,000.00",0.00,0.00,0.00,0.00,"3,659.83","24,329.84"
1121 Documentos adquiridos hasta un año plazo,"5,104.15","8,505.14",0.00,"1,000.00",0.00,"1,060.73",0.00,"5,000.00",0.00,0.00,0.00,0.00,"3,659.83","24,329.84"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"860,592.15","445,193.87","326,586.92","389,330.22","74,118.23","13,247.53","53,459.09","171,893.06","326,179.43","7,322.56","52,315.90","80,773.84","132,394.56","2,933,407.37"
1130 Titulos valores conservados para negociación,"11,165.87",0.00,0.00,"384,231.17",0.00,0.00,"3,304.57",0.00,0.00,0.00,160.78,"7,300.00","5,000.00","411,162.40"
1131 Titulos valores para conservarse hasta el vencimiento,"128,763.01","9,982.61","8,308.05","2,147.78",0.00,"13,247.53","50,154.52",0.00,0.00,0.00,"35,115.15","26,199.65","127,394.56","401,312.85"
1132 Titulos valores disponibles para venta,"720,663.26","435,211.26","318,248.00","2,951.27","74,118.23",0.00,0.00,"171,893.06","326,179.43","7,322.56","17,039.98","47,274.20",0.00,"2,120,901.24"
1134 Instrumentos financieros para cobertura,0.00,0.00,30.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.87
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,466,395.19","2,532,767.82","2,063,301.64","1,023,775.57","24,248.38","262,676.77","218,866.39","848,930.84","2,137,842.00","87,036.98","329,119.04","390,966.83","608,320.57","13,994,248.01"
1141 Préstamos pactados hasta un año plazo,"553,735.88","328,522.24","266,850.09","78,316.77","24,254.23","33,138.39","77,077.76","253,252.26","429,930.90","4,563.84","39,990.39","48,389.80","111,925.23","2,249,947.78"
1142 Préstamos pactados a mas de un año plazo,"2,982,250.95","2,235,274.93","1,815,536.97","956,362.14",0.00,"231,217.95","145,359.52","603,629.15","1,725,358.62","82,881.13","290,594.07","327,780.08","500,887.27","11,897,132.78"
1148 Préstamos vencidos,"45,973.95","82,538.29","38,055.71","18,145.45",0.00,"7,866.88","3,864.81","21,459.89","29,977.94","8,018.12","1,502.56","22,109.18","3,525.45","283,038.22"
1149 Provisión para incobrabilidad de préstamos,"-115,565.59","-113,567.64","-57,141.14","-29,048.78",-5.85,"-9,546.45","-7,435.70","-29,410.46","-47,425.46","-8,426.12","-2,967.98","-7,312.23","-8,017.38","-435,870.78"
12 Otros activos,"130,593.39","106,923.84","59,645.56","20,317.66","1,590.22","9,444.82","6,475.44","43,374.61","26,559.86","9,015.48","2,992.43","24,154.65","25,417.79","466,505.75"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"32,286.73","3,283.91","9,373.16","13,401.00",0.00,"4,749.57","1,797.25","11,972.60","6,720.36",0.00,0.00,"1,584.66","4,137.35","89,306.59"
1230 Existencias,653.73,381.52,274.74,106.37,0.00,201.26,81.20,304.36,279.72,0.00,63.12,97.85,27.57,"2,471.44"
1240 Gastos pagados por anticipado y cargos diferidos,"48,967.39","37,862.06","32,623.85","2,451.88",443.53,544.22,"3,913.67","18,609.24","10,891.64","6,632.81","1,451.05","17,700.39","5,202.88","187,294.61"
1250 Cuentas por cobrar,"39,240.37","36,257.36","12,403.11","4,343.63","1,146.69","4,740.16",247.89,"12,553.09","9,048.97","2,382.67","1,478.26","4,819.22","14,897.69","143,559.09"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,010.37","-2,868.72","-1,612.24",-99.50,0.00,-790.38,-61.47,-64.68,-380.83,0.00,0.00,-47.46,-115.44,"-8,051.09"
1260 derechos y participaciones,"11,455.54","32,007.72","6,582.93",114.28,0.00,0.00,496.91,0.00,0.00,0.00,0.00,0.00,"1,267.75","51,925.12"
13 Activo fijo,"85,510.32","111,867.38","43,784.04","15,842.00","1,078.11","20,442.81","5,041.50","16,023.76","36,172.17","3,080.81","2,080.15","1,687.50","6,753.93","349,364.46"
1310 No depreciables,"30,604.78","41,501.19","18,801.47","8,065.37",247.69,"8,520.07","3,496.68","2,201.95","9,845.15",0.00,870.33,203.75,"3,277.94","127,636.38"
1320 depreciables,"136,645.63","114,295.35","64,921.92","21,847.16","1,689.76","36,012.37","6,250.87","33,937.32","48,657.77","11,285.44","3,558.68","5,379.84","15,511.20","499,993.29"
1329 depreciación acumulada,"-83,069.72","-88,715.91","-44,389.08","-15,757.02",-954.56,"-25,206.96","-4,779.98","-21,689.61","-27,467.91","-10,218.28","-2,692.10","-4,867.96","-12,289.25","-342,098.34"
1330 Amortizables,"1,329.62","44,786.76","4,449.73","1,686.49",95.23,"1,117.33",73.93,"1,574.09","5,137.16","2,013.65",343.24,971.86,254.03,"63,833.12"
Total Activos,"5,446,071.54","3,798,498.61","2,913,241.06","1,736,986.49","236,581.56","478,627.36","360,135.76","1,346,649.73","3,078,249.71","121,105.31","458,379.95","559,994.70","905,859.42","21,440,381.20"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"38,464.96","13,556.77","23,258.74",676.53,0.00,0.00,"6,427.48",91.71,"51,343.04",0.00,"1,156.38",83.85,0.00,"135,059.46"
4119 Provisión por pérdidas,-1.94,-2.78,0.00,-0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.08
4120 Contingencias por avales y fianzas,"119,212.93","108,856.29","93,769.98","15,599.33","8,504.12","6,356.60","3,071.27","10,722.24","110,955.58",0.00,"18,279.58",0.00,"6,294.98","501,622.91"
4129 Provisión por pérdidas,"-16,391.02","-15,789.41","-4,710.73","-6,144.12",-44.11,"-5,477.44",0.00,0.00,-119.20,0.00,0.00,0.00,0.00,"-48,676.02"
4131 derechos por operaciones en moneda extranjera,"13,753.88",0.00,0.00,0.00,67.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,820.89"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"155,038.82","106,620.87","112,318.00","10,131.37","8,527.03",879.16,"9,498.74","10,813.95","162,179.43",0.00,"19,435.96",83.85,"6,294.98","601,822.16"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,601,110.36","3,905,119.48","3,025,559.06","1,747,117.86","245,108.59","479,506.52","369,634.50","1,357,463.68","3,240,429.13","121,105.31","477,815.92","560,078.56","912,154.40","22,042,203.37"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,752,369.53","3,291,996.66","2,535,044.88","1,557,792.73","194,407.73","389,992.94","296,177.08","1,166,732.04","2,737,621.93","90,246.58","361,816.25","499,587.29","809,361.36","18,683,147.00"
211 depósitos,"4,192,779.61","2,892,126.00","2,091,136.24","1,418,195.48","192,060.30","378,739.13","263,139.11","1,009,057.25","2,370,581.11","87,036.96","326,436.00","373,873.56","541,607.33","16,136,768.09"
2110 depósitos a la vista,"3,283,354.80","1,902,642.72","1,239,906.63","684,027.87","190,769.43","258,634.19","152,696.54","601,394.91","1,700,560.04","11,669.77","147,427.73","142,755.19","252,633.09","10,568,472.92"
211001 depósitos en cuenta corriente,"1,113,572.02","876,782.65","580,739.46","385,645.53","187,870.23","77,798.33","115,354.88","359,702.45","1,112,202.90","11,669.77","53,205.76","96,183.34","174,612.77","5,145,340.10"
211002 depósitos de ahorro,"2,167,796.92","1,025,860.07","658,191.99","298,382.34","2,899.20","180,835.86","37,341.66","241,692.46","588,357.14",0.00,"94,221.96","46,567.34","78,020.32","5,420,167.26"
211003 depósitos en cuenta de ahorro simplificada,"1,985.86",0.00,975.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.52,0.00,"2,965.56"
2111 depósitos pactados hasta un año plazo,"771,885.96","903,774.67","730,791.61","663,749.13",0.00,"112,898.81","106,154.26","388,515.36","609,716.81","71,637.11","172,025.04","208,285.21","261,665.30","5,001,099.26"
2112 depósitos pactados a mas de un año plazo,"70,645.32","18,705.87","75,455.28","49,294.56",0.00,219.01,0.00,"2,650.62","42,305.94",0.00,"2,211.61","20,398.35","20,785.61","302,672.15"
2114 depósitos restringidos e inactivos,"66,893.54","67,002.74","44,982.72","21,123.92","1,290.87","6,987.12","4,288.32","16,496.35","17,998.32","3,730.08","4,771.62","2,434.81","6,523.34","264,523.76"
212 Préstamos,"373,516.85","215,106.06","231,668.16","106,958.22",0.00,"10,667.53","3,963.23","149,053.97","241,620.86","3,017.75","33,865.24","74,857.10","134,971.25","1,579,266.22"
2121 Préstamos pactados hasta un año plazo,"110,901.51","74,344.69","94,549.01","24,001.95",0.00,16.20,"2,963.11","4,440.51","188,870.99","3,017.75","27,936.82","4,075.86","12,045.41","547,163.82"
2122 Préstamos pactados a mas de un año plazo,"6,770.62",97.19,"6,495.93","69,925.88",0.00,"7,012.47","1,000.12","45,241.60","52,749.87",0.00,"5,928.43","51,908.10","96,416.37","343,546.57"
2123 Préstamos pactados a cinco o mas años plazo,"255,844.73","140,664.18","130,623.21","13,030.39",0.00,"3,638.85",0.00,"99,371.86",0.00,0.00,0.00,"18,873.13","26,509.47","688,555.82"
2130 Obligaciones a la vista,"23,992.33","31,932.66","10,498.16","32,639.03","2,347.43",586.28,972.00,"8,620.82","19,673.23",191.87,"1,515.00","1,769.16","19,410.47","154,148.43"
214 Títulos de emisión propia,"162,080.74","152,831.94","201,742.32",0.00,0.00,0.00,"25,102.74",0.00,"105,746.73",0.00,0.00,"41,787.48","108,372.31","797,664.27"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,524.40","12,524.40"
2142 Pactados a mas de un año plazo,"162,080.74","152,831.94","201,742.32",0.00,0.00,0.00,"25,102.74",0.00,"105,746.73",0.00,0.00,"41,787.48","95,847.91","785,139.86"
215 Documentos transados,0.00,0.00,0.00,0.00,0.00,0.00,"3,000.00",0.00,0.00,0.00,0.00,"7,300.00","5,000.00","15,300.00"
