Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Marzo de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,514,838.43","3,722,281.83","2,962,476.65","2,033,563.09","214,741.98","437,326.71","1,304,324.92","3,072,838.14","144,561.43","592,969.22","803,524.22","1,043,380.19","21,846,826.80"
1110 Fondos disponibles,"901,728.91","522,804.88","358,860.55","312,213.17","95,718.36","122,197.48","219,231.29","447,001.70","15,667.45","93,990.85","96,097.12","126,922.48","3,312,434.23"
112 Adquisición temporal de documentos,"4,038.81","6,003.03",0.00,0.00,0.00,0.00,"3,658.63",0.00,0.00,0.00,0.00,500.00,"14,200.47"
1121 Documentos adquiridos hasta un año plazo,"4,038.81","6,003.03",0.00,0.00,0.00,0.00,"3,658.63",0.00,0.00,0.00,0.00,500.00,"14,200.47"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"760,327.47","474,374.77","319,450.23","656,539.30","100,593.35","16,003.38","173,263.02","327,267.74","10,321.90","56,459.28","91,518.44","173,569.67","3,159,688.55"
1130 Titulos valores conservados para negociación,"16,898.04",0.00,555.84,"654,303.63","3,960.17",0.00,0.00,0.00,0.00,911.19,"16,607.80","11,000.00","704,236.67"
1131 Titulos valores para conservarse hasta el vencimiento,"101,627.44",0.00,"7,913.21","2,148.31",0.00,"16,003.38",0.00,0.00,0.00,"38,537.43",920.17,"162,569.67","329,719.60"
1132 Titulos valores disponibles para venta,"641,801.99","474,374.77","310,981.18",87.36,"96,633.19",0.00,"173,263.02","327,267.74","10,321.90","17,010.66","73,990.47",0.00,"2,125,732.28"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,848,743.24","2,719,099.15","2,284,165.87","1,064,810.63","18,430.26","299,125.85","908,171.97","2,298,568.70","118,572.09","442,519.09","615,908.67","742,388.04","15,360,503.56"
1141 Préstamos pactados hasta un año plazo,"757,106.98","358,843.61","389,550.47","94,264.25","18,494.28","34,547.38","290,831.50","437,191.50","3,910.29","62,828.03","110,723.83","101,743.34","2,660,035.46"
1142 Préstamos pactados a mas de un año plazo,"3,157,843.88","2,394,588.40","1,911,522.80","986,414.30",0.00,"265,306.08","622,129.56","1,874,449.96","115,904.46","381,677.97","506,558.26","642,620.95","12,859,016.62"
1148 Préstamos vencidos,"42,282.72","79,184.94","41,915.90","22,165.13",0.05,"8,631.57","21,412.31","33,825.38","16,369.97","1,297.53","25,413.35","3,355.09","295,853.92"
1149 Provisión para incobrabilidad de préstamos,"-108,490.33","-113,517.80","-58,823.29","-38,033.05",-64.06,"-9,359.18","-26,201.41","-46,898.15","-17,612.64","-3,284.43","-26,786.77","-5,331.34","-454,402.45"
12 Otros activos,"122,552.26","85,847.52","52,267.74","22,126.69","1,651.70","11,996.13","38,137.12","20,014.87","9,411.41","5,107.39","34,472.93","28,637.03","432,222.77"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"24,433.74","1,874.95","8,209.94","11,014.63",0.00,"5,038.96","4,917.16","5,059.50",0.00,0.00,"3,982.75","3,293.57","67,825.21"
1230 Existencias,893.76,465.32,206.94,173.30,0.00,300.41,213.14,245.17,0.00,47.69,10.87,29.27,"2,585.87"
1240 Gastos pagados por anticipado y cargos diferidos,"47,473.24","36,089.96","28,637.12","2,118.15",458.25,"1,358.85","16,171.53","9,838.61","7,826.53","1,810.26","24,171.81","8,893.66","184,847.97"
1250 Cuentas por cobrar,"40,567.55","17,597.60","11,029.40","8,834.26","1,193.45","6,025.72","16,930.56","5,227.09","1,584.88","3,249.44","6,540.23","15,085.50","133,865.69"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,509.79","-2,174.65","-2,134.09",-127.93,0.00,-727.81,-95.28,-355.50,0.00,0.00,-232.73,-85.66,"-8,443.43"
1260 derechos y participaciones,"11,693.77","31,994.32","6,318.42",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,420.68","51,541.47"
13 Activo fijo,"82,090.27","114,083.10","41,803.89","15,858.52","1,652.70","20,299.89","17,404.76","45,224.83","2,188.82","2,201.90","2,488.15","9,462.12","354,758.94"
1310 No depreciables,"29,806.01","41,231.84","18,716.17","7,957.74",247.69,"8,755.00","3,446.16","11,379.32",0.00,730.09,89.97,"5,219.44","127,579.43"
1320 depreciables,"130,012.30","109,246.04","64,983.49","23,199.94","2,479.40","35,067.49","35,567.78","57,423.39","10,794.67","3,753.03","9,947.67","16,137.66","498,612.86"
1329 depreciación acumulada,"-78,776.44","-85,500.79","-45,532.54","-16,666.10","-1,184.58","-24,543.34","-23,138.34","-31,851.77","-10,229.72","-2,765.85","-8,958.75","-12,326.39","-341,474.61"
1330 Amortizables,"1,048.40","49,106.01","3,636.76","1,366.95",110.20,"1,020.74","1,529.16","8,273.88","1,623.87",484.64,"1,409.26",431.40,"70,041.26"
Total Activos,"5,719,480.96","3,922,212.45","3,056,548.27","2,071,548.31","218,046.38","469,622.73","1,359,866.79","3,138,077.83","156,161.66","600,278.51","840,485.30","1,081,479.33","22,633,808.51"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"12,488.77","23,629.61","8,316.80",78.66,0.00,0.00,0.00,"55,384.18",0.00,"1,303.68","3,440.52",0.00,"104,642.22"
4119 Provisión por pérdidas,-17.53,0.00,0.00,-0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-17.85
4120 Contingencias por avales y fianzas,"82,936.27","85,685.38","113,964.48","17,671.10","5,343.12","5,716.47","10,692.59","98,985.86",0.00,"19,868.76","1,908.77","6,823.82","449,596.62"
4129 Provisión por pérdidas,"-15,879.91","-15,893.01","-4,704.56","-8,041.53",-32.70,"-5,682.75",0.00,-93.63,0.00,0.00,0.00,0.00,"-50,328.08"
4131 derechos por operaciones en moneda extranjera,"15,097.88",445.38,0.00,0.00,137.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"15,681.21"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"94,625.48","93,867.35","117,576.73","9,707.90","5,448.37",33.73,"10,692.59","154,276.41",0.00,"21,172.44","5,349.29","6,823.82","519,574.11"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,814,106.44","4,016,079.80","3,174,125.01","2,081,256.21","223,494.75","469,656.46","1,370,559.38","3,292,354.24","156,161.66","621,450.95","845,834.59","1,088,303.15","23,153,382.62"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,887,737.76","3,409,412.10","2,667,819.85","1,875,961.75","171,815.91","373,128.30","1,189,127.77","2,762,405.83","120,080.06","483,514.13","715,884.83","967,007.76","19,623,896.05"
211 depósitos,"4,235,266.01","2,939,596.38","2,219,977.54","1,757,041.64","169,703.61","355,590.22","1,024,183.54","2,437,147.09","107,686.88","374,981.67","542,106.80","680,299.23","16,843,580.63"
2110 depósitos a la vista,"3,285,672.87","1,964,924.66","1,319,196.81","677,271.56","168,307.64","242,196.76","606,373.94","1,633,884.90","13,953.96","162,097.91","180,823.45","300,290.62","10,554,995.10"
211001 depósitos en cuenta corriente,"1,067,747.58","834,730.13","581,910.17","372,218.85","164,789.73","51,033.79","374,204.29","1,038,698.07","13,925.37","71,553.51","135,882.85","215,689.18","4,922,383.52"
211002 depósitos de ahorro,"2,215,763.88","1,130,194.53","736,238.17","305,052.72","3,517.91","191,162.97","232,169.66","595,186.82",0.00,"90,544.40","44,935.32","84,601.44","5,629,367.81"
211003 depósitos en cuenta de ahorro simplificada,"2,161.41",0.00,"1,048.47",0.00,0.00,0.00,0.00,0.00,28.59,0.00,5.29,0.00,"3,243.77"
2111 depósitos pactados hasta un año plazo,"798,154.53","884,967.85","809,151.15","872,625.71",0.00,"102,913.90","361,268.31","739,257.42","90,310.18","205,442.39","329,222.70","292,800.02","5,486,114.18"
2112 depósitos pactados a mas de un año plazo,"85,057.09","22,550.54","52,909.92","182,767.98",0.00,197.91,"32,007.20","49,004.30",0.00,"3,057.69","25,201.97","76,604.37","529,358.96"
2114 depósitos restringidos e inactivos,"66,381.52","67,153.33","38,719.66","24,376.38","1,395.97","10,281.65","24,534.09","15,000.47","3,422.74","4,383.69","6,858.68","10,604.22","273,112.39"
212 Préstamos,"491,969.40","289,491.87","211,222.08","88,381.19",0.00,"17,352.08","123,764.43","182,266.09","3,853.38","68,316.91","95,348.72","148,111.36","1,720,077.51"
2121 Préstamos pactados hasta un año plazo,"110,947.53","73,675.21","97,815.79","12,059.29",0.00,16.20,"18,375.87","83,915.55",846.71,"40,098.79",288.20,"5,756.02","443,795.16"
2122 Préstamos pactados a mas de un año plazo,"121,387.75","29,259.79","4,348.64","67,401.12",0.00,"5,037.16","16,835.61","98,350.54","3,006.67","28,218.12","60,111.68","98,047.42","532,004.48"
2123 Préstamos pactados a cinco o mas años plazo,"259,634.12","186,556.88","109,057.66","8,920.79",0.00,"12,298.72","88,552.95",0.00,0.00,0.00,"34,948.84","44,307.92","744,277.87"
2130 Obligaciones a la vista,"23,349.21","29,654.30","12,761.51","30,538.91","2,112.30",186.01,"7,182.84","30,812.16",967.27,"2,893.17","2,492.80","1,485.20","144,435.68"
214 Títulos de emisión propia,"137,153.14","150,669.54","223,302.88",0.00,0.00,0.00,"33,996.96","112,180.49","7,572.54","37,322.38","59,328.71","126,111.96","887,638.60"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,569.16","2,620.49",0.00,"24,855.78","34,045.43"
2142 Pactados a mas de un año plazo,"137,153.14","150,669.54","223,302.88",0.00,0.00,0.00,"33,996.96","112,180.49","1,003.38","34,701.89","59,328.71","101,256.18","853,593.17"
215 Documentos transados,0.00,0.00,555.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,607.80","11,000.00","28,163.64"
2151 Documentos transados hasta un año plazo,0.00,0.00,555.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,607.80","11,000.00","28,163.64"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
