Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,
Datos al 31 de marzo de 2024,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones
,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,
11 Activos,"5,675,610.8","3,827,835.3","3,062,330.7","2,249,839.3","211,055.3","449,369.9","1,325,871.6","3,284,049.3","170,829.2","678,841.3","859,134.5","1,205,732.8","23,000,500.1"
1110 Disponibilidades,"810,868.8","514,673.2","406,419.6","302,755.8","57,259.7","119,288.9","196,301.1","442,707.2","21,931.7","82,752.9","107,873.9","136,927.2","3,199,760.1"
112 Operaciones con pacto de retroventa,0.0,561.3,0.0,"9,897.2",0.0,250.5,0.0,0.0,0.0,0.0,0.0,517.8,"11,226.8"
1121 Operaciones con pacto de retroventa,0.0,561.3,0.0,"9,897.2",0.0,250.5,0.0,0.0,0.0,0.0,0.0,517.8,"11,226.8"
1130 A valor razonable con cambios en resultados (vrcr),"750,596.8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"30,126.8","780,723.5"
1131 A valor razonable con cambios en otro resultado integral (vrori),0.0,0.0,"349,049.4","903,096.7",0.0,0.0,0.0,"385,397.8",0.0,0.0,0.0,0.0,"1,637,543.9"
1132 Derivados financieros para coberturas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1134 A costo amortizado,"43,449.9","492,718.2","5,285.0","23,400.9","109,015.3","11,209.2","173,606.4",0.0,"23,656.1","64,625.8","141,326.4","228,025.8","1,316,318.9"
1138 Instrumentos financieros restringidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,000.0",0.0,"6,000.0"
114 Préstamos,"4,070,695.3","2,819,882.6","2,301,576.6","1,010,688.8","44,780.3","318,621.3","955,964.1","2,455,944.3","125,241.4","531,462.5","603,934.1","810,135.3","16,048,926.8"
1141 Préstamos pactados hasta un año plazo,"569,128.3","372,923.3","372,066.1","69,269.4","44,985.6","42,406.7","303,447.7","527,643.8","7,117.0","78,365.6","108,879.2","60,918.5","2,557,151.2"
1142 Préstamos pactados a más de un año plazo,"3,553,913.5","2,491,225.0","1,943,260.0","949,401.0",0.0,"276,953.8","656,229.9","1,943,173.2","119,324.0","454,914.7","499,148.4","751,580.1","13,639,123.6"
1148 Préstamos vencidos,"52,673.0","78,958.1","52,335.2","29,000.7",0.0,"8,974.6","18,732.7","37,907.3","10,571.5","1,535.8","18,036.3","3,462.5","312,187.7"
1149 Provisión para incobrabilidad de préstamos,"-105,019.5","-123,223.7","-66,084.6","-36,982.4",-205.3,"-9,713.7","-22,446.3","-52,780.0","-11,771.2","-3,353.5","-22,129.8","-5,825.9","-459,535.7"
12 Otros activos,"111,858.6","103,477.5","32,275.9","25,429.6","2,027.9","12,277.9","34,169.0","31,683.5","7,628.8","2,565.5","13,376.6","26,998.6","403,769.4"
1210 Saldos entre compañías,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1220 Bienes recibidos en pago o adjudicados,"19,778.9","2,526.3","6,458.1","11,847.0",0.0,"5,212.9","2,090.5","2,135.5",0.0,0.0,"3,302.6","2,615.0","55,966.8"
1230 Existencias,"1,675.7",472.6,356.8,166.2,0.0,311.4,103.9,251.5,0.0,39.1,97.9,39.0,"3,514.0"
1240 Gastos pagados por anticipado,"6,973.2","11,314.8","3,014.2",534.7,44.6,478.0,"7,984.1","1,805.6","4,981.6",530.8,"2,431.3","1,968.5","42,061.4"
1250 Cuentas por cobrar,"56,922.5","25,576.4","11,478.7","10,263.3","1,395.7","6,103.1","19,638.2","18,947.7","1,306.9",932.5,"3,899.1","16,861.9","173,326.1"
1251 Impuestos,"18,888.0","34,456.8","7,038.7","2,642.7",587.7,923.6,"5,619.5","1,962.7","1,340.3","1,063.0","3,917.7","3,626.8","82,067.5"
1259 Estimación de pérdida por deterioro de valor,"-2,889.2","-2,425.3","-2,292.8",-138.6,0.0,-751.1,"-1,267.3",-354.6,0.0,0.0,-271.9,-101.0,"-10,491.6"
"1260 Inversiones en acciones, derechos y participaciones","10,509.3","31,555.9","6,222.2",114.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,988.4","50,390.2"
1261 Plusvalía comprada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,935.1",0.0,0.0,0.0,0.0,"6,935.1"
1270 Activos mantenidos para la venta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13 Activos físicos e intangibles,"117,683.2","115,854.0","61,990.8","23,281.0","3,257.2","20,207.5","27,685.9","51,241.6","9,304.5","5,472.0","25,283.3","25,141.0","486,402.0"
131 Propiedades no depreciables,"29,781.3","41,094.5","20,242.7","8,167.7",247.7,"8,926.8","3,468.2","12,184.9",0.0,730.1,"2,897.5","5,467.4","133,208.7"
1310 Propiedades no depreciables,"29,781.3","41,094.5","20,242.7","8,167.7",247.7,"8,926.8","3,468.2","12,184.9",0.0,730.1,"2,897.5","5,467.4","133,208.7"
132 Propiedades y equipo depreciables,"61,328.3","39,586.4","28,021.1","13,814.8","3,009.5","10,190.5","19,122.1","37,882.4","4,667.6","4,232.7","8,726.8","12,251.8","242,834.1"
1320 Depreciables,"158,947.5","137,011.7","83,018.0","33,793.5","4,752.4","35,730.8","43,491.6","91,524.8","5,689.3","9,693.9","19,250.3","25,537.9","648,441.7"
1329 Depreciación y deterioro acumulada(o) (-),"-97,619.2","-97,425.2","-54,996.9","-19,978.7","-1,742.8","-25,540.3","-24,369.6","-53,642.4","-1,021.8","-5,461.1","-10,523.4","-13,286.1","-405,607.7"
133 Intangibles,"26,573.6","35,173.1","13,727.0","1,298.6",0.0,"1,090.2","5,095.6","1,174.4","4,636.9",509.2,"13,659.0","7,421.8","110,359.3"
1330 Intangibles,"38,640.4","59,697.1","34,288.8","1,298.6",0.0,"1,455.4","5,095.6","2,348.7","4,636.9","3,393.4","27,501.3","10,991.1","189,347.5"
1339 Amortización y deterioro acumulada(o) (-),"-12,066.9","-24,524.0","-20,561.8",0.0,0.0,-365.3,0.0,"-1,174.4",0.0,"-2,884.3","-13,842.3","-3,569.3","-78,988.2"
Total Activos,"5,905,152.5","4,047,166.8","3,156,597.4","2,298,549.9","216,340.5","481,855.3","1,387,726.5","3,366,974.5","187,762.5","686,878.7","897,794.4","1,257,872.4","23,890,671.5"
,,,,,,,,,,,,,
4110 Cartas de crédito,"20,885.0","20,321.2","10,056.3",0.0,0.0,0.0,0.0,"63,701.4",0.0,"1,137.1","5,262.6",0.0,"121,363.6"
4120 Avales y fianzas,"87,044.8","67,805.0","123,688.5","18,399.2","4,847.9","5,732.4","6,125.2","66,638.4",0.0,"20,974.1","1,646.4","6,238.7","409,140.6"
4129 Provisión por pérdidas,"-16,388.5","-15,773.1","-4,877.5","-10,456.5",-8.7,"-5,732.4",0.0,-101.7,0.0,0.0,0.0,0.0,"-53,338.3"
4130 Operaciones con instrumentos financieros derivados,"9,048.9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"9,048.9"
4180 Otras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,0.0,,0.0
Total derechos futuros y contingencias,"100,590.1","72,353.1","128,867.4","7,942.7","4,839.2",0.0,"6,125.2","130,238.1",0.0,"22,111.3","6,909.0","6,238.7","486,214.8"
,,,,,,,,,,,,,0.0
Total activos + derechos futuros y contingencias,"6,005,742.6","4,119,520.0","3,285,464.8","2,306,492.6","221,179.7","481,855.3","1,393,851.8","3,497,212.6","187,762.5","708,990.0","904,703.5","1,264,111.1","24,376,886.4"
,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,
21 Pasivos,"5,134,364.4","3,487,475.3","2,747,717.1","2,082,424.2","171,174.3","377,842.5","1,248,645.4","2,978,384.9","150,813.5","579,225.0","792,148.3","1,132,434.3","20,882,649.1"
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100 Mantenidos para negociar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211 Pasivos financieros a costo amortizado,"4,950,026.8","3,280,648.7","2,520,782.3","1,755,477.6","169,654.3","377,812.9","1,200,231.0","2,796,430.3","142,579.0","508,123.7","740,575.1","936,599.5","19,378,941.4"
2110 Depósitos a la vista,"3,364,718.1","1,978,903.6","1,327,836.0","682,105.5","150,916.9","246,446.9","558,883.8","1,684,858.9","16,433.8","193,442.7","250,777.3","310,902.3","10,766,225.8"
2111 Depósitos pactados hasta un año plazo,"868,788.5","946,649.7","842,106.7","781,975.1",0.0,"100,314.7","431,917.7","799,748.6","89,227.9","217,376.9","349,191.8","276,290.1","5,703,587.7"
2112 Depósitos pactados a más de un año plazo,"100,566.0","33,201.9","117,756.7","193,070.7",0.0,159.4,"27,836.7","70,935.7","21,142.1","6,067.5","24,180.1","168,600.1","763,516.8"
2113 Certificados de depósitos negociables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"17,240.5","17,240.5"
2114 Depósitos restringidos e inactivos,"80,244.8","63,789.3","49,149.0","22,379.9","1,833.1","9,900.0","29,593.6","18,060.1","2,919.2","5,844.6","8,909.4","9,826.3","302,449.3"
2115 Operaciones con pacto de retrocompra,0.0,0.0,"2,025.0",0.0,0.0,0.0,0.0,0.0,"1,945.0",0.0,"6,000.0","4,004.9","13,974.9"
2116 Préstamos pactados hasta un año plazo,"119,982.9","42,016.5","91,592.1","15,314.9","15,030.4",16.2,"24,741.8","134,959.4","4,841.7","48,024.5","10,072.8","13,379.2","519,972.4"
2117 Préstamos pactados a más de un año plazo,"82,422.8","35,372.8","4,461.4","54,797.6",0.0,"3,637.1","29,676.2","87,867.6","1,505.3","37,367.6","46,123.1","77,895.8","461,127.4"
2118 Préstamos pactados a cinco o mas años plazo,"263,041.9","180,714.8","85,855.5","5,833.9","1,873.9","17,338.7","67,319.8",0.0,"4,564.0",0.0,"45,320.6","58,460.2","730,323.3"
2119 Préstamos subordinados,"70,261.9",0.0,0.0,0.0,0.0,0.0,"30,261.4",0.0,0.0,0.0,0.0,0.0,"100,523.3"
212 Títulos de emisión propia,"169,243.5","189,065.4","217,712.6","297,938.4",0.0,0.0,"43,094.0","166,606.9","7,512.3","68,642.9","49,585.6","184,485.4","1,393,887.0"
2120 Títulos de emisión propia,"169,243.5","189,065.4","217,712.6","297,938.4",0.0,0.0,"43,094.0","166,606.9","7,512.3","68,642.9","49,585.6","184,485.4","1,393,887.0"
213 Obligaciones a la vista,"15,094.1","17,761.2","9,222.3","29,008.2","1,520.0",29.5,"5,320.4","15,347.7",722.2,"2,458.3","1,987.5","11,349.4","109,820.7"
2130 Obligaciones a la vista,"15,094.1","17,761.2","9,222.3","29,008.2","1,520.0",29.5,"5,320.4","15,347.7",722.2,"2,458.3","1,987.5","11,349.4","109,820.7"
22 Otros pasivos,"193,580.8","113,756.8","49,922.7","13,175.8","5,168.9","31,536.5","24,905.5","52,276.3","3,726.7","30,239.0","9,493.7","6,376.9","534,159.5"
221 Saldos entre compañias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
