Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de marzo de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos," 6,187,118.96 "," 4,152,681.09 "," 3,201,786.94 "," 2,287,447.62 "," 202,866.74 "," 479,868.17 "," 1,375,666.92 "," 3,698,828.99 "," 184,864.89 "," 856,178.73 "," 924,146.48 "," 257,156.86 "," 1,287,752.53 "," 25,096,364.92 ",
1110 Disponibilidades," 975,337.98 "," 655,142.64 "," 438,319.17 "," 410,164.19 "," 62,666.36 "," 131,304.20 "," 222,242.58 "," 493,517.57 "," 27,452.45 "," 131,667.97 "," 140,160.48 "," 40,339.73 "," 160,905.02 "," 3,889,220.34 ",
112 Operaciones con pacto de retroventa," 5,245.95 ", 388.45 , -   ," 11,954.52 ", -   , -   , -   , -   ," 1,436.82 ", -   , -   ," 5,942.59 ", -   ," 24,968.32 ",
1121 Operaciones con pacto de retroventa," 5,245.95 ", 388.45 , -   ," 11,954.52 ", -   , -   , -   , -   ," 1,436.82 ", -   , -   ," 5,942.59 ", -   ," 24,968.32 ",
1130 A valor razonable con cambios en resultados (vrcr)," 963,047.50 "," 49,075.85 ", -   , -   , -   , -   , -   , -   , -   ," 2,040.89 ", -   , -   ," 53,534.48 "," 1,067,698.73 ",
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 89,997.41 "," 839,339.96 ", -   , -   , -   ," 416,225.72 ", -   , -   , -   , -   , -   ," 1,345,563.09 ",
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1134 A costo amortizado," 39,968.17 "," 424,536.04 "," 281,812.00 "," 8,907.06 "," 103,516.81 "," 10,427.75 "," 163,087.23 ", -   ," 34,193.01 "," 65,405.96 "," 145,356.76 ", -   ," 198,342.79 "," 1,475,553.57 ",
1138 Instrumentos financieros restringidos, -   , -   ," 8,947.09 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,947.09 ",
114 Préstamos," 4,203,519.36 "," 3,023,538.12 "," 2,382,711.27 "," 1,017,081.89 "," 36,683.58 "," 338,136.22 "," 990,337.11 "," 2,789,085.69 "," 121,782.61 "," 657,063.91 "," 638,629.24 "," 210,874.54 "," 874,970.24 "," 17,284,413.77 ",
1141 Préstamos pactados hasta un año plazo," 890,270.74 "," 403,766.42 "," 345,854.73 "," 85,921.64 "," 36,683.58 "," 47,879.83 "," 311,653.98 "," 653,827.61 "," 6,075.44 "," 87,719.14 "," 119,277.04 "," 3,345.78 "," 165,425.26 "," 3,157,701.19 ",
1142 Préstamos pactados a más de un año plazo," 3,373,823.88 "," 2,667,604.15 "," 2,053,571.47 "," 938,552.32 ", -   ," 290,783.74 "," 682,919.56 "," 2,146,180.63 "," 118,669.01 "," 571,495.26 "," 524,368.74 "," 207,774.04 "," 711,806.06 "," 14,287,548.87 ",
1148 Préstamos vencidos," 40,086.13 "," 38,971.14 "," 53,796.14 "," 37,447.87 ", -   ," 8,760.46 "," 18,891.25 "," 33,910.85 "," 4,606.65 "," 1,284.12 "," 20,254.31 "," 3,776.79 "," 3,767.59 "," 265,553.31 ",
1149 Provisión para incobrabilidad de préstamos,"-100,661.38 ","-86,803.59 ","-70,511.07 ","-44,839.95 ", -   ,"-9,287.83 ","-23,127.69 ","-44,833.40 ","-7,568.49 ","-3,434.62 ","-25,270.85 ","-4,022.08 ","-6,028.67 ","-426,389.60 ",
12 Otros activos," 100,265.02 "," 89,952.31 "," 34,853.19 "," 30,453.76 "," 4,460.35 "," 10,931.63 "," 40,725.58 "," 39,954.42 "," 12,715.09 "," 6,728.51 "," 12,338.75 "," 6,565.47 "," 36,288.84 "," 426,232.91 ",
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1220 Bienes recibidos en pago o adjudicados," 17,562.11 "," 1,618.60 "," 5,520.20 "," 13,351.72 ", -   ," 3,341.66 "," 1,522.01 "," 1,534.43 ", -   , -   ," 3,042.01 ", 615.58 ," 2,116.49 "," 50,224.81 ",
1230 Existencias," 1,293.06 ", 321.04 , 347.32 , 166.57 , -   , 344.27 , 183.01 , 429.29 , 11.43 , 36.39 , 97.85 , 21.26 , 20.01 ," 3,271.52 ",
1240 Gastos pagados por anticipado," 7,834.13 "," 7,740.47 "," 3,476.34 ", 881.12 , 0.13 , 186.98 ," 9,063.21 "," 2,812.60 "," 7,002.76 ", 659.12 ," 3,041.22 "," 2,241.48 "," 3,057.59 "," 47,997.13 ",
1250 Cuentas por cobrar," 45,351.32 "," 23,235.32 "," 13,390.24 "," 10,555.16 "," 3,843.43 "," 6,834.42 "," 26,158.31 "," 26,313.22 "," 4,301.76 "," 4,421.53 "," 3,377.76 ", 772.09 ," 21,707.83 "," 190,262.41 ",
1251 Impuestos," 21,862.11 "," 27,424.01 "," 8,108.86 "," 5,544.65 ", 616.79 , 999.26 ," 6,002.48 "," 2,296.67 "," 1,399.14 "," 1,611.47 "," 3,120.11 "," 1,910.97 "," 3,871.61 "," 84,768.12 ",
1259 Estimación de pérdida por deterioro de valor,"-3,698.05 ","-2,075.78 ","-2,627.74 ",-159.73 , -   ,-774.96 ,"-2,203.44 ",-366.91 , -   , -   ,-340.21 ,-174.11 ,-109.31 ,"-12,530.23 ",
"1260 Inversiones en acciones, derechos y participaciones"," 10,060.34 "," 31,688.64 "," 6,637.95 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,624.63 "," 54,125.84 ",
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 126,041.97 "," 114,479.64 "," 62,394.77 "," 22,732.14 "," 2,444.96 "," 20,337.47 "," 28,958.11 "," 53,354.66 "," 8,529.11 "," 6,261.68 "," 24,238.61 "," 9,017.89 "," 27,348.27 "," 506,139.30 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,419.68 "," 7,957.74 ", 247.69 ," 9,137.29 "," 4,215.67 "," 12,880.28 ", -   , 730.09 , 814.39 ," 2,029.83 "," 4,029.46 "," 130,571.32 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,419.68 "," 7,957.74 ", 247.69 ," 9,137.29 "," 4,215.67 "," 12,880.28 ", -   , 730.09 , 814.39 ," 2,029.83 "," 4,029.46 "," 130,571.32 ",
132 Propiedades y equipo depreciables," 72,166.73 "," 38,115.74 "," 29,845.52 "," 13,545.87 "," 2,197.28 "," 9,861.52 "," 16,858.93 "," 38,552.09 "," 3,579.28 "," 5,091.53 "," 7,602.88 "," 6,202.83 "," 14,960.54 "," 258,580.75 ",
1320 Depreciables," 174,490.36 "," 138,178.14 "," 86,155.72 "," 34,722.03 "," 4,630.03 "," 36,933.13 "," 44,601.16 "," 99,348.97 "," 4,161.75 "," 11,769.18 "," 18,723.19 "," 12,578.61 "," 31,076.60 "," 697,368.87 ",
1329 Depreciación y deterioro acumulada(o) (-),"-102,323.62 ","-100,062.40 ","-56,310.20 ","-21,176.15 ","-2,432.75 ","-27,071.62 ","-27,742.23 ","-60,796.88 ",-582.47 ,"-6,677.65 ","-11,120.31 ","-6,375.78 ","-16,116.06 ","-438,788.12 ",
133 Intangibles," 24,653.37 "," 35,476.57 "," 14,129.56 "," 1,228.53 ", -   ," 1,338.66 "," 7,883.51 "," 1,922.29 "," 4,949.83 ", 440.07 ," 15,821.34 ", 785.23 ," 8,358.27 "," 116,987.23 ",
1330 Intangibles," 44,446.01 "," 75,822.48 "," 37,394.19 "," 1,822.92 ", -   ," 3,481.72 "," 7,883.51 "," 3,572.46 "," 7,519.33 "," 3,459.98 "," 33,018.86 "," 8,894.50 "," 14,244.24 "," 241,560.21 ",
1339 Amortización y deterioro acumulada(o) (-),"-19,792.65 ","-40,345.91 ","-23,264.63 ",-594.39 , -   ,"-2,143.06 ", -   ,"-1,650.17 ","-2,569.50 ","-3,019.92 ","-17,197.52 ","-8,109.27 ","-5,885.97 ","-124,572.98 ",
Total Activos," 6,413,425.95 "," 4,357,113.04 "," 3,299,034.90 "," 2,340,633.52 "," 209,772.05 "," 511,137.27 "," 1,445,350.61 "," 3,792,138.07 "," 206,109.09 "," 869,168.93 "," 960,723.83 "," 272,740.21 "," 1,351,389.64 "," 26,028,737.13 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 20,214.90 "," 10,139.64 "," 10,494.42 "," 8,740.46 ", -   , -   , -   ," 93,344.04 ", -   ," 1,180.00 "," 4,258.91 ", -   , -   ," 148,372.38 ",
4120 Avales y fianzas," 80,970.74 "," 63,838.19 "," 110,975.25 "," 16,251.78 "," 2,791.77 "," 5,732.38 "," 5,420.12 "," 55,648.76 ", -   ," 14,027.80 "," 2,173.83 ", -   ," 8,756.67 "," 366,587.30 ",
4129 Provisión por pérdidas,"-15,807.32 ","-14,611.08 ","-4,145.18 ","-11,773.39 ", -   ,"-5,732.38 ", -   ,-30.76 , -   , -   , -   , -   , -   ,"-52,100.10 ",
4130 Operaciones con instrumentos financieros derivados," 8,952.24 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,952.24 ",
4180 Otras, -   , -   , -   , -   , 6.99 , -   , -   , -   , -   , -   , -   , -   , -   , 6.99 ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 94,330.57 "," 59,366.74 "," 117,324.50 "," 13,218.85 "," 2,798.76 ", -   ," 5,420.12 "," 148,962.05 ", -   ," 15,207.80 "," 6,432.74 ", -   ," 8,756.67 "," 471,818.81 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,507,756.52 "," 4,416,479.79 "," 3,416,359.39 "," 2,353,852.37 "," 212,570.82 "," 511,137.27 "," 1,450,770.73 "," 3,941,100.12 "," 206,109.09 "," 884,376.73 "," 967,156.57 "," 272,740.21 "," 1,360,146.32 "," 26,500,555.94 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 5,594,546.78 "," 3,803,112.84 "," 2,879,242.72 "," 2,102,098.90 "," 157,949.60 "," 401,954.28 "," 1,309,578.02 "," 3,370,184.90 "," 167,296.98 "," 741,291.77 "," 854,432.04 "," 228,677.00 "," 1,211,967.39 "," 22,822,333.23 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 5,461,334.08 "," 3,639,752.07 "," 2,724,569.24 "," 1,675,686.13 "," 156,942.70 "," 401,800.99 "," 1,263,829.81 "," 3,188,546.48 "," 159,036.49 "," 682,522.38 "," 834,684.85 "," 217,659.55 "," 1,043,572.47 "," 21,449,937.22 ",
2110 Depósitos a la vista," 3,880,981.86 "," 2,289,033.78 "," 1,463,577.54 "," 717,653.22 "," 140,258.47 "," 257,091.65 "," 569,737.55 "," 1,881,998.23 "," 22,439.95 "," 256,494.03 "," 287,969.89 "," 47,036.31 "," 349,922.75 "," 12,164,195.25 ",
