Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Abril de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Scotiabank El Salvador, S.A.","Banco de América Central, S.A.","Banco Abank, S.A. 1/","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"5,174,043.40","1,668,120.52","2,813,111.46","1,138,455.55","295,849.75","391,762.67","389,640.41","1,224,105.86","1,893,372.44","2,732,869.63","70,929.99","395,980.87","463,824.90","646,644.96","19,298,712.42"
1110 Fondos disponibles,"1,067,553.74","359,722.96","544,636.21","222,567.34","128,422.89","128,122.27","55,900.87","256,932.90","379,900.59","564,279.21","21,697.44","74,856.49","47,671.68","75,962.70","3,928,227.27"
112 Adquisición temporal de documentos,"5,700.62",0.00,0.00,"7,813.43",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,514.05"
1121 Documentos adquiridos hasta un año plazo,"5,700.62",0.00,0.00,"7,813.43",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"13,514.05"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"568,170.47","208,953.71","276,158.54","92,208.69","147,040.23","7,801.72","60,609.72","134,000.90","137,099.03","266,978.97","5,920.70","102,659.78","68,973.65","108,562.23","2,185,138.34"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"87,553.00",998.82,0.00,"60,609.72","134,000.90",0.00,0.00,"1,110.09",309.08,"3,000.00","1,000.00","288,581.61"
1131 Titulos valores para conservarse hasta el vencimiento,"9,005.40","1,502.26","25,060.03","2,146.87",0.00,"7,801.72",0.00,0.00,"2,248.69",0.00,648.89,"85,162.43","17,655.02","106,170.07","257,401.37"
1132 Titulos valores disponibles para venta,"559,177.51","207,451.45","251,098.51","2,508.82","146,041.41",0.00,0.00,0.00,"134,850.34","266,978.97","4,161.72","17,188.28","48,318.63","1,392.15","1,639,167.80"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.44
114 Préstamos,"3,532,618.57","1,099,443.86","1,992,316.71","815,866.09","20,386.63","255,838.69","273,129.82","833,172.06","1,376,372.82","1,901,611.44","43,311.86","218,464.60","347,179.57","462,120.03","13,171,832.76"
1141 Préstamos pactados hasta un año plazo,"587,265.74","184,080.26","350,127.90","97,412.30","20,448.08","15,068.53","57,376.67","233,119.78","92,023.04","487,117.59","2,700.10","24,419.48","52,019.65","22,920.74","2,226,099.86"
1142 Préstamos pactados a mas de un año plazo,"2,980,350.60","916,825.41","1,650,480.94","726,347.68",0.00,"241,688.67","218,350.48","601,980.75","1,284,349.77","1,426,822.86","40,795.62","194,889.60","298,185.89","439,640.39","11,020,708.67"
1148 Préstamos vencidos,"52,959.99","19,842.02","37,602.25","14,934.64",0.00,"9,665.10","4,227.23","20,955.67","41,466.71","18,678.11","1,310.23","2,029.36","1,740.86","2,616.70","228,028.87"
1149 Provisión para incobrabilidad de préstamos,"-87,957.76","-21,303.84","-45,894.38","-22,828.52",-61.45,"-10,583.61","-6,824.56","-22,884.14","-41,466.71","-31,007.12","-1,494.09","-2,873.83","-4,766.83","-3,057.80","-303,004.65"
12 Otros activos,"104,607.08","46,218.14","52,399.11","17,978.84","2,279.96","11,906.48","8,684.85","43,292.31","66,346.85","27,659.18","5,271.95","2,888.01","20,559.94","14,414.87","424,507.56"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"40,092.25",446.82,"12,405.80","12,557.91",0.00,"5,729.12","2,003.40","12,017.14","6,916.95","9,522.66",0.00,0.00,0.00,"5,463.39","107,155.45"
1230 Existencias,606.00,380.17,421.68,46.84,0.00,323.87,65.49,309.93,400.90,369.28,0.00,43.71,25.13,14.81,"3,007.82"
1240 Gastos pagados por anticipado y cargos diferidos,"28,608.02","21,058.03","27,979.93","1,930.68",691.95,"1,930.43","4,641.82","15,354.50","13,352.81","10,323.85","2,958.09","1,422.46","17,196.93","2,927.03","150,376.56"
1250 Cuentas por cobrar,"26,637.12","12,308.01","7,734.84","3,453.20","1,588.01","4,368.42","1,289.13","15,610.73","30,149.13","7,706.82","2,313.86","1,421.84","3,355.01","6,097.62","124,033.73"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,484.51",-677.18,"-1,578.40",-124.07,0.00,-445.36,-103.15,0.00,"-1,957.89",-263.44,0.00,0.00,-17.13,-87.99,"-6,739.12"
1260 derechos y participaciones,"10,148.19","12,702.29","5,435.26",114.28,0.00,0.00,788.17,0.00,"17,484.94",0.00,0.00,0.00,0.00,0.00,"46,673.13"
13 Activo fijo,"92,322.86","62,644.70","46,062.22","16,348.76","1,005.53","19,022.30","5,127.77","16,008.48","32,020.53","28,265.21","3,604.91",958.31,"1,989.41","11,199.73","336,580.71"
1310 No depreciables,"30,677.62","22,791.87","21,582.93","8,470.21",247.69,"9,573.72","3,486.79","1,850.69","20,428.04","3,355.75",0.00,0.00,396.59,"7,990.46","130,852.35"
1320 depreciables,"155,622.49","54,962.17","62,253.06","22,685.17","2,237.51","31,764.15","5,904.50","30,928.32","62,041.77","44,828.51","11,075.97","2,886.31","4,891.46","17,253.20","509,334.57"
1329 depreciación acumulada,"-95,906.98","-36,333.17","-42,804.17","-15,640.45","-1,536.97","-23,110.89","-4,372.94","-18,546.93","-50,449.27","-22,932.96","-8,651.43","-2,528.88","-4,158.15","-14,462.60","-341,435.79"
1330 Amortizables,"1,929.72","21,223.83","5,030.41",833.84,57.31,795.32,109.42,"1,776.41",0.00,"3,013.90","1,180.37",600.88,859.51,418.67,"37,829.58"
Total Activos,"5,370,973.33","1,776,983.36","2,911,572.79","1,172,783.15","299,135.24","422,691.46","403,453.04","1,283,406.65","1,991,739.82","2,788,794.01","79,806.85","399,827.19","486,374.25","672,259.56","20,059,800.68"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"13,814.68","11,305.75","11,950.67",437.49,26.00,0.00,"7,953.25",0.00,197.77,"41,776.87",0.00,328.42,0.00,0.00,"87,790.91"
4119 Provisión por pérdidas,0.00,-2.56,0.00,-0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-3.32
4120 Contingencias por avales y fianzas,"135,546.25","47,057.19","88,702.85","14,221.11","9,106.76","6,383.48","3,227.68","9,502.96","123,680.91","68,641.66",0.00,"17,009.56",0.00,"3,113.67","526,194.09"
4129 Provisión por pérdidas,"-15,423.26","-13,376.08","-9,569.79","-5,681.46",-137.84,"-5,076.83",0.00,0.00,"-2,797.92",-294.70,0.00,-3.46,0.00,0.00,"-52,361.34"
4131 derechos por operaciones en moneda extranjera,"4,087.01",0.00,0.00,0.00,48.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,135.06"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"138,024.69","44,984.30","91,083.73","8,976.40","9,042.97","1,306.65","11,180.93","9,502.96","121,080.77","110,123.83",0.00,"17,334.51",0.00,"3,113.67","565,755.40"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,508,998.02","1,821,967.66","3,002,656.52","1,181,759.55","308,178.21","423,998.11","414,633.96","1,292,909.61","2,112,820.58","2,898,917.84","79,806.85","417,161.70","486,374.25","675,373.23","20,625,556.08"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,651,550.18","1,542,342.35","2,556,839.24","1,025,854.89","251,675.27","343,489.41","334,760.67","1,118,335.69","1,719,102.73","2,476,059.84","51,276.71","343,863.42","431,900.67","595,746.95","17,442,798.03"
211 depósitos,"3,992,272.00","1,271,416.37","1,976,372.58","873,061.09","233,190.23","327,830.72","289,246.96","943,728.98","1,418,426.61","2,095,139.54","51,217.32","268,015.90","292,553.28","434,328.72","14,466,800.29"
2110 depósitos a la vista,"2,921,568.59","941,004.05","1,120,057.07","450,665.50","196,582.30","181,631.13","155,218.27","484,737.09","635,077.47","1,379,213.83","16,944.49","123,764.82","99,562.07","183,528.31","8,889,554.99"
211001 depósitos en cuenta corriente,"1,220,043.46","509,242.81","544,827.81","213,856.13","188,741.50","43,174.25","112,923.37","277,961.52","248,412.53","904,545.44","16,944.49","36,379.24","67,692.08","123,012.54","4,507,757.18"
211002 depósitos de ahorro,"1,701,072.05","431,761.23","574,938.77","236,807.57","7,840.80","138,456.88","42,294.90","206,775.57","386,664.93","474,668.40",0.00,"87,385.58","31,864.89","60,515.78","4,381,047.35"
211003 depósitos en cuenta de ahorro simplificada,453.08,0.00,290.48,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,750.46
2111 depósitos pactados hasta un año plazo,"928,031.71","308,043.76","662,822.58","373,007.99","35,001.59","140,866.11","128,798.37","440,936.52","731,810.52","654,994.01","30,025.39","137,766.92","169,628.33","225,722.89","4,967,456.72"
2112 depósitos pactados a mas de un año plazo,"82,074.34",855.48,"155,942.06","30,912.46",0.00,218.04,0.00,"2,148.51","3,538.80","46,771.44",0.00,183.05,"19,004.59","21,332.45","362,981.22"
2114 depósitos restringidos e inactivos,"60,597.36","21,513.08","37,550.87","18,475.13","1,606.33","5,115.43","5,230.33","15,906.86","47,999.83","14,160.25","4,247.43","6,301.11","4,358.29","3,745.07","246,807.36"
212 Préstamos,"435,540.00","201,889.48","371,267.57","123,269.70","10,000.27","15,031.75","19,249.96","170,705.10","166,228.29","179,695.52",0.00,"74,883.51","72,947.82","86,553.54","1,927,262.50"
2121 Préstamos pactados hasta un año plazo,"104,396.66","66,173.92","204,891.28","28,339.01","10,000.27",38.74,"10,338.43","53,266.76","11,678.61","167,418.50",0.00,"28,832.28","6,571.08",0.00,"691,945.54"
2122 Préstamos pactados a mas de un año plazo,"331,143.34",103.99,"11,653.35","81,138.59",0.00,"14,957.03","8,911.54","50,110.70","131,395.84","12,277.02",0.00,"46,051.24","51,271.09","61,015.45","800,029.17"
2123 Préstamos pactados a cinco o mas años plazo,0.00,"135,611.56","154,722.93","13,792.10",0.00,35.98,0.00,"67,327.63","23,153.85",0.00,0.00,0.00,"15,105.65","25,538.09","435,287.80"
2130 Obligaciones a la vista,"11,651.38","8,931.72","8,967.19","29,524.11","8,484.77",626.94,"1,038.33","3,901.61","3,782.17","10,405.64",54.30,964.01,837.70,528.29,"89,698.15"
214 Títulos de emisión propia,"212,086.81","60,104.80","200,231.90",0.00,0.00,0.00,"25,225.41",0.00,"130,665.66","190,819.14",0.00,0.00,"62,561.87","73,336.41","955,031.98"
