Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Abril de 2021,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,350,024.31","3,377,045.29","2,795,431.40","1,379,692.42","288,306.97","398,709.02","427,532.63","1,270,756.13","2,834,800.18","73,035.24","423,061.88","539,389.00","746,852.40","19,904,636.87"
1110 Fondos disponibles,"1,039,154.70","607,893.29","333,901.74","148,748.34","126,622.68","130,519.68","71,902.72","277,379.26","491,065.19","10,695.70","104,751.29","80,983.19","95,434.53","3,519,052.31"
112 Adquisición temporal de documentos,"23,562.42","17,807.55",0.00,"9,590.37",0.00,322.07,258.16,0.00,0.00,0.00,0.00,0.00,"3,000.00","54,540.58"
1121 Documentos adquiridos hasta un año plazo,"23,562.42","17,807.55",0.00,"9,590.37",0.00,322.07,258.16,0.00,0.00,0.00,0.00,0.00,"3,000.00","54,540.58"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"1,055,716.74","412,477.77","382,750.06","322,657.64","148,009.37","11,728.11","114,151.11","183,286.85","363,885.37","12,657.48","72,996.64","91,963.04","142,474.63","3,314,754.82"
1130 Titulos valores conservados para negociación,0.00,0.00,"14,725.00","308,336.42","5,972.62",0.00,"7,347.66",0.00,0.00,"3,712.76",62.01,"10,000.00",0.00,"350,156.47"
1131 Titulos valores para conservarse hasta el vencimiento,"37,004.49","2,004.62","25,177.02","2,147.34",0.00,"11,728.11","106,803.45",0.00,0.00,0.00,"55,772.81","12,513.64","142,474.63","395,626.10"
1132 Titulos valores disponibles para venta,"1,018,712.25","410,473.15","342,848.04","12,173.88","142,036.75",0.00,0.00,"183,286.85","363,885.37","8,944.72","17,161.83","69,449.40",0.00,"2,568,972.25"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,231,590.44","2,338,866.69","2,078,779.61","898,696.06","13,674.92","256,139.16","241,220.64","810,090.02","1,979,849.62","49,682.06","245,313.95","366,442.76","505,943.24","13,016,289.16"
1141 Préstamos pactados hasta un año plazo,"503,740.14","220,919.87","311,870.35","115,523.45","13,741.34","21,976.21","60,132.31","226,459.81","384,634.24","3,367.51","28,944.47","45,909.79","65,030.03","2,002,249.52"
1142 Préstamos pactados a mas de un año plazo,"2,827,706.15","2,163,358.16","1,794,635.13","790,614.68",0.00,"235,746.11","186,439.07","606,140.18","1,617,332.16","46,450.70","218,711.92","322,705.16","443,123.62","11,252,963.05"
1148 Préstamos vencidos,"68,025.78","69,256.26","32,982.68","15,044.70",0.00,"8,280.94","3,610.48","8,684.77","31,813.11","2,563.12",816.32,"4,009.76","2,781.45","247,869.37"
1149 Provisión para incobrabilidad de préstamos,"-167,881.63","-114,667.60","-60,708.55","-22,486.76",-66.42,"-9,864.11","-8,961.22","-31,194.73","-53,929.89","-2,699.27","-3,158.77","-6,181.95","-4,991.87","-486,792.78"
12 Otros activos,"155,309.09","130,035.46","61,805.30","49,332.02","1,638.26","11,658.21","5,674.44","52,823.95","31,136.64","9,305.14","2,005.58","20,088.41","20,994.53","551,807.02"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"36,495.51","5,242.07","13,017.69","13,419.68",0.00,"5,063.70",814.40,"11,837.20","8,506.51",0.00,0.00,"1,725.26","4,801.78","100,923.79"
1230 Existencias,306.73,353.70,342.56,50.15,0.00,304.62,74.31,270.39,360.95,0.00,41.80,25.13,17.89,"2,148.22"
1240 Gastos pagados por anticipado y cargos diferidos,"54,921.12","54,529.54","34,915.24","2,121.01",466.99,"1,460.79","3,953.88","15,643.48","10,932.91","6,733.59","1,267.14","16,174.81","4,414.28","207,534.78"
1250 Cuentas por cobrar,"54,902.31","41,236.51","8,847.26","33,703.93","1,171.27","5,643.92",265.85,"26,030.10","11,693.27","2,571.55",696.64,"2,191.72","10,644.24","199,598.57"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,829.66","-2,428.23","-1,643.06",-77.03,0.00,-814.82,-109.24,-957.22,-357.00,0.00,0.00,-28.51,-83.56,"-8,328.32"
1260 derechos y participaciones,"10,513.08","31,101.87","6,325.61",114.28,0.00,0.00,675.24,0.00,0.00,0.00,0.00,0.00,"1,199.90","49,929.98"
13 Activo fijo,"89,269.46","100,125.03","46,013.98","16,685.77","1,266.04","19,091.31","5,389.95","16,740.53","30,203.73","2,247.39","2,023.31","1,820.23","13,760.89","344,637.61"
1310 No depreciables,"30,596.71","42,828.76","18,883.01","8,657.03",247.69,"8,314.58","3,486.79","1,975.28","4,745.60",0.00,870.33,201.74,"9,362.63","130,170.16"
1320 depreciables,"157,300.35","112,729.52","64,900.48","23,040.72","2,209.52","34,212.43","6,440.40","33,494.94","47,498.59","10,807.41","3,403.26","5,341.44","17,868.38","519,247.43"
1329 depreciación acumulada,"-100,098.17","-86,718.90","-42,910.79","-16,014.35","-1,332.10","-24,498.76","-4,634.28","-20,321.16","-26,067.24","-9,416.25","-2,621.83","-4,691.97","-14,902.46","-354,228.24"
1330 Amortizables,"1,470.57","31,285.64","5,141.27","1,002.37",140.93,"1,063.07",97.04,"1,591.47","4,026.78",856.22,371.55,969.03,"1,432.34","49,448.27"
Total Activos,"5,594,602.86","3,607,205.78","2,903,250.68","1,445,710.20","291,211.27","429,458.54","438,597.02","1,340,320.61","2,896,140.56","84,587.76","427,090.77","561,297.65","781,607.82","20,801,081.51"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"26,123.19","21,950.92","17,015.92","10,267.35",818.47,0.00,"8,990.25",62.51,"33,923.20",0.00,832.69,17.92,0.00,"120,002.42"
4119 Provisión por pérdidas,0.00,-2.82,0.00,-4.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-7.77
4120 Contingencias por avales y fianzas,"147,116.34","156,702.04","86,589.33","15,589.20","7,838.26","6,372.55","4,472.65","9,692.46","71,966.57",0.00,"13,988.00",0.00,"6,799.63","527,127.04"
4129 Provisión por pérdidas,"-16,264.21","-15,703.25","-9,720.15","-5,955.74",-12.49,"-5,282.77",0.00,0.00,-470.74,0.00,-2.25,0.00,0.00,"-53,411.61"
4131 derechos por operaciones en moneda extranjera,"3,679.69",0.00,0.00,0.00,452.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,132.04"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"160,655.01","162,946.90","93,885.10","19,895.86","9,096.59","1,089.78","13,462.90","9,754.97","105,419.02",0.00,"14,818.44",17.92,"6,799.63","597,842.12"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,755,257.86","3,770,152.68","2,997,135.77","1,465,606.06","300,307.86","430,548.31","452,059.92","1,350,075.59","3,001,559.58","84,587.76","441,909.21","561,315.57","788,407.45","21,398,923.62"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,861,271.22","3,095,003.01","2,533,827.04","1,285,845.79","241,196.80","345,365.18","373,717.01","1,166,218.34","2,556,382.16","55,682.46","355,283.52","497,345.06","699,638.51","18,066,776.10"
211 depósitos,"4,316,881.97","2,795,281.66","2,038,066.77","1,142,621.77","226,750.68","333,922.94","343,398.22","1,029,942.93","2,251,031.11","55,465.83","309,189.65","358,624.20","535,737.58","15,736,915.31"
2110 depósitos a la vista,"3,317,664.87","1,739,739.36","1,101,503.77","545,795.71","219,879.93","206,114.02","178,485.97","559,669.45","1,548,329.30","12,310.13","117,822.85","150,918.97","240,561.62","9,938,795.96"
211001 depósitos en cuenta corriente,"1,354,841.92","821,644.93","530,190.81","298,825.48","195,088.29","50,809.53","135,705.80","352,900.57","1,001,349.31","12,310.13","45,913.37","111,447.13","169,700.22","5,080,727.48"
211002 depósitos de ahorro,"1,961,539.74","918,094.43","570,786.89","246,968.43","24,791.64","155,304.49","42,780.17","206,768.89","546,979.99",0.00,"71,909.48","39,470.37","70,861.40","4,856,255.92"
211003 depósitos en cuenta de ahorro simplificada,"1,283.21",0.00,526.07,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.47,0.00,"1,812.55"
2111 depósitos pactados hasta un año plazo,"848,432.53","958,209.85","761,896.27","530,097.11","5,005.56","120,013.45","158,532.12","446,345.58","644,073.58","39,224.70","186,922.13","182,366.48","268,866.25","5,149,985.59"
2112 depósitos pactados a mas de un año plazo,"67,940.45","18,392.92","126,126.89","50,657.48",0.00,246.01,0.00,"1,922.04","38,865.88",0.00,322.53,"20,025.34","20,947.23","345,446.77"
2114 depósitos restringidos e inactivos,"82,844.11","78,939.53","48,539.84","16,071.46","1,865.19","7,549.46","6,380.13","22,005.85","19,762.35","3,931.00","4,122.14","5,313.42","5,362.49","302,686.99"
212 Préstamos,"311,710.70","156,157.46","334,490.31","109,158.96","10,000.24","10,751.63","4,262.02","130,126.96","151,685.30",0.00,"43,426.58","69,686.69","82,409.92","1,413,866.76"
2121 Préstamos pactados hasta un año plazo,"10,000.00","5,411.19","177,624.07","21,043.03","10,000.24",30.81,0.00,"15,056.40","91,215.71",0.00,44.25,"4,912.02","10,330.27","345,667.99"
2122 Préstamos pactados a mas de un año plazo,"44,843.12",173.08,"9,132.28","69,885.93",0.00,"10,712.32","4,262.02","50,234.79","60,469.59",0.00,"43,382.34","50,814.23","48,695.20","392,604.90"
2123 Préstamos pactados a cinco o mas años plazo,"256,867.58","150,573.19","147,733.95","18,230.00",0.00,8.50,0.00,"64,835.76",0.00,0.00,0.00,"13,960.44","23,384.45","675,593.88"
2130 Obligaciones a la vista,"20,591.51","20,756.08","12,515.31","34,065.06","4,445.89",690.61,830.74,"6,148.46","18,000.85",216.62,"2,667.29","2,527.46","2,050.78","125,506.65"
214 Títulos de emisión propia,"212,087.04","122,807.82","134,029.65",0.00,0.00,0.00,"25,226.03",0.00,"135,664.90",0.00,0.00,"56,506.71","79,440.23","765,762.38"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,834.21,834.21
2142 Pactados a mas de un año plazo,"212,087.04","122,807.82","134,029.65",0.00,0.00,0.00,"25,226.03",0.00,"135,664.90",0.00,0.00,"56,506.71","78,606.02","764,928.17"
215 Documentos transados,0.00,0.00,"14,725.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,000.00",0.00,"24,725.00"
2151 Documentos transados hasta un año plazo,0.00,0.00,"14,725.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"10,000.00",0.00,"24,725.00"
