Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,
Datos al 30 de abril de 2024,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones
,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,
11 Activos,"5,822,954.7","3,894,424.4","3,085,048.1","2,252,158.4","232,060.1","446,996.0","1,363,441.5","3,378,162.8","171,302.3","680,633.1","865,889.1","1,205,052.9","23,398,123.2"
1110 Disponibilidades,"1,002,715.0","551,626.2","405,719.4","296,977.3","85,951.9","130,061.2","232,203.8","488,391.0","23,824.2","83,689.1","109,315.6","132,012.2","3,542,487.0"
112 Operaciones con pacto de retroventa,"11,980.0","2,877.5",0.0,"29,406.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"44,263.5"
1121 Operaciones con pacto de retroventa,"11,980.0","2,877.5",0.0,"29,406.0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"44,263.5"
1130 A valor razonable con cambios en resultados (vrcr),"678,770.2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"24,038.8","702,809.0"
1131 A valor razonable con cambios en otro resultado integral (vrori),0.0,0.0,"330,286.8","895,229.2",0.0,0.0,0.0,"416,020.3",0.0,0.0,0.0,0.0,"1,641,536.3"
1132 Derivados financieros para coberturas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1134 A costo amortizado,"42,892.1","471,947.8","5,311.4","15,351.4","107,250.3","10,720.1","171,697.8",0.0,"22,980.6","64,226.9","117,505.5","226,623.5","1,256,507.4"
1138 Instrumentos financieros restringidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"30,664.1",0.0,"30,664.1"
114 Préstamos,"4,086,597.4","2,867,972.8","2,343,730.5","1,015,194.4","38,857.9","306,214.8","959,539.8","2,473,751.5","124,497.4","532,717.2","608,403.9","822,378.4","16,179,856.1"
1141 Préstamos pactados hasta un año plazo,"616,798.4","384,179.0","381,416.0","69,068.8","39,092.6","27,949.8","302,585.8","537,004.1","7,094.5","72,612.4","108,537.4","74,222.7","2,620,561.4"
1142 Préstamos pactados a más de un año plazo,"3,509,568.0","2,529,421.4","1,976,829.9","953,440.4",0.0,"278,909.7","660,136.5","1,951,648.7","117,964.2","461,957.4","503,714.8","750,553.7","13,694,144.6"
1148 Préstamos vencidos,"51,778.0","77,791.8","52,965.0","30,814.1",0.0,"8,962.8","19,871.6","37,807.9","10,625.8","1,500.6","16,897.0","3,267.2","312,281.9"
1149 Provisión para incobrabilidad de préstamos,"-91,547.1","-123,419.3","-67,480.3","-38,128.9",-234.7,"-9,607.5","-23,054.1","-52,709.2","-11,187.0","-3,353.2","-20,745.4","-5,665.2","-447,131.8"
12 Otros activos,"110,763.1","86,794.1","35,368.4","23,578.3","2,968.0","11,236.9","31,400.2","18,311.3","9,190.6","4,189.3","12,584.8","26,683.3","373,068.2"
1210 Saldos entre compañías,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1220 Bienes recibidos en pago o adjudicados,"19,137.3","2,506.7","6,377.7","11,775.2",0.0,"5,040.5","1,896.8","2,104.3",0.0,0.0,"3,302.6","2,550.7","54,691.9"
1230 Existencias,"1,783.0",434.8,638.0,174.9,0.0,275.3,134.1,240.0,0.0,43.0,97.9,36.9,"3,857.9"
1240 Gastos pagados por anticipado,"7,522.2","10,844.9","4,314.3",811.6,73.6,481.2,"8,024.2","2,216.5","5,351.7",721.2,"2,297.4","1,930.6","44,589.5"
1250 Cuentas por cobrar,"55,954.4","22,038.1","12,358.4","8,284.0","2,274.3","5,872.6","19,749.6","5,347.0","2,433.5","3,032.6","3,157.0","17,183.3","157,684.7"
1251 Impuestos,"19,349.0","21,859.6","7,740.6","2,560.5",620.1,277.5,"3,347.4","1,823.7","1,405.3",392.4,"3,991.3","3,092.9","66,460.5"
1259 Estimación de pérdida por deterioro de valor,"-3,492.2","-2,463.0","-2,282.9",-142.3,0.0,-710.3,"-1,751.9",-355.3,0.0,0.0,-261.3,-99.6,"-11,558.8"
"1260 Inversiones en acciones, derechos y participaciones","10,509.3","31,573.0","6,222.2",114.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,988.4","50,407.3"
1261 Plusvalía comprada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,935.1",0.0,0.0,0.0,0.0,"6,935.1"
1270 Activos mantenidos para la venta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13 Activos físicos e intangibles,"116,890.5","116,298.8","61,892.8","23,130.4","3,193.0","20,172.8","27,660.5","51,651.0","9,188.2","5,348.2","25,904.7","25,090.3","486,421.3"
131 Propiedades no depreciables,"29,781.3","41,094.5","20,239.6","8,220.6",247.7,"8,954.5","3,549.5","12,485.3",0.0,730.1,"3,162.0","5,355.4","133,820.5"
1310 Propiedades no depreciables,"29,781.3","41,094.5","20,239.6","8,220.6",247.7,"8,954.5","3,549.5","12,485.3",0.0,730.1,"3,162.0","5,355.4","133,820.5"
132 Propiedades y equipo depreciables,"61,101.6","40,000.9","27,941.4","13,667.3","2,945.4","10,174.8","18,873.4","37,262.7","4,636.9","4,118.9","8,573.8","12,431.5","241,728.5"
1320 Depreciables,"159,581.5","138,066.2","83,146.5","33,915.8","4,709.5","35,845.6","43,516.6","91,582.1","5,671.9","9,702.4","19,154.4","25,953.8","650,846.3"
1329 Depreciación y deterioro acumulada(o) (-),"-98,479.9","-98,065.4","-55,205.1","-20,248.5","-1,764.1","-25,670.8","-24,643.1","-54,319.5","-1,035.0","-5,583.5","-10,580.6","-13,522.4","-409,117.8"
133 Intangibles,"26,007.6","35,203.5","13,711.7","1,242.5",0.0,"1,043.6","5,237.6","1,903.0","4,551.2",499.3,"14,168.9","7,303.5","110,872.3"
1330 Intangibles,"38,640.4","61,166.6","34,485.0","1,242.5",0.0,"1,558.2","5,237.6","3,387.1","4,551.2","3,393.4","28,320.7","11,051.3","193,034.0"
1339 Amortización y deterioro acumulada(o) (-),"-12,632.8","-25,963.1","-20,773.2",0.0,0.0,-514.6,0.0,"-1,484.1",0.0,"-2,894.2","-14,151.8","-3,747.8","-82,161.6"
Total Activos,"6,050,608.2","4,097,517.3","3,182,309.3","2,298,867.1","238,221.1","478,405.7","1,422,502.2","3,448,125.0","189,681.0","690,170.6","904,378.6","1,256,826.5","24,257,612.8"
,,,,,,,,,,,,,
4110 Cartas de crédito,"25,723.5","8,705.6","8,416.7",87.4,0.0,0.0,60.0,"63,467.1",0.0,"1,249.5","5,090.5",0.0,"112,800.4"
4120 Avales y fianzas,"82,117.4","64,770.1","126,741.9","18,544.5","4,872.6","5,732.4","6,534.1","63,895.1",0.0,"21,017.5","1,646.4","6,236.9","402,108.9"
4129 Provisión por pérdidas,"-16,354.3","-15,806.6","-4,894.2","-10,565.1",-9.5,"-5,732.4",0.0,-125.1,0.0,0.0,0.0,0.0,"-53,487.1"
4130 Operaciones con instrumentos financieros derivados,"8,798.9",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"8,798.9"
4180 Otras,0.0,0.0,0.0,0.0,531.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,531.2
,,,,,,,,,,,0.0,,0.0
Total derechos futuros y contingencias,"100,285.5","57,669.1","130,264.5","8,066.8","5,394.3",0.0,"6,594.2","127,237.2",0.0,"22,267.0","6,736.9","6,236.9","470,752.2"
,,,,,,,,,,,,,0.0
Total activos + derechos futuros y contingencias,"6,150,893.7","4,155,186.4","3,312,573.8","2,306,933.9","243,615.4","478,405.7","1,429,096.3","3,575,362.2","189,681.0","712,437.6","911,115.5","1,263,063.4","24,728,365.0"
,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,
21 Pasivos,"5,278,015.7","3,568,276.4","2,771,934.5","2,084,387.5","191,019.7","376,099.7","1,290,045.2","3,050,082.5","153,988.9","585,068.5","797,041.8","1,122,195.6","21,268,155.9"
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100 Mantenidos para negociar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211 Pasivos financieros a costo amortizado,"5,088,778.0","3,358,477.2","2,544,867.5","1,756,003.7","181,905.7","375,920.2","1,235,592.1","2,887,402.3","144,763.8","514,434.6","744,631.6","936,011.6","19,768,788.3"
2110 Depósitos a la vista,"3,535,592.1","2,046,225.3","1,363,988.0","694,545.0","178,227.1","244,725.1","579,699.2","1,740,497.4","17,360.6","200,746.4","236,031.1","301,180.7","11,138,818.1"
2111 Depósitos pactados hasta un año plazo,"860,013.1","958,959.4","838,060.0","765,901.6",0.0,"100,582.8","427,334.7","788,786.5","89,921.6","220,690.8","340,107.4","274,717.3","5,665,075.2"
2112 Depósitos pactados a más de un año plazo,"101,648.5","33,212.7","111,806.9","199,970.3",0.0,159.9,"33,777.9","77,877.3","21,712.6","6,608.0","23,262.8","168,942.6","778,979.4"
2113 Certificados de depósitos negociables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"15,231.1","15,231.1"
2114 Depósitos restringidos e inactivos,"81,059.5","63,629.1","50,417.1","21,977.4","1,833.5","9,501.2","27,184.6","17,615.2","2,960.7","4,456.2","8,186.2","9,006.0","297,826.7"
2115 Operaciones con pacto de retrocompra,0.0,0.0,0.0,0.0,0.0,0.0,"11,584.0",0.0,"1,945.0",0.0,"30,664.1","20,567.1","64,760.2"
2116 Préstamos pactados hasta un año plazo,"92,141.7","44,786.4","89,948.9","15,215.8",0.0,16.2,"29,521.0","134,277.7","4,755.5","45,249.7","8,601.4","13,369.7","477,883.7"
2117 Préstamos pactados a más de un año plazo,"82,596.1","34,372.8","4,340.5","52,735.1",0.0,"3,504.8","29,739.6","128,348.3","1,515.3","36,683.5","47,420.7","74,775.1","496,032.0"
2118 Préstamos pactados a cinco o mas años plazo,"265,414.6","177,291.5","86,306.1","5,658.7","1,845.1","17,430.3","66,252.2",0.0,"4,592.4",0.0,"50,357.9","58,221.9","733,370.6"
2119 Préstamos subordinados,"70,312.4",0.0,0.0,0.0,0.0,0.0,"30,498.9",0.0,0.0,0.0,0.0,0.0,"100,811.4"
212 Títulos de emisión propia,"169,057.6","189,042.1","216,176.6","297,815.7",0.0,0.0,"43,086.3","145,670.8","8,807.5","68,628.8","49,873.0","184,402.3","1,372,560.7"
2120 Títulos de emisión propia,"169,057.6","189,042.1","216,176.6","297,815.7",0.0,0.0,"43,086.3","145,670.8","8,807.5","68,628.8","49,873.0","184,402.3","1,372,560.7"
213 Obligaciones a la vista,"20,180.0","20,757.1","10,890.5","30,568.1","9,114.1",179.5,"11,366.8","17,009.3",417.6,"2,005.1","2,537.2","1,781.7","126,806.9"
2130 Obligaciones a la vista,"20,180.0","20,757.1","10,890.5","30,568.1","9,114.1",179.5,"11,366.8","17,009.3",417.6,"2,005.1","2,537.2","1,781.7","126,806.9"
22 Otros pasivos,"182,893.6","78,256.3","49,279.1","8,411.9","6,262.2","29,084.0","17,787.2","59,953.7","2,407.2","27,116.4","10,845.8","15,419.6","487,717.1"
221 Saldos entre compañias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
