Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  30 de abril de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos," 6,332,871.77 "," 4,269,822.55 "," 3,217,753.57 "," 2,271,335.42 "," 238,646.05 "," 490,199.64 "," 1,406,899.76 "," 3,758,507.42 "," 189,037.81 "," 874,082.26 "," 941,677.78 "," 259,191.10 "," 1,320,050.92 "," 25,570,076.05 ",
1110 Disponibilidades," 1,077,433.03 "," 708,422.25 "," 497,270.83 "," 408,005.81 "," 91,766.74 "," 150,013.05 "," 245,223.81 "," 517,268.68 "," 27,057.45 "," 142,239.76 "," 130,276.92 "," 42,703.82 "," 166,225.91 "," 4,203,908.06 ",
112 Operaciones con pacto de retroventa," 5,457.83 ", 37.76 , -   , 431.42 , -   , -   , -   , -   , 261.62 , -   , -   ," 5,557.52 ", 200.29 ," 11,946.44 ",
1121 Operaciones con pacto de retroventa," 5,457.83 ", 37.76 , -   , 431.42 , -   , -   , -   , -   , 261.62 , -   , -   ," 5,557.52 ", 200.29 ," 11,946.44 ",
1130 A valor razonable con cambios en resultados (vrcr)," 924,479.51 "," 40,287.15 ", -   , -   , -   , -   , -   , -   , -   ," 2,048.41 ", -   , -   ," 37,569.81 "," 1,004,384.89 ",
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 47,006.11 "," 851,798.07 ", -   , -   , -   ," 419,952.78 ", -   , -   , -   , -   , -   ," 1,318,756.97 ",
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1134 A costo amortizado," 39,435.94 "," 477,012.67 "," 277,631.70 "," 26,981.72 "," 107,309.58 "," 10,947.07 "," 161,337.71 ", -   ," 39,559.56 "," 64,599.64 "," 174,342.79 ", -   ," 198,494.34 "," 1,577,652.71 ",
1138 Instrumentos financieros restringidos, -   , -   ," 8,956.23 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,956.23 ",
114 Préstamos," 4,286,065.47 "," 3,044,062.72 "," 2,386,888.70 "," 984,118.40 "," 39,569.73 "," 329,239.52 "," 1,000,338.24 "," 2,821,285.96 "," 122,159.18 "," 665,194.45 "," 637,058.07 "," 210,929.77 "," 917,560.56 "," 17,444,470.76 ",
1141 Préstamos pactados hasta un año plazo," 918,460.66 "," 415,754.35 "," 348,589.11 "," 67,514.42 "," 39,569.73 "," 45,119.23 "," 316,634.14 "," 666,233.59 "," 6,026.35 "," 90,740.24 "," 114,683.30 "," 2,891.62 "," 186,998.35 "," 3,219,215.07 ",
1142 Préstamos pactados a más de un año plazo," 3,429,422.08 "," 2,675,644.79 "," 2,054,923.31 "," 927,741.16 ", -   ," 284,503.41 "," 687,908.07 "," 2,166,063.90 "," 119,046.17 "," 576,504.82 "," 527,212.80 "," 208,133.50 "," 732,970.49 "," 14,390,074.50 ",
1148 Préstamos vencidos," 39,381.89 "," 38,510.09 "," 51,536.89 "," 36,638.76 ", -   ," 9,058.99 "," 18,695.89 "," 34,881.86 "," 4,533.79 "," 1,428.95 "," 13,956.33 "," 3,999.57 "," 3,684.97 "," 256,307.97 ",
1149 Provisión para incobrabilidad de préstamos,"-101,199.15 ","-85,846.50 ","-68,160.62 ","-47,775.93 ", -   ,"-9,442.11 ","-22,899.85 ","-45,893.39 ","-7,447.13 ","-3,479.57 ","-18,794.36 ","-4,094.92 ","-6,093.25 ","-421,126.79 ",
12 Otros activos," 100,839.66 "," 81,931.31 "," 34,695.30 "," 31,663.70 "," 6,861.14 "," 9,585.92 "," 30,211.40 "," 32,588.11 "," 11,563.84 "," 6,097.79 "," 14,419.03 "," 6,683.68 "," 36,602.22 "," 403,743.10 ",
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1220 Bienes recibidos en pago o adjudicados," 17,062.88 "," 1,638.51 "," 5,299.15 "," 13,225.36 ", -   ," 3,324.75 "," 1,557.03 "," 1,560.55 ", -   , -   ," 3,042.01 ", 597.13 ," 3,449.61 "," 50,757.00 ",
1230 Existencias," 1,208.36 ", 355.69 , 312.87 , 168.10 , -   , 335.92 , 164.32 , 431.76 , 61.08 , 30.55 , 97.85 , 23.14 , 17.42 ," 3,207.05 ",
1240 Gastos pagados por anticipado," 7,869.63 "," 8,634.63 "," 4,440.50 "," 1,322.81 ", 6.13 , 209.00 ," 9,397.94 "," 3,181.54 "," 7,191.84 ", 850.00 ," 3,385.06 "," 2,397.77 "," 3,187.45 "," 52,074.28 ",
1250 Cuentas por cobrar," 47,024.20 "," 20,143.87 "," 12,577.50 "," 10,863.75 "," 6,191.47 "," 6,211.06 "," 17,264.69 "," 18,554.23 "," 2,907.52 "," 4,428.30 "," 4,941.40 ", 733.42 ," 20,810.14 "," 172,651.55 ",
1251 Impuestos," 22,373.98 "," 21,470.75 "," 8,108.06 "," 6,152.84 ", 663.54 , 291.25 ," 4,159.28 "," 2,297.94 "," 1,403.40 ", 788.94 ," 3,039.94 "," 1,928.45 "," 3,602.22 "," 76,280.58 ",
1259 Estimación de pérdida por deterioro de valor,"-4,831.84 ","-2,042.67 ","-2,680.72 ",-183.44 , -   ,-786.06 ,"-2,331.86 ",-373.02 , -   , -   ,-87.23 ,-174.40 ,-112.64 ,"-13,603.88 ",
"1260 Inversiones en acciones, derechos y participaciones"," 10,132.44 "," 31,730.52 "," 6,637.95 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,648.02 "," 54,263.22 ",
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 126,390.71 "," 113,121.00 "," 62,338.04 "," 21,870.55 "," 2,385.20 "," 20,294.97 "," 28,475.73 "," 52,730.43 "," 8,419.61 "," 7,483.59 "," 24,276.54 "," 8,877.26 "," 26,999.97 "," 503,663.59 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,805.46 "," 7,957.74 ", 247.69 ," 9,135.97 "," 4,221.63 "," 13,128.48 ", -   , 730.09 , 899.58 ," 1,644.00 "," 3,700.87 "," 130,580.70 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,805.46 "," 7,957.74 ", 247.69 ," 9,135.97 "," 4,221.63 "," 13,128.48 ", -   , 730.09 , 899.58 ," 1,644.00 "," 3,700.87 "," 130,580.70 ",
132 Propiedades y equipo depreciables," 73,034.08 "," 37,766.31 "," 29,446.26 "," 12,723.81 "," 2,137.51 "," 9,758.36 "," 16,559.14 "," 37,833.54 "," 3,558.75 "," 5,790.88 "," 7,522.41 "," 6,517.04 "," 15,107.63 "," 257,755.71 ",
1320 Depreciables," 176,344.44 "," 138,382.67 "," 86,144.63 "," 34,057.20 "," 4,630.03 "," 36,949.21 "," 44,605.34 "," 99,359.96 "," 4,152.19 "," 12,250.26 "," 18,727.43 "," 13,009.15 "," 31,494.75 "," 700,107.27 ",
1329 Depreciación y deterioro acumulada(o) (-),"-103,310.36 ","-100,616.36 ","-56,698.38 ","-21,333.40 ","-2,492.51 ","-27,190.85 ","-28,046.20 ","-61,526.42 ",-593.44 ,"-6,459.38 ","-11,205.02 ","-6,492.12 ","-16,387.12 ","-442,351.56 ",
133 Intangibles," 24,134.76 "," 34,467.36 "," 14,086.32 "," 1,189.01 ", -   ," 1,400.64 "," 7,694.96 "," 1,768.42 "," 4,860.85 ", 962.63 ," 15,854.55 ", 716.22 ," 8,191.47 "," 115,327.18 ",
1330 Intangibles," 44,615.61 "," 76,347.20 "," 37,592.64 "," 1,822.92 ", -   ," 3,713.42 "," 7,694.96 "," 3,716.57 "," 7,535.57 "," 4,008.03 "," 33,306.70 "," 8,926.17 "," 14,266.94 "," 243,546.72 ",
1339 Amortización y deterioro acumulada(o) (-),"-20,480.85 ","-41,879.84 ","-23,506.32 ",-633.91 , -   ,"-2,312.78 ", -   ,"-1,948.15 ","-2,674.72 ","-3,045.40 ","-17,452.15 ","-8,209.95 ","-6,075.47 ","-128,219.54 ",
Total Activos," 6,560,102.14 "," 4,464,874.85 "," 3,314,786.92 "," 2,324,869.68 "," 247,892.39 "," 520,080.54 "," 1,465,586.89 "," 3,843,825.97 "," 209,021.25 "," 887,663.63 "," 980,373.34 "," 274,752.04 "," 1,383,653.10 "," 26,477,482.75 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 10,885.73 "," 10,357.20 "," 11,540.41 "," 8,763.33 ", -   , -   , -   ," 96,753.59 ", -   ," 1,179.72 "," 4,000.00 ", -   , -   ," 143,479.97 ",
4120 Avales y fianzas," 81,502.17 "," 64,820.93 "," 113,324.43 "," 12,440.49 "," 3,264.86 "," 5,732.38 "," 5,421.34 "," 56,549.54 ", -   ," 13,930.55 "," 2,173.83 ", -   ," 8,756.67 "," 367,917.20 ",
4129 Provisión por pérdidas,"-15,801.92 ","-14,643.88 ","-4,160.92 ","-9,324.08 ", -   ,"-5,732.38 ", -   ,-23.64 , -   , -   , -   , -   , -   ,"-49,686.82 ",
4130 Operaciones con instrumentos financieros derivados," 4,406.27 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,406.27 ",
4180 Otras, -   , -   , -   , -   , 323.89 , -   , -   , -   , -   , -   , -   , -   , -   , 323.89 ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 80,992.26 "," 60,534.24 "," 120,703.92 "," 11,879.74 "," 3,588.75 ", -   ," 5,421.34 "," 153,279.49 ", -   ," 15,110.27 "," 6,173.83 ", -   ," 8,756.67 "," 466,440.51 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,641,094.39 "," 4,525,409.09 "," 3,435,490.84 "," 2,336,749.42 "," 251,481.14 "," 520,080.54 "," 1,471,008.23 "," 3,997,105.46 "," 209,021.25 "," 902,773.91 "," 986,547.18 "," 274,752.04 "," 1,392,409.78 "," 26,943,923.26 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 5,741,642.59 "," 3,915,215.96 "," 2,891,247.70 "," 2,086,628.52 "," 194,401.43 "," 413,114.00 "," 1,331,157.03 "," 3,418,755.50 "," 173,197.88 "," 768,876.01 "," 872,338.88 "," 231,002.37 "," 1,245,325.11 "," 23,282,902.98 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 5,663,787.31 "," 3,754,316.18 "," 2,737,345.76 "," 1,658,513.74 "," 180,424.36 "," 413,089.68 "," 1,285,970.72 "," 3,241,692.49 "," 165,700.57 "," 696,182.59 "," 853,807.28 "," 220,090.86 "," 1,077,419.36 "," 21,948,340.90 ",
2110 Depósitos a la vista," 4,053,566.88 "," 2,406,976.30 "," 1,478,433.63 "," 730,793.59 "," 163,755.81 "," 264,835.11 "," 602,311.59 "," 1,951,947.39 "," 23,990.77 "," 270,353.03 "," 271,968.21 "," 46,863.50 "," 362,249.25 "," 12,628,045.05 ",
