Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"5,094,522.35","1,623,778.11","2,856,589.66","1,154,961.82","297,700.23","386,039.88","411,313.87","1,233,715.45","1,899,135.49","2,710,164.93","71,037.62","401,060.54","469,451.02","647,349.55","19,256,820.51"
1110 Fondos disponibles,"1,023,963.77","298,178.52","479,899.34","224,351.99","129,044.02","119,531.47","70,323.76","267,965.84","384,187.69","566,212.72","19,414.38","76,706.50","49,236.43","77,303.30","3,786,319.73"
112 Adquisición temporal de documentos,"5,020.42",0.00,0.00,"10,375.64",0.00,268.82,8.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"15,673.40"
1121 Documentos adquiridos hasta un año plazo,"5,020.42",0.00,0.00,"10,375.64",0.00,268.82,8.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"15,673.40"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"552,100.02","219,986.63","390,156.45","91,673.81","155,668.15","7,820.02","60,912.49","134,005.65","137,923.10","247,202.03","6,549.80","104,998.71","69,326.89","101,008.39","2,279,332.13"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"87,012.59",0.00,0.00,"60,912.49","134,005.65",0.00,0.00,"1,123.97",172.31,"5,000.00",0.00,"288,227.02"
1131 Titulos valores para conservarse hasta el vencimiento,"9,013.62","1,502.51","25,164.96","2,146.91",0.00,"7,820.02",0.00,0.00,"2,253.40",0.00,0.00,"87,545.57","17,787.40","99,727.68","252,962.07"
1132 Titulos valores disponibles para venta,"543,098.83","218,484.12","364,991.49","2,514.31","155,668.15",0.00,0.00,0.00,"135,669.70","247,202.03","5,425.83","17,280.83","46,539.48","1,280.71","1,738,155.48"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.44
114 Préstamos,"3,513,438.14","1,105,612.96","1,986,533.88","828,560.38","12,988.06","258,419.56","280,069.09","831,743.96","1,377,024.70","1,896,750.18","45,073.43","219,355.33","350,887.70","469,037.86","13,175,495.25"
1141 Préstamos pactados hasta un año plazo,"578,713.91","184,842.13","350,105.97","105,083.56","12,989.37","22,505.46","56,647.64","234,409.65","91,437.27","495,220.69","2,754.09","24,631.85","53,839.80","24,939.65","2,238,121.04"
1142 Préstamos pactados a mas de un año plazo,"2,975,102.74","923,713.37","1,649,386.40","732,300.17",0.00,"236,841.35","226,208.85","600,908.99","1,285,587.43","1,417,093.24","43,085.20","195,653.42","300,093.24","444,739.37","11,030,713.76"
1148 Préstamos vencidos,"50,536.33","19,823.88","36,615.89","14,897.62",0.00,"9,634.00","4,136.86","20,314.16","39,501.42","17,366.30","1,000.16","2,021.66","1,745.52","2,604.67","220,198.46"
1149 Provisión para incobrabilidad de préstamos,"-90,914.84","-22,766.42","-49,574.38","-23,720.96",-1.30,"-10,561.24","-6,924.25","-23,888.83","-39,501.42","-32,930.05","-1,766.02","-2,951.59","-4,790.85","-3,245.84","-313,538.01"
12 Otros activos,"108,828.28","47,707.86","52,376.91","18,379.81","1,091.36","13,043.06","8,971.19","49,605.68","55,204.19","28,545.87","6,415.25","2,455.31","20,300.46","14,219.67","427,144.91"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"40,092.25",424.32,"12,405.80","12,555.27",0.00,"5,725.88","2,003.40","11,827.64","6,916.95","9,522.66",0.00,0.00,0.00,"5,413.65","106,887.83"
1230 Existencias,572.32,374.08,410.85,44.06,0.00,353.99,66.49,322.49,423.09,381.21,0.00,43.08,25.13,18.71,"3,035.49"
1240 Gastos pagados por anticipado y cargos diferidos,"27,552.80","21,771.62","29,060.47","1,969.49",430.73,"1,949.00","4,600.49","15,800.95","14,290.63","9,960.20","3,229.77","1,341.97","17,221.89","2,815.39","151,995.39"
1250 Cuentas por cobrar,"31,993.05","13,043.40","6,673.49","3,824.59",660.63,"5,505.96","1,616.11","21,654.61","17,717.38","8,956.33","3,185.47","1,070.26","3,069.78","6,061.54","125,032.60"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,530.33",-573.83,"-1,608.95",-127.87,0.00,-491.78,-103.45,0.00,"-1,628.80",-274.54,0.00,0.00,-16.33,-89.62,"-6,445.50"
1260 derechos y participaciones,"10,148.19","12,668.27","5,435.26",114.28,0.00,0.00,788.17,0.00,"17,484.94",0.00,0.00,0.00,0.00,0.00,"46,639.10"
13 Activo fijo,"92,539.25","62,343.55","46,156.81","16,231.13",994.68,"19,056.75","5,104.89","16,099.23","31,726.84","28,420.99","3,504.27","1,066.71","1,915.88","11,164.39","336,325.37"
1310 No depreciables,"30,666.44","22,955.82","21,850.13","8,470.21",247.69,"9,053.54","3,486.79","1,850.69","20,414.46","3,407.61",0.00,140.25,156.36,"7,950.50","130,650.48"
1320 depreciables,"156,296.73","54,996.48","62,388.22","22,696.46","2,239.25","32,471.56","5,910.37","31,172.83","61,929.17","45,139.00","11,055.62","2,888.26","4,903.59","17,367.14","511,454.68"
1329 depreciación acumulada,"-96,316.47","-36,483.65","-43,031.94","-15,736.41","-1,551.65","-23,230.00","-4,397.66","-18,685.00","-50,616.78","-23,189.38","-8,718.05","-2,543.82","-4,231.74","-14,559.22","-343,291.77"
1330 Amortizables,"1,892.55","20,874.90","4,950.39",800.88,59.38,761.65,105.39,"1,760.71",0.00,"3,063.76","1,166.69",582.02,"1,087.68",405.98,"37,511.98"
Total Activos,"5,295,889.87","1,733,829.52","2,955,123.38","1,189,572.76","299,786.27","418,139.69","425,389.95","1,299,420.36","1,986,066.52","2,767,131.78","80,957.13","404,582.57","491,667.37","672,733.61","20,020,290.79"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"14,577.22","11,479.48","8,432.04",340.56,26.00,0.00,"7,597.01",0.00,71.22,"41,292.06",0.00,291.30,0.00,0.00,"84,106.90"
4119 Provisión por pérdidas,0.00,-2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.56
4120 Contingencias por avales y fianzas,"109,490.19","44,821.20","89,119.09","14,066.22","9,153.56","6,383.48","3,227.68","9,499.34","114,366.12","68,357.95",0.00,"17,227.55",0.00,"3,113.67","488,826.06"
4129 Provisión por pérdidas,"-15,597.31","-13,404.79","-9,600.48","-5,704.33",-137.84,"-5,093.64",0.00,0.00,"-2,797.92",-520.02,0.00,-3.49,0.00,0.00,"-52,859.82"
4131 derechos por operaciones en moneda extranjera,"3,555.83",167.53,0.00,0.00,446.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,170.19"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"112,025.94","43,060.86","87,950.65","8,702.45","9,488.54","1,289.84","10,824.69","9,499.34","111,639.42","109,129.99",0.00,"17,515.37",0.00,"3,113.67","524,240.77"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,407,915.81","1,776,890.38","3,043,074.04","1,198,275.22","309,274.81","419,429.53","436,214.64","1,308,919.70","2,097,705.94","2,876,261.77","80,957.13","422,097.94","491,667.37","675,847.28","20,544,531.56"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,569,333.74","1,489,427.14","2,599,252.18","1,041,494.58","253,262.18","337,687.09","354,853.23","1,132,803.20","1,712,528.70","2,450,063.78","51,863.43","349,085.21","436,692.10","596,086.45","17,374,433.02"
211 depósitos,"3,887,999.83","1,222,959.60","1,993,614.29","890,460.91","248,985.97","320,832.19","306,608.58","951,802.25","1,406,099.57","2,093,895.67","51,736.13","271,213.02","296,051.20","433,174.88","14,375,434.09"
2110 depósitos a la vista,"2,827,516.40","893,450.84","1,107,512.60","447,520.20","196,341.36","180,345.38","169,977.24","495,690.28","619,892.06","1,369,766.35","17,302.68","129,832.88","99,824.69","190,048.37","8,745,021.33"
211001 depósitos en cuenta corriente,"1,125,232.97","484,792.85","519,600.09","214,878.04","172,990.06","39,017.24","123,901.54","282,576.48","226,694.97","879,539.41","17,302.68","42,151.39","66,791.09","129,428.68","4,324,897.48"
211002 depósitos de ahorro,"1,701,705.19","408,657.99","587,534.72","232,640.37","23,351.30","141,328.14","46,075.70","213,113.80","393,197.09","490,226.94",0.00,"87,681.49","33,028.05","60,619.69","4,419,160.48"
211003 depósitos en cuenta de ahorro simplificada,578.23,0.00,377.78,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.56,0.00,963.37
2111 depósitos pactados hasta un año plazo,"914,957.61","307,047.48","691,648.08","392,431.08","51,038.22","134,676.23","131,223.03","438,914.29","734,496.82","659,746.10","29,774.13","134,918.65","172,425.52","217,876.08","5,011,173.33"
2112 depósitos pactados a mas de un año plazo,"83,006.81",856.82,"153,411.19","32,155.47",0.00,218.21,0.00,"2,148.67","3,526.19","46,831.11",0.00,186.93,"19,075.71","21,334.95","362,752.07"
2114 depósitos restringidos e inactivos,"62,519.01","21,604.46","41,042.41","18,354.15","1,606.39","5,592.37","5,408.32","15,049.01","48,184.50","17,552.12","4,659.32","6,274.56","4,725.28","3,915.47","256,487.36"
212 Préstamos,"456,063.03","194,446.73","395,962.34","121,216.88",0.00,"14,763.50","21,779.57","177,028.92","171,425.44","154,588.75",0.00,"76,873.74","72,318.15","86,116.42","1,942,583.47"
2121 Préstamos pactados hasta un año plazo,"124,690.63","66,407.12","213,941.52","28,385.76",0.00,34.03,"10,277.75","61,326.13","16,850.09","142,245.97",0.00,"30,321.99","5,863.05",0.00,"700,344.04"
2122 Préstamos pactados a mas de un año plazo,"331,372.40",99.06,"11,591.41","79,683.60",0.00,"14,693.49","11,501.83","50,259.38","131,421.50","12,342.78",0.00,"46,551.76","51,271.09","60,717.66","801,505.98"
2123 Préstamos pactados a cinco o mas años plazo,0.00,"127,940.54","170,429.40","13,147.52",0.00,35.98,0.00,"65,443.41","23,153.85",0.00,0.00,0.00,"15,184.00","25,398.76","440,733.45"
2130 Obligaciones a la vista,"13,150.75","11,906.47","9,504.42","29,816.80","4,276.21","2,091.40","1,112.61","3,972.02","4,364.89","10,408.21",125.55,998.45,668.68,"3,120.65","95,517.09"
214 Títulos de emisión propia,"212,120.14","60,114.34","200,171.15",0.00,0.00,0.00,"25,352.46",0.00,"130,638.80","191,171.15",0.00,0.00,"62,654.08","73,674.50","955,896.61"
