Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2021,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"5,221,441.16","3,332,659.23","2,780,974.76","1,450,911.50","250,889.44","428,601.64","410,762.02","1,268,633.99",0.00,"2,866,103.31","74,531.97","404,393.25","536,164.40","788,080.70","19,814,147.35"
1110 Fondos disponibles,"923,211.61","567,652.71","335,675.08","309,422.15","107,980.56","157,933.70","53,073.23","285,429.50",0.00,"526,365.42","8,325.31","83,455.49","85,728.05","146,584.95","3,590,837.76"
112 Adquisición temporal de documentos,"19,325.89",0.00,0.00,"9,860.76",0.00,322.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.59,"29,560.74"
1121 Documentos adquiridos hasta un año plazo,"19,325.89",0.00,0.00,"9,860.76",0.00,322.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.59,"29,560.74"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"1,008,933.11","399,009.30","362,031.82","233,533.13","136,709.60","11,906.06","114,722.96","175,458.16",0.00,"333,375.63","12,730.15","70,741.99","86,741.50","126,263.86","3,072,157.27"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"215,680.22","3,991.17",0.00,"5,958.92",0.00,0.00,0.00,"1,622.95",34.92,0.00,"5,000.00","232,288.18"
1131 Titulos valores para conservarse hasta el vencimiento,"45,106.14","2,004.91","25,278.96","2,147.38",0.00,"11,906.06","108,764.03",0.00,0.00,0.00,0.00,"53,452.69","12,505.02","121,263.86","382,429.06"
1132 Titulos valores disponibles para venta,"963,826.97","397,004.39","336,752.85","15,705.53","132,718.43",0.00,0.00,"175,458.16",0.00,"333,375.63","11,109.82","17,254.38","74,236.48",0.00,"2,457,442.64"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.61,0.00,0.00,0.00,-2.61
114 Préstamos,"3,269,970.54","2,365,997.21","2,083,267.86","898,095.46","6,199.29","258,439.38","242,965.83","807,746.34",0.00,"2,006,362.26","53,476.50","250,195.77","363,694.84","515,180.29","13,121,591.57"
1141 Préstamos pactados hasta un año plazo,"504,575.74","218,951.28","299,411.38","103,840.10","6,200.85","28,783.11","62,866.24","224,236.46",0.00,"398,305.99","3,836.23","30,010.63","44,925.93","62,372.30","1,988,316.24"
1142 Préstamos pactados a mas de un año plazo,"2,865,665.20","2,192,844.09","1,814,414.84","802,534.47",0.00,"230,038.88","185,585.96","606,001.95",0.00,"1,629,406.79","48,772.19","222,505.27","319,490.78","455,082.56","11,372,342.98"
1148 Préstamos vencidos,"72,083.45","70,591.26","32,533.65","15,020.04",0.00,"9,680.99","3,623.57","9,660.69",0.00,"31,872.20","3,760.53",941.77,"5,564.86","2,901.77","258,234.78"
1149 Provisión para incobrabilidad de préstamos,"-172,353.85","-116,389.41","-63,092.01","-23,299.15",-1.57,"-10,063.60","-9,109.94","-32,152.76",0.00,"-53,222.72","-2,892.46","-3,261.90","-6,286.74","-5,176.33","-497,302.43"
12 Otros activos,"164,236.79","127,458.80","65,356.76","49,918.07","1,219.15","11,462.98","5,665.97","53,014.34",0.00,"40,298.12","10,137.64","2,260.94","19,972.83","21,493.96","572,496.34"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"36,014.01","4,993.63","13,035.51","14,011.19",0.00,"4,101.44",697.40,"11,264.16",0.00,"8,501.01",0.00,0.00,"1,716.11","5,042.98","99,377.44"
1230 Existencias,268.75,366.91,326.34,55.17,0.00,379.89,73.32,265.29,0.00,371.43,0.00,40.95,25.13,15.51,"2,188.69"
1240 Gastos pagados por anticipado y cargos diferidos,"53,991.38","49,585.09","35,569.17","2,429.39",276.94,"1,460.27","3,932.87","16,342.81",0.00,"10,965.76","6,752.69","1,187.43","16,041.28","4,442.23","202,977.32"
1250 Cuentas por cobrar,"65,353.24","43,762.89","11,695.18","33,389.29",942.21,"6,338.79",397.67,"26,021.51",0.00,"20,823.49","3,384.95","1,032.56","2,220.19","10,883.52","226,245.48"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,903.68","-2,428.23","-1,647.16",-81.25,0.00,-817.40,-110.53,-879.44,0.00,-363.57,0.00,0.00,-29.87,-90.18,"-8,351.32"
1260 derechos y participaciones,"10,513.08","31,178.51","6,377.71",114.28,0.00,0.00,675.24,0.00,0.00,0.00,0.00,0.00,0.00,"1,199.90","50,058.72"
13 Activo fijo,"88,935.75","100,000.99","45,841.18","16,701.39","1,245.01","18,974.84","5,358.97","16,792.31",0.00,"29,776.86","2,134.16","1,993.24","1,791.12","13,786.25","343,332.07"
1310 No depreciables,"30,614.61","41,819.71","19,024.40","8,799.73",247.69,"8,248.63","3,486.79","2,018.19",0.00,"4,644.60",0.00,870.33,43.35,"9,462.89","129,280.93"
1320 depreciables,"157,306.59","112,758.96","64,557.60","22,812.17","2,209.52","34,289.90","6,448.49","33,662.22",0.00,"47,504.91","10,807.41","3,379.42","5,341.44","17,748.33","518,826.95"
1329 depreciación acumulada,"-100,432.79","-87,075.06","-42,798.50","-15,872.61","-1,351.15","-24,603.76","-4,668.98","-20,468.36",0.00,"-26,341.45","-9,502.24","-2,610.08","-4,710.04","-14,844.26","-355,279.27"
1330 Amortizables,"1,447.34","32,497.38","5,057.68",962.10,138.96,"1,040.07",92.67,"1,580.26",0.00,"3,968.80",828.99,353.56,"1,116.38","1,419.29","50,503.47"
Total Activos,"5,474,613.69","3,560,119.02","2,892,172.70","1,517,530.95","253,353.60","459,039.45","421,786.96","1,338,440.64",0.00,"2,936,178.29","86,803.76","408,647.42","557,928.35","823,360.90","20,729,975.76"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"24,873.05","20,886.22","19,196.98","9,898.12",735.00,0.00,"2,742.20",0.00,0.00,"22,632.16",0.00,764.47,17.92,0.00,"101,746.13"
4119 Provisión por pérdidas,0.00,-2.78,0.00,-1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-4.50
4120 Contingencias por avales y fianzas,"128,870.32","138,307.11","87,676.26","15,240.38","7,874.70","6,372.55","4,587.40","9,692.46",0.00,"95,878.09",0.00,"12,528.74",0.00,"4,275.72","511,303.73"
4129 Provisión por pérdidas,"-16,293.15","-15,731.82","-9,749.57","-5,978.33",-12.49,"-5,300.11",0.00,0.00,0.00,-639.69,0.00,-2.24,0.00,0.00,"-53,707.41"
4131 derechos por operaciones en moneda extranjera,"3,714.70",426.69,0.00,0.00,"1,761.43",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,902.82"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"141,164.92","143,885.43","97,123.67","19,158.44","10,358.64","1,072.44","7,329.60","9,692.46",0.00,"117,870.55",0.00,"13,290.97",17.92,"4,275.72","565,240.77"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,615,778.61","3,704,004.45","2,989,296.37","1,536,689.40","263,712.24","460,111.89","429,116.56","1,348,133.10",0.00,"3,054,048.84","86,803.76","421,938.39","557,946.28","827,636.63","21,295,216.53"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,767,710.21","3,053,539.80","2,519,554.47","1,356,162.18","205,772.79","374,222.14","354,931.77","1,162,853.72",0.00,"2,601,822.62","57,700.11","326,072.49","494,034.20","731,044.70","18,005,421.20"
211 depósitos,"4,221,592.47","2,763,285.00","2,049,752.88","1,216,848.87","203,115.36","362,695.15","324,999.00","1,026,397.61",0.00,"2,260,487.67","55,937.14","309,962.54","365,592.19","551,762.15","15,712,428.03"
2110 depósitos a la vista,"3,226,924.94","1,721,466.56","1,109,982.82","623,353.59","200,282.06","236,408.31","163,573.04","571,076.52",0.00,"1,548,075.66","12,438.72","124,108.80","169,431.38","257,767.59","9,964,889.97"
211001 depósitos en cuenta corriente,"1,286,754.72","795,227.53","539,579.00","346,079.27","177,063.65","71,530.56","125,629.73","355,547.66",0.00,"1,007,771.37","12,438.72","44,803.20","118,514.89","174,863.15","5,055,803.45"
211002 depósitos de ahorro,"1,938,872.47","926,239.03","569,971.26","277,272.52","23,218.41","164,877.75","37,943.30","215,528.86",0.00,"540,304.29",0.00,"79,305.60","50,915.89","82,904.43","4,907,353.82"
211003 depósitos en cuenta de ahorro simplificada,"1,297.76",0.00,432.56,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,"1,732.71"
2111 depósitos pactados hasta un año plazo,"846,379.96","945,496.79","771,126.90","526,558.64","1,000.22","118,804.06","155,217.97","432,935.16",0.00,"653,643.25","40,289.21","181,419.50","169,878.67","267,842.48","5,110,592.82"
2112 depósitos pactados a mas de un año plazo,"67,664.18","18,348.46","122,426.25","50,943.03",0.00,246.23,0.00,"1,940.51",0.00,"38,746.51",0.00,327.01,"20,542.27","20,927.51","342,111.97"
2114 depósitos restringidos e inactivos,"80,623.39","77,973.18","46,216.91","15,993.61","1,833.08","7,236.56","6,207.99","20,445.42",0.00,"20,022.24","3,209.22","4,107.23","5,739.87","5,224.58","294,833.27"
212 Préstamos,"311,373.21","149,038.53","323,258.21","106,621.04",0.00,"10,482.01","3,693.41","128,247.23",0.00,"184,535.46",0.00,"13,455.42","66,839.04","92,294.29","1,389,837.84"
2121 Préstamos pactados hasta un año plazo,"10,000.00","12,505.33","175,952.65","21,077.08",0.00,26.20,0.00,"15,094.41",0.00,"124,440.27",0.00,"10,134.11","3,959.28","10,340.21","383,529.53"
2122 Préstamos pactados a mas de un año plazo,"43,517.76",173.31,"8,966.60","67,929.93",0.00,"10,447.31","3,693.41","50,345.17",0.00,"60,095.19",0.00,"3,321.31","48,857.78","53,476.34","350,824.10"
2123 Préstamos pactados a cinco o mas años plazo,"257,855.44","136,359.89","138,338.97","17,614.03",0.00,8.50,0.00,"62,807.65",0.00,0.00,0.00,0.00,"14,021.99","28,477.74","655,484.21"
2130 Obligaciones a la vista,"22,624.07","18,388.94","12,312.30","32,692.27","2,657.43","1,044.99",885.94,"8,208.88",0.00,"21,035.11",162.96,"2,654.53","4,983.65","2,140.65","129,791.71"
214 Títulos de emisión propia,"212,120.47","122,827.34","134,231.08",0.00,0.00,0.00,"25,353.42",0.00,0.00,"135,764.38",0.00,0.00,"56,619.32","79,847.61","766,763.62"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,837.56,837.56
