Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 31 de Mayo de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,311,131.80","3,631,200.03","2,773,454.86","1,786,076.08","226,557.18","445,091.53","329,376.90","1,270,893.52","2,991,402.20","117,277.36","469,975.56","530,198.97","922,212.13","20,804,848.11"
1110 Fondos disponibles,"1,011,883.25","616,952.83","370,793.47","334,634.70","108,248.81","163,453.22","80,122.93","245,963.72","539,033.42","17,162.60","75,569.53","76,289.36","151,368.95","3,791,476.79"
112 Adquisición temporal de documentos,"1,894.78",0.00,0.00,"1,457.42",0.00,"1,436.27",0.00,0.00,0.00,0.00,0.00,0.00,"7,331.31","12,119.78"
1121 Documentos adquiridos hasta un año plazo,"1,894.78",0.00,0.00,"1,457.42",0.00,"1,436.27",0.00,0.00,0.00,0.00,0.00,0.00,"7,331.31","12,119.78"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"693,139.27","439,567.29","327,234.09","393,022.00","73,245.36","13,960.81","39,762.70","173,691.04","317,539.98","5,389.27","53,017.03","61,450.89","125,065.12","2,716,084.86"
1130 Titulos valores conservados para negociación,"12,138.64","5,000.00","4,300.00","383,900.70",0.00,0.00,532.85,0.00,0.00,"1,500.00",257.01,0.00,0.00,"407,629.20"
1131 Titulos valores para conservarse hasta el vencimiento,"131,833.39","10,094.85","8,338.31","2,147.87",0.00,"13,960.81","39,229.85",0.00,0.00,0.00,"35,534.94","32,751.36","125,065.12","398,956.51"
1132 Titulos valores disponibles para venta,"549,167.24","424,472.44","314,592.45","6,973.44","73,245.36",0.00,0.00,"173,691.04","317,539.98","3,889.27","17,225.08","28,699.53",0.00,"1,909,495.82"
1134 Instrumentos financieros para cobertura,0.00,0.00,3.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.32
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,604,214.50","2,574,679.91","2,075,427.31","1,056,961.96","45,063.00","266,241.22","209,491.27","851,238.76","2,134,828.80","94,725.49","341,389.01","392,458.72","638,446.74","14,285,166.69"
1141 Préstamos pactados hasta un año plazo,"631,318.73","351,440.22","278,737.24","73,845.66","45,070.59","32,775.87","67,605.71","271,988.19","428,705.10","4,523.37","42,292.35","50,175.74","124,791.73","2,403,270.50"
1142 Préstamos pactados a mas de un año plazo,"3,041,157.44","2,250,318.67","1,811,082.37","991,535.15",0.00,"235,060.11","145,048.21","585,352.69","1,721,916.51","92,666.50","300,586.83","328,654.55","518,529.27","12,021,908.31"
1148 Préstamos vencidos,"46,386.74","85,133.40","44,423.86","22,445.91",0.00,"7,934.54","4,694.53","23,094.40","30,246.61","7,902.76","1,574.40","22,431.93","3,024.68","299,293.76"
1149 Provisión para incobrabilidad de préstamos,"-114,648.41","-112,212.38","-58,816.17","-30,864.76",-7.59,"-9,529.30","-7,857.18","-29,196.52","-46,039.42","-10,367.14","-3,064.58","-8,803.50","-7,898.93","-439,305.89"
12 Otros activos,"130,596.77","104,789.92","63,992.88","23,562.05","1,551.32","9,717.91","8,985.86","39,223.08","21,747.82","9,343.81","2,301.94","25,845.79","25,947.32","467,606.48"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"31,643.68","3,401.41","9,485.92","14,776.25",0.00,"4,701.21","1,797.25","10,749.92","6,780.68",0.00,0.00,"1,565.16","3,882.51","88,783.98"
1230 Existencias,829.85,296.63,231.41,170.09,0.00,302.86,82.70,256.69,282.73,0.00,58.49,76.10,25.14,"2,612.69"
1240 Gastos pagados por anticipado y cargos diferidos,"48,464.42","34,627.93","33,637.89","2,633.06",382.62,672.57,"4,027.24","16,675.87","9,633.10","7,044.70","1,321.90","18,335.45","4,832.87","182,289.62"
1250 Cuentas por cobrar,"40,246.67","37,148.09","15,511.26","5,979.65","1,168.70","4,825.49","2,640.90","11,563.57","5,434.77","2,299.11",921.55,"5,932.67","16,011.24","149,683.66"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,043.39","-2,909.63","-1,637.63",-111.28,0.00,-784.22,-59.14,-22.97,-383.46,0.00,0.00,-63.58,-72.19,"-8,087.49"
1260 derechos y participaciones,"11,455.54","32,225.50","6,764.04",114.28,0.00,0.00,496.91,0.00,0.00,0.00,0.00,0.00,"1,267.75","52,324.02"
13 Activo fijo,"84,813.86","110,246.18","43,263.03","15,880.25","1,041.33","20,321.98","5,021.12","16,085.93","35,516.24","2,901.11","2,041.50","1,767.31","6,894.32","345,794.14"
1310 No depreciables,"30,595.40","41,501.19","18,788.73","8,082.97",247.69,"8,524.11","3,496.68","2,516.37","9,664.60",0.00,870.33,134.84,"3,524.91","127,947.82"
1320 depreciables,"132,344.95","110,096.48","65,012.18","21,958.13","1,690.86","36,149.13","6,162.36","33,948.00","48,865.19","11,292.51","3,572.28","5,452.42","15,533.36","492,077.86"
1329 depreciación acumulada,"-79,405.35","-85,042.46","-44,834.83","-15,847.04",-989.49,"-25,391.22","-4,759.91","-21,933.14","-28,032.24","-10,337.59","-2,720.25","-4,899.81","-12,402.57","-336,595.91"
1330 Amortizables,"1,278.86","43,690.97","4,296.95","1,686.19",92.27,"1,039.96",121.98,"1,554.69","5,018.69","1,946.19",319.14,"1,079.86",238.62,"62,364.37"
Total Activos,"5,526,542.43","3,846,236.13","2,880,710.77","1,825,518.38","229,149.83","475,131.42","343,383.87","1,326,202.53","3,048,666.25","129,522.28","474,319.01","557,812.07","955,053.77","21,618,248.73"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"38,943.40","18,877.49","20,929.89","3,575.07",0.00,0.00,"4,868.13",0.00,"29,448.75",0.00,"1,193.22",0.00,0.00,"117,835.96"
4119 Provisión por pérdidas,-1.94,-28.48,0.00,-4.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.54
4120 Contingencias por avales y fianzas,"113,209.99","107,809.47","96,774.10","15,181.26","8,543.75","6,353.41","2,511.60","11,272.96","121,712.06",0.00,"18,805.50",0.00,"12,527.92","514,702.03"
4129 Provisión por pérdidas,"-16,016.50","-15,651.11","-4,737.20","-6,189.43",-43.65,"-5,513.25",0.00,0.00,-129.30,0.00,0.00,0.00,0.00,"-48,280.44"
4131 derechos por operaciones en moneda extranjera,"11,501.76",187.86,0.00,0.00,23.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,713.26"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"147,636.71","111,195.23","112,966.79","12,562.79","8,523.74",840.17,"7,379.73","11,272.96","151,031.52",0.00,"19,998.72",0.00,"12,527.92","595,936.27"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,674,179.13","3,957,431.36","2,993,677.56","1,838,081.17","237,673.57","475,971.58","350,763.60","1,337,475.49","3,199,697.77","129,522.28","494,317.73","557,812.07","967,581.68","22,214,185.00"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,834,796.29","3,337,565.75","2,502,486.46","1,643,451.03","187,008.87","385,610.75","278,610.85","1,143,485.66","2,711,651.78","97,067.96","380,289.64","496,422.56","842,459.89","18,840,907.50"
211 depósitos,"4,192,825.68","2,894,306.93","2,068,535.77","1,510,585.85","178,786.16","374,604.93","238,033.11","989,148.36","2,355,710.25","92,222.11","341,453.69","381,748.16","572,086.43","16,190,047.43"
2110 depósitos a la vista,"3,285,265.91","1,900,535.67","1,225,102.25","744,434.19","177,226.10","254,047.63","131,100.23","582,604.54","1,675,009.64","11,916.89","157,152.47","156,424.43","272,332.41","10,573,152.37"
211001 depósitos en cuenta corriente,"1,102,759.53","864,726.37","552,580.57","426,720.90","175,668.36","68,223.08","91,913.88","335,923.14","1,103,140.00","11,916.89","69,273.48","97,806.14","189,221.79","5,089,874.14"
211002 depósitos de ahorro,"2,180,602.47","1,035,809.30","671,978.57","317,713.30","1,557.74","185,824.54","39,186.34","246,681.40","571,869.64",0.00,"87,878.99","58,614.23","83,110.62","5,480,827.14"
211003 depósitos en cuenta de ahorro simplificada,"1,903.91",0.00,543.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.06,0.00,"2,451.09"
2111 depósitos pactados hasta un año plazo,"766,563.09","907,986.08","725,423.38","696,345.98",0.00,"112,817.92","103,430.01","384,385.11","619,720.22","76,654.55","177,429.25","201,488.26","271,320.34","5,043,564.20"
2112 depósitos pactados a mas de un año plazo,"71,584.25","19,012.41","72,956.74","49,041.40",0.00,219.36,0.00,"6,207.74","43,539.06",0.00,"2,242.53","21,103.54","20,679.85","306,586.87"
2114 depósitos restringidos e inactivos,"69,412.42","66,772.77","45,053.39","20,764.28","1,560.05","7,520.02","3,502.88","15,950.97","17,441.33","3,650.67","4,629.44","2,731.93","7,753.83","266,743.99"
212 Préstamos,"455,247.07","255,232.43","214,762.57","102,719.65","5,000.77","10,396.55","4,354.34","145,533.37","240,440.26","3,017.75","35,188.48","70,697.81","139,700.02","1,682,291.06"
2121 Préstamos pactados hasta un año plazo,"192,130.45","91,869.59","90,097.02","24,125.69","5,000.77",16.20,"3,345.03","4,411.59","191,607.77","3,017.75","28,673.51","2,944.23","10,754.82","647,994.42"
2122 Préstamos pactados a mas de un año plazo,"5,201.00",82.59,"6,097.47","66,329.13",0.00,"6,715.00","1,009.31","43,937.62","48,832.50",0.00,"6,514.97","48,706.68","102,724.43","336,150.70"
2123 Préstamos pactados a cinco o mas años plazo,"257,915.62","163,280.24","118,568.08","12,264.83",0.00,"3,665.34",0.00,"97,184.16",0.00,0.00,0.00,"19,046.89","26,220.77","698,145.94"
2130 Obligaciones a la vista,"24,642.80","30,193.47","13,194.34","30,145.54","3,221.95",609.27,"10,869.98","8,803.94","19,895.89",328.10,"3,647.47","1,786.50","3,756.33","151,095.57"
214 Títulos de emisión propia,"162,080.74","152,831.94","201,693.79",0.00,0.00,0.00,"25,353.42",0.00,"95,605.37",0.00,0.00,"42,190.09","126,917.11","806,672.46"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,623.63","12,623.63"
2142 Pactados a mas de un año plazo,"162,080.74","152,831.94","201,693.79",0.00,0.00,0.00,"25,353.42",0.00,"95,605.37",0.00,0.00,"42,190.09","114,293.48","794,048.82"
215 Documentos transados,0.00,"5,000.98","4,300.00",0.00,0.00,0.00,0.00,0.00,0.00,"1,500.00",0.00,0.00,0.00,"10,800.98"
