Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 31 de Mayo de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,472,469.63","3,768,803.51","2,957,656.12","2,013,309.58","252,209.88","437,676.82","1,270,488.05","3,114,420.79","147,295.94","591,099.45","787,297.81","1,036,230.64","21,848,958.23"
1110 Fondos disponibles,"834,315.74","579,687.70","350,066.48","271,149.25","134,989.76","132,088.39","185,962.39","466,231.29","17,064.71","81,971.21","89,531.85","111,751.78","3,254,810.56"
112 Adquisición temporal de documentos,"2,064.08",0.00,0.00,324.72,0.00,293.68,"2,399.96",0.00,"2,267.06",0.00,0.00,0.00,"7,349.50"
1121 Documentos adquiridos hasta un año plazo,"2,064.08",0.00,0.00,324.72,0.00,293.68,"2,399.96",0.00,"2,267.06",0.00,0.00,0.00,"7,349.50"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"720,475.31","458,112.24","317,233.70","679,813.20","95,922.05","14,692.34","170,504.28","306,834.92","7,296.34","51,435.57","81,444.73","175,608.29","3,079,372.97"
1130 Titulos valores conservados para negociación,"18,166.89",0.00,"1,150.00","677,576.86","9,926.75",0.00,0.00,0.00,0.00,279.50,"6,990.25","7,750.00","721,840.25"
1131 Titulos valores para conservarse hasta el vencimiento,"100,446.29",0.00,"8,011.38","2,148.41",0.00,"14,692.34",0.00,0.00,0.00,"33,960.30",884.93,"167,858.29","328,001.94"
1132 Titulos valores disponibles para venta,"601,862.13","458,112.24","308,072.32",87.93,"85,995.31",0.00,"170,504.28","306,834.92","7,296.34","17,195.77","73,569.55",0.00,"2,029,530.78"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,915,614.50","2,731,003.57","2,290,355.95","1,062,022.42","21,298.07","290,602.41","911,621.42","2,341,354.58","120,667.83","457,692.67","616,321.22","748,870.57","15,507,425.21"
1141 Préstamos pactados hasta un año plazo,"768,489.35","375,775.39","394,023.39","94,872.65","21,385.51","30,912.83","290,479.80","470,077.47","3,776.94","70,268.12","109,031.84","89,381.44","2,718,474.73"
1142 Préstamos pactados a mas de un año plazo,"3,208,788.41","2,389,252.28","1,909,520.92","982,248.48",0.00,"260,567.55","624,229.07","1,883,332.89","116,201.95","389,167.59","509,365.01","661,923.26","12,934,597.40"
1148 Préstamos vencidos,"45,450.60","79,848.22","45,782.38","19,378.05",0.00,"8,733.66","22,226.43","36,995.97","20,443.72","1,541.40","23,027.01","2,859.25","306,286.69"
1149 Provisión para incobrabilidad de préstamos,"-107,113.86","-113,872.31","-58,970.74","-34,476.77",-87.44,"-9,611.63","-25,313.87","-49,051.75","-19,754.77","-3,284.44","-25,102.64","-5,293.39","-451,933.61"
12 Otros activos,"124,465.71","87,069.08","52,249.21","21,962.95","1,659.73","11,239.31","37,191.49","23,860.61","10,724.92","3,227.28","34,241.31","28,884.35","436,775.94"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"23,921.81","1,422.48","8,154.56","11,271.70",0.00,"5,032.75","4,503.01","4,724.53",0.00,0.00,"3,412.53","2,939.00","65,382.36"
1230 Existencias,860.63,417.91,477.86,164.24,0.00,325.99,184.71,254.09,0.00,47.09,10.87,27.52,"2,770.92"
1240 Gastos pagados por anticipado y cargos diferidos,"46,413.40","37,866.86","29,551.10","2,588.23",469.11,803.52,"15,019.16","10,352.37","8,292.09","1,531.57","24,187.18","9,723.28","186,797.88"
1250 Cuentas por cobrar,"44,649.56","17,524.42","10,107.93","7,939.74","1,190.61","5,804.20","17,584.72","8,888.31","2,432.83","1,648.62","6,867.97","14,859.35","139,498.27"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,797.05","-2,231.11","-2,141.14",-115.24,0.00,-727.16,-100.10,-358.71,0.00,0.00,-237.24,-85.48,"-8,793.22"
1260 derechos y participaciones,"11,417.36","32,068.52","6,098.89",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,420.68","51,119.73"
13 Activo fijo,"81,561.96","113,662.28","42,245.84","15,878.89","1,611.44","20,254.12","17,408.67","44,570.70","2,017.94","2,180.01","2,404.96","9,750.56","353,547.38"
1310 No depreciables,"29,794.88","41,231.84","18,811.45","7,957.74",247.69,"8,752.62","3,597.17","11,363.02",0.00,730.09,111.85,"5,584.96","128,183.31"
1320 depreciables,"130,107.22","109,332.27","65,743.52","23,534.87","2,501.20","35,195.21","35,721.19","57,738.53","10,794.67","3,770.40","9,961.67","16,280.06","500,680.82"
1329 depreciación acumulada,"-79,349.11","-86,148.54","-45,812.55","-16,923.03","-1,244.33","-24,718.36","-23,416.06","-32,683.02","-10,322.99","-2,799.78","-9,037.24","-12,529.14","-344,984.15"
1330 Amortizables,"1,008.97","49,246.71","3,503.42","1,309.32",106.89,"1,024.64","1,506.37","8,152.16","1,546.25",479.31,"1,368.69",414.67,"69,667.40"
Total Activos,"5,678,497.31","3,969,534.87","3,052,151.17","2,051,151.43","255,481.05","469,170.24","1,325,088.21","3,182,852.09","160,038.80","596,506.74","823,944.08","1,074,865.55","22,639,281.56"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"19,772.71","24,780.70","6,849.52",143.13,0.00,0.00,0.00,"35,501.34",0.00,"1,218.42","2,887.05",0.00,"91,152.88"
4119 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4120 Contingencias por avales y fianzas,"84,605.48","81,756.23","112,597.79","18,095.48","5,313.04","5,716.45","10,526.09","107,138.29",0.00,"19,658.73","1,935.10","6,664.44","454,007.12"
4129 Provisión por pérdidas,"-15,839.17","-15,913.39","-4,735.44","-8,464.47",-32.70,"-5,715.83",0.00,-73.66,0.00,0.00,0.00,0.00,"-50,774.66"
4131 derechos por operaciones en moneda extranjera,"7,613.84",0.00,0.00,0.00,39.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"7,653.81"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"96,152.86","90,623.55","114,711.88","9,774.14","5,320.31",0.62,"10,526.09","142,565.97",0.00,"20,877.15","4,822.15","6,664.44","502,039.15"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,774,650.17","4,060,158.42","3,166,863.05","2,060,925.57","260,801.36","469,170.86","1,335,614.30","3,325,418.06","160,038.80","617,383.89","828,766.23","1,081,529.99","23,141,320.70"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,841,887.38","3,445,575.97","2,657,151.66","1,849,933.81","208,620.80","373,448.24","1,155,856.41","2,798,228.53","124,008.88","485,716.11","698,568.91","959,693.32","19,598,690.02"
211 depósitos,"4,162,312.24","2,987,369.64","2,174,996.67","1,738,255.01","206,566.95","355,871.81","996,934.84","2,478,640.87","111,893.98","381,024.46","530,518.65","655,006.16","16,779,391.28"
2110 depósitos a la vista,"3,203,435.16","1,963,774.48","1,253,572.19","654,872.54","205,203.44","243,142.72","565,049.00","1,663,738.79","13,836.91","171,047.24","177,900.31","290,087.16","10,405,659.93"
211001 depósitos en cuenta corriente,"1,016,870.75","852,870.62","508,175.07","352,312.04","201,987.60","51,893.94","330,673.35","1,078,215.27","13,793.56","71,597.65","129,000.57","207,607.86","4,814,998.27"
211002 depósitos de ahorro,"2,184,546.08","1,110,903.86","744,612.02","302,560.51","3,215.84","191,248.78","234,375.64","585,523.52",0.00,"99,449.59","48,895.07","82,479.30","5,587,810.22"
211003 depósitos en cuenta de ahorro simplificada,"2,018.33",0.00,785.10,0.00,0.00,0.00,0.00,0.00,43.34,0.00,4.68,0.00,"2,851.45"
2111 depósitos pactados hasta un año plazo,"803,005.88","930,417.48","820,550.06","869,823.38",0.00,"103,477.26","375,593.79","749,902.10","91,551.72","202,870.36","322,261.15","278,990.27","5,548,443.46"
2112 depósitos pactados a mas de un año plazo,"85,658.69","26,945.75","61,136.39","183,483.60",0.00,198.03,"31,702.87","49,250.23","2,724.25","3,047.61","23,789.89","77,784.75","545,722.06"
2114 depósitos restringidos e inactivos,"70,212.51","66,231.93","39,738.03","30,075.48","1,363.51","9,053.79","24,589.19","15,749.75","3,781.10","4,059.25","6,567.29","8,143.98","279,565.83"
212 Préstamos,"520,899.77","283,678.15","246,182.58","81,948.79",0.00,"17,236.30","115,675.23","181,985.43","3,734.12","61,797.03","98,487.63","148,224.97","1,759,849.99"
2121 Préstamos pactados hasta un año plazo,"133,576.57","74,812.06","133,988.73","12,062.56",0.00,16.20,"15,803.06","93,937.95",687.45,"33,429.32","4,388.52","10,098.69","512,801.13"
2122 Préstamos pactados a mas de un año plazo,"123,621.96","28,278.07","5,131.33","61,722.28",0.00,"4,781.41","17,083.71","88,047.48","3,046.67","28,367.71","54,842.57","94,694.97","509,618.16"
2123 Préstamos pactados a cinco o mas años plazo,"263,701.24","180,588.01","107,062.51","8,163.95",0.00,"12,438.69","82,788.46",0.00,0.00,0.00,"39,256.53","43,431.31","737,430.70"
2130 Obligaciones a la vista,"21,522.23","23,748.56","11,582.97","29,730.01","2,053.85",340.13,"8,512.51","25,377.93",806.65,"1,268.16","2,455.57","1,592.39","128,990.96"
214 Títulos de emisión propia,"137,153.14","150,779.63","223,239.45",0.00,0.00,0.00,"34,733.82","112,224.30","7,574.13","41,626.45","60,116.81","147,119.80","914,567.53"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,570.75","2,609.85",0.00,"24,786.38","33,966.98"
2142 Pactados a mas de un año plazo,"137,153.14","150,779.63","223,239.45",0.00,0.00,0.00,"34,733.82","112,224.30","1,003.38","39,016.60","60,116.81","122,333.42","880,600.55"
215 Documentos transados,0.00,0.00,"1,150.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,990.25","7,750.00","15,890.25"
2151 Documentos transados hasta un año plazo,0.00,0.00,"1,150.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,990.25","7,750.00","15,890.25"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
