Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 31 de mayo de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos,"5,686,331.4","3,921,568.2","3,064,608.6","2,199,147.8","224,698.6","448,654.4","1,314,891.1","3,328,599.8","169,986.8","702,735.0","864,863.2","1,201,625.5","23,127,710.5",,
1110 Disponibilidades,"758,114.4","552,335.1","392,336.2","276,855.7","75,164.2","125,748.3","184,233.0","414,675.5","18,389.9","106,368.3","109,672.7","129,431.2","3,143,324.4",,
112 Operaciones con pacto de retroventa,"5,215.5",38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.4,"5,539.1",,
1121 Operaciones con pacto de retroventa,"5,215.5",38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.4,"5,539.1",,
1130 A valor razonable con cambios en resultados (vrcr),"752,426.9",0.0,0.0,0.0,0.0,0.0,0.0,"3,475.0",0.0,0.0,0.0,"24,049.9","779,951.8",,
1131 A valor razonable con cambios en otro resultado integral (vrori),0.0,0.0,"314,419.0","896,356.4",0.0,0.0,0.0,"393,316.6",0.0,0.0,0.0,0.0,"1,604,092.0",,
1132 Derivados financieros para coberturas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1134 A costo amortizado,"39,459.0","482,153.7","5,338.6","8,634.0","107,248.5","11,235.9","172,320.9",0.0,"26,465.1","64,830.0","135,417.8","224,425.8","1,277,529.2",,
1138 Instrumentos financieros restringidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"13,650.9",0.0,"13,650.9",,
114 Préstamos,"4,131,115.5","2,887,041.2","2,352,514.9","1,017,301.7","42,285.9","311,670.1","958,337.3","2,517,132.8","125,131.9","531,536.8","606,121.8","823,433.3","16,303,623.1",,
1141 Préstamos pactados hasta un año plazo,"660,337.8","394,974.1","374,153.8","69,690.2","42,548.2","36,840.0","299,380.7","547,444.7","7,751.9","67,310.0","102,738.4","77,428.9","2,680,598.5",,
1142 Préstamos pactados a más de un año plazo,"3,509,891.6","2,538,191.7","1,991,639.9","954,307.8",0.0,"275,507.3","661,355.5","1,981,498.2","118,520.3","466,186.1","507,077.0","748,214.3","13,752,389.8",,
1148 Préstamos vencidos,"52,588.6","77,741.2","55,142.7","31,348.7",0.0,"9,119.7","20,804.7","38,861.4","8,607.8","1,382.6","17,791.7","3,492.9","316,882.0",,
1149 Provisión para incobrabilidad de préstamos,"-91,702.5","-123,865.7","-68,421.4","-38,045.0",-262.3,"-9,796.9","-23,203.6","-50,671.5","-9,748.1","-3,341.9","-21,485.4","-5,702.8","-446,247.2",,
12 Otros activos,"112,891.4","83,992.4","35,158.4","26,561.3","1,812.2","10,774.7","36,344.8","27,136.6","8,160.7","3,943.3","12,895.1","26,217.8","385,888.7",,
1210 Saldos entre compañías,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1220 Bienes recibidos en pago o adjudicados,"19,258.3","2,529.8","6,285.4","11,654.2",0.0,"4,878.6","1,835.4","2,021.7",0.0,0.0,"3,302.6","2,200.0","53,966.0",,
1230 Existencias,"1,692.9",439.8,595.5,169.0,0.0,247.3,116.2,222.6,0.0,47.5,97.9,35.9,"3,664.6",,
1240 Gastos pagados por anticipado,"6,604.2","10,443.7","3,842.7",724.6,98.7,472.9,"8,205.7","1,934.6","5,743.8",700.6,"2,419.5","1,842.5","43,033.5",,
1250 Cuentas por cobrar,"58,894.9","19,041.3","12,153.2","11,381.9","1,354.8","5,513.8","24,583.7","14,601.1",875.6,"2,737.9","3,315.6","17,141.9","171,595.6",,
1251 Impuestos,"19,406.7","22,413.0","8,189.3","2,667.2",358.7,370.5,"3,468.5","1,780.3","1,541.2",457.3,"4,028.5","3,114.0","67,795.3",,
1259 Estimación de pérdida por deterioro de valor,"-3,475.0","-2,488.5","-2,300.8",-149.9,0.0,-708.3,"-1,864.6",-358.8,0.0,0.0,-268.9,-104.9,"-11,719.6",,
"1260 Inversiones en acciones, derechos y participaciones","10,509.3","31,613.2","6,393.0",114.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,988.4","50,618.3",,
1261 Plusvalía comprada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,935.1",0.0,0.0,0.0,0.0,"6,935.1",,
1270 Activos mantenidos para la venta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13 Activos físicos e intangibles,"116,765.0","114,918.0","61,453.7","22,898.9","3,140.6","20,138.5","28,952.0","51,353.3","9,068.7","5,321.8","26,181.1","24,853.7","485,045.4",,
131 Propiedades no depreciables,"29,781.3","41,094.5","20,299.0","8,221.4",247.7,"8,966.7","3,740.6","12,724.4",0.0,730.1,"3,582.0","5,378.7","134,766.3",,
1310 Propiedades no depreciables,"29,781.3","41,094.5","20,299.0","8,221.4",247.7,"8,966.7","3,740.6","12,724.4",0.0,730.1,"3,582.0","5,378.7","134,766.3",,
132 Propiedades y equipo depreciables,"60,842.3","39,396.3","27,526.9","13,479.7","2,892.9","10,225.6","18,595.8","36,923.2","4,603.4","4,070.9","8,427.3","12,343.5","239,327.8",,
1320 Depreciables,"160,186.7","134,201.8","83,085.3","33,972.5","4,721.8","36,032.7","43,519.3","91,882.0","5,651.9","9,648.1","19,065.2","25,598.5","647,565.7",,
1329 Depreciación y deterioro acumulada(o) (-),"-99,344.3","-94,805.5","-55,558.4","-20,492.8","-1,828.8","-25,807.1","-24,923.4","-54,958.8","-1,048.5","-5,577.3","-10,637.9","-13,255.0","-408,237.9",,
133 Intangibles,"26,141.4","34,427.2","13,627.8","1,197.9",0.0,946.2,"6,615.6","1,705.8","4,465.3",520.8,"14,171.8","7,131.5","110,951.3",,
1330 Intangibles,"39,355.8","61,634.6","34,614.0","1,197.9",0.0,"1,585.9","6,615.6","3,271.2","4,465.3","3,425.2","28,633.1","11,062.0","195,860.6",,
1339 Amortización y deterioro acumulada(o) (-),"-13,214.4","-27,207.4","-20,986.2",0.0,0.0,-639.7,0.0,"-1,565.5",0.0,"-2,904.4","-14,461.3","-3,930.4","-84,909.3",,
Total Activos,"5,915,987.8","4,120,478.6","3,161,220.8","2,248,608.0","229,651.4","479,567.6","1,380,187.9","3,407,089.7","187,216.2","712,000.1","903,939.4","1,252,697.0","23,998,644.6",,
,,,,,,,,,,,,,,,
4110 Cartas de crédito,"23,863.2","13,658.1","9,834.2","1,688.1",0.0,0.0,60.0,"55,770.8",0.0,"1,216.0","5,243.7",0.0,"111,334.2",,
4120 Avales y fianzas,"83,617.4","64,783.1","130,502.9","18,588.3","4,823.4","5,732.4","6,134.5","60,033.8",0.0,"19,289.0","1,681.5","6,236.9","401,423.3",,
4129 Provisión por pérdidas,"-16,395.1","-15,840.2","-4,912.4","-10,676.2",-9.5,"-5,732.4",0.0,-31.3,0.0,0.0,0.0,0.0,"-53,597.1",,
4130 Operaciones con instrumentos financieros derivados,"12,996.2",217.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"13,213.3",,
4180 Otras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,,,,,,,,,,,0.0,,0.0,,
Total derechos futuros y contingencias,"104,081.7","62,818.1","135,424.7","9,600.3","4,813.9",0.0,"6,194.6","115,773.3",0.0,"20,505.0","6,925.3","6,236.9","472,373.7",,
,,,,,,,,,,,,,0.0,,
Total activos + derechos futuros y contingencias,"6,020,069.5","4,183,296.7","3,296,645.5","2,258,208.3","234,465.3","479,567.6","1,386,382.5","3,522,863.0","187,216.2","732,505.1","910,864.6","1,258,934.0","24,471,018.3",,
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos,"5,140,516.1","3,583,971.1","2,748,174.3","2,029,584.8","183,845.9","376,705.9","1,246,047.2","3,006,263.1","151,283.5","589,705.7","798,125.6","1,118,155.2","20,972,378.2",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2100 Mantenidos para negociar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
211 Pasivos financieros a costo amortizado,"4,950,292.0","3,367,939.8","2,518,998.4","1,648,632.7","182,023.1","376,675.7","1,195,109.1","2,842,619.2","141,494.1","522,078.7","745,355.8","931,336.3","19,422,554.8",,
2110 Depósitos a la vista,"3,389,130.7","2,027,947.9","1,330,740.9","668,814.9","163,416.6","245,264.5","551,126.7","1,679,719.9","15,202.6","204,607.3","243,258.6","285,448.7","10,804,679.2",,
2111 Depósitos pactados hasta un año plazo,"865,621.0","967,846.3","850,870.0","685,789.6",0.0,"100,489.6","426,228.1","808,464.2","87,343.8","223,163.3","335,158.5","290,870.8","5,641,845.2",,
2112 Depósitos pactados a más de un año plazo,"101,795.4","33,069.8","109,682.4","199,963.9",0.0,160.4,"36,052.7","80,522.8","22,159.4","7,489.2","22,565.6","169,767.8","783,229.4",,
2113 Certificados de depósitos negociables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"15,283.7","15,283.7",,
2114 Depósitos restringidos e inactivos,"79,561.0","64,151.5","50,494.7","22,162.4","1,778.4","9,751.3","26,696.6","20,926.4","2,971.4","3,799.7","7,492.3","9,819.3","299,605.0",,
2115 Operaciones con pacto de retrocompra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,483.1","3,000.0",0.0,"13,650.9","16,245.6","36,379.5",,
2116 Préstamos pactados hasta un año plazo,"92,644.4","67,157.0","88,869.5","15,219.5","15,011.9",16.2,"32,646.5","131,241.7","4,669.7","46,185.9","10,672.7","13,356.4","517,691.4",,
2117 Préstamos pactados a más de un año plazo,"82,944.1","31,274.6","4,748.7","51,614.3",0.0,"3,468.7","29,790.3","118,261.1","1,525.3","36,833.2","47,074.0","72,514.5","480,048.8",,
2118 Préstamos pactados a cinco o mas años plazo,"267,646.3","176,492.7","83,592.2","5,068.2","1,816.2","17,525.1","62,227.9",0.0,"4,621.9",0.0,"65,483.3","58,029.5","742,503.2",,
2119 Préstamos subordinados,"70,949.1",0.0,0.0,0.0,0.0,0.0,"30,340.3",0.0,0.0,0.0,0.0,0.0,"101,289.4",,
212 Títulos de emisión propia,"168,738.7","193,870.2","216,672.6","347,080.9",0.0,0.0,"43,748.3","145,954.0","8,960.9","64,633.0","50,170.0","185,492.2","1,425,320.9",,
2120 Títulos de emisión propia,"168,738.7","193,870.2","216,672.6","347,080.9",0.0,0.0,"43,748.3","145,954.0","8,960.9","64,633.0","50,170.0","185,492.2","1,425,320.9",,
213 Obligaciones a la vista,"21,485.3","22,161.1","12,503.3","33,871.2","1,822.8",30.2,"7,189.8","17,689.9",828.5,"2,993.9","2,599.8","1,326.7","124,502.5",,
2130 Obligaciones a la vista,"21,485.3","22,161.1","12,503.3","33,871.2","1,822.8",30.2,"7,189.8","17,689.9",828.5,"2,993.9","2,599.8","1,326.7","124,502.5",,
22 Otros pasivos,"174,281.7","80,917.1","48,199.4","11,852.8","4,555.5","29,108.4","19,167.5","54,862.3","2,542.1","43,686.5","8,940.9","15,495.2","493,609.4",,
