Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  31 de mayo de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos," 6,169,182.62 "," 4,238,104.30 "," 3,227,256.52 "," 2,424,741.32 "," 197,591.10 "," 502,233.44 "," 1,409,625.66 "," 3,756,603.98 "," 192,208.17 "," 874,747.69 "," 963,367.42 "," 263,748.96 "," 1,314,041.35 "," 25,533,452.53 ",
1110 Disponibilidades," 910,758.53 "," 667,940.71 "," 441,133.44 "," 581,116.51 "," 60,896.55 "," 155,732.83 "," 265,151.34 "," 529,860.36 "," 29,245.35 "," 138,074.14 "," 140,647.98 "," 47,036.47 "," 146,628.63 "," 4,114,222.83 ",
112 Operaciones con pacto de retroventa," 5,473.26 "," 5,040.72 ", -   , 500.00 , -   , -   , -   , -   , -   , -   , -   ," 4,307.57 ", -   ," 15,321.55 ",
1121 Operaciones con pacto de retroventa," 5,473.26 "," 5,040.72 ", -   , 500.00 , -   , -   , -   , -   , -   , -   , -   ," 4,307.57 ", -   ," 15,321.55 ",
1130 A valor razonable con cambios en resultados (vrcr)," 888,741.64 "," 13,533.18 ", -   , -   , -   , -   , -   , -   , -   ," 2,056.00 ", -   , -   ," 40,086.89 "," 944,417.71 ",
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 99,970.77 "," 848,455.19 ", -   , -   , -   ," 360,659.07 ", -   , -   , -   , -   , -   ," 1,309,085.03 ",
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1134 A costo amortizado," 37,614.37 "," 501,465.99 "," 277,070.47 "," 22,425.04 "," 104,829.45 "," 10,969.81 "," 134,861.85 ", -   ," 39,900.61 "," 64,988.76 "," 179,760.31 ", -   ," 196,504.96 "," 1,570,391.62 ",
1138 Instrumentos financieros restringidos, -   , -   ," 8,962.38 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,962.38 ",
114 Préstamos," 4,326,594.82 "," 3,050,123.71 "," 2,400,119.46 "," 972,244.58 "," 31,865.10 "," 335,530.81 "," 1,009,612.47 "," 2,866,084.55 "," 123,062.21 "," 669,628.79 "," 642,959.13 "," 212,404.92 "," 930,820.88 "," 17,571,051.41 ",
1141 Préstamos pactados hasta un año plazo," 947,512.85 "," 416,806.62 "," 347,983.00 "," 67,150.22 "," 31,865.10 "," 52,040.67 "," 327,730.92 "," 674,154.31 "," 6,075.26 "," 91,319.16 "," 114,951.55 "," 2,776.64 "," 208,610.87 "," 3,288,977.18 ",
1142 Préstamos pactados a más de un año plazo," 3,437,601.41 "," 2,680,572.00 "," 2,061,019.94 "," 916,231.66 ", -   ," 283,930.97 "," 684,575.73 "," 2,199,426.11 "," 120,104.52 "," 580,334.78 "," 531,856.10 "," 209,891.26 "," 724,647.64 "," 14,430,192.12 ",
1148 Préstamos vencidos," 42,867.39 "," 37,806.39 "," 61,024.90 "," 39,457.39 ", -   ," 9,241.27 "," 20,241.67 "," 37,979.86 "," 4,236.44 "," 1,484.55 "," 15,612.14 "," 3,780.33 "," 3,645.91 "," 277,378.26 ",
1149 Provisión para incobrabilidad de préstamos,"-101,386.84 ","-85,061.30 ","-69,908.39 ","-50,594.70 ", -   ,"-9,682.11 ","-22,935.86 ","-45,475.73 ","-7,354.01 ","-3,509.70 ","-19,460.67 ","-4,043.32 ","-6,083.54 ","-425,496.16 ",
12 Otros activos," 100,486.62 "," 81,547.60 "," 34,049.27 "," 31,661.06 "," 4,612.58 "," 9,567.34 "," 29,899.64 "," 35,119.05 "," 13,040.58 "," 9,160.84 "," 12,749.34 "," 6,707.56 "," 36,972.67 "," 405,574.15 ",
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1220 Bienes recibidos en pago o adjudicados," 16,517.77 "," 1,433.14 "," 4,771.62 "," 11,060.11 ", -   ," 3,330.42 "," 1,537.75 "," 1,469.06 ", -   , -   ," 3,042.01 ", 562.63 ," 3,393.79 "," 47,118.30 ",
1230 Existencias," 1,273.39 ", 316.51 , 284.69 , 182.26 , -   , 319.83 , 144.30 , 424.83 , 49.70 , 26.32 , 99.29 , 21.37 , 14.07 ," 3,156.56 ",
1240 Gastos pagados por anticipado," 7,743.83 "," 8,207.28 "," 4,069.55 "," 1,512.95 ", 44.94 , 208.61 ," 8,806.89 "," 2,755.83 "," 7,405.28 ", 924.31 ," 3,043.69 "," 2,283.77 "," 2,846.16 "," 49,853.08 ",
1250 Cuentas por cobrar," 47,094.68 "," 19,837.73 "," 12,647.65 "," 12,223.47 "," 4,201.79 "," 6,121.98 "," 17,259.68 "," 21,474.70 "," 4,178.13 "," 7,331.94 "," 3,617.39 ", 566.46 ," 21,531.55 "," 178,087.14 ",
1251 Impuestos," 21,980.68 "," 22,091.89 "," 8,282.53 "," 6,773.48 ", 365.85 , 379.27 ," 4,122.95 "," 2,437.07 "," 1,407.47 ", 878.27 ," 3,041.47 "," 2,121.02 "," 3,622.17 "," 77,504.11 ",
1259 Estimación de pérdida por deterioro de valor,"-4,111.07 ","-2,047.54 ","-2,765.66 ",-205.49 , -   ,-792.76 ,"-1,971.92 ",-377.55 , -   , -   ,-94.51 ,-25.88 ,-114.10 ,"-12,506.49 ",
"1260 Inversiones en acciones, derechos y participaciones"," 9,987.34 "," 31,708.59 "," 6,758.89 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,679.04 "," 54,248.14 ",
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 131,868.15 "," 111,725.56 "," 62,149.85 "," 21,594.20 "," 2,325.44 "," 20,099.32 "," 28,739.03 "," 51,825.08 "," 8,397.81 "," 10,110.18 "," 24,377.53 "," 9,203.63 "," 26,975.13 "," 509,390.90 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,866.88 "," 7,957.74 ", 247.69 ," 9,157.52 "," 3,848.45 "," 13,128.48 ", -   , 730.09 , 926.16 ," 1,644.84 "," 3,689.86 "," 130,306.90 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,866.88 "," 7,957.74 ", 247.69 ," 9,157.52 "," 3,848.45 "," 13,128.48 ", -   , 730.09 , 926.16 ," 1,644.84 "," 3,689.86 "," 130,306.90 ",
132 Propiedades y equipo depreciables," 79,133.91 "," 37,220.77 "," 29,000.35 "," 12,461.66 "," 2,077.75 "," 9,652.80 "," 16,778.68 "," 37,130.31 "," 3,642.17 "," 8,442.95 "," 7,459.10 "," 6,799.10 "," 15,220.85 "," 265,020.40 ",
1320 Depreciables," 183,240.48 "," 138,440.03 "," 85,979.82 "," 33,872.84 "," 4,630.03 "," 36,965.22 "," 45,133.89 "," 99,397.51 "," 4,247.07 "," 15,072.92 "," 18,748.91 "," 13,410.66 "," 31,792.74 "," 710,932.12 ",
1329 Depreciación y deterioro acumulada(o) (-),"-104,106.56 ","-101,219.26 ","-56,979.47 ","-21,411.18 ","-2,552.28 ","-27,312.42 ","-28,355.21 ","-62,267.19 ",-604.90 ,"-6,629.97 ","-11,289.80 ","-6,611.56 ","-16,571.89 ","-445,911.71 ",
133 Intangibles," 23,512.36 "," 33,617.46 "," 14,282.62 "," 1,174.81 ", -   ," 1,289.00 "," 8,111.90 "," 1,566.30 "," 4,755.64 ", 937.14 ," 15,992.26 ", 759.69 ," 8,064.42 "," 114,063.59 ",
1330 Intangibles," 44,681.48 "," 76,895.11 "," 38,031.22 "," 1,822.92 ", -   ," 3,788.31 "," 8,111.90 "," 3,736.50 "," 7,535.57 "," 4,008.03 "," 33,694.04 "," 9,070.31 "," 14,323.83 "," 245,699.22 ",
1339 Amortización y deterioro acumulada(o) (-),"-21,169.12 ","-43,277.65 ","-23,748.60 ",-648.11 , -   ,"-2,499.31 ", -   ,"-2,170.20 ","-2,779.93 ","-3,070.89 ","-17,701.77 ","-8,310.62 ","-6,259.41 ","-131,635.62 ",
Total Activos," 6,401,537.39 "," 4,431,377.45 "," 3,323,455.64 "," 2,477,996.58 "," 204,529.12 "," 531,900.10 "," 1,468,264.33 "," 3,843,548.12 "," 213,646.56 "," 894,018.70 "," 1,000,494.29 "," 279,660.15 "," 1,377,989.16 "," 26,448,417.58 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 12,436.38 "," 10,543.77 "," 14,990.61 ", 259.81 , -   , -   , 246.94 ," 93,622.70 ", -   ," 1,080.17 "," 4,267.55 ", -   , -   ," 137,447.93 ",
4120 Avales y fianzas," 79,319.21 "," 62,851.46 "," 112,208.81 "," 12,398.32 "," 2,690.62 "," 5,732.38 "," 4,711.37 "," 58,277.60 ", -   ," 11,850.63 "," 2,674.95 ", -   ," 8,854.13 "," 361,569.48 ",
4129 Provisión por pérdidas,"-15,836.54 ","-14,665.29 ","-4,176.33 ","-9,324.07 ", -   ,"-5,732.38 ", -   ,-18.20 , -   , -   , -   , -   , -   ,"-49,752.82 ",
4130 Operaciones con instrumentos financieros derivados," 4,382.97 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 4,382.97 ",
4180 Otras, -   , -   , -   , -   , 24.90 , -   , -   , -   , -   , -   , -   , -   , -   , 24.90 ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 80,302.02 "," 58,729.95 "," 123,023.08 "," 3,334.05 "," 2,715.52 ", -   ," 4,958.31 "," 151,882.09 ", -   ," 12,930.80 "," 6,942.50 ", -   ," 8,854.13 "," 453,672.46 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,481,839.41 "," 4,490,107.40 "," 3,446,478.72 "," 2,481,330.63 "," 207,244.64 "," 531,900.10 "," 1,473,222.64 "," 3,995,430.21 "," 213,646.56 "," 906,949.50 "," 1,007,436.79 "," 279,660.15 "," 1,386,843.29 "," 26,902,090.04 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 5,554,320.87 "," 3,869,017.77 "," 2,899,775.55 "," 2,238,182.28 "," 150,996.73 "," 422,360.33 "," 1,330,429.85 "," 3,413,626.55 "," 177,264.05 "," 772,616.47 "," 892,172.19 "," 234,873.29 "," 1,239,238.18 "," 23,194,874.14 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 5,479,165.00 "," 3,712,824.46 "," 2,743,782.47 "," 1,810,785.68 "," 149,939.11 "," 422,320.75 "," 1,281,398.54 "," 3,234,405.79 "," 169,111.41 "," 702,521.66 "," 869,349.32 "," 224,295.75 "," 1,090,730.34 "," 21,890,630.27 ",
2110 Depósitos a la vista," 3,830,836.52 "," 2,348,078.67 "," 1,478,453.75 "," 835,028.87 "," 143,136.58 "," 272,618.65 "," 598,515.58 "," 1,928,164.89 "," 24,994.05 "," 269,182.58 "," 264,393.29 "," 52,897.07 "," 352,469.41 "," 12,398,769.92 ",
