Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 30 de Junio de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.  1/","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"5,025,032.42","1,624,832.51","2,832,230.23","1,205,664.34","304,763.10","397,909.24","399,610.02","1,230,944.35","1,921,014.93","2,706,003.18","71,762.34","385,696.80","469,740.96","653,785.27","19,228,989.69"
1110 Fondos disponibles,"983,486.68","251,214.96","472,845.97","247,947.50","151,891.21","131,132.94","57,256.89","282,154.62","407,472.19","575,836.99","15,722.74","60,950.85","49,122.41","78,829.55","3,765,865.51"
112 Adquisición temporal de documentos,"2,308.93",0.00,0.00,"8,894.90",0.00,169.46,29.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,402.64"
1121 Documentos adquiridos hasta un año plazo,"2,308.93",0.00,0.00,"8,894.90",0.00,169.46,29.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"11,402.64"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"570,256.38","247,868.71","384,437.50","120,421.33","138,164.41","7,837.72","65,950.15","117,075.96","141,114.69","247,218.06","9,904.56","104,662.75","69,477.40","100,614.22","2,325,003.85"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"115,753.99",0.00,0.00,"65,950.15","117,075.96",0.00,0.00,"1,145.55",177.30,0.00,0.00,"300,102.95"
1131 Titulos valores para conservarse hasta el vencimiento,"9,020.50","1,502.26","24,796.56","2,146.95",0.00,"7,837.72",0.00,0.00,"2,257.96",0.00,0.00,"87,112.07","17,724.19","98,332.29","250,730.51"
1132 Titulos valores disponibles para venta,"561,248.32","246,366.45","359,756.94","2,520.39","138,164.41",0.00,0.00,0.00,"138,856.73","247,218.06","8,759.00","17,373.38","51,753.22","2,281.93","1,774,298.83"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,-116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-128.44
114 Préstamos,"3,468,980.42","1,125,748.85","1,974,946.76","828,400.60","14,707.48","258,769.11","276,373.64","831,713.78","1,372,428.04","1,882,948.14","46,135.04","220,083.20","351,141.15","474,341.49","13,126,717.69"
1141 Préstamos pactados hasta un año plazo,"568,692.02","188,243.10","334,187.10","102,179.56","14,708.71","29,623.00","55,775.52","235,373.37","89,724.05","499,876.63",461.32,"25,704.18","52,909.52","25,200.20","2,222,658.29"
1142 Préstamos pactados a mas de un año plazo,"2,957,638.84","944,183.67","1,659,825.58","736,357.53",0.00,"230,471.87","223,485.38","601,762.78","1,282,703.99","1,405,600.59","46,678.29","195,431.15","301,357.40","449,924.45","11,035,421.52"
1148 Préstamos vencidos,"47,885.54","17,995.71","36,093.58","14,565.28",0.00,"9,234.36","4,136.99","19,823.94","40,010.98","16,263.49","1,008.85","2,031.28","1,694.95","2,650.68","213,395.64"
1149 Provisión para incobrabilidad de préstamos,"-105,235.98","-24,673.64","-55,159.50","-24,701.77",-1.23,"-10,560.12","-7,024.25","-25,246.32","-40,010.98","-38,792.57","-2,013.42","-3,083.42","-4,820.72","-3,433.84","-344,757.76"
12 Otros activos,"110,897.26","51,725.49","59,152.08","21,960.23","1,147.65","14,798.78","10,179.47","53,605.87","54,943.76","26,991.76","6,695.59","2,334.04","20,723.97","14,776.70","449,932.66"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"39,978.08",417.82,"12,413.48","12,683.40",0.00,"5,728.43","2,003.40","11,752.42","6,959.05","9,522.66",0.00,0.00,0.00,"5,389.07","106,847.80"
1230 Existencias,728.21,384.66,570.78,56.57,0.00,345.22,67.24,316.20,428.23,349.70,0.00,42.59,25.13,22.22,"3,336.76"
1240 Gastos pagados por anticipado y cargos diferidos,"32,230.56","22,900.65","32,260.08","2,547.26",436.64,"1,958.12","4,660.56","15,104.09","13,388.05","9,670.73","3,591.94","1,384.35","17,264.07","3,141.56","160,538.65"
1250 Cuentas por cobrar,"29,342.77","16,001.81","10,075.86","6,682.69",711.01,"7,270.43","2,763.56","26,433.16","18,289.88","7,759.82","3,103.65",907.10,"3,451.89","6,316.09","139,109.72"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,548.93",-603.09,"-1,622.73",-123.97,0.00,-503.41,-103.45,0.00,"-1,615.38",-311.15,0.00,0.00,-17.12,-92.23,"-6,541.48"
1260 derechos y participaciones,"10,166.57","12,623.63","5,454.62",114.28,0.00,0.00,788.17,0.00,"17,493.93",0.00,0.00,0.00,0.00,0.00,"46,641.21"
13 Activo fijo,"92,279.92","61,810.43","46,042.45","16,210.84",979.89,"18,942.36","5,093.54","16,816.42","31,446.41","28,350.46","3,373.63","1,034.64","1,948.86","11,061.04","335,390.89"
1310 No depreciables,"30,667.10","22,764.54","21,868.36","8,470.21",247.69,"9,055.42","3,486.79","1,850.69","20,410.55","3,343.27",0.00,140.25,60.62,"7,942.96","130,308.45"
1320 depreciables,"156,468.64","55,106.98","61,656.19","22,440.16","2,239.25","32,477.98","5,927.59","32,055.11","61,712.53","45,429.16","11,035.24","2,888.58","5,025.56","17,378.93","511,841.91"
1329 depreciación acumulada,"-96,711.19","-36,634.45","-42,352.48","-15,557.23","-1,565.82","-23,349.12","-4,422.20","-18,834.40","-50,676.67","-23,442.26","-8,797.91","-2,557.34","-4,315.29","-14,654.14","-343,870.50"
1330 Amortizables,"1,855.37","20,573.35","4,870.37",857.70,58.77,758.08,101.36,"1,745.02",0.00,"3,020.29","1,136.30",563.16,"1,177.96",393.29,"37,111.03"
Total Activos,"5,228,209.60","1,738,368.43","2,937,424.76","1,243,835.41","306,890.65","431,650.38","414,883.04","1,301,366.65","2,007,405.09","2,761,345.40","81,831.56","389,065.48","492,413.79","679,623.01","20,014,313.24"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"26,063.79","11,851.48","8,388.46",603.35,26.00,0.00,"7,250.00",0.00,71.22,"20,976.99",0.00,364.73,0.00,0.00,"75,596.02"
4119 Provisión por pérdidas,0.00,-2.56,0.00,-2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.24
4120 Contingencias por avales y fianzas,"111,834.63","44,706.75","90,146.63","14,095.14","9,443.50","6,383.48","3,227.68","9,399.34","110,411.32","78,977.89",0.00,"17,969.72",0.00,"3,113.67","499,709.74"
4129 Provisión por pérdidas,"-15,636.82","-13,416.89","-9,631.17","-5,727.80",-32.51,"-5,110.44",0.00,0.00,"-2,815.02",-505.19,0.00,-3.48,0.00,0.00,"-52,879.31"
4131 derechos por operaciones en moneda extranjera,"3,094.14",1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,095.24"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"125,355.74","43,139.87","88,903.92","8,968.02","9,436.99","1,273.04","10,477.68","9,399.34","107,667.52","99,449.69",0.00,"18,330.97",0.00,"3,113.67","525,516.45"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,353,565.34","1,781,508.29","3,026,328.68","1,252,803.43","316,327.64","432,923.42","425,360.72","1,310,765.98","2,115,072.61","2,860,795.10","81,831.56","407,396.45","492,413.79","682,736.68","20,539,829.70"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,548,342.69","1,500,456.53","2,578,507.32","1,095,516.40","260,270.59","351,122.06","350,546.46","1,130,603.88","1,733,621.22","2,445,284.32","52,641.65","336,565.46","437,434.84","602,442.85","17,423,356.27"
211 depósitos,"3,879,519.62","1,236,227.29","1,972,123.77","947,883.23","256,721.61","336,228.59","303,485.83","953,495.68","1,428,379.00","2,086,753.78","52,525.90","261,509.08","301,098.06","435,336.62","14,451,288.05"
2110 depósitos a la vista,"2,800,293.75","900,232.16","1,085,418.95","498,721.84","238,118.31","195,803.37","163,030.38","504,356.88","653,680.58","1,360,391.80","17,304.99","118,692.90","100,643.26","189,961.57","8,826,650.73"
211001 depósitos en cuenta corriente,"1,055,551.07","488,586.08","506,896.20","246,355.20","181,670.13","48,489.39","114,920.09","294,065.17","254,348.87","868,915.34","17,304.99","43,564.82","66,460.34","128,465.34","4,315,593.02"
211002 depósitos de ahorro,"1,744,031.71","411,646.07","578,098.57","252,364.84","56,448.18","147,313.98","48,110.29","210,291.71","399,331.71","491,476.46",0.00,"75,128.08","34,172.08","61,496.23","4,509,909.91"
211003 depósitos en cuenta de ahorro simplificada,710.98,0.00,424.18,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.84,0.00,"1,147.80"
2111 depósitos pactados hasta un año plazo,"930,259.09","310,145.87","692,803.29","396,834.16","16,002.30","134,200.60","134,981.08","431,784.36","723,442.11","661,954.28","30,300.94","136,888.43","176,763.68","220,976.78","4,997,336.98"
2112 depósitos pactados a mas de un año plazo,"82,853.25",822.76,"149,299.65","32,220.13",0.00,218.11,0.00,"2,148.89","3,541.12","46,702.58",0.00,170.33,"19,128.98","21,028.34","358,134.15"
2114 depósitos restringidos e inactivos,"66,113.52","25,026.50","44,601.88","20,107.10","2,601.01","6,006.51","5,474.36","15,205.55","47,715.19","17,705.13","4,919.98","5,757.42","4,562.13","3,369.92","269,166.20"
212 Préstamos,"444,052.32","194,050.93","395,363.25","119,263.77",0.00,"14,334.41","21,247.94","172,310.97","169,697.17","155,188.47",0.00,"74,312.10","72,462.06","92,017.77","1,924,301.16"
2121 Préstamos pactados hasta un año plazo,"422,622.17","65,583.66","218,022.06","28,272.72",0.00,34.24,"10,242.97","57,593.76","16,310.99","142,782.04",0.00,"27,806.20","5,815.23","3,002.78","998,088.83"
2122 Préstamos pactados a mas de un año plazo,"21,430.15",94.30,"11,425.87","78,845.89",0.00,"14,264.19","11,004.97","50,245.12","131,386.18","12,406.43",0.00,"46,505.89","51,387.00","63,585.09","492,581.08"
2123 Préstamos pactados a cinco o mas años plazo,0.00,"128,372.97","165,915.33","12,145.17",0.00,35.98,0.00,"64,472.08","22,000.00",0.00,0.00,0.00,"15,259.82","25,429.90","433,631.26"
2130 Obligaciones a la vista,"12,683.94","10,073.52","10,516.91","28,369.39","3,548.98",559.06,714.33,"4,797.23","4,751.74","11,850.24",93.55,744.29,991.70,"1,398.90","91,093.78"
214 Títulos de emisión propia,"212,086.81","60,104.80","200,503.39",0.00,0.00,0.00,"25,098.36",0.00,"130,793.31","191,491.83",0.00,0.00,"62,883.02","73,689.57","956,651.08"
