Superintendencia del Sistema Financiero,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,
Datos al 30 de Junio de 2022,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,
11 Activos de intermediación,"5,536,844.35","3,617,672.46","2,822,397.91","1,753,654.36","227,124.53","448,100.18","310,031.64","1,289,397.97","3,035,552.56","124,503.35","486,084.07","534,021.48","919,243.60","21,104,628.46"
1110 Fondos disponibles,"1,075,940.67","607,617.80","392,591.81","300,129.04","114,748.79","156,774.03","61,474.47","255,913.86","553,252.70","18,176.52","77,318.54","65,973.67","141,562.21","3,821,474.13"
112 Adquisición temporal de documentos,"2,031.90",0.00,0.00,0.00,0.00,509.38,0.00,0.00,0.00,0.00,0.00,0.00,"3,625.05","6,166.33"
1121 Documentos adquiridos hasta un año plazo,"2,031.90",0.00,0.00,0.00,0.00,509.38,0.00,0.00,0.00,0.00,0.00,0.00,"3,625.05","6,166.33"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"743,804.56","423,539.71","327,008.16","388,058.06","74,045.16","13,983.69","40,192.03","164,474.66","309,459.24","8,223.90","52,654.50","60,780.46","124,879.41","2,731,103.51"
1130 Titulos valores conservados para negociación,"13,650.96",0.00,"4,000.05","384,926.95",0.00,0.00,0.00,0.00,"3,850.00",0.00,273.67,0.00,0.00,"406,701.63"
1131 Titulos valores para conservarse hasta el vencimiento,"101,395.56",0.00,"7,914.99","2,147.91",0.00,"13,983.69","40,192.03",0.00,0.00,0.00,"35,063.20","35,102.53","124,879.41","360,679.31"
1132 Titulos valores disponibles para venta,"628,758.04","423,539.71","315,089.79",983.20,"74,045.16",0.00,0.00,"164,474.66","305,609.24","8,223.90","17,317.63","25,677.93",0.00,"1,963,719.24"
1134 Instrumentos financieros para cobertura,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,715,067.21","2,586,514.95","2,102,797.94","1,065,467.26","38,330.59","276,833.09","208,365.14","869,009.45","2,172,840.62","98,102.93","356,111.03","407,267.35","649,176.92","14,545,884.49"
1141 Préstamos pactados hasta un año plazo,"643,564.67","337,294.42","272,326.52","84,552.93","38,339.81","38,415.27","67,023.54","272,596.40","414,594.79","4,200.90","45,420.85","49,095.30","124,454.77","2,391,880.19"
1142 Préstamos pactados a mas de un año plazo,"3,135,328.13","2,276,213.48","1,845,421.99","990,718.53",0.00,"240,082.89","144,560.85","602,841.53","1,772,836.47","96,923.39","312,137.41","345,315.00","529,535.85","12,291,915.51"
1148 Préstamos vencidos,"46,987.76","84,327.43","43,783.27","20,147.65",0.00,"7,712.15","4,592.59","23,262.61","31,025.91","7,909.86","1,655.86","22,399.88","3,073.26","296,878.24"
1149 Provisión para incobrabilidad de préstamos,"-110,813.35","-111,320.38","-58,733.84","-29,951.86",-9.22,"-9,377.22","-7,811.84","-29,691.09","-45,616.55","-10,931.22","-3,103.09","-9,542.84","-7,886.96","-434,789.45"
12 Otros activos,"126,925.72","102,362.45","58,484.76","21,781.09","1,616.14","9,870.60","8,745.09","33,951.51","22,792.53","9,270.15","2,387.96","27,141.64","26,957.72","452,287.36"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"30,855.88","3,255.43","9,246.50","13,873.62",0.00,"4,701.21","1,802.91","5,445.37","6,718.20",0.00,0.00,"1,383.34","3,823.42","81,105.88"
1230 Existencias,"1,022.76",271.05,261.08,167.28,0.00,338.19,82.45,249.42,273.40,0.00,56.32,65.23,23.18,"2,810.36"
1240 Gastos pagados por anticipado y cargos diferidos,"48,478.41","34,435.12","34,297.91","2,910.93",404.22,709.42,"4,038.97","16,555.54","10,064.03","7,170.61","1,434.24","19,331.54","5,116.52","184,947.45"
1250 Cuentas por cobrar,"41,656.04","35,860.85","10,225.53","4,812.16","1,211.92","4,892.88","2,415.15","11,720.54","6,114.08","2,099.54",897.40,"6,434.08","16,804.40","145,144.58"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-5,892.90","-2,754.65","-1,628.70",-97.19,0.00,-771.10,-58.33,-19.35,-377.18,0.00,0.00,-72.55,-77.55,"-11,749.50"
1260 derechos y participaciones,"10,805.54","31,294.64","6,082.44",114.28,0.00,0.00,463.93,0.00,0.00,0.00,0.00,0.00,"1,267.75","50,028.58"
13 Activo fijo,"84,481.12","109,445.12","43,252.34","15,809.39","1,021.96","20,127.10","4,985.80","16,180.94","34,926.02","2,847.16","2,067.18","1,803.10","7,434.81","344,382.05"
1310 No depreciables,"30,561.70","41,501.19","18,850.77","8,091.90",247.69,"8,217.18","3,496.68","2,662.72","9,491.80",0.00,730.09,185.57,"4,009.61","128,046.90"
1320 depreciables,"132,054.29","109,897.26","65,190.58","22,000.37","1,689.73","36,356.27","6,162.36","34,004.30","48,881.15","11,337.39","3,628.17","5,471.00","15,677.33","492,350.18"
1329 depreciación acumulada,"-79,388.33","-85,028.01","-45,009.71","-15,915.83","-1,006.25","-25,490.13","-4,789.76","-22,031.07","-28,399.51","-10,396.64","-2,736.08","-4,916.31","-12,483.04","-337,590.66"
1330 Amortizables,"1,253.47","43,074.67","4,220.69","1,632.95",90.79,"1,043.77",116.52,"1,544.99","4,952.59","1,906.41",445.01,"1,062.84",230.92,"61,575.63"
Total Activos,"5,748,251.19","3,829,480.03","2,924,135.02","1,791,244.85","229,762.63","478,097.88","323,762.53","1,339,530.42","3,093,271.11","136,620.66","490,539.21","562,966.22","953,636.13","21,901,297.87"
 ,,,,,,,,,,,,,,
4110 Cartas de crédito,"27,744.19","15,971.77","17,650.33","3,587.63",0.00,0.00,"4,179.37",0.00,"30,575.77",0.00,"1,445.52",79.07,0.00,"101,233.65"
4119 Provisión por pérdidas,-1.94,-27.50,0.00,-1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-31.25
4120 Contingencias por avales y fianzas,"105,337.32","107,963.13","93,611.26","15,458.75","8,422.41","6,352.35","2,381.78","11,294.43","125,738.86",0.00,"20,451.23",0.00,"12,543.98","509,555.50"
4129 Provisión por pérdidas,"-16,054.86","-15,638.94","-4,562.87","-6,212.98",-12.35,"-5,531.15",0.00,0.00,-108.69,0.00,0.00,0.00,0.00,"-48,121.83"
4131 derechos por operaciones en moneda extranjera,"10,202.96",0.00,0.00,0.00,"2,404.13",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,607.09"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"127,227.68","108,268.47","106,698.72","12,831.59","10,814.19",821.20,"6,561.15","11,294.43","156,205.94",0.00,"21,896.75",79.07,"12,543.98","575,243.16"
 ,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,875,478.87","3,937,748.50","3,030,833.74","1,804,076.43","240,576.82","478,919.08","330,323.69","1,350,824.85","3,249,477.05","136,620.66","512,435.95","563,045.29","966,180.11","22,476,541.03"
 ,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,971,321.12","3,327,362.14","2,542,837.32","1,607,243.26","187,511.04","388,118.03","259,167.37","1,164,665.13","2,748,799.55","104,288.77","383,826.46","494,113.26","840,613.89","19,019,867.35"
211 depósitos,"4,242,299.41","2,893,108.85","2,093,285.23","1,480,879.60","161,298.61","374,774.26","228,594.07","991,522.54","2,352,611.63","95,263.51","341,219.51","374,485.31","554,798.40","16,184,140.93"
2110 depósitos a la vista,"3,330,383.83","1,914,184.88","1,258,101.35","703,395.10","159,689.93","253,836.11","128,911.25","586,265.05","1,679,592.68","11,641.50","153,618.73","141,721.58","259,043.80","10,580,385.77"
211001 depósitos en cuenta corriente,"1,128,260.81","868,486.90","573,868.79","392,166.48","157,120.74","61,737.06","89,673.99","336,365.27","1,099,952.44","11,640.15","64,523.17","98,526.41","179,574.45","5,061,896.67"
211002 depósitos de ahorro,"2,200,083.25","1,045,697.97","683,503.60","311,228.62","2,569.19","192,099.04","39,237.26","249,899.78","579,640.23",0.00,"89,095.55","43,189.42","79,469.35","5,515,713.27"
211003 depósitos en cuenta de ahorro simplificada,"2,039.78",0.00,728.96,0.00,0.00,0.00,0.00,0.00,0.00,1.34,0.00,5.75,0.00,"2,775.83"
2111 depósitos pactados hasta un año plazo,"771,759.13","891,428.25","718,104.58","705,793.13",0.00,"111,248.17","96,076.71","382,565.41","611,777.32","79,969.61","180,921.90","206,799.27","268,580.25","5,025,023.72"
2112 depósitos pactados a mas de un año plazo,"71,738.61","18,983.12","71,155.64","50,095.69",0.00,197.75,0.00,"6,745.05","43,511.85",0.00,"2,290.32","21,929.19","20,671.23","307,318.46"
2114 depósitos restringidos e inactivos,"68,417.83","68,512.60","45,923.66","21,595.69","1,608.68","9,492.25","3,606.10","15,947.03","17,729.79","3,652.40","4,388.57","4,035.27","6,503.12","271,412.98"
212 Préstamos,"544,360.56","254,504.57","233,365.79","94,623.55","20,001.68","13,188.34","4,291.81","144,250.54","267,831.44","3,016.44","38,630.01","74,679.06","148,561.98","1,841,305.76"
2121 Préstamos pactados hasta un año plazo,"216,311.32","83,844.89","115,709.45","12,019.25","20,001.68",16.20,"3,475.87","4,420.69","158,762.17","3,016.44","32,327.65","2,534.76","10,756.96","663,197.34"
2122 Préstamos pactados a mas de un año plazo,"75,033.46",78.26,"5,947.49","70,562.38",0.00,"6,475.23",815.94,"43,641.39","109,069.27",0.00,"6,302.36","48,120.37","101,671.64","467,717.80"
2123 Préstamos pactados a cinco o mas años plazo,"253,015.77","170,581.42","111,708.85","12,041.92",0.00,"6,696.91",0.00,"96,188.45",0.00,0.00,0.00,"24,023.93","36,133.38","710,390.63"
2130 Obligaciones a la vista,"22,605.89","26,936.30","10,595.29","31,740.12","6,210.75",155.42,"1,182.87","8,841.94","28,798.40",393.19,"3,976.94","2,519.37","10,563.57","154,520.04"
214 Títulos de emisión propia,"162,055.26","152,812.42","201,590.95",0.00,0.00,0.00,"25,098.63","20,050.11","95,703.29","5,615.64",0.00,"42,429.52","126,689.94","832,045.77"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"5,615.64",0.00,0.00,"12,522.77","18,138.41"
2142 Pactados a mas de un año plazo,"162,055.26","152,812.42","201,590.95",0.00,0.00,0.00,"25,098.63","20,050.11","95,703.29",0.00,0.00,"42,429.52","114,167.17","813,907.36"
215 Documentos transados,0.00,0.00,"4,000.05",0.00,0.00,0.00,0.00,0.00,"3,854.79",0.00,0.00,0.00,0.00,"7,854.84"
