Superintendencia del Sistema Financiero,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,
Datos al 30 de Junio de 2023,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,
,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,
11 Activos de intermediación,"5,473,969.81","3,782,446.58","2,960,047.26","1,997,197.47","217,757.13","439,026.90","1,284,102.77","3,144,050.84","145,464.17","595,638.38","790,716.43","1,049,415.15","21,879,832.89"
1110 Fondos disponibles,"847,811.14","572,628.78","361,440.46","277,877.85","102,126.29","129,990.74","187,243.19","454,610.05","18,964.53","82,398.99","94,698.13","116,508.82","3,246,298.98"
112 Adquisición temporal de documentos,"2,070.60","3,922.01",0.00,0.00,0.00,138.57,0.00,0.00,319.75,0.00,0.00,"2,210.29","8,661.23"
1121 Documentos adquiridos hasta un año plazo,"2,070.60","3,922.01",0.00,0.00,0.00,138.57,0.00,0.00,319.75,0.00,0.00,"2,210.29","8,661.23"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"761,791.08","457,728.43","320,947.41","688,771.16","94,502.01","14,718.24","170,268.75","312,694.78","5,210.23","55,799.33","80,529.58","175,957.47","3,138,918.47"
1130 Titulos valores conservados para negociación,"12,801.49",0.00,0.00,"686,534.48","9,986.06",0.00,0.00,"7,500.00",0.00,262.08,0.00,"5,365.00","722,449.11"
1131 Titulos valores para conservarse hasta el vencimiento,"100,991.11",0.00,"7,872.27","2,148.46",0.00,"14,718.24",0.00,0.00,0.00,"38,248.94",884.23,"170,592.47","335,455.71"
1132 Titulos valores disponibles para venta,"647,998.47","457,728.43","313,075.15",88.22,"84,515.95",0.00,"170,268.75","305,194.78","5,210.23","17,288.32","79,645.36",0.00,"2,081,013.64"
1134 Instrumentos financieros para cobertura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
114 Préstamos,"3,862,296.99","2,748,167.37","2,277,659.38","1,030,548.46","21,128.83","294,179.35","926,590.83","2,376,746.02","120,969.66","457,440.05","615,488.72","754,738.57","15,485,954.23"
1141 Préstamos pactados hasta un año plazo,"708,922.70","377,169.06","383,262.05","71,102.41","21,215.61","35,882.72","291,517.13","487,029.14","3,528.36","67,549.34","106,776.51","85,511.99","2,639,467.03"
1142 Préstamos pactados a mas de un año plazo,"3,214,104.67","2,405,710.19","1,907,744.31","976,045.06",0.00,"259,758.62","639,268.11","1,901,233.46","117,309.10","391,785.02","511,131.73","671,931.59","12,996,021.85"
1148 Préstamos vencidos,"45,643.46","79,964.45","45,933.11","19,500.28",0.00,"8,106.16","21,434.90","38,486.54","18,371.28","1,405.20","23,553.90","2,744.54","305,143.82"
1149 Provisión para incobrabilidad de préstamos,"-106,373.84","-114,676.33","-59,280.09","-36,099.29",-86.78,"-9,568.15","-25,629.30","-50,003.12","-18,239.08","-3,299.50","-25,973.43","-5,449.55","-454,678.47"
12 Otros activos,"123,687.95","82,968.10","50,131.43","29,600.19","1,576.16","11,672.29","36,655.81","20,217.55","10,786.74","3,692.30","34,099.02","29,753.78","434,841.31"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"23,920.76","1,402.33","9,120.83","11,101.71",0.00,"5,197.55","3,990.27","4,520.13",0.00,0.00,"3,412.53","2,755.61","65,421.71"
1230 Existencias,995.00,393.45,449.94,168.94,0.00,323.60,200.27,247.06,0.00,43.46,10.87,27.91,"2,860.50"
1240 Gastos pagados por anticipado y cargos diferidos,"44,726.20","32,282.80","24,918.14","2,929.20",368.83,864.44,"15,213.90","9,936.60","8,482.16","1,621.31","24,805.88","10,360.51","176,509.98"
1250 Cuentas por cobrar,"44,860.09","19,030.35","11,699.46","15,409.47","1,207.33","6,008.72","17,463.17","5,874.56","2,304.58","2,027.52","6,122.10","15,269.38","147,276.71"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-2,388.80","-2,264.93","-2,192.43",-123.41,0.00,-722.02,-211.80,-360.80,0.00,0.00,-252.35,-80.30,"-8,596.84"
1260 derechos y participaciones,"11,574.71","32,124.10","6,135.49",114.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,420.68","51,369.25"
13 Activo fijo,"81,336.73","114,385.03","42,923.39","15,743.25","1,672.37","20,072.98","17,608.18","44,358.57","1,944.56","2,146.06","2,374.68","9,702.12","354,267.94"
1310 No depreciables,"29,865.68","41,231.84","19,712.35","7,957.74",247.69,"8,740.08","3,894.26","11,326.66",0.00,730.09,124.79,"5,633.18","129,464.37"
1320 depreciables,"129,976.60","109,337.08","65,701.71","23,555.31","2,596.51","34,906.73","35,773.34","58,038.66","10,805.91","3,768.30","9,978.11","16,133.89","500,572.15"
1329 depreciación acumulada,"-79,494.82","-86,469.54","-46,028.90","-17,030.74","-1,277.06","-24,535.45","-23,554.39","-33,148.38","-10,368.80","-2,816.35","-9,076.62","-12,471.26","-346,272.29"
1330 Amortizables,989.26,"50,285.64","3,538.23","1,260.95",105.23,961.62,"1,494.97","8,141.64","1,507.45",464.02,"1,348.40",406.30,"70,503.71"
Total Activos,"5,678,994.48","3,979,799.71","3,053,102.07","2,042,540.92","221,005.66","470,772.18","1,338,366.76","3,208,626.96","158,195.47","601,476.74","827,190.14","1,088,871.05","22,668,942.14"
 ,,,,,,,,,,,,,
4110 Cartas de crédito,"18,774.18","24,286.95","9,504.12","2,926.28",0.00,0.00,208.50,"56,769.34",0.00,"1,226.52","2,696.76",0.00,"116,392.65"
4119 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4120 Contingencias por avales y fianzas,"86,528.68","69,844.91","112,292.42","19,655.92","5,284.33","5,714.75","10,633.15","97,226.83",0.00,"20,946.75","1,935.10","6,665.83","436,728.68"
4129 Provisión por pérdidas,"-15,876.58","-15,946.40","-4,742.09","-8,627.94",-32.70,"-5,714.75",0.00,-80.76,0.00,0.00,0.00,0.00,"-51,021.22"
4131 derechos por operaciones en moneda extranjera,"8,703.41",109.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"8,812.61"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,
Total derechos futuros y contingencias,"98,129.69","78,294.67","117,054.45","13,954.25","5,251.63",0.00,"10,841.65","153,915.41",0.00,"22,173.28","4,631.86","6,665.83","510,912.71"
 ,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,777,124.17","4,058,094.38","3,170,156.52","2,056,495.17","226,257.29","470,772.18","1,349,208.41","3,362,542.37","158,195.47","623,650.01","831,822.00","1,095,536.88","23,179,854.85"
 ,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,842,023.41","3,456,513.85","2,651,098.10","1,835,970.66","173,834.84","373,082.95","1,168,019.01","2,821,199.27","121,953.36","496,085.41","699,953.08","972,927.33","19,612,661.26"
211 depósitos,"4,194,531.83","2,998,871.98","2,197,911.14","1,716,667.99","170,109.48","353,179.32","1,006,054.84","2,483,070.50","112,587.28","383,464.81","539,852.00","672,892.05","16,829,193.24"
2110 depósitos a la vista,"3,200,825.32","1,972,652.88","1,246,926.30","640,356.71","169,877.76","240,541.43","561,162.80","1,664,878.32","14,066.30","170,597.72","183,310.32","295,943.10","10,361,138.95"
211001 depósitos en cuenta corriente,"984,559.14","855,294.55","497,560.63","345,753.86","148,622.52","48,653.77","332,422.94","1,042,768.85","14,010.79","67,559.44","135,589.40","212,981.91","4,685,777.79"
211002 depósitos de ahorro,"2,214,084.21","1,117,358.34","748,397.20","294,602.86","21,255.24","191,887.66","228,739.86","622,109.47",0.00,"103,038.28","47,714.10","82,961.19","5,672,148.40"
211003 depósitos en cuenta de ahorro simplificada,"2,181.97",0.00,968.47,0.00,0.00,0.00,0.00,0.00,55.51,0.00,6.82,0.00,"3,212.76"
2111 depósitos pactados hasta un año plazo,"837,517.45","930,858.60","833,275.65","864,707.06",0.00,"103,324.68","387,919.95","750,616.35","90,812.57","206,096.00","326,201.45","290,939.68","5,622,269.43"
2112 depósitos pactados a mas de un año plazo,"86,505.54","27,910.76","71,973.94","183,124.51",0.00,168.76,"32,309.24","51,887.19","3,945.16","3,060.31","23,088.52","78,197.36","562,171.27"
2114 depósitos restringidos e inactivos,"69,683.53","67,449.74","45,735.25","28,479.70",231.72,"9,144.45","24,662.85","15,688.66","3,763.25","3,710.79","7,251.71","7,811.92","283,613.58"
212 Préstamos,"497,345.16","281,904.46","239,967.58","80,362.30",0.00,"19,772.41","116,100.43","187,929.66","4,672.77","65,684.75","97,723.93","144,221.31","1,735,684.78"
2121 Préstamos pactados hasta un año plazo,"122,673.14","57,175.25","138,032.07","12,055.82",0.00,16.20,"18,164.22","99,357.21","1,606.11","37,469.83","4,186.56","12,183.76","502,920.16"
2122 Préstamos pactados a mas de un año plazo,"121,055.30","27,923.13","4,990.60","60,192.44",0.00,"4,685.35","16,679.46","88,572.45","3,066.67","28,214.93","54,306.98","91,485.92","501,173.23"
2123 Préstamos pactados a cinco o mas años plazo,"253,616.72","196,806.08","96,944.92","8,114.04",0.00,"15,070.86","81,256.76",0.00,0.00,0.00,"39,230.38","40,551.64","731,591.39"
2130 Obligaciones a la vista,"21,021.39","24,435.86","11,776.45","31,617.85","3,725.36",131.21,"12,749.67","29,367.44",230.10,"5,591.46","2,453.48","3,381.02","146,481.29"
214 Títulos de emisión propia,"129,125.02","151,301.54","201,442.92",0.00,0.00,0.00,"33,114.07","113,314.09","4,463.20","41,344.39","59,923.67","147,067.94","881,096.84"
2141 Títulos de emisión propia pactados hasta un año plazo.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"3,460.02","2,621.07",0.00,"24,731.94","30,813.03"
2142 Pactados a mas de un año plazo,"129,125.02","151,301.54","201,442.92",0.00,0.00,0.00,"33,114.07","113,314.09","1,003.18","38,723.32","59,923.67","122,336.00","850,283.81"
215 Documentos transados,0.00,0.00,0.00,"7,322.52",0.00,0.00,0.00,"7,517.57",0.00,0.00,0.00,"5,365.00","20,205.10"
2151 Documentos transados hasta un año plazo,0.00,0.00,0.00,"7,322.52",0.00,0.00,0.00,"7,517.57",0.00,0.00,0.00,"5,365.00","20,205.10"
216 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2160 Cheques y otros valores por aplicar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2170 Instrumentos financieros a valor razonable,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
