Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al 30 de junio de 2024,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agricola, S.A.","Banco Cuscatlan de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos,"5,716,314.7","3,909,559.4","3,069,193.0","2,197,517.9","224,132.0","450,744.8","1,333,534.9","3,346,612.5","170,323.3","711,663.7","853,373.2","1,218,771.7","23,201,740.9",,
1110 Disponibilidades,"879,041.4","536,282.7","391,854.4","278,483.5","70,357.6","125,039.8","212,728.8","426,841.3","19,849.3","106,216.8","115,514.1","139,799.2","3,302,009.0",,
112 Operaciones con pacto de retroventa,"5,235.4",38.1,0.0,0.0,0.0,701.0,"5,000.0",0.0,0.0,0.0,0.0,0.0,"10,974.6",,
1121 Operaciones con pacto de retroventa,"5,235.4",38.1,0.0,0.0,0.0,701.0,"5,000.0",0.0,0.0,0.0,0.0,0.0,"10,974.6",,
1130 A valor razonable con cambios en resultados (vrcr),"640,705.1",0.0,0.0,0.0,0.0,0.0,0.0,"7,210.0",0.0,0.0,0.0,"24,089.7","672,004.8",,
1131 A valor razonable con cambios en otro resultado integral (vrori),0.0,0.0,"289,953.8","895,442.8",0.0,0.0,0.0,"369,517.9",0.0,0.0,0.0,0.0,"1,554,914.5",,
1132 Derivados financieros para coberturas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1134 A costo amortizado,"39,581.3","472,236.4","5,365.0","9,715.7","107,995.4","11,771.9","169,001.0",0.0,"26,650.2","64,477.2","123,149.0","225,311.4","1,255,254.5",,
1138 Instrumentos financieros restringidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"15,659.9",0.0,"15,659.9",,
114 Préstamos,"4,151,751.4","2,901,002.1","2,382,019.7","1,013,875.9","45,779.0","313,232.1","946,805.0","2,543,043.3","123,823.8","540,969.6","599,050.2","829,571.3","16,390,923.5",,
1141 Préstamos pactados hasta un año plazo,"663,910.2","392,197.2","387,903.6","69,382.0","46,043.0","42,206.7","298,415.6","568,514.5","6,226.1","67,241.4","98,292.9","84,531.1","2,724,864.3",,
1142 Préstamos pactados a más de un año plazo,"3,526,076.3","2,555,633.5","2,007,650.1","953,011.6",0.0,"271,608.7","650,465.0","1,991,271.0","117,807.1","475,675.3","504,364.8","747,028.1","13,800,591.4",,
1148 Préstamos vencidos,"53,856.6","78,637.1","55,576.7","30,859.4",0.0,"9,110.0","21,853.0","30,116.5","9,095.8","1,424.1","18,547.6","3,422.4","312,499.2",,
1149 Provisión para incobrabilidad de préstamos,"-92,091.6","-125,465.6","-69,110.6","-39,377.2",-264.1,"-9,693.3","-23,928.6","-46,858.7","-9,305.2","-3,371.2","-22,155.1","-5,410.2","-447,031.3",,
12 Otros activos,"124,252.3","86,332.4","37,348.1","27,906.0","1,470.1","11,072.1","27,776.3","27,544.7","9,007.0","2,603.6","13,298.3","27,512.2","396,123.1",,
1210 Saldos entre compañías,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
1220 Bienes recibidos en pago o adjudicados,"19,141.3","2,379.7","6,275.9","11,654.2",0.0,"4,864.2","1,824.9","2,023.1",0.0,0.0,"3,283.8","2,362.4","53,809.4",,
1230 Existencias,"1,612.5",405.1,549.9,169.1,0.0,238.7,104.7,236.1,0.0,52.0,97.9,34.0,"3,499.9",,
1240 Gastos pagados por anticipado,"5,660.3","10,466.2","3,540.2","1,393.3",22.2,486.8,"8,139.5","1,628.0","5,986.7",708.6,"2,825.2","2,390.1","43,247.1",,
1250 Cuentas por cobrar,"72,452.1","20,974.9","14,383.1","11,827.8","1,071.5","5,795.3","15,899.4","15,224.8","1,543.0","1,306.9","3,275.2","17,507.3","181,261.1",,
1251 Impuestos,"19,615.1","23,134.0","8,660.2","2,900.8",376.4,408.6,"3,681.1","1,864.3","1,477.4",536.1,"4,094.3","3,137.7","69,886.0",,
1259 Estimación de pérdida por deterioro de valor,"-3,012.1","-2,533.5","-2,434.7",-153.4,0.0,-721.6,"-1,873.1",-366.7,0.0,0.0,-278.1,-99.8,"-11,473.0",,
"1260 Inversiones en acciones, derechos y participaciones","8,783.1","31,506.0","6,373.6",114.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,180.5","48,957.5",,
1261 Plusvalía comprada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"6,935.1",0.0,0.0,0.0,0.0,"6,935.1",,
1270 Activos mantenidos para la venta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
13 Activos físicos e intangibles,"115,860.4","113,741.3","61,227.0","22,680.0","3,126.8","20,079.5","29,140.3","50,782.7","8,957.0","5,181.0","27,194.8","24,820.7","482,791.6",,
131 Propiedades no depreciables,"29,781.3","41,094.5","18,526.8","8,221.4",247.7,"9,023.3","4,085.9","12,709.2",0.0,730.1,"3,749.0","5,116.4","133,285.6",,
1310 Propiedades no depreciables,"29,781.3","41,094.5","18,526.8","8,221.4",247.7,"9,023.3","4,085.9","12,709.2",0.0,730.1,"3,749.0","5,116.4","133,285.6",,
132 Propiedades y equipo depreciables,"60,433.1","38,866.0","29,178.8","13,304.6","2,879.1","10,131.2","18,391.3","36,549.7","4,569.9","3,940.3","8,587.6","12,590.1","239,421.7",,
1320 Depreciables,"160,614.6","134,197.6","85,070.1","34,028.0","4,758.1","36,068.1","43,605.6","92,175.8","5,631.9","9,630.9","19,151.6","26,120.9","651,053.1",,
1329 Depreciación y deterioro acumulada(o) (-),"-100,181.5","-95,331.6","-55,891.3","-20,723.4","-1,878.9","-25,936.9","-25,214.3","-55,626.1","-1,062.0","-5,690.6","-10,564.0","-13,530.8","-411,631.5",,
133 Intangibles,"25,646.0","33,780.8","13,521.5","1,154.0",0.0,925.0,"6,663.1","1,523.7","4,387.1",510.6,"14,858.3","7,114.2","110,084.3",,
1330 Intangibles,"39,435.3","62,264.5","34,625.4","1,417.1",0.0,"1,692.2","6,663.1","3,150.8","4,387.1","3,425.2","29,532.0","11,228.7","197,821.4",,
1339 Amortización y deterioro acumulada(o) (-),"-13,789.4","-28,483.7","-21,104.0",-263.1,0.0,-767.2,0.0,"-1,627.1",0.0,"-2,914.6","-14,673.7","-4,114.5","-87,737.1",,
Total Activos,"5,956,427.3","4,109,633.1","3,167,768.1","2,248,103.9","228,728.9","481,896.4","1,390,451.5","3,424,939.9","188,287.3","719,448.3","893,866.3","1,271,104.6","24,080,655.5",,
,,,,,,,,,,,,,,,
4110 Cartas de crédito,"24,736.3","12,849.4","10,199.3","1,688.1",0.0,0.0,334.2,"55,483.2",0.0,"1,237.2","6,203.8",0.0,"112,731.7",,
4120 Avales y fianzas,"80,105.5","63,759.8","130,253.8","18,910.9","4,715.7","5,732.4","6,603.2","55,777.9",0.0,"20,169.6","1,681.5","9,272.0","396,982.3",,
4129 Provisión por pérdidas,"-16,375.0","-15,873.7","-4,936.6","-10,787.2",-9.5,"-5,732.4",0.0,-35.7,0.0,0.0,0.0,0.0,"-53,750.1",,
4130 Operaciones con instrumentos financieros derivados,"12,996.2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"12,996.2",,
4180 Otras,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,,
,,,,,,,,,,,0.0,,0.0,,
Total derechos futuros y contingencias,"101,463.1","60,735.5","135,516.5","9,811.8","4,738.5",0.0,"6,937.5","111,225.4",0.0,"21,406.7","7,885.4","9,272.0","468,992.5",,
,,,,,,,,,,,,,0.0,,
Total activos + derechos futuros y contingencias,"6,057,890.4","4,170,368.6","3,303,284.6","2,257,915.7","233,467.4","481,896.4","1,397,389.0","3,536,165.3","188,287.3","740,855.0","901,751.7","1,280,376.7","24,549,648.1",,
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos,"5,179,127.8","3,566,430.5","2,749,638.7","2,026,992.8","181,735.0","379,118.3","1,257,200.9","3,014,531.5","152,684.4","599,248.5","787,666.6","1,135,549.6","21,029,924.7",,
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2100 Mantenidos para negociar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
211 Pasivos financieros a costo amortizado,"4,985,849.2","3,350,407.0","2,521,640.7","1,648,894.8","180,108.4","379,036.5","1,207,064.7","2,842,805.2","144,005.6","529,149.8","759,443.9","948,384.6","19,496,790.2",,
2110 Depósitos a la vista,"3,423,003.2","2,020,633.5","1,305,325.3","670,457.1","156,488.4","247,274.2","553,615.5","1,682,638.3","17,351.4","200,834.7","240,446.5","295,811.5","10,813,879.7",,
2111 Depósitos pactados hasta un año plazo,"881,682.3","974,639.4","874,489.4","684,956.1",0.0,"101,011.5","425,818.3","808,139.4","85,486.6","239,002.3","352,773.4","290,030.4","5,718,029.2",,
2112 Depósitos pactados a más de un año plazo,"102,392.3","34,097.8","106,140.7","194,436.5",0.0,16.7,"36,833.6","84,385.6","22,390.2","7,549.8","22,154.9","169,641.7","780,039.9",,
2113 Certificados de depósitos negociables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"19,068.8","19,068.8",,
2114 Depósitos restringidos e inactivos,"79,918.7","63,790.2","50,939.6","28,364.1","1,824.0","9,703.0","26,782.7","20,620.2","2,915.6","4,121.8","7,532.3","12,272.8","308,785.0",,
2115 Operaciones con pacto de retrocompra,0.0,0.0,"4,215.0",0.0,0.0,0.0,0.0,"7,227.3","5,094.0",0.0,"15,659.9","20,561.1","52,757.2",,
2116 Préstamos pactados hasta un año plazo,"122,864.1","57,328.1","102,112.2","15,232.8","20,008.9",16.2,"32,542.1","121,103.5","4,582.2","43,202.5","10,014.0","13,239.1","542,245.7",,
2117 Préstamos pactados a más de un año plazo,"73,169.7","30,826.5","4,667.8","50,436.1",0.0,"3,367.4","29,939.6","118,690.9","1,535.3","34,438.6","45,831.6","72,731.0","465,634.5",,
2118 Préstamos pactados a cinco o mas años plazo,"233,162.2","169,091.5","73,750.7","5,012.2","1,787.1","17,647.5","55,893.8",0.0,"4,650.3",0.0,"65,031.2","55,028.1","681,054.7",,
2119 Préstamos subordinados,"69,656.6",0.0,0.0,0.0,0.0,0.0,"45,639.0",0.0,0.0,0.0,0.0,0.0,"115,295.6",,
212 Títulos de emisión propia,"169,970.1","196,496.0","217,478.5","348,235.0",0.0,0.0,"43,011.6","150,154.7","8,167.5","67,170.0","24,839.4","186,152.5","1,411,675.5",,
2120 Títulos de emisión propia,"169,970.1","196,496.0","217,478.5","348,235.0",0.0,0.0,"43,011.6","150,154.7","8,167.5","67,170.0","24,839.4","186,152.5","1,411,675.5",,
213 Obligaciones a la vista,"23,308.6","19,527.5","10,519.5","29,862.9","1,626.6",81.8,"7,124.7","21,571.6",511.3,"2,928.8","3,383.3","1,012.5","121,459.0",,
2130 Obligaciones a la vista,"23,308.6","19,527.5","10,519.5","29,862.9","1,626.6",81.8,"7,124.7","21,571.6",511.3,"2,928.8","3,383.3","1,012.5","121,459.0",,
22 Otros pasivos,"164,304.2","83,441.5","51,020.1","11,522.8","5,178.2","28,476.6","17,450.4","58,169.5","2,189.2","41,009.0","8,886.1","16,232.1","487,879.9",,
