Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance de Bancos ,,,,,,,,,,,,,,,
Datos al  30 de junio de 2025,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A",Citibank N.A.,Banco de Fomento Agropecuario,"Banco Promérica, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Apoyo Integral, S.A.","Banco Atlántida El Salvador, S.A.",Total Instituciones,
,,,,,,,,,,,,,,,
Activos,,,,,,,,,,,,,,,
11 Activos," 6,121,474.89 "," 4,391,687.00 "," 3,300,716.77 "," 2,403,742.17 "," 202,217.39 "," 505,409.12 "," 1,422,499.71 "," 3,777,041.74 "," 195,242.10 "," 904,245.16 "," 952,133.31 "," 261,880.01 "," 1,331,262.03 "," 25,769,551.39 ",
1110 Disponibilidades," 932,685.04 "," 767,092.14 "," 455,100.82 "," 529,044.43 "," 62,721.54 "," 155,890.63 "," 285,147.86 "," 580,165.74 "," 30,491.59 "," 165,672.61 "," 144,478.40 "," 41,422.32 "," 159,857.88 "," 4,309,771.01 ",
112 Operaciones con pacto de retroventa," 5,645.19 "," 5,037.03 ", -   , 25.07 , -   , -   , -   , -   ," 1,243.36 ", -   , -   ," 6,022.53 ", -   ," 17,973.18 ",
1121 Operaciones con pacto de retroventa," 5,645.19 "," 5,037.03 ", -   , 25.07 , -   , -   , -   , -   ," 1,243.36 ", -   , -   ," 6,022.53 ", -   ," 17,973.18 ",
1130 A valor razonable con cambios en resultados (vrcr)," 789,063.57 "," 57,242.48 ", -   , -   , -   , -   , -   , -   , -   ," 4,564.72 ", -   ," 1,000.37 "," 34,631.30 "," 886,502.44 ",
1131 A valor razonable con cambios en otro resultado integral (vrori), -   , -   ," 167,981.61 "," 839,617.70 ", -   , -   , -   ," 350,219.31 ", -   , -   , -   , -   , -   ," 1,357,818.62 ",
1132 Derivados financieros para coberturas, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1134 A costo amortizado," 37,724.17 "," 478,758.14 "," 240,838.09 "," 54,559.48 "," 105,317.85 "," 10,990.80 "," 125,471.49 ", -   ," 41,205.54 "," 63,639.66 "," 164,075.90 ", -   ," 189,781.15 "," 1,512,362.27 ",
1138 Instrumentos financieros restringidos, -   , -   ," 8,971.70 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,971.70 ",
114 Préstamos," 4,356,356.92 "," 3,083,557.20 "," 2,427,824.55 "," 980,495.49 "," 34,178.00 "," 338,527.68 "," 1,011,880.36 "," 2,846,656.69 "," 122,301.60 "," 670,368.18 "," 643,579.01 "," 213,434.79 "," 946,991.70 "," 17,676,152.17 ",
1141 Préstamos pactados hasta un año plazo," 928,747.08 "," 428,841.33 "," 369,437.49 "," 68,374.89 "," 34,178.00 "," 56,781.90 "," 337,533.96 "," 668,502.60 "," 5,641.35 "," 87,215.11 "," 115,243.29 "," 2,773.60 "," 209,972.42 "," 3,313,243.01 ",
1142 Préstamos pactados a más de un año plazo," 3,486,420.43 "," 2,703,213.69 "," 2,070,169.99 "," 924,235.50 ", -   ," 282,209.52 "," 676,364.14 "," 2,183,974.08 "," 119,599.38 "," 585,140.99 "," 532,232.76 "," 210,836.80 "," 739,563.64 "," 14,513,960.93 ",
1148 Préstamos vencidos," 43,308.41 "," 36,566.21 "," 59,282.73 "," 38,200.55 ", -   ," 8,862.02 "," 21,002.57 "," 38,443.41 "," 4,387.14 "," 1,552.09 "," 16,146.18 "," 3,673.96 "," 3,720.50 "," 275,145.78 ",
1149 Provisión para incobrabilidad de préstamos,"-102,118.99 ","-85,064.02 ","-71,065.66 ","-50,315.46 ", -   ,"-9,325.76 ","-23,020.31 ","-44,263.39 ","-7,326.27 ","-3,540.02 ","-20,043.23 ","-3,849.56 ","-6,264.86 ","-426,197.54 ",
12 Otros activos," 96,692.22 "," 80,314.59 "," 33,865.10 "," 33,046.40 "," 2,895.45 "," 9,504.16 "," 29,098.98 "," 24,739.64 "," 14,503.07 "," 3,408.96 "," 13,051.66 "," 6,912.56 "," 39,548.63 "," 387,581.42 ",
1210 Saldos entre compañías, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
1220 Bienes recibidos en pago o adjudicados," 16,186.84 "," 1,435.07 "," 5,349.50 "," 11,096.87 ", -   ," 3,303.42 "," 1,516.56 "," 1,456.11 ", -   , -   ," 3,042.01 ", 623.91 ," 3,623.79 "," 47,634.07 ",
1230 Existencias," 1,312.88 ", 327.91 , 253.34 , 175.93 , -   , 291.96 , 124.98 , 436.56 , 142.33 , 24.09 , 99.29 , 20.94 , 42.09 ," 3,252.29 ",
1240 Gastos pagados por anticipado," 6,088.60 "," 7,889.40 "," 3,685.85 "," 1,627.25 ", 20.96 , 208.96 ," 8,825.30 "," 2,360.57 "," 7,028.51 ", 901.87 ," 3,644.14 "," 2,309.28 "," 3,810.88 "," 48,401.58 ",
1250 Cuentas por cobrar," 43,787.13 "," 18,192.40 "," 12,466.36 "," 13,409.31 "," 2,482.65 "," 6,074.24 "," 16,601.96 "," 11,455.48 "," 5,920.96 "," 1,521.20 "," 3,322.23 ", 569.20 ," 22,849.25 "," 158,652.38 ",
1251 Impuestos," 22,316.86 "," 22,792.70 "," 8,333.47 "," 6,823.25 ", 391.84 , 439.95 ," 4,006.04 "," 2,480.44 "," 1,411.28 ", 961.79 ," 3,042.60 "," 2,239.57 "," 3,631.67 "," 78,871.46 ",
1259 Estimación de pérdida por deterioro de valor,"-3,221.64 ","-2,062.67 ","-2,808.70 ",-200.50 , -   ,-814.38 ,"-1,975.86 ",-384.63 , -   , -   ,-98.62 ,-28.52 ,-119.30 ,"-11,714.82 ",
"1260 Inversiones en acciones, derechos y participaciones"," 10,221.54 "," 31,739.77 "," 6,585.29 ", 114.28 , -   , -   , -   , -   , -   , -   , -   , -   ," 5,710.26 "," 54,371.15 ",
1261 Plusvalía comprada, -   , -   , -   , -   , -   , -   , -   ," 6,935.12 ", -   , -   , -   ," 1,178.18 ", -   ," 8,113.30 ",
1270 Activos mantenidos para la venta, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
13 Activos físicos e intangibles," 130,954.13 "," 110,801.55 "," 61,789.80 "," 21,402.73 "," 2,302.41 "," 19,921.48 "," 28,471.17 "," 51,454.63 "," 8,797.41 "," 11,264.80 "," 25,108.44 "," 9,144.76 "," 26,312.95 "," 507,726.25 ",
131 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,835.64 "," 7,957.74 ", 247.69 ," 9,176.04 "," 3,870.37 "," 13,239.08 ", -   , 730.09 , 975.39 ," 1,645.97 "," 3,744.62 "," 130,531.83 ",
1310 Propiedades no depreciables," 29,221.87 "," 40,887.33 "," 18,835.64 "," 7,957.74 ", 247.69 ," 9,176.04 "," 3,870.37 "," 13,239.08 ", -   , 730.09 , 975.39 ," 1,645.97 "," 3,744.62 "," 130,531.83 ",
132 Propiedades y equipo depreciables," 78,761.08 "," 37,253.89 "," 28,710.82 "," 12,285.27 "," 2,054.73 "," 9,523.99 "," 16,686.01 "," 36,539.68 "," 4,066.15 "," 9,623.05 "," 7,534.37 "," 6,743.96 "," 14,940.52 "," 264,723.52 ",
1320 Depreciables," 183,436.13 "," 138,524.35 "," 86,024.64 "," 33,907.46 "," 4,667.82 "," 36,357.59 "," 45,366.78 "," 99,445.74 "," 4,687.54 "," 16,026.87 "," 18,908.96 "," 13,476.04 "," 31,863.15 "," 712,693.07 ",
1329 Depreciación y deterioro acumulada(o) (-),"-104,675.05 ","-101,270.45 ","-57,313.82 ","-21,622.19 ","-2,613.10 ","-26,833.60 ","-28,680.77 ","-62,906.06 ",-621.39 ,"-6,403.82 ","-11,374.60 ","-6,732.07 ","-16,922.64 ","-447,969.55 ",
133 Intangibles," 22,971.17 "," 32,660.33 "," 14,243.34 "," 1,159.73 ", -   ," 1,221.45 "," 7,914.79 "," 1,675.86 "," 4,731.25 ", 911.66 ," 16,598.68 ", 754.83 ," 7,627.82 "," 112,470.90 ",
1330 Intangibles," 44,756.09 "," 77,311.45 "," 38,240.14 "," 1,822.92 ", -   ," 3,847.35 "," 7,914.79 "," 4,152.62 "," 7,621.44 "," 4,008.03 "," 34,548.42 "," 9,166.13 "," 13,975.66 "," 247,365.04 ",
1339 Amortización y deterioro acumulada(o) (-),"-21,784.91 ","-44,651.12 ","-23,996.80 ",-663.20 , -   ,"-2,625.89 ", -   ,"-2,476.76 ","-2,890.18 ","-3,096.37 ","-17,949.74 ","-8,411.30 ","-6,347.85 ","-134,894.14 ",
Total Activos," 6,349,121.24 "," 4,582,803.14 "," 3,396,371.67 "," 2,458,191.29 "," 207,415.25 "," 534,834.75 "," 1,480,069.86 "," 3,853,236.01 "," 218,542.57 "," 918,918.92 "," 990,293.41 "," 277,937.33 "," 1,397,123.62 "," 26,664,859.06 ",
,,,,,,,,,,,,,,,
4110 Cartas de crédito," 13,387.65 "," 10,893.76 "," 15,772.35 ", -   , -   , -   , 308.42 ," 83,477.83 ", -   ," 1,125.24 "," 4,369.38 ", -   , -   ," 129,334.64 ",
4120 Avales y fianzas," 80,396.49 "," 63,670.96 "," 109,595.59 "," 12,073.19 "," 3,246.96 "," 5,732.38 "," 4,671.25 "," 57,339.75 ", -   ," 11,733.52 "," 2,512.81 ", -   ," 9,424.05 "," 360,396.96 ",
4129 Provisión por pérdidas,"-15,871.22 ","-14,711.00 ","-4,199.56 ","-9,324.06 ", -   ,"-5,732.38 ", -   ,-21.44 , -   , -   , -   , -   , -   ,"-49,859.65 ",
4130 Operaciones con instrumentos financieros derivados," 8,700.04 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 8,700.04 ",
4180 Otras, -   , 312.51 , -   , -   , 49.48 , -   , -   , -   , -   , -   , -   , -   , -   , 361.99 ,
,,,,,,,,,,,,,,,
Total derechos futuros y contingencias," 86,612.97 "," 60,166.24 "," 121,168.39 "," 2,749.13 "," 3,296.43 ", -   ," 4,979.68 "," 140,796.14 ", -   ," 12,858.76 "," 6,882.19 ", -   ," 9,424.05 "," 448,933.99 ",
,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias," 6,435,734.21 "," 4,642,969.39 "," 3,517,540.06 "," 2,460,940.42 "," 210,711.68 "," 534,834.75 "," 1,485,049.53 "," 3,994,032.15 "," 218,542.57 "," 931,777.68 "," 997,175.60 "," 277,937.33 "," 1,406,547.67 "," 27,113,793.05 ",
,,,,,,,,,,,,,,,
Pasivos,,,,,,,,,,,,,,,
21 Pasivos," 5,486,540.91 "," 4,015,535.31 "," 2,968,263.69 "," 2,215,614.78 "," 154,947.47 "," 425,195.17 "," 1,344,839.60 "," 3,415,212.16 "," 181,506.70 "," 797,956.80 "," 880,358.43 "," 232,827.09 "," 1,257,225.68 "," 23,376,023.78 ",
210 Pasivos financieros a valor razonable con cambios en resultados (vrcr), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
2100 Mantenidos para negociar, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
211 Pasivos financieros a costo amortizado," 5,409,673.00 "," 3,859,565.65 "," 2,808,838.91 "," 1,787,758.99 "," 153,568.65 "," 425,166.54 "," 1,298,651.59 "," 3,237,987.43 "," 173,323.75 "," 732,908.11 "," 862,050.18 "," 223,249.16 "," 1,108,339.54 "," 22,081,081.49 ",
