Superintendencia del Sistema Financiero,,,,,,,,,,,,,,,
Balance general de los bancos del sistema financiero,,,,,,,,,,,,,,,
Datos al 31 de Julio de 2020,,,,,,,,,,,,,,,
(Cifras en miles de US dólares),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Concepto,"Banco Agrícola, S.A.","Banco Cuscatlán de El Salvador, S.A.","Banco Davivienda Salvadoreño, S.A.","Banco Hipotecario de El Salvador, S.A","Citibank N.A., Sucursal El Salvador",Banco de Fomento Agropecuario,"Banco G&T Continental El Salvador, S.A.","Banco Promérica, S.A.","Banco Cuscatlán Sv, S.A.","Banco de América Central, S.A.","Banco Abank, S.A.","Banco Industrial El Salvador, S.A.","Banco Azul de El Salvador, S.A.","Banco Atlantida El Salvador, S.A.",Total Instituciones
 ,,,,,,,,,,,,,,,
Activos ,,,,,,,,,,,,,,,
11 Activos de intermediación,"4,942,727.81","1,639,392.69","2,878,862.77","1,193,189.09","281,842.26","398,355.53","421,985.07","1,249,759.74","1,852,123.44","2,693,682.97","68,758.89","377,532.73","478,208.66","652,587.18","19,129,008.83"
1110 Fondos disponibles,"994,878.57","351,605.36","526,766.96","214,640.33","135,808.50","126,305.70","73,856.63","311,018.25","347,365.64","615,725.67","13,587.51","57,963.34","58,618.94","103,300.75","3,931,442.14"
112 Adquisición temporal de documentos,"5,865.19",0.00,250.00,"2,258.24",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,026.33","9,399.75"
1121 Documentos adquiridos hasta un año plazo,"5,865.19",0.00,250.00,"2,258.24",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,026.33","9,399.75"
1128 Documentos vencidos,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1129 Provisión por pérdidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
113 Inversiones financieras,"525,617.37","167,639.45","395,260.88","142,436.92","131,386.67","8,858.87","74,162.17","111,161.66","132,096.91","193,089.36","10,849.01","99,424.29","66,347.39","71,834.47","2,130,165.42"
1130 Titulos valores conservados para negociación,0.00,0.00,0.00,"135,785.62",0.00,0.00,"74,162.17","111,161.66",0.00,0.00,31.20,195.00,0.00,0.00,"321,335.65"
1131 Titulos valores para conservarse hasta el vencimiento,"9,028.44","1,502.51","24,899.95","2,146.99",0.00,"8,858.87",0.00,0.00,"2,262.68",0.00,0.00,"82,333.33","17,373.32","69,357.72","217,763.82"
1132 Titulos valores disponibles para venta,"516,601.36","166,136.93","370,476.93","4,504.31","131,386.67",0.00,0.00,0.00,"129,834.23","193,089.36","10,817.81","16,895.96","48,974.07","2,476.75","1,591,194.39"
1138 Inversiones vencidas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1139 Provisión para valuacion de inversiones,-12.44,0.00,-116.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-128.44
114 Préstamos,"3,416,366.68","1,120,147.88","1,956,584.93","833,853.61","14,647.09","263,190.96","273,966.28","827,579.82","1,372,660.89","1,884,867.94","44,322.37","220,145.10","353,242.33","476,425.64","13,058,001.52"
1141 Préstamos pactados hasta un año plazo,"551,264.57","180,485.48","316,630.97","106,210.34","14,648.81","36,290.84","55,108.16","233,310.05","87,119.68","494,223.85",669.67,"25,631.64","50,975.46","24,187.57","2,176,757.10"
1142 Préstamos pactados a mas de un año plazo,"2,925,428.91","950,615.18","1,663,510.32","739,425.61",0.00,"228,128.78","222,007.02","602,055.19","1,287,041.41","1,412,708.18","44,931.01","195,662.71","305,455.95","453,030.32","11,030,000.59"
1148 Préstamos vencidos,"45,274.27","16,457.25","35,952.35","9,844.53",0.00,"9,293.85","3,967.11","19,179.18","39,318.95","21,120.51",984.30,"2,047.24","1,660.40","2,776.44","207,876.38"
1149 Provisión para incobrabilidad de préstamos,"-105,601.06","-27,410.04","-59,508.71","-21,626.88",-1.72,"-10,522.51","-7,116.01","-26,964.59","-40,819.15","-43,184.60","-2,262.60","-3,196.50","-4,849.48","-3,568.70","-356,632.54"
12 Otros activos,"119,198.21","54,667.22","58,353.14","23,695.47","1,065.65","15,643.90","8,295.90","50,871.18","56,201.56","28,459.11","6,331.86","2,055.83","20,285.25","14,579.87","459,704.15"
1210 Saldos entre compañias,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1220 Bienes recibidos en pago o adjudicados,"39,881.98",385.13,"12,559.79","13,794.76",0.00,"5,715.51","2,003.40","12,287.17","6,756.47","9,513.04",0.00,0.00,0.00,"5,322.23","108,219.48"
1230 Existencias,"1,029.46",373.62,564.35,51.78,0.00,351.16,71.43,327.76,378.29,506.40,0.00,44.62,25.13,21.50,"3,745.50"
1240 Gastos pagados por anticipado y cargos diferidos,"33,943.41","25,092.32","34,570.83","2,833.91",525.19,"1,975.24","4,818.55","15,517.50","15,025.83","9,761.49","4,028.09","1,430.99","17,361.02","3,193.79","170,078.15"
1250 Cuentas por cobrar,"35,742.53","16,802.55","6,831.26","7,007.87",540.46,"8,082.75",726.06,"22,738.75","18,284.63","9,000.34","2,303.77",580.22,"2,916.53","6,136.22","137,693.94"
1259 Provisión de incobrabilidad de cuentas por cobrar,"-1,565.74",-612.27,"-1,627.71",-107.14,0.00,-480.75,-111.70,0.00,"-1,737.59",-322.17,0.00,0.00,-17.43,-93.86,"-6,676.37"
1260 derechos y participaciones,"10,166.57","12,625.87","5,454.62",114.28,0.00,0.00,788.17,0.00,"17,493.93",0.00,0.00,0.00,0.00,0.00,"46,643.45"
13 Activo fijo,"92,314.32","62,538.78","47,560.32","16,133.50",966.33,"18,747.78","5,072.07","16,673.09","30,913.16","28,555.77","3,250.85","1,023.23","1,875.36","11,045.03","336,669.57"
1310 No depreciables,"30,907.90","22,764.54","23,689.74","8,470.21",247.69,"9,047.18","3,486.79","1,850.69","20,143.58","3,468.27",0.00,140.25,63.96,"8,020.63","132,301.42"
1320 depreciables,"156,583.55","55,151.87","61,648.89","22,434.00","2,240.03","32,494.25","5,932.59","32,076.72","61,545.20","45,570.16","10,996.79","2,909.82","5,186.81","17,392.40","512,163.07"
1329 depreciación acumulada,"-97,110.04","-36,783.89","-42,569.91","-15,640.70","-1,580.04","-23,470.82","-4,445.94","-18,983.66","-50,775.63","-23,702.13","-8,858.43","-2,571.14","-4,538.44","-14,748.61","-345,779.36"
1330 Amortizables,"1,932.91","21,406.26","4,791.60",870.00,58.65,677.17,98.62,"1,729.33",0.00,"3,219.48","1,112.49",544.29,"1,163.03",380.60,"37,984.44"
Total Activos,"5,154,240.34","1,756,598.69","2,984,776.22","1,233,018.06","283,874.24","432,747.21","435,353.04","1,317,304.01","1,939,238.16","2,750,697.85","78,341.61","380,611.78","500,369.26","678,212.07","19,925,382.55"
 ,,,,,,,,,,,,,,,
4110 Cartas de crédito,"19,648.50","11,517.31","7,017.06",36.28,28.50,0.00,"8,087.33",0.00,71.22,"21,797.58",0.00,354.56,67.59,0.00,"68,625.93"
4119 Provisión por pérdidas,0.00,-2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.56
4120 Contingencias por avales y fianzas,"117,093.82","42,127.92","83,254.73","15,388.10","9,967.87","6,383.48","3,812.34","9,538.98","110,388.32","76,539.00",0.00,"17,988.37",0.00,"3,073.67","495,556.63"
4129 Provisión por pérdidas,"-15,661.57","-13,449.22","-9,661.88","-5,757.83",-37.72,"-5,127.24",0.00,0.00,"-2,815.02",-503.40,0.00,-3.49,0.00,0.00,"-53,017.38"
4131 derechos por operaciones en moneda extranjera,"2,427.70",0.00,0.00,0.00,318.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"2,746.59"
4139 Prov. pérdidas en derechos por operac. en mon. extran.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
 ,,,,,,,,,,,,,,,
Total derechos futuros y contingencias,"123,508.45","40,193.45","80,609.92","9,666.56","10,277.55","1,256.24","11,899.67","9,538.98","107,644.52","97,833.18",0.00,"18,339.44",67.59,"3,073.67","513,909.21"
 ,,,,,,,,,,,,,,,
Total activos + derechos futuros y contingencias,"5,277,748.78","1,796,792.14","3,065,386.14","1,242,684.62","294,151.79","434,003.45","447,252.71","1,326,842.99","2,046,882.68","2,848,531.03","78,341.61","398,951.22","500,436.86","681,285.74","20,439,291.75"
 ,,,,,,,,,,,,,,,
Pasivos ,,,,,,,,,,,,,,,
21 Pasivos de intermediación,"4,509,624.85","1,515,072.43","2,624,751.13","1,084,313.16","236,807.21","351,844.79","371,369.80","1,148,380.00","1,676,662.06","2,433,458.97","49,287.43","330,789.58","445,297.83","600,830.70","17,378,489.94"
211 depósitos,"3,850,833.77","1,274,349.68","2,018,574.38","929,356.90","234,236.84","337,241.31","324,295.48","973,873.24","1,435,409.88","2,096,079.04","49,194.08","260,246.19","309,562.25","434,734.08","14,527,987.13"
2110 depósitos a la vista,"2,797,133.98","923,473.81","1,119,291.05","474,878.54","205,838.84","193,653.11","178,018.81","504,295.64","667,929.64","1,391,108.09","13,416.74","112,334.16","102,031.83","187,937.88","8,871,342.12"
211001 depósitos en cuenta corriente,"1,036,594.84","514,069.12","561,548.56","229,492.46","181,356.62","48,358.30","123,375.23","300,938.44","260,773.10","893,809.65","13,416.74","45,517.22","69,095.46","128,855.95","4,407,201.70"
211002 depósitos de ahorro,"1,759,763.98","409,404.69","557,333.33","245,384.28","24,482.22","145,294.81","54,643.58","203,357.20","407,156.54","497,298.44",0.00,"66,816.94","32,931.04","59,081.93","4,462,948.96"
211003 depósitos en cuenta de ahorro simplificada,775.16,0.00,409.16,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.33,0.00,"1,191.45"
2111 depósitos pactados hasta un año plazo,"901,813.32","324,017.95","683,946.81","403,082.29","26,003.03","137,173.85","140,745.54","451,946.39","715,561.41","640,117.06","30,537.22","142,180.66","183,318.11","222,202.75","5,002,646.40"
2112 depósitos pactados a mas de un año plazo,"82,567.40",750.25,"166,013.91","32,973.58",0.00,218.20,0.00,"2,149.21","3,534.27","46,949.83",0.00,171.40,"19,603.79","21,019.04","375,950.88"
2114 depósitos restringidos e inactivos,"69,319.07","26,107.68","49,322.60","18,422.49","2,394.98","6,196.14","5,531.13","15,482.00","48,384.56","17,904.06","5,240.12","5,559.97","4,608.51","3,574.42","278,047.73"
212 Préstamos,"433,956.44","166,530.08","390,374.93","124,273.59",0.00,"13,940.18","21,228.30","169,095.76","139,813.69","147,825.29",0.00,"69,613.97","70,824.13","91,557.17","1,839,033.51"
2121 Préstamos pactados hasta un año plazo,"413,355.23","37,480.33","212,576.77","26,481.03",0.00,29.87,"10,180.05","54,480.73","5,183.31","135,356.36",0.00,"24,095.23","4,852.44","3,020.00","927,091.36"
2122 Préstamos pactados a mas de un año plazo,"20,601.21",89.57,"11,286.83","75,811.43",0.00,"13,874.32","11,048.25","50,398.79","112,630.38","12,468.93",0.00,"45,518.73","50,936.43","63,014.24","467,679.10"
2123 Préstamos pactados a cinco o mas años plazo,0.00,"128,960.18","166,511.33","21,981.13",0.00,35.98,0.00,"64,216.24","22,000.00",0.00,0.00,0.00,"15,035.26","25,522.93","444,263.04"
2130 Obligaciones a la vista,"12,714.51","14,078.32","10,675.98","30,682.68","2,570.36",663.31,620.61,"5,411.00","5,894.04","18,711.85",89.79,929.42,"1,860.66","1,877.90","106,780.42"
214 Títulos de emisión propia,"212,120.14","60,114.34","205,125.84",0.00,0.00,0.00,"25,225.41",0.00,"95,544.45","170,842.80",0.00,0.00,"63,050.79","72,661.54","904,685.32"
